Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Japan,,,,,,,,,,,,,,68.34715,68.05464,68.02609,67.8151,67.32407,67.76276,66.85671,66.05473,66.08424,66.41894,66.70863,67.0548,67.09999,67.13415,67.30173,67.72694,67.51933,67.35564,67.23186,67.12411,67.46243,68.10777,68.8105,69.46976,69.75673,69.56595,69.33826,69.24825,69.56193,70.06789,69.57001,69.02783,68.99153,68.85491,68.31975,68.46236,68.81226,69.36957,70.03201,70.77606,70.8734,70.17559,70.28754,70.82615,70.61858,71.7585,72.7607,73.39278,74.44646,75.32627
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.51276,62.2052,63.40555,63.0346,63.76704,63.74775,63.97321,64.14521,63.9557,63.0171,63.38788,63.91484,64.34369,64.62727,65.56622,65.90981,66.07566,66.62926
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,62.5,63.6,63.6,64.15,63.425,65.2,65.2,64.625,65.85,65.725,66.625,66.15,65.575,66.275
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.05342,60.96249,61.00108,60.66586,59.784,59.66136,60.02428,60.90891,60.8422,60.40805,60.74515,61.04717,61.12864
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.95,74.125,74.4,73.65,73.125,73.225,74.35,75.975,77.175,76.975,74.675,74.175,74.35,73.575,73.125,74.15,74.825,75.85
"New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.15318,71.97916,69.43733,67.16886,67.10247,65.26609,64.92945,65.62728,67.49545,69.65571,70.60989,70.1252,69.07514,69.55356,70.33273,71.37629,72.09379,72.15541,73.16463,74.21869,74.76726,75.13127,74.59267,72.80039,72.21104,72.52215,71.97592,72.84322,74.23936,74.28225,75.57175,76.87572
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5,77.175,76.825,75.5,75.125,74.825,75.375,76.825,77.95,76.425,75.3,75.3,75.75,75.425,75.225,74.8,74.3,74
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.975,53.35,51.475,51.2,51.65,52.775,54.45,57.025,59.225,59.375,58.95,59.3,59.675,60,61.675,62.925,64.5,66.125
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.825,67.525,68.375,69,68.775,68,67.65,67.3,67.625,67.6,68.025,66.075,65.275,63.825,61.425,60.625,62.625,63.925,65.25,67.825
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,56.775,56.825,56.8,57.725,56.975,57.7,59.425,60.7,62.25,60.175,58.775,59.325,59.725,59.85,60.975,62.725,64.85,66.175
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.85,56.275,57.825,58.925,60.175,61.325,63.55,65.025,65.8,64.475,59.95,58.85,58.025,55.75,54.825,56,57.8,59.55,61.1
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.05,73.625,72.875,72.05,72.3,73.125,74.175,74.325,72.2,72.15,73.575,73.775,74.4,74.85,75.525,76.2,76.85
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2,77.9,78.6,79.5,79,77.325,78.35,78.475,78.4,78.75,79.2,79.6,79.8
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.575,44.65,44.85,44.225,46.275,48.4,48.9,49.525,49.525,50.15,50.65,51.55
"United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.225,71.425,71.4,71.525,71.7,71.775,71.6,71.45,71.5,69.875,69.375,69.3,69.95,70.525,71.9,72.725,73.5,74.125
"United States",61.46822,62.4337,62.20108,60.5542,61.39219,61.52728,60.87849,61.47677,61.48097,61.79631,62.41243,63.37987,63.80169,64.08068,64.61467,63.99263,63.17525,63.7738,64.85249,64.99554,63.08882,64.14752,65.39526,67.09882,67.91239,67.18594,67.07856,65.76852,66.00588,68.13399,69.00044,69.68153,70.74065,71.64634,72.4952,72.19167,70.96761,70.80585,71.20782,72.00175,72.5349,72.85875,73.50204,73.84345,73.94605,74.09456,73.13562,71.92931,71.22334,71.22248,71.53017,71.99708,71.78132,70.88825,67.62595,66.68977,66.64754,67.13661,67.35994,68.14875,68.70962,69.35136,70.11017
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.44468,55.5009,56.3303,57.2645,56.06453,59.32086,61.30072,61.83823,62.32574,62.21513,62.44113,62.23901,62.67903
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.275,61.075,61.325,62.95,63.15,64.825,68.425,69.725,70.075,63.775,61.25,65.3,67.15,68.475,69.575,71.875,72.1,74.125
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.51433,56.36247,55.70263,55.23224,55.46907,56.07549,55.56511,54.80782,54.97932,55.6702,56.70815,57.55732,58.94432,59.82737,59.21324,60.1636,60.87873,66.5,67.05833,67.86667,68.31667,68.575,69.025
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,62.85,63.8,63.45,62.575,65.275,65.95,66.55,67.75,68.575,67.525,66.2,64.4,64.075,63.275,63.9,65.225,65.85,69.275
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.67535,44.07782,42.83311,41.51175,41.58983,43.37444,44.89611,44.42795,45.91456,43.86818,41.83601,41.91941,42.2082,42.72718,42.77369,43.68032,43.03369,43.35536
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19333,60.51083,62.34583,63.6525,65.08667,66.28333,66.53833,67.055,67.62417,67.1775,66.93417
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.95,60.75,61.025,62.15,65.9,68.125,68.225,60.35,58.5,60.825,62.975,65.05,66.3,68.1,68.725,70.1
