Country,2013,2014,2015,2016,2017
Greece,5.44,5.15,4.86,5.03,5.227000237
Guatemala,5.97,6.045,6.12,6.32,6.453999996
Guinea,3.85,3.755,3.66,3.61,3.506999969
Haiti,4.34,4.43,4.52,4.03,3.602999926
Honduras,5.14,4.965,4.79,4.87,5.181000233
"Hong Kong",5.52,5.495,5.47,5.46,5.472000122
Hungary,4.78,4.79,4.8,5.15,5.323999882
Iceland,7.36,7.46,7.56,7.5,7.504000187
India,4.77,4.67,4.57,4.4,4.315000057
Indonesia,5.35,5.375,5.4,5.31,5.262000084
Iran,4.64,4.665,4.69,4.81,4.691999912
Iraq,4.82,4.75,4.68,4.58,4.497000217
Ireland,7.08,7.01,6.94,6.91,6.977000237
Israel,7.3,7.29,7.28,7.27,7.212999821
Italy,6.02,5.985,5.95,5.98,5.964000225
Jamaica,5.37,5.54,5.71,5.51,5.31099987
Japan,6.06,6.025,5.99,5.92,5.920000076
Jordan,5.41,5.3,5.19,5.3,5.335999966
Kazakhstan,5.67,5.765,5.86,5.92,5.818999767
Kenya,4.4,4.41,4.42,4.36,4.552999973
Kosovo,5.22,5.405,5.59,5.4,5.278999805
Kuwait,6.52,6.41,6.3,6.24,6.105000019
Kyrgyzstan,5.04,5.165,5.29,5.19,5.004000187
Laos,4.79,4.835,4.88,4.88,
Latvia,5.05,5.075,5.1,5.56,5.849999905
Lebanon,4.93,4.885,4.84,5.13,5.224999905
Lesotho,4.9,4.9,4.9,4.354,3.808000088
Liberia,4.2,4.385,4.57,3.62,3.532999992
Libya,5.34,5.545,5.75,5.62,5.525000095
Lithuania,5.43,5.63,5.83,5.81,5.90199995
Luxembourg,7.05,7,6.95,6.87,6.862999916
"Macedonia (F.Y.R.O.M.)",4.57,4.79,5.01,5.12,5.175000191
Madagascar,3.97,3.825,3.68,3.7,3.644000053
Malawi,4.11,4.2,4.29,4.16,3.970000029
Malaysia,5.76,5.765,5.77,6.01,6.084000111
Mali,4.25,4.125,4,4.07,4.190000057
Malta,5.96,6.13,6.3,6.49,6.52699995
Mauritania,4.76,4.6,4.44,4.2,4.291999817
Mauritius,5.48,5.48,5.48,5.65,5.629000187
Mexico,7.09,7.14,7.19,6.78,6.578000069
Moldova,5.79,5.84,5.89,5.9,5.837999821
Mongolia,4.83,4.85,4.87,4.91,4.954999924
Montenegro,5.3,5.245,5.19,5.16,5.236999989
Morocco,4.89,4.95,5.01,5.15,5.235000134
Mozambique,4.97,4.97,4.97,4.76,4.550000191
Namibia,4.16,4.335,4.51,4.79,4.573999882
Nepal,7.51,7.445,7.38,7.34,4.961999893
Netherlands,7.22,7.255,7.29,7.33,7.376999855
"New Zealand",5.51,5.67,5.83,5.99,7.31400013
Nicaragua,4.15,4,3.85,3.86,6.071000099
Niger,5.25,5.26,5.27,4.88,4.027999878
Nigeria,5.46,5.58,5.7,5.77,5.073999882
"Northern Cyprus",7.66,7.59,7.52,7.5,5.809999943
Norway,6.85,6.85,6.85,7.1935,7.537000179
Pakistan,5.29,5.24,5.19,5.13,5.269000053
"West Bank and Gaza",4.7,4.71,4.72,4.75,4.775000095
Panama,7.14,6.965,6.79,6.7,6.452000141
Paraguay,5.78,5.83,5.88,5.54,5.493000031
Peru,5.78,5.8,5.82,5.74,5.715000153
Philippines,4.99,5.03,5.07,5.28,5.429999828
Poland,5.82,5.805,5.79,5.84,5.97300005
Portugal,5.1,5.1,5.1,5.12,5.195000172
"Puerto Rico",,,,7.04,
Qatar,6.67,6.64,6.61,6.38,6.375
Romania,5.03,5.075,5.12,5.53,5.824999809
Russia,5.46,5.59,5.72,5.86,5.962999821
Rwanda,3.72,3.595,3.47,3.52,3.470999956
"Saudi Arabia",6.48,6.445,6.41,6.38,6.343999863
Senegal,3.96,3.93,3.9,4.22,4.534999847
Serbia,4.81,4.965,5.12,5.18,5.394999981
"Sierra Leone",4.32,4.415,4.51,4.64,4.709000111
Singapore,6.55,6.675,6.8,6.74,6.572000027
Slovakia,5.97,5.985,6,6.08,6.09800005
Slovenia,6.06,5.955,5.85,5.77,5.757999897
Somalia,4.85,4.955,5.06,5.44,5.151000023
Somaliland,4.96,4.8,4.64,4.46,
"South Africa",6.27,6.125,5.98,5.84,4.828999996
"South Korea",,,,3.83,5.837999821
"South Sudan",6.32,6.325,6.33,6.36,3.59100008
Spain,4.15,4.21,4.27,4.42,6.402999878
"Sri Lanka",4.4,4.475,4.55,4.14,4.440000057
Sudan,6.27,6.27,6.27,6.27,4.138999939
Suriname,4.87,4.87,4.87,,
Sweden,7.48,7.42,7.36,7.29,7.28399992
Switzerland,7.65,7.62,7.59,7.51,7.493999958
Syria,3.89,3.45,3.01,3.07,3.461999893
Taiwan,6.22,6.26,6.3,6.38,6.421999931
Tajikistan,4.38,4.585,4.79,5,5.040999889
Tanzania,3.77,3.775,3.78,3.67,3.348999977
Thailand,6.37,6.415,6.46,6.47,6.423999786
Togo,2.94,2.89,2.84,3.3,3.494999886
"Trinidad and Tobago",6.52,6.345,6.17,6.17,6.168000221
Tunisia,4.83,4.785,4.74,5.05,4.804999828
Turkey,5.35,5.34,5.33,5.39,5.5
Turkmenistan,5.63,5.59,5.55,5.66,5.822000027
Uganda,4.44,4.185,3.93,3.74,4.080999851
Ukraine,5.06,4.87,4.68,4.32,4.096000195
"United Arab Emirates",7.14,7.02,6.9,6.57,6.647999763
"United Kingdom",6.88,6.875,6.87,6.73,6.714000225
"United States",7.08,7.1,7.12,7.1,6.993000031
Uruguay,6.36,6.425,6.49,6.55,6.453999996
Uzbekistan,5.62,5.81,6,5.99,5.971000195
Venezuela,7.04,6.925,6.81,6.08,5.25
Vietnam,5.53,5.445,5.36,5.06,5.073999882
Yemen,4.05,4.065,4.08,3.72,3.592999935
Zambia,5.01,5.07,5.13,4.8,4.513999939
Zimbabwe,4.83,4.72,4.61,4.19,3.875
