Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Burkina Faso",0.29781,0.3123,0.3267,0.3412,0.3556,0.3701,0.3845,0.399,0.4135,0.4279,0.4424,0.4568,0.4713,0.4857,0.5002,0.5146,0.52909,0.5331,0.537,0.541,0.5449,0.54891,0.5628,0.5768,0.5907,0.6046,0.6186,0.6325,0.64645,0.6512,0.65585,0.66632,0.70881,0.7178,0.7268,0.7358,0.7448,0.7538,0.7628,0.77175,0.80362
Burundi,,,,,0.52494,0.5506,0.5762,0.6018,0.6275,0.6531,0.6788,0.7044,0.73,0.7557,0.7813,0.80694,0.8179,0.8288,0.8398,0.8507,0.8617,0.8726,0.8836,0.8945,0.9055,0.91645,0.9248,0.9332,0.9416,0.95,0.9584,0.9667,0.9751,0.98349,0.9866,0.9896,0.9927,0.9958,0.9988,1.0019,1.00497
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,0.86835,0.8732,0.878,0.8829,0.8877,0.8925,0.89736,0.9123,0.9272,0.942,0.95694,0.97185,0.9781,0.9843,0.9905,0.9968,1.003,1.00923
Cameroon,,0.74208,0.7479,0.7537,0.7595,0.7654,0.7712,0.777,0.7828,0.7886,0.7944,0.8003,0.8061,0.8119,0.8177,0.8235,0.8293,0.8352,0.841,0.8468,0.8526,0.8584,0.8642,0.8701,0.8759,0.8817,0.8795,0.8774,0.8752,0.873,0.8709,0.8687,0.86652,0.876,0.8854,0.89489,0.9006,0.9063,0.912,0.9177,0.92341
"Cape Verde",,,,,,,,,,,,,,,,0.96071,0.9649,0.969,0.9731,0.9773,0.9814,0.9856,0.9897,0.9939,0.998,1.0022,1.0063,1.0105,1.0146,1.01874,1.0171,1.0154,1.0137,1.0121,1.0104,1.0087,1.0071,1.00538,1.0051,1.0048,1.00445
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99477,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,0.55708,0.5669,0.5768,0.5866,0.5965,0.6063,0.6162,0.626,0.6359,0.6457,0.6556,0.6654,0.67525,0.6629,0.6506,0.6383,0.626,0.6137,0.6013,0.589,0.5767,0.5644,0.55205,0.552,0.552,0.552,0.552,0.552045148
Chad,,,,,,,,,,,,,,,,,,,0.34084,0.3518,0.3627,0.3736,0.3845,0.3954,0.4063,0.41726,0.4562,0.4951,0.5341,0.573,0.6033,0.6336,0.6639,0.6942,0.7246,0.7549,0.7852,0.8155,0.8458,0.8761,0.90722
Chile,,,,,,,,1.00971,1.0093,1.0089,1.0085,1.008,1.0076,1.0072,1.0068,1.0064,1.006,1.00555,1.0054,1.0052,1.005,1.0049,1.0047,1.0045,1.0044,1.0042,1.004,1.00384,1.0033,1.0028,1.0023,1.0018,1.0013,1.00082,1.00031,1.0021,1.00394,1.0024,1.00083,1.0006,1.00034
China,,,,,,,,0.86231,0.8724,0.8825,0.8926,0.9027,0.9128,0.9229,0.933,0.94306,0.9481,0.9531,0.958,0.963,0.968,0.973,0.978,0.983,0.988,0.99301,0.9936,0.9942,0.9948,0.9954,0.996,0.9966,0.9972,0.9978,0.9984,0.99903,0.9992,0.9993,0.9994,0.9996,0.99968
Colombia,,,,,,,,,,,,,,,,,,,1.01729,1.0156,1.0139,1.01226,1.0118,1.0114,1.011,1.0105,1.0101,1.0097,1.0092,1.0088,1.0088,1.00678,1.0096,1.00902,1.0102,1.00854,1.00986,1.0094,1.009,1.00858,1.00889
Comoros,,,,,,0.79153,0.7981,0.8048,0.8114,0.818,0.8246,0.8312,0.8378,0.8445,0.8511,0.8577,0.8643,0.8709,0.8775,0.8841,0.8908,0.8974,0.904,0.9106,0.9172,0.92384,0.9301,0.9363,0.9425,0.9487,0.955,0.9612,0.9674,0.9736,0.9798,0.9861,0.9923,0.9985,1.0047,1.01096,1.0151
"Costa Rica",,,,,,,,,,1.0081,1.0081,1.0082,1.0082,1.0082,1.0083,1.0083,1.0083,1.0084,1.0084,1.0084,1.0085,1.0085,1.0085,1.0086,1.0086,1.00865,1.0081,1.0075,1.007,1.0064,1.0059,1.0053,1.0048,1.0042,1.0036,1.0031,1.00253,1.0024,1.0023,1.0022,1.00211
Croatia,,,,,,,,,,,,,,,,,0.99938,0.9995,0.9995,0.9996,0.9997,0.9997,0.9998,0.9999,0.9999,1,1.00009,1.0001,1.0001,1.0001,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.00024,1.00024,1.00024,1.00024,1.00024
"Ivory Coast",,,,,,,,,,,,,,0.63148,0.6416,0.6517,0.6618,0.6719,0.682,0.6921,0.7022,0.7123,0.7224,0.73248,0.7341,0.73581,0.7299,0.7239,0.7179,0.712,0.706,0.7001,0.6941,0.6881,0.6822,0.6762,0.6703,0.6643,0.6704,0.6765,0.68261
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99996,1,1,1.0001,1.0001,1.0002,1.0002,1.0003,1.0003,1.0004,1.0004,1.0004,1.0004,1.00035
Cyprus,,,,,,,,,,,,,,,,,,1.00085,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.00079,1.0007,1.0007,1.0007,1.0006,1.0006,1.0005,1.0005,1.0004,1.0004,1.00034,1.0004,1.0004,1.0004,1.00039
"North Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,0.80905,0.7866,0.7642,0.7418,0.7194,0.697,0.6746,0.7081,0.7415,0.775,0.8085,0.84196,0.8542,0.8664,0.87865
"Dominican Republic",,,,,,,1.033,1.0327,1.0323,1.032,1.0317,1.0313,1.031,1.0307,1.0303,1.03,1.0297,1.0293,1.029,1.0287,1.0283,1.028,1.0277,1.0273,1.027,1.0267,1.0263,1.026,1.0257,1.0253,1.025,1.0247,1.02434,1.0236,1.0228,1.02201,1.02042,1.01503,1.0154,1.0071,1.00642
Ecuador,,,,,,,,0.97593,0.978,0.98,0.9821,0.9841,0.9862,0.9882,0.9903,0.99231,0.9931,0.9939,0.9947,0.9955,0.9963,0.9971,0.998,0.9988,0.9996,1.0004,1.00118,1.0017,1.0022,1.0027,1.0033,1.0038,1.00431,1.0023,1.00027,1.00391,1.00222,1.00123,1.00054,1.0002,0.99989
Egypt,,0.60473,0.6199,0.6351,0.6503,0.6655,0.6807,0.6958,0.711,0.7262,0.7414,0.75657,0.7656,0.7747,0.7838,0.7929,0.802,0.811,0.8201,0.8292,0.8383,0.84733,0.8506,0.8538,0.857,0.8603,0.8635,0.8667,0.87,0.8732,0.87645,0.93051,0.9306,0.9307,0.9309,0.93098,0.9314,0.93174,0.96451,0.9697,0.97487
"El Salvador",,,,,,,,,,,,,,,,,,1.00003,1.0002,1.0004,1.0006,1.0008,1.001,1.0012,1.0013,1.0015,1.0017,1.0019,1.0021,1.00228,1.0067,1.01119,1.00719,1.0113,1.0065,1.00749,1.00827,1.007,1.00571,1.0049,1.00407
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,0.98992,0.9914,0.9928,0.9943,0.9957,0.9971,0.9986,1,1.0015,1.0029,1.0044,1.0058,1.0072,1.0087,1.01013,1.011
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80557,0.819,0.8323,0.8457,0.8591,0.8725,0.8859,0.8992,0.9126,0.926,0.9394,0.9528,0.96615,0.97231
Estonia,,,,,,,,,,,,,,,1.00071,1.0007,1.0007,1.0007,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.00084,1.0008,1.0007,1.0007,1.0006,1.0005,1.0005,1.0004,1.0004,1.0003,1.0003,1.0002,1.0002,1.0001,1.0001,1.00009
Ethiopia,,,,,,,,,,,,,,,,,,,,0.71471,0.7051,0.6956,0.686,0.6764,0.6668,0.6573,0.6477,0.6381,0.6285,0.618971061,0.59586,0.6714,0.74703,0.7728,0.7986,0.8245,0.8503,0.8761,0.9019,0.9277,0.9535
Gabon,,,,,,,,,,,,,,,,,,,0.97571,0.9759,0.976,0.9762,0.9764,0.9765,0.9767,0.9768,0.977,0.9772,0.9773,0.97748,0.9832,0.9889,0.9947,1.0004,1.0061,1.0119,1.0176,1.02334,1.026,1.0286,1.03129
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,0.64336,0.6634,0.6834,0.7034,0.7234,0.7434,0.7635,0.7835,0.8035,0.8235,0.8435,0.8635,0.8836,0.9036,0.9236,0.93765
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00074,1.0008,1.0008,1.0008,1.0009,1.0009,1.0009,1.001,1.001,1.001,1.001,1.0011,1.00111,1.00115
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,0.86231,0.8703,0.8784,0.8864,0.8944,0.9024,0.9104,0.9185,0.9265,0.9345,0.94252,0.9508,0.9591,0.9674,0.9757,0.98395
Greece,,,,,,,0.99835,0.9985,0.9987,0.9988,0.999,0.9991,0.9993,0.9994,0.9996,0.9998,0.99991,1,1.0001,1.0002,1.0003,1.0004,1.0006,1.0007,1.0008,1.0009,1.00098,1.0007,1.0004,1.0002,0.99991,0.9997,0.9996,0.9994,0.9992,0.999,0.9989,0.9987,0.9985,0.99836,0.99964
Guadeloupe,,,,,,,,1.00831,1.0078,1.0072,1.0067,1.0061,1.0056,1.0051,1.0045,1.004,1.0034,1.0029,1.0023,1.00179,1.0017,1.0015,1.0014,1.0013,1.0011,1.001,1.0009,1.0007,1.0006,1.00045,1.0004,1.0004,1.0004,1.0003,1.0003,1.0003,1.0002,1.0002,1.0002,1.00012,1.00011
Guam,,,,,,1.00575,1.0051,1.0045,1.0039,1.0032,1.0026,1.002,1.0014,1.0007,1.0001,0.99948,0.9995,0.9995,0.9995,0.9995,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.99984
Guatemala,,,,,,,,,,,,,,,,,,,,0.8654,0.8707,0.8759,0.8812,0.8865,0.8917,0.897,0.9023,0.90752,0.9131,0.9186,0.9242,0.9297,0.9353,0.9409,0.9464,0.952,0.9575,0.96309,0.95316,0.97683,0.95291
Guinea,,,,,,,,,,,,,,,,,,,,,,0.30537,0.3436,0.3818,0.42,0.4583,0.4965,0.5347,0.57295,0.574,0.575,0.5761,0.5771,0.5781,0.5792,0.58021,0.685,0.7897,0.8944,0.9992,1.10392
"Guinea Bissau",,,,,0.29824,0.3133,0.3283,0.3433,0.3583,0.3733,0.3884,0.4034,0.4184,0.4334,0.4484,0.4635,0.4785,0.4935,0.5085,0.5235,0.5386,0.5536,0.5686,0.5836,0.5986,0.61367,0.6338,0.6538,0.6739,0.694,0.7141,0.7342,0.7543,0.7744,0.7945,0.8145,0.8346,0.8547,0.8748,0.89489,0.91016
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01351,1.0125,1.0116,1.0106,1.0096,1.0087,1.00768
Haiti,,,,,,,,0.99594,0.995,0.9941,0.9931,0.9922,0.9912,0.9903,0.9894,0.9884,0.9875,0.9865,0.9856,0.9847,0.9837,0.9828,0.9818,0.9809,0.98,0.979,0.9781,0.9771,0.97619,0.9667,0.9572,0.94774,0.9522,0.9567,0.9613,0.9658,0.9703,0.9748,0.9793,0.9838,0.98828
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04626,1.0428,1.0393,1.0359,1.0324,1.0289,1.02545,1.022,1.0186,1.01514,1.02101,1.02111,1.02608,1.0131,1.01988
Hungary,,,,,,0.99896,0.9991,0.9992,0.9993,0.9995,0.9996,0.9997,0.9998,1,1.0001,1.0002,1.0003,1.0005,1.0006,1.00072,1.0008,1.0009,1.0011,1.0012,1.0013,1.0014,1.0015,1.0016,1.0017,1.00186,1.002,1.0021,1.0022,1.0023,1.0025,1.0026,1.0027,1.0028,1.0029,1.00305,1.00166
India,,,,,,,0.60803,0.6144,0.6207,0.627,0.6334,0.6397,0.646,0.6523,0.6587,0.665,0.67133,0.6847,0.698,0.7113,0.7247,0.738,0.7513,0.7647,0.778,0.7913,0.80467,0.8119,0.8192,0.8265,0.8338,0.84102,0.8546,0.8682,0.8818,0.8954,0.90899,0.9193,0.9296,0.9399,0.95014
Indonesia,,,,,,0.91134,0.9178,0.9243,0.9308,0.9372,0.9437,0.9502,0.9566,0.9631,0.9696,0.97605,0.9775,0.979,0.9805,0.982,0.9834,0.9849,0.9864,0.9879,0.9893,0.9908,0.9923,0.9938,0.9952,0.99671,0.9945,0.99222,0.9953,0.99844,0.99846,0.999,0.99947,0.9996,0.9998,0.99997,1.00032
Iran,,0.59701,0.6149,0.6328,0.6507,0.6686,0.6865,0.7044,0.7223,0.7402,0.7581,0.77601,0.7965,0.817,0.8375,0.858,0.87846,0.8924,0.9063,0.9202,0.9341,0.94807,0.9535,0.9589,0.9643,0.9697,0.9751,0.98045,0.9823,0.9842,0.98601,0.98957,0.9908,0.99195,0.9923,0.9926,0.9929,0.99316,0.99316,0.9941,0.99495
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,0.90524,0.9101,0.9149,0.9197,0.9246,0.9294,0.9342,0.9391,0.9439,0.9487,0.9535,0.9584,0.9632,0.968,0.97287,0.97803
Israel,,,,,,,,,0.98982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,0.9989,0.999,0.999,0.9991,0.9992,0.9992,0.9993,0.9993,0.9994,0.9995,0.9995,0.9996,0.9997,0.9997,0.9998,0.9998,0.9999,1,1,1.0001,1.00016,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.00018,1.0002,1.0002,1.0002,1.00026
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,1.1029,1.0995,1.0961,1.0928,1.0894,1.086,1.0826,1.0792,1.0759,1.0725,1.0691,1.0657,1.0623,1.059,1.0556,1.0522,1.04968
Jordan,,,,,0.88559,0.8902,0.8948,0.8994,0.904,0.9086,0.9131,0.9177,0.9223,0.9269,0.9315,0.9361,0.9407,0.9453,0.9499,0.9545,0.9591,0.9637,0.9683,0.9729,0.9774,0.982,0.9866,0.9912,0.99582,0.9984,1.00093,1.0004,0.99994,1,1,1.00008,1.00204,1.00203,1.0022,1.0024,1.00264
Kazakhstan,,,,,,,,,,,,,,,1.00057,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.00059,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.0006,1.00061,1.0006,1.0006,1.0006,1.0006,1.0006,1.00058
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,0.98535,0.9847,0.9841,0.9835,0.9829,0.9823,0.9817,0.9811,0.9855,0.9899,0.9943,0.9987,1.0031,1.0075,1.0119,1.01628
Kuwait,0.84964,0.8668,0.8839,0.901,0.9182,0.93532,0.9337,0.9321,0.9305,0.9289,0.92724,0.9307,0.9341,0.9375,0.9409,0.9444,0.9478,0.9512,0.9546,0.958,0.96146,0.9654,0.9694,0.9733,0.9773,0.9812,0.9852,0.9891,0.9931,0.997,1.00097,0.99977,1.00111,1.00177,1.0016,1.0014,1.0012,1.001,0.99787,0.9979,0.99798
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,1.00091,1.0009,1.0009,1.0009,1.0009,1.0009,1.0009,1.0009,1.0009,1.0009,1.00095,1.001,1.001,1.001,1.0011,1.0011,1.00113
Laos,,,,,,,,,,,,,,,,,,,,,0.81271,0.8172,0.8218,0.8263,0.8308,0.83533,0.90415,0.8988,0.8935,0.8882,0.88286,0.8883,0.8938,0.8993,0.9047,0.9102,0.9157,0.9212,0.9266,0.9321,0.93756
Latvia,,,,,,,,,,,,,,,1.00071,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.00065,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.00068,1.0007,1.0007,1.0007,1.00073
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00697,1.0067,1.0064,1.0061,1.0059,1.0056,1.0053,1.005,1.00473
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,1.14937,1.1596,1.1698,1.1801,1.1903,1.2005,1.2107,1.221,1.2312,1.24141,1.2367,1.232,1.2274,1.2227,1.218,1.21329
Liberia,,,,,,,,,,0.53678,0.5655,0.5942,0.623,0.6517,0.6804,0.7091,0.7379,0.7666,0.7953,0.82404,0.7972,0.7704,0.7436,0.7168,0.69,0.6632,0.6364,0.6096,0.5828,0.55605,0.566,0.5759,0.58581,0.5976,0.6094,0.6211,0.6329,0.6447,0.6564,0.6682,0.67997
Libya,,,,,,,,,,0.82074,0.8355,0.8503,0.8651,0.8799,0.8946,0.9094,0.9242,0.939,0.9538,0.96853,0.9713,0.974,0.9767,0.9795,0.9822,0.985,0.9877,0.9904,0.9932,0.99592,0.9963,0.9967,0.997,0.9974,0.9978,0.9981,0.9985,0.9988,0.9992,0.99958,0.99968
Lithuania,,,,,,,,,,,,,,,1.00068,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0008,1.0008,1.0008,1.0008,1.0008,1.0008,1.0007,1.0007,1.0006,1.0006,1.0005,1.0004,1.0004,1.0003,1.0003,1.00021,1.00021,1.00021,1.00021,1.00021
Macau,,,,,,,0.99015,0.9908,0.9915,0.9922,0.9929,0.9936,0.9943,0.9949,0.9956,0.9963,0.997,0.9977,0.9984,0.999,0.9997,1.0004,1.0011,1.0018,1.0025,1.0031,1.00382,1.0033,1.0027,1.0022,1.0017,1.00113,1.001,1.0008,1.0007,1.0005,1.00035,1.0002,1.0001,0.9999,0.99979
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,0.9385,0.9421,0.9456,0.9492,0.9527,0.9563,0.9598,0.9634,0.9669,0.97045,0.9739,0.9774,0.9808,0.9843,0.9877,0.99118
Malawi,,,,,,,,,,,,,0.69744,0.7123,0.7272,0.7421,0.757,0.7719,0.7868,0.8017,0.8166,0.8315,0.8464,0.86125,0.868,0.8748,0.8815,0.8883,0.895,0.9018,0.9085,0.9153,0.922,0.9288,0.9355,0.94227,0.9546,0.967,0.9793,0.9916,1.00399
Malaysia,,,,,,0.96688,0.9692,0.9716,0.974,0.9763,0.9787,0.9811,0.9834,0.9858,0.9881,0.9905,0.99286,0.9937,0.9946,0.9954,0.9963,0.9972,0.998,0.9989,0.9997,1.00061,1.0006,1.0006,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0008,1.00078,1.001,1.0011,1.0013,1.0015,1.00166
Maldives,,,1.03553,1.0328,1.03,1.0273,1.0246,1.0218,1.0191,1.0163,1.01358,1.0114,1.0091,1.0069,1.0047,1.00243,1.0025,1.0025,1.0026,1.0026,1.0027,1.0027,1.0027,1.0027,1.0027,1.0027,1.0025,1.0022,1.002,1.0017,1.0015,1.00121,1.0005,0.9999,0.9992,0.9985,0.9978,0.9972,0.9965,0.9958,0.99512
Mali,,0.50532,0.5061,0.5069,0.5077,0.5085,0.5093,0.5101,0.5109,0.5117,0.5125,0.5133,0.5141,0.5148,0.5156,0.5164,0.5172,0.518,0.5188,0.5196,0.5204,0.5212,0.522,0.52279,0.5476,0.5724,0.5973,0.6221,0.64689,0.6479,0.649,0.65003,0.6381,0.6261,0.6141,0.60218,0.69268,0.6815,0.6702,0.659,0.64779
Malta,,,,,,,,,,,,,,,,,,,,,1.03647,1.0345,1.0326,1.0306,1.0287,1.0267,1.0248,1.0228,1.0208,1.0189,1.01694,1.0158,1.0146,1.0135,1.0123,1.0111,1.00999,1.0092,1.0083,1.0075,1.00668
"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00598,1.006,1.006,1.006,1.005979254
Martinique,,,,,,,,0.99322,0.9935,0.9937,0.994,0.9943,0.9945,0.9948,0.995,0.9953,0.9955,0.9958,0.9961,0.99632,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.996294738,0.9966,0.9968,0.9971,0.9973,0.9976,0.9979,0.9981,0.9984,0.9987,0.99892,0.99899
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,0.81916,0.8048,0.7904,0.776,0.7617,0.7473,0.7329,0.71856,0.7269,0.7352,0.7435,0.7519,0.7602,0.7685,0.7769,0.78518
Mauritius,,,,,,,,,,,,,,,,1.01114,1.0118,1.0124,1.013,1.0137,1.0143,1.015,1.0156,1.0162,1.0169,1.0175,1.0167,1.016,1.0152,1.0144,1.0137,1.0129,1.0121,1.0114,1.0106,1.0098,1.00908,1.0086,1.0082,1.0078,1.00734
Mexico,,,,,,0.97608,0.9774,0.9787,0.9799,0.9812,0.9825,0.9838,0.9851,0.9864,0.9877,0.98895,0.9898,0.9906,0.9914,0.9923,0.9931,0.9939,0.9947,0.9956,0.9964,0.99722,0.9952,0.99317,0.9971,1.00093,0.99983,0.99578,0.99916,0.99946,0.99708,1.00118,1.00092,1.00313,1.00076,1.00159,1.00148
