Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Singapore,1,1,0.9,0.8,0.8,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6
Slovakia,9.4,5.7,5,4.8,4.2,3.3,2,1.9,1.8,1.8,1.5,1.5,1.5,1.2
Slovenia,14.8,13.5,12,9.4,8.5,0.1,,,,,,,,
"Solomon Islands",145.5,122.3,135.5,117.2,101.8,93.5,70.1,78.5,54.5,47.9,47.5,35.5,31.4,28.5
Somalia,,,,,,,,,,,,,180,176.5
"South Africa",9.4,9.1,8.6,6.9,7.1,6,5.9,6,0.3,0.3,0.3,0.3,0.3,0.2
"South Sudan",,,,,,,,,,192.3,372.1,242.4,330.1,422.4
Spain,16.8,17,16.5,16.2,15.1,14.9,15,15.1,4.7,5,5,5.3,5.2,5
"Sri Lanka",59.3,52.8,50,43.7,19.7,47,41.9,33.9,30.1,26.6,26.1,20.7,18.7,12.2
"Saint Kitts and Nevis",,,26.8,24.4,20.7,11.9,11.3,11.3,11.5,9.1,8.7,8.7,7.9,7.2
"Saint Lucia",,,27.9,25.9,23.7,22.6,21.8,23.8,24.4,17.8,18.6,22.9,22.4,21.4
"Saint Vincent and Grenadines",,,35.7,33.8,29.2,26.8,21,21.2,22.3,17.9,17.2,16.7,16.5,16.1
Sudan,,102.4,89.5,58.6,57.3,50.8,37.6,48.7,44.2,27.8,28.1,25.1,14.8,25.6
Suriname,,,161,150.1,137.5,120,116.6,114.5,109.3,105,101.7,100.3,100.7,101.4
Swaziland,,,43.2,41.1,38.7,35.1,33.9,33,29.2,24.1,27.7,23.3,23.4,16.6
Sweden,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5
Switzerland,8.9,8.9,9,2.5,2.4,2.4,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3
Syria,34.5,34.2,34.5,21.1,55.7,18.2,27.8,38.1,17.1,15.6,12.5,14.4,8.5,8.9
