Country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6,85,83.4,81.8,80.2,78.6,77,75.4,73.8,,,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,57.3167,55.5333,53.75,51.9667,50.1833,48.4,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,22.225,24.05,25.875,27.7,28.7333,29.7667,30.8,27.6,31.3,25.3,23,22.5,20.1,19.8333,19.5667,19.3,18,16.3,14.5,13.9,12.9,11.9,11.2,11.1,10.4,10.5
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,30.04,30.28,30.52,30.76,31,31.24,31.48,31.72,31.96,32.2,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,28.5667,27.2333,25.9,24.5667,23.2333,21.9,20.975,20.05,19.125,18.2,17.275,16.35,15.425,14.5,,,
"Costa Rica",,,,,,,,,,,,,,,35.2,33,30.8,28.6,26.4,24.2,22.9667,21.7333,20.5,17.7,20.7,18.2,15.4,12.8,13.5,15.2,13.1,10.8,12.5,12.8,9.7,9.2,9,8.9,7.6,7.5,5.5,5.4,5.5,4.4,4.6,4.3,4.3,4,4,3.8,3.2,3.8
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1667,0.2333,0.3,0.2667,0.2333,0.2,0.1667,0.1333,0.1,0.15,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1667,0.2333,0.3,0.3,0.2333,0.1667,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1333,0.1667,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,36.44,35.98,35.52,35.06,34.6,34.14,33.68,33.22,32.76,32.3,36,35.05,34.1,33.15,32.2,
Denmark,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1667,0.2333,0.3,0.3,0.3,0.2,0.2,0.3,0.5,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.2,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,11.4,15.8,20.2,24.6,21.5667,18.5333,15.5,14.675,13.85,13.025,12.2,11.6,11.6333,11.6667,11.7,11.1,12.3,15.3,19.1,14.3,12.6,12.3,12.5,11.3,11,10.4,10.5,9.9,8.2,6.9,6.3,4.4,3.6
Algeria,,,,,,,,,,,,,,,,,,,,,,21.2,21.0571,20.9143,20.7714,20.6286,20.4857,20.3429,20.2,19.3438,18.4875,17.6313,16.775,15.9188,15.0625,14.2063,13.35,12.4938,11.6375,10.7813,9.925,9.0688,8.2125,7.3563,6.5,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,30.14,30.88,31.62,32.36,33.1,39.6,34.7667,29.9333,25.1,26,21.1,17.2,16.9,15.8,15.4,13.2,11.3,10.5,9.5,8.2,8.9,8.7,8.2,8.7
Egypt,,,,,,,,,,,,,,,,,,,,,,,,32.4,32.52,32.64,32.76,32.88,33,30.875,28.75,26.625,24.5,25.58,26.66,27.74,28.82,29.9,29.7,29.5,29.3,29.1,26.3,23.5,22.3,21.1,20.7333,20.3667,20,23.1,26.2,
Spain,,,,,,,,,,,,,,2,1.92,1.84,1.76,1.68,1.6,1.48,1.36,1.24,1.12,1,1.16,1.32,1.48,1.64,1.8,1.58,1.36,1.14,0.92,0.7,0.8333,0.9667,1.1,1.2,1.1,1.1,0.7,0.8,1.1,1.1,1.6,1.4,1.6,1.4,1.5,1.6,1.1,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,2.8,1.8,1.3,0.9,0.8,1,1.5,1.5,1.3,1.5,1.3,0.8,0.7,0.5,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6,68.7,67.8,66.9,66,63.98,61.96,59.94,57.92,55.9,55.45,55,54.55,54.1,53.65,53.2,52.66,52.12,51.58,51.04,50.5,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.2667,12.8333,12.4,11.9667,11.5333,11.1,10.78,10.46,10.14,9.82,9.5,,,,,
France,,,,,,,,,,,,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.76,1.62,1.48,1.34,1.2,0.98,0.76,0.54,0.32,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1333,0.1667,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,22.0625,23.425,24.7875,26.15,27.5125,28.875,30.2375,31.6,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,21.25,20.3,19.35,18.4,17.45,16.5,15.55,14.6,13.65,12.7,11.75,10.8,
"United Kingdom",,,1.1,0.94,0.78,0.62,0.46,0.3,0.34,0.38,0.42,0.46,0.5,0.5857,0.6714,0.7571,0.8429,0.9286,1.0143,1.1,0.98,0.86,0.74,0.62,0.5,0.5,0.5,0.5,1.1,0.925,0.75,0.575,0.4,0.44,0.48,0.52,0.56,0.6,0.6,0.4,0.4,0.5,0.2,0.3,0.5,0.3,0.2,0.3,0.3,0.3,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,29.5,28.6,33.5,35.2,36.5,25.5,25.6,23.9,25.3,25.7,27,24.5,24.6,25.8,24.5,21.7,18.6,16.3,15.3,14.9,15.3,14.8
Ghana,,,,,,,,,,,,,,,,,,,,,55.3,54.6,55.7667,56.9333,58.1,56.6143,55.1286,53.6429,52.1571,50.6714,49.1857,47.7,46.4143,45.1286,43.8429,42.5571,41.2714,39.9857,38.7,36.8571,35.0143,33.1714,31.3286,29.4857,27.6429,25.8,25.6,25.4,25.2,25,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,100,85.5667,71.1333,56.7,57.7875,58.875,59.9625,61.05,62.1375,63.225,64.3125,65.4,65,64.6,64.2,63.8,63.4,61.14,58.88,56.62,54.36,52.1,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,66.76,63.52,60.28,57.04,53.8,52.0143,50.2286,48.4429,46.6571,44.8714,43.0857,41.3,39.14,36.98,34.82,32.66,30.5,,,
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,67.0333,66.4667,65.9,65.3333,64.7667,64.2,63.6333,63.0667,62.5,63.125,63.75,64.375,65,65.625,66.25,66.875,67.5,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.94,1.68,1.42,1.16,0.9,0.8333,0.7667,0.7,0.9,0.6,0.8,0.8,0.5,0.7,1.3,2,2.7,2.5,2.9,2.8,2.1,1.6,
Guatemala,,,,,,,,,,,,,,,,,,,,55,51.3333,47.6667,44,41.7,39.4,37.1,34.8,32.5,30.2,27.9,25.6,23.3,21.2,19.1,19.2333,19.3667,19.5,19.6333,19.7667,19.9,19.975,20.05,20.125,20.2,20.275,20.35,20.425,20.5,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,43,39.4333,35.8667,32.3,28.7333,25.1667,21.6,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,49.8,51.8,45,41.5,36.4,37.6,38.6,41.2,32.7,35.7,36.4,32.95,29.5,32.9,36.8,35.9,34.8,30.6,26.7,25.3,22.6,24.4,26.6,29.7,27.6,26.3,26.6,27.1,26.4,25.2
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.2,2.1,2.2,2.3,2,1.5,1.4,1.2,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.4,0.4,0.4,0.3,0.3,0.4,0.5,1,0.9,1.2,1.1,1.5,1.2,
Indonesia,,,,,,,,,,,,,,,,,,68.1,68.0333,67.9667,67.9,65.8,63.7,61.6,61.5,61.4,61.3,59.4,57.5,55.6,60.4,65.2,54.4,53.9,52,43.8,42.8,43.3,41.6,45,40.5,39.9,38.1,34,31.8,30.8,28.9,27.1,25,23,21,19.2
India,,,,,,,,,,,65.6,65.1167,64.6333,64.15,63.6667,63.1833,62.7,62,61.3,60.6,59.9,59.6667,59.4333,59.2,58.9667,58.7333,58.5,58.1,57.7,57.3,56.9,56.5,56.1,55.7,55.3,54.9,54.5,54.1,53.38,52.66,51.94,51.22,50.5,47.45,44.4,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,1.4,1.2571,1.1143,0.9714,0.8286,0.6857,0.5429,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.1,0.3,0.6,0.7,0.7,0.5,0.8,0.5,0.4,0.3,,
Iran,,,,,,,,,,,,,,,,,,,,18.6,18.4,18.2,18,17.8,17.1,16.4,15.7,15,14.525,14.05,13.575,13.1,11.8571,10.6143,9.3714,8.1286,6.8857,5.6429,4.4,4.6,4.6,4.6,4.6,4.025,3.45,2.875,2.3,3.3,3.4,3.6,3.4,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,16.9667,16.7333,16.5,16.2667,16.0333,15.8,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,,,,,
Israel,,,,,,,,,,,,,1,1.0429,1.0857,1.1286,1.1714,1.2143,1.2571,1.3,1.1667,1.0333,0.9,0.7667,0.6333,0.5,0.58,0.66,0.74,0.82,0.9,0.825,0.75,0.675,0.6,0.85,1.1,1.35,1.6,1.45,1.3,1.2333,1.1667,1.1,1.2,1.3,1.15,1,0.9,0.8,,
Italy,,,,,,,,,,,,,,,,,,,,0.5,1.6,0.85,0.1,0.25,0.4,1.1,1.8,1.5,1.2,1.5333,1.8667,2.2,1.95,1.7,1.4667,1.2333,1,0.9,0.9,0.9,0.9,0.9,1.1,1.5,1.4,1.6,1.8,1.6,2.3,2,1.8,
Jamaica,,,,,,,,,,,,,,,,,,,,,,17.6,17.75,17.9,20.5333,23.1667,25.8,22.0333,18.2667,14.5,13,11.5,10,10.4,10.8,11.2,10.2,9.2,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,5.4,7.0333,8.6667,10.3,11.9333,13.5667,15.2,14.96,14.72,14.48,14.24,14,13.2,12.4,11.6,10.8,10,8.95,7.9,6.85,5.8,5.4,5,4.3,3.6,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.45,0.2,0.3667,0.5333,0.7,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,20.54,21.58,22.62,23.66,24.7,21.8,18.4,14.8,18.7,7.2,4.3,3.5,3.8,2.7,1.2,1.1,0.7,0.8,0.9,1.6,1,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,44.4,46.4,46.0667,45.7333,45.4,46.3875,47.375,48.3625,49.35,50.3375,51.325,52.3125,53.3,52.91,52.52,52.13,51.74,51.35,50.96,50.57,50.18,49.79,49.4,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,46.05,52.4,49.7,48.7,46.2,31.7,35.2,27,26.3,19.6,17.7,19.6,18.2,19.2,21.1,17.7,19.8,17.6,17.6,15.2
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.55,0.6,0.55,0.5,,,,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,50.4,52.6,54.8,57,59.2,57.42,55.64,53.86,52.08,50.3,49.42,48.54,47.66,46.78,45.9,45.1,44.3,43.5,42.7,41.9,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1,68.0571,66.0143,63.9714,61.9286,59.8857,57.8429,55.8,55.85,55.9,,
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,45.9619,44.1238,42.2857,40.4476,38.6095,36.7714,34.9333,33.0952,31.2571,29.419,27.581,25.7429,23.9048,22.0667,20.2286,18.3905,16.5524,14.7143,12.8762,11.0381,9.2,,
"Sri Lanka",,,,,,,,,,,,,,,,,,,36.3,35.98,35.66,35.34,35.02,34.7,34.32,33.94,33.56,33.18,32.8,32.2714,31.7429,31.2143,30.6857,30.1571,29.6286,29.1,27.225,25.35,23.475,21.6,20.6667,19.7333,18.8,18.1667,17.5333,16.9,15.7,14.5,13.3,12.1,,
Lesotho,,,,,,,,,,,,,,,,,,,,55.6,55.4125,55.225,55.0375,54.85,54.6625,54.475,54.2875,54.1,55.45,56.8,58.15,59.5,60.85,62.2,63.55,64.9,63.1733,61.4467,59.72,57.9933,56.2667,54.54,52.8133,51.0867,49.36,47.6333,45.9067,44.18,42.4533,40.7267,39,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,4.4,2.6,1.9,2.1,3.8,3.1,1.7,2,1.8,2.2,1.5,1.9,1.7,
Luxembourg,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.3,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,5,2.7,1.6,2.2,3.6,3.6,2.9,2.6,2.4,1.9,1.5,1.3,1.3,
Morocco,,,,,,,,,,,,,,,,,,26.9,25.2,23.5,21.8,20.1,18.4,16.7,17.45,18.2,18.95,19.7,20.45,21.2,21.95,22.7,22.65,22.6,21.45,20.3,19.15,18,16.85,15.7,14.6571,13.6143,12.5714,11.5286,10.4857,9.4429,8.4,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,43.3,51,50.5,44.3,34.1,26.4,27,32,12.6,8.9,9.4,8.8,7.2,5.9,5.3,3.9,3.4,2.9,2.9,2.9,2.2
Madagascar,,,,,,,,,,,,,,54.4,55.5231,56.6462,57.7692,58.8923,60.0154,61.1385,62.2615,63.3846,64.5077,65.6308,66.7538,67.8769,69,68.625,68.25,67.875,67.5,66.95,66.4,67.2,68,68.325,68.65,68.975,69.3,70.08,70.86,71.64,72.42,73.2,73.2,73.2,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21.8571,20.7143,19.5714,18.4286,17.2857,16.1429,15,12.9286,10.8571,8.7857,6.7143,4.6429,2.5714,0.5,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,16.2,17.3,18.4,19.5,19.6,19.7,25.6,31.5,28.5,25.5,21.9,18.3,17.25,16.2,15.2,14.2,14.4,11.9,12.35,12.8,12.4,12,11.65,11.3,11.35,11.4,9.75,8.1,7.5,6.9
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,16.1,14.3,12.9,11.3,9.7,9.4,8.7,8,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7,77.2429,74.7857,72.3286,69.8714,67.4143,64.9571,62.5,61.68,60.86,60.04,59.22,58.4,58.5,58.6,58.7,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.2,0.5,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.2,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,19.35,16.2,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,7.4,7.3,6.8,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,34.5333,39.7667,45,40.475,35.95,31.425,26.9,23.94,20.98,18.02,15.06,12.1,11.6333,11.1667,10.7,8.5,5.8,5.05,4.3,6.2,8.1,7.55,7
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3,76.85,76.4,75.95,75.5,75.05,74.6,73.7333,72.8667,72,71.1333,70.2667,69.4,68.5667,67.7333,66.9,66.0667,65.2333,64.4,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,51.4,51.4833,51.5667,51.65,51.7333,51.8167,51.9,45.05,38.2,37.66,37.12,36.58,36.04,35.5,35.05,34.6,34.15,33.7,32.125,30.55,28.975,27.4,26.4333,25.4667,24.5,23.5333,22.5667,21.6,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,4.9667,4.8333,4.7,4.5667,4.4333,4.3,4.02,3.74,3.46,3.18,2.9,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,65.4429,66.2857,67.1286,67.9714,68.8143,69.6571,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.2667,70.0333,69.8,69.5667,69.3333,69.1,,
Malaysia,,,,,,,,,,,,,,,,,,11.5,11.4,11.3,11.2,10.95,10.7,10.5333,10.3667,10.2,10.1333,10.0667,10,8.3,6.6,6.1143,5.6286,5.1429,4.6571,4.1714,3.6857,3.2,3.4667,3.7333,4,4.8,3.8667,2.9333,2,1.4,0.8,0.65,0.5,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,41.4333,40.3667,39.3,38.2333,37.1667,36.1,34.1333,32.1667,30.2,28.2333,26.2667,24.3,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,73.3,74.95,76.6,76.1818,75.7636,75.3455,74.9273,74.5091,74.0909,73.6727,73.2545,72.8364,72.4182,72,70.7,69.4,66.975,64.55,62.125,59.7,58.5333,57.3667,56.2,,,,
Nigeria,,,,,,,,,,,,,,,,,,,61.7,61.9143,62.1286,62.3429,62.5571,62.7714,62.9857,63.2,64.025,64.85,65.675,66.5,65.9143,65.3286,64.7429,64.1571,63.5714,62.9857,62.4,62.2,62,61.8,61.6,61.4,61.2,60.2667,59.3333,58.4,57.4667,56.5333,55.6,54.6667,53.7333,52.8
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,43.94,42.18,40.42,38.66,36.9,34.6333,32.3667,30.1,28.15,26.2,24.25,22.3,21.65,21,20.35,19.7,18.22,16.74,15.26,13.78,12.3,,,,
