Country,2013,2014,2015,2016,2017
"Cape Verde",3.558946,3.665190663,3.573636402,3.442000055,3.341598749
"Costa Rica",4.817105,4.751075779,4.415923709,4.48424885,4.550005436
Cyprus,4.187207,4.048251583,3.699555921,3.45352345,3.657284975
"Czech Republic",2.833728,3.307015321,3.61667156,3.64790466,3.689035177
Germany,5.086339,5.059834354,4.938150221,4.844932407,5.069913864
Denmark,3.954973,3.949732905,4.333265053,4.69145125,4.671489716
"Dominican Republic",3.421427,3.294982445,3.390439677,3.400558032,3.042830467
Algeria,2.082055,2.264891832,2.463797461,2.670751614,2.45872426
Ecuador,4.039567,3.7459,3.452173948,3.182159904,3.073637009
Egypt,2.295679,2.867950624,2.939344566,2.939344566,2.949494839
Spain,2.861494,2.899623397,3.132157877,3.299142748,3.265740156
Estonia,2.997809,3.018046481,3.147936773,3.289735157,3.416698217
Ethiopia,2.762793,3.143946177,3.547912231,3.555312008,3.371817589
Finland,5.833333,5.58164789,5.334989775,5.166931666,5.099201202
France,3.571662,3.612009365,3.53309697,3.256186323,3.271880865
Gabon,3.082877,3.437602854,3.422981766,3.18145746,
"United Kingdom",5.009619,5.031147023,5.253318796,5.405843955,5.33743906
Georgia,3.080391,2.987373896,2.918541631,2.983195953,3.022498608
Ghana,3.683582,3.57928249,3.633580227,3.803612137,3.913279772
Guinea,2.812925,2.502476561,2.502476561,2.5658,2.629032373
Gambia,3.229103,3.420176731,3.607362553,3.543781316,3.972886324
Greece,3.147552,3.027546542,2.767451437,2.58742206,2.483302355
Guatemala,3.923051,4.057053863,4.03520789,3.985692473,3.900312424
Guyana,4.157664,3.988618884,3.637245826,,
"Hong Kong",5.385129,5.253006918,5.186964019,5.186964019,5.147727489
Honduras,2.575158,3.357738892,3.704278,3.488593364,3.363861799
Croatia,2.269721,2.113713754,2.056712941,2.151169488,2.075614214
Haiti,2.328924,2.177947081,2.10160245,1.9386,1.775510192
Hungary,2.551666,2.577796105,2.508658309,2.394971925,2.4296875
Indonesia,4.065891,4.152535651,4.10335691,4.166108242,4.335642338
India,3.776101,3.926198207,3.894079557,4.316856735,4.590590954
Ireland,4.051919,4.208344374,4.597509786,4.742346674,4.660126209
Iran,2.337629,2.514458238,2.593564026,2.619648183,2.93078208
Iceland,4.438951,4.353993263,4.559102525,4.92216532,4.978845596
Israel,3.828158,3.625248384,4.007910215,4.521332689,4.757621765
Italy,2.664052,2.59558984,2.722418087,2.853380344,2.866382837
Jamaica,2.96538,2.92162883,2.884914192,2.986132909,3.135836363
Jordan,3.663409771,3.922413826,3.768194961,3.688302717,3.423469067
Japan,4.312462,4.406049501,4.246021455,4.072659971,3.911149979
Kazakhstan,3.266385,3.406335994,3.617161322,3.569594378,3.237446547
Kenya,3.920016,3.773443633,3.501345168,3.736476175,3.977868557
Kyrgyzstan,1.914868,2.152572642,2.45593288,2.529248835,2.47829175
Cambodia,3.944622,3.715917824,3.502133584,3.681301214,3.69230485
"South Korea",4.424194,4.439064419,4.455499935,4.41600008,4.457000256
Kuwait,3.472222,3.43111107,3.385706563,3.296415856,3.202760935
Laos,4.180099,4.106957917,3.834345314,3.886953404,3.919869423
Lebanon,2.682538,2.258885101,2.558867705,2.8162481,2.88814187
Liberia,3.137525,3.4375,3.737499952,3.810587226,3.418447495
Libya,3.143623,2.667171439,,,
"Sri Lanka",2.926204,2.887678947,3.422951392,3.773777819,3.426479101
Lesotho,3.075627,3.433809191,3.618875089,3.205681176,3.271090746
Lithuania,2.52714,2.664347369,2.819144807,2.890005741,2.727633715
Luxembourg,5.062061,4.990586712,5.036910246,5.075732656,5.185041904
Latvia,2.99525,3.072150694,2.901252821,2.634256879,2.538082123
Morocco,3.622718,3.782205719,3.420128967,3.198872337,3.154870272
Moldova,1.88181,1.883880574,1.909591353,1.883647567,1.90950346
Madagascar,3.007231,2.942629365,3.01234735,2.929234452,2.831049204
Mexico,3.584105,3.489201299,3.487238012,3.544265161,3.497651815
"Macedonia (F.Y.R.O.M.)",2.563538,2.480191122,2.376831092,2.675342806,
Mali,3.536592,3.443029682,3.369411316,3.460166532,3.107151031
Malta,4.199389,4.050504722,4.122387432,4.36924131,4.455107212
"Burma (Myanmar)",1.694074,1.74544809,1.858945618,,
Montenegro,3.486688,3.306977972,3.150944658,2.959401003,2.985714436
Mongolia,2.65563,2.84245588,2.752499974,2.508866386,2.419691324
Mozambique,3.232685,3.397670416,3.47566251,3.422080863,3.131002903
Mauritania,2.133632,2.327809922,2.324257117,2.944386705,2.63978219
Mauritius,3.082202,3.179470154,3.443788109,3.796955447,3.721561193
Malawi,3.310752,3.333087225,3.246814936,3.232125438,3.23149538
Malaysia,4.629511,5.074628839,5.313115841,5.274313116,5.091373444
Namibia,3.459148,3.399821498,3.668716278,3.768143328,3.675473452
Nigeria,2.942092,3.107688365,3.171443604,3.323732996,3.393853188
Nicaragua,3.258211,3.136482957,2.944927549,2.944927549,3.045454502
Netherlands,4.835226,4.849143533,5.062569192,5.247598414,5.250823498
Norway,5.616987,5.576807535,5.537846456,5.547387833,5.460751057
Nepal,2.475019,2.69811447,2.880881685,2.722880074,2.674450636
"New Zealand",3.266718,3.693151468,4.123498621,4.35882344,4.627101421
Oman,4.816499207,4.478260994,3.985292427,4.173250339,4.173250198
Pakistan,2.895271,3.175769457,3.479285672,3.413045076,3.559013128
Panama,4.612165,4.578128136,4.655816072,4.704019438,4.508847713
Peru,3.982257,3.926395948,3.838924775,3.809704097,3.677029133
Philippines,3.433678,3.523177505,3.757573566,3.728584469,3.598229885
Poland,2.653186,2.696323516,2.692094354,2.983815829,3.173637867
"Puerto Rico",2.916218,2.915507989,,,
Portugal,2.805107,3.116190726,3.391006291,3.537760621,3.496104717
Paraguay,3.132028,2.993622777,3.217713778,3.55182829,3.443123579
Qatar,5.970317,5.777614156,5.690601073,5.540322643,5.169509411
Romania,2.080334,2.467072103,2.292904426,2.066274129,2.005382061
Russia,2.79417,2.945034507,2.945034507,3.317461302,3.53408432
Rwanda,4.320074,4.320074,4.518785971,4.720518142,4.899070263
"Saudi Arabia",4.643119,4.447358134,4.585460546,4.729793105,4.532182217
Senegal,3.465494,3.35195337,3.237662373,3.264851527,3.176603794
Singapore,5.142298,5.224205701,5.377553901,5.484162977,5.455718517
"Sierra Leone",2.717935,2.533965172,2.690755493,3.035244388,2.968193293
"El Salvador",3.465116,3.471965609,3.010651794,2.622841561,2.543561697
Serbia,1.841128,1.81626269,1.67108061,1.681047177,1.8416574
Suriname,2.954021,2.838537588,,,
Slovakia,2.385934,2.403302389,2.454556191,2.614559947,2.451141834
Slovenia,2.867311,2.880184954,2.977447497,3.129829134,3.117949963
Sweden,5.085672,4.750457365,4.869842526,4.996503441,4.941760063
Swaziland,2.559174,2.7672533,3.199461198,3.1916,3.183673382
Seychelles,3.2,3.124196931,3.124196931,3.1791,3.234042645
Chad,2.235815,2.425599789,2.599355617,2.748601152,2.691269398
Thailand,4.325619,4.145699422,4.042496839,3.907386311,3.966408014
Tajikistan,,3.49484539,3.702346317,3.879534925,3.879534721
"Timor Leste",3.563561,3.570084349,,,
"Trinidad and Tobago",3.40217,3.361193972,3.621542316,3.616306575,3.485751152
Tunisia,3.376359,3.029096721,2.658435025,2.785786975,2.684562445
Turkey,3.268373,3.179023734,3.261704052,3.227446243,3.227446318
Tanzania,3.288983,3.016259827,3.155396748,3.47105823,3.272144794
Uganda,2.665768,2.817897913,2.88243722,3.119478601,2.978498936
Ukraine,2.009743,2.285464982,2.713333344,2.518044151,2.193133354
Uruguay,3.288375,3.271240542,3.387416596,3.490706469,3.215655088
"United States",5.681398,5.725584676,5.722764429,5.637607823,5.742599487
Venezuela,1.807692,1.811844102,1.688114044,1.675887232,1.632945657
Vietnam,3.028865,3.18175073,3.231072752,3.239902856,3.512480021
Yemen,2.076452,1.889616254,1.907,1.924437302,2.117700577
"South Africa",3.772514,3.721634387,3.564160945,3.531446326,3.252451658
Zambia,3.533202,3.437076118,3.667825614,3.548636983,3.252207756
Zimbabwe,2.99139,2.654612336,2.383970896,2.428563321,2.454312325
