Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Costa Rica",18.8,18.36,17.92,17.48,17.04,16.6,16.16,15.72,15.28,14.84,14.4,14.08,13.76,13.44,13.12,12.8,12.48,12.16,11.84,11.52,11.2,11.08,10.96,10.84,10.72,10.6
"Ivory Coast",164.4,163.65,162.9,162.15,161.4,160.65,159.9,159.15,158.4,157.65,156.9,153.09,149.28,145.47,141.66,137.85,134.04,130.23,126.42,122.61,118.8,115.22,111.64,108.06,104.48,100.9
Croatia,14.4,13.88,13.36,12.84,12.32,11.8,11.28,10.76,10.24,9.72,9.2,8.86,8.52,8.18,7.84,7.5,7.16,6.82,6.48,6.14,5.8,5.58,5.36,5.14,4.92,4.7
Cuba,15.1,14.53,13.96,13.39,12.82,12.25,11.68,11.11,10.54,9.97,9.4,9.13,8.86,8.59,8.32,8.05,7.78,7.51,7.24,6.97,6.7,6.56,6.42,6.28,6.14,6
Cyprus,12.2,11.69,11.18,10.67,10.16,9.65,9.14,8.63,8.12,7.61,7.1,6.78,6.46,6.14,5.82,5.5,5.18,4.86,4.54,4.22,3.9,3.72,3.54,3.36,3.18,3
"Czech Republic",16.5,15.58,14.66,13.74,12.82,11.9,10.98,10.06,9.14,8.22,7.3,7.03,6.76,6.49,6.22,5.95,5.68,5.41,5.14,4.87,4.6,4.44,4.28,4.12,3.96,3.8
Denmark,10,9.61,9.22,8.83,8.44,8.05,7.66,7.27,6.88,6.49,6.1,5.93,5.76,5.59,5.42,5.25,5.08,4.91,4.74,4.57,4.4,4.3,4.2,4.1,4,3.9
Djibouti,128.2,126.22,124.24,122.26,120.28,118.3,116.32,114.34,112.36,110.38,108.4,105.81,103.22,100.63,98.04,95.45,92.86,90.27,87.68,85.09,82.5,80.22,77.94,75.66,73.38,71.1
Dominica,18.4,18.2,18,17.8,17.6,17.4,17.2,17,16.8,16.6,16.4,16.77,17.14,17.51,17.88,18.25,18.62,18.99,19.36,19.73,20.1,20.64,21.18,21.72,22.26,22.8
"Dominican Republic",64.7,62.72,60.74,58.76,56.78,54.8,52.82,50.84,48.86,46.88,44.9,44.1,43.3,42.5,41.7,40.9,40.1,39.3,38.5,37.7,36.9,36.28,35.66,35.04,34.42,33.8
Ecuador,61.9,59.54,57.18,54.82,52.46,50.1,47.74,45.38,43.02,40.66,38.3,37.28,36.26,35.24,34.22,33.2,32.18,31.16,30.14,29.12,28.1,27.28,26.46,25.64,24.82,24
Egypt,85.8,82.03,78.26,74.49,70.72,66.95,63.18,59.41,55.64,51.87,48.1,46.35,44.6,42.85,41.1,39.35,37.6,35.85,34.1,32.35,30.6,29.56,28.52,27.48,26.44,25.4
"El Salvador",64.3,61.44,58.58,55.72,52.86,50,47.14,44.28,41.42,38.56,35.7,34.35,33,31.65,30.3,28.95,27.6,26.25,24.9,23.55,22.2,21.48,20.76,20.04,19.32,18.6
"Equatorial Guinea",199.2,195.34,191.48,187.62,183.76,179.9,176.04,172.18,168.32,164.46,160.6,156.3,152,147.7,143.4,139.1,134.8,130.5,126.2,121.9,117.6,114.18,110.76,107.34,103.92,100.5
Eritrea,162.4,155.8,149.2,142.6,136,129.4,122.8,116.2,109.6,103,96.4,92.86,89.32,85.78,82.24,78.7,75.16,71.62,68.08,64.54,61,59.06,57.12,55.18,53.24,51.3
Estonia,22.8,21.75,20.7,19.65,18.6,17.55,16.5,15.45,14.4,13.35,12.3,11.58,10.86,10.14,9.42,8.7,7.98,7.26,6.54,5.82,5.1,4.72,4.34,3.96,3.58,3.2
Ethiopia,216.8,210.57,204.34,198.11,191.88,185.65,179.42,173.19,166.96,160.73,154.5,147.23,139.96,132.69,125.42,118.15,110.88,103.61,96.34,89.07,81.8,78.34,74.88,71.42,67.96,64.5
Fiji,32.4,31.83,31.26,30.69,30.12,29.55,28.98,28.41,27.84,27.27,26.7,26.63,26.56,26.49,26.42,26.35,26.28,26.21,26.14,26.07,26,25.66,25.32,24.98,24.64,24.3
Finland,7.4,7.13,6.86,6.59,6.32,6.05,5.78,5.51,5.24,4.97,4.7,4.56,4.42,4.28,4.14,4,3.86,3.72,3.58,3.44,3.3,3.16,3.02,2.88,2.74,2.6
France,10.3,9.87,9.44,9.01,8.58,8.15,7.72,7.29,6.86,6.43,6,5.87,5.74,5.61,5.48,5.35,5.22,5.09,4.96,4.83,4.7,4.72,4.74,4.76,4.78,4.8
Gabon,99.6,98.81,98.02,97.23,96.44,95.65,94.86,94.07,93.28,92.49,91.7,89.38,87.06,84.74,82.42,80.1,77.78,75.46,73.14,70.82,68.5,65.86,63.22,60.58,57.94,55.3
Gambia,177.5,172.21,166.92,161.63,156.34,151.05,145.76,140.47,135.18,129.89,124.6,120.78,116.96,113.14,109.32,105.5,101.68,97.86,94.04,90.22,86.4,83.94,81.48,79.02,76.56,74.1
Georgia,53,51.69,50.38,49.07,47.76,46.45,45.14,43.83,42.52,41.21,39.9,37.77,35.64,33.51,31.38,29.25,27.12,24.99,22.86,20.73,18.6,17.54,16.48,15.42,14.36,13.3
