Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Luxembourg,4.68214844,4.307863067,4.345199376,4.178384326,4.108145928,4.28891115,4.155276453,4.065191382,4.429281697,4.840092249,4.923461437
"Macedonia (F.Y.R.O.M.)",3.751562667,3.915579766,3.922239943,3.860663094,3.873039437,3.690515774,3.814518075,3.910375439,3.843299477,3.756935149,
Madagascar,3.317539898,3.525451289,3.415591612,3.116883134,2.963104882,3.115021489,3.363053495,3.330656153,3.083026319,2.848329149,2.679377079
Malawi,,3.926879,3.777609083,3.803197306,3.984270813,3.862495224,3.699332404,3.506163105,3.057663196,2.800664574,2.67998004
Malaysia,5.021662067,4.799167491,4.506375948,4.751232681,4.984564096,5.02788117,4.987735273,5.178839488,5.228713909,4.943454337,4.894881248
Mali,3.716598506,3.729647427,3.583913621,3.357479949,3.155190468,3.283026545,3.657736385,3.663149056,3.220389711,3.120735891,3.27713728
Malta,4.154318025,4.134267953,4.201175793,4.2614735,4.167336611,4.470877891,4.77153593,4.437787848,3.842791076,3.648699999,3.82649231
Mauritania,3.699818482,3.644381009,3.951268443,3.524648969,3.377698852,4.149520283,3.511634794,2.775170442,3.248846274,2.825507264,3.487034798
Mauritius,4.45530303,4.41979684,4.503068094,4.657870461,4.657765574,4.617547249,4.705065917,4.692015362,4.381515687,4.151848509,4.212836266
Mexico,3.962142012,3.983247365,3.935351255,3.927109952,4.006128396,4.056580526,4.039945888,3.965447301,3.984469837,4.066859041,4.020385265
Moldova,,,,3.808919,3.708241256,3.619166773,3.661847836,3.661217417,3.251090248,2.926534311,2.95571208
Mongolia,3.024982305,3.054850364,3.00220472,2.938137257,3.051228018,3.018001963,2.98682777,3.117034018,3.141772234,2.886636274,2.936403751
Montenegro,3.486111111,3.835492884,4.229871585,4.270263785,4.226451918,4.197540604,3.937898956,3.843253994,3.701730931,3.309356493,3.259711266
Morocco,4.008365313,4.024070472,3.783316074,3.639586168,3.610249,3.585677966,3.650332951,3.970358995,3.732878567,3.594204908,3.61076808
