Country,2010,2011,2012,2013,2014,2015,2016,2017
Lebanon,9.2,8.84,8.48,8.12,7.76,7.4,7.15,6.9
Lesotho,81.6,80.72,79.84,78.96,78.08,77.2,75,72.8
Liberia,76.2,73.86,71.52,69.18,66.84,64.5,62.65,60.8
Libya,15.8,15.16,14.52,13.88,13.24,12.6,12.2,11.8
Lithuania,5.2,5.02,4.84,4.66,4.48,4.3,4,3.7
Luxembourg,2.6,2.56,2.52,2.48,2.44,2.4,2.35,2.3
"Macedonia (F.Y.R.O.M.)",9.9,10.22,10.54,10.86,11.18,11.5,11.6,11.7
Madagascar,46.9,45.2,43.5,41.8,40.1,38.4,37.2,36
Malawi,61.4,58.38,55.36,52.34,49.32,46.3,44.35,42.4
Malaysia,7.2,7.16,7.12,7.08,7.04,7,7.15,7.3
Maldives,12.4,11.58,10.76,9.94,9.12,8.3,7.85,7.4
Mali,85.3,83.22,81.14,79.06,76.98,74.9,73.05,71.2
Malta,6.3,6.28,6.26,6.24,6.22,6.2,6.15,6.1
"Marshall Islands",35.2,34.74,34.28,33.82,33.36,32.9,32.1,31.3
Mauritania,68.6,67.16,65.72,64.28,62.84,61.4,60,58.6
Mauritius,14.7,14.58,14.46,14.34,14.22,14.1,13.5,12.9
Mexico,16.3,15.84,15.38,14.92,14.46,14,13.35,12.7
Micronesia,35.8,34.86,33.92,32.98,32.04,31.1,30.25,29.4
Moldova,16.3,16.08,15.86,15.64,15.42,15.2,14.95,14.7
Monaco,3.6,3.5,3.4,3.3,3.2,3.1,3.05,3
Mongolia,26.6,25.14,23.68,22.22,20.76,19.3,18.5,17.7
Montenegro,6.6,6.08,5.56,5.04,4.52,4,3.7,3.4
Morocco,30.4,29.16,27.92,26.68,25.44,24.2,23.15,22.1
Mozambique,75.3,72.44,69.58,66.72,63.86,61,59.1,57.2
Namibia,41.8,41.06,40.32,39.58,38.84,38.1,36.5,34.9
Nauru,34.8,34.18,33.56,32.94,32.32,31.7,30.95,30.2
Nepal,40.3,38.72,37.14,35.56,33.98,32.4,31.25,30.1
Netherlands,4.1,4.02,3.94,3.86,3.78,3.7,3.7,3.7
"New Zealand",5.6,5.5,5.4,5.3,5.2,5.1,4.95,4.8
Nicaragua,21.4,20.66,19.92,19.18,18.44,17.7,17.1,16.5
Niger,67.4,65.12,62.84,60.56,58.28,56,54.2,52.4
Nigeria,88.4,85.76,83.12,80.48,77.84,75.2,72.95,70.7
"North Korea",25,23.48,21.96,20.44,18.92,17.4,16.55,15.7
Norway,2.9,2.8,2.7,2.6,2.5,2.4,2.35,2.3
Oman,11,10.92,10.84,10.76,10.68,10.6,10.65,10.7
Pakistan,77.6,75.92,74.24,72.56,70.88,69.2,67.4,65.6
Palau,18.3,17.76,17.22,16.68,16.14,15.6,15.15,14.7
Panama,19,18.48,17.96,17.44,16.92,16.4,15.9,15.4
"Papua New Guinea",54.9,53.58,52.26,50.94,49.62,48.3,46.9,45.5
Paraguay,24.2,23.56,22.92,22.28,21.64,21,20.35,19.7
Peru,17.5,16.78,16.06,15.34,14.62,13.9,13.35,12.8
Philippines,27.5,27.16,26.82,26.48,26.14,25.8,25.35,24.9
Poland,5.6,5.4,5.2,5,4.8,4.6,4.45,4.3
Portugal,3.4,3.36,3.32,3.28,3.24,3.2,3.15,3.1
Qatar,8.4,8.2,8,7.8,7.6,7.4,7.2,7
Romania,10.8,10.36,9.92,9.48,9.04,8.6,7.95,7.3
Russia,9.9,9.54,9.18,8.82,8.46,8.1,7.6,7.1
Rwanda,48.4,45.6,42.8,40,37.2,34.4,33.05,31.7
"Saint Kitts and Nevis",13.2,13.16,13.12,13.08,13.04,13,12.9,12.8
"Saint Lucia",18,17.82,17.64,17.46,17.28,17.1,16.8,16.5
"Saint Thomas and Principe",37.3,35.88,34.46,33.04,31.62,30.2,29.2,28.2
"Saint Vincent and Grenadines",20.6,19.98,19.36,18.74,18.12,17.5,16.9,16.3
Samoa,17.4,17.16,16.92,16.68,16.44,16.2,15.8,15.4
"San Marino",3.1,2.96,2.82,2.68,2.54,2.4,2.3,2.2
"Saudi Arabia",10.9,10.24,9.58,8.92,8.26,7.6,7.1,6.6
Senegal,47.1,45.42,43.74,42.06,40.38,38.7,37.45,36.2
Serbia,7.4,7.12,6.84,6.56,6.28,6,5.65,5.3
Seychelles,13.2,13.24,13.28,13.32,13.36,13.4,13.3,13.2
"Sierra Leone",114.4,110.22,106.04,101.86,97.68,93.5,90.2,86.9
Singapore,2.4,2.38,2.36,2.34,2.32,2.3,2.35,2.4
Slovakia,6.4,6.2,6,5.8,5.6,5.4,5.25,5.1
Slovenia,2.8,2.66,2.52,2.38,2.24,2.1,2,1.9
"Solomon Islands",23.7,23.04,22.38,21.72,21.06,20.4,19.8,19.2
Somalia,103.4,100.8,98.2,95.6,93,90.4,87.95,85.5
"South Africa",42.5,41.06,39.62,38.18,36.74,35.3,33.65,32
"South Korea",3.8,3.68,3.56,3.44,3.32,3.2,3.1,3
"South Sudan",73.8,72.48,71.16,69.84,68.52,67.2,67.25,67.3
Spain,3.4,3.3,3.2,3.1,3,2.9,2.85,2.8
"Sri Lanka",10.8,10.42,10.04,9.66,9.28,8.9,8.55,8.2
Sudan,56.8,55.6,54.4,53.2,52,50.8,49.6,48.4
Suriname,24.3,23.6,22.9,22.2,21.5,20.8,20.15,19.5
Swaziland,66.4,62.48,58.56,54.64,50.72,46.8,45.9,45
Sweden,2.7,2.68,2.66,2.64,2.62,2.6,2.6,2.6
Switzerland,4.3,4.26,4.22,4.18,4.14,4.1,4.05,4
Syria,15.1,15.16,15.22,15.28,15.34,15.4,15.35,15.3
Tajikistan,40.8,39.58,38.36,37.14,35.92,34.7,33.7,32.7
Tanzania,51.4,49.94,48.48,47.02,45.56,44.1,42.7,41.3
Thailand,12.7,12.14,11.58,11.02,10.46,9.9,9.45,9
"Timor Leste",55.9,54.14,52.38,50.62,48.86,47.1,45.65,44.2
Togo,64.9,63.32,61.74,60.16,58.58,57,55.6,54.2
Tonga,12.7,12.62,12.54,12.46,12.38,12.3,12,11.7
"Trinidad and Tobago",30.2,29.52,28.84,28.16,27.48,26.8,26.1,25.4
Tunisia,16.4,15.76,15.12,14.48,13.84,13.2,12.75,12.3
Turkey,17.4,16.38,15.36,14.34,13.32,12.3,11.45,10.6
Turkmenistan,56.4,54.84,53.28,51.72,50.16,48.6,47.25,45.9
Tuvalu,28.7,27.92,27.14,26.36,25.58,24.8,24.1,23.4
Uganda,55.7,53.12,50.54,47.96,45.38,42.8,40.9,39
Ukraine,11.2,10.74,10.28,9.82,9.36,8.9,8.6,8.3
"United Arab Emirates",8,8.06,8.12,8.18,8.24,8.3,8.5,8.7
"United Kingdom",4.9,4.74,4.58,4.42,4.26,4.1,4,3.9
"United States",6.8,6.68,6.56,6.44,6.32,6.2,6.1,6
Uruguay,10.2,9.86,9.52,9.18,8.84,8.5,8.1,7.7
Uzbekistan,35.9,33.92,31.94,29.96,27.98,26,24.4,22.8
Vanuatu,26.3,26.14,25.98,25.82,25.66,25.5,25,24.5
Venezuela,15.9,17.02,18.14,19.26,20.38,21.5,25.1,28.7
Vietnam,20.8,20.56,20.32,20.08,19.84,19.6,19.25,18.9
"West Bank and Gaza",21.4,21.14,20.88,20.62,20.36,20.1,19.7,19.3
Yemen,47.7,47.58,47.46,47.34,47.22,47.1,47.1,47.1
Zambia,57.9,55.96,54.02,52.08,50.14,48.2,46.75,45.3
Zimbabwe,60.9,57.64,54.38,51.12,47.86,44.6,42.6,40.6
