Country,2010,2011,2012,2013,2014,2015,2016,2017
Suriname,4,4,4,4,4,4,4,4
Swaziland,6,6,6,6,6,6,6,6
Sweden,3,3,3,3,3,3,3,3
Switzerland,3,3,3,3,3,3,3,3
Syria,5,5,5,5,5,5,5,5
Taiwan,4,4,4,4,4,3,3,3
Tajikistan,9,9,9,9,9,9,9,9
Tanzania,4,4,4,4,4,4,4,4
Thailand,5,5,5,5,5,5,5,5
"Timor Leste",3,3,3,3,3,3,3,3
Togo,4,4,4,4,4,4,3,3
Tonga,5,5,5,5,5,5,5,5
"Trinidad and Tobago",4,4,4,4,4,4,4,4
Tunisia,4,4,4,4,4,4,4,4
Turkey,5,5,5,5,4,4,4,4
Uganda,5,5,6,6,6,6,6,6
Ukraine,10,10,10,10,5,5,5,5
"United Arab Emirates",4,4,4,4,3,3,3,3
"United Kingdom",5,5,5,5,4,4,4,4
"United States",4,4,4,4,4.8,4.8,4.8,4.8
Uruguay,5,5,5,5,5,5,5,5
Uzbekistan,7,7,7,7,7,7,7,7
Vanuatu,4,4,4,4,4,4,4,4
Venezuela,6,6,6,6,6,6,6,6
Vietnam,6,6,6,6,6,6,5,5
"West Bank and Gaza",5,5,5,5,5,5,5,5
Yemen,4,4,4,4,4,4,NA,NA
Zambia,6,6,6,6,6,6,6,6
Zimbabwe,6,6,6,6,6,6,6,6
