Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Saudi Arabia",,4.2,4.526625662,4.563597781,4.750248828,4.994339,4.810261708,4.617183676,4.460199881
Senegal,,3.303797468,3.185538244,3.396828974,3.880984376,3.804740248,4.117242547,4.206158658,4.122628704
Serbia,,3.953488372,3.867352546,3.960539926,3.958114713,3.85190234,3.771033275,3.660654072,3.601766908
Seychelles,,,,,,,4.769634,4.349389403,4.09370426
"Sierra Leone",,,,,,,3.759389,3.771599,3.763018636
Singapore,6.063291139,6.108291701,6.265343232,6.284895343,6.322770197,6.271163394,6.188757303,6.137049689,6.062917134
Slovakia,4.596774194,4.535580369,4.323796475,4.352000654,4.158164643,4.061277757,4.194328177,4.008962938,3.907069326
Slovenia,4.090909091,4.366615306,4.537332143,4.984213965,5.121622274,4.954137,4.738436854,4.356492716,4.157379327
"South Africa",4.868421053,4.850771666,4.908884176,5.064772251,4.980449299,4.83735845,4.794388171,4.62918998,4.481440731
Spain,3.897435897,4.008938245,3.837362292,4.019786068,4.277040652,4.191743552,4.196013747,3.9323042,3.618460936
"Sri Lanka",3.683544304,3.959890441,3.841230782,3.746144542,3.839683574,4.0980596,4.334898,4.122454602,3.794538764
Suriname,,,,,,3.635304,3.704002724,3.482726377,3.327225872
Swaziland,,,,,4.051551,3.7699697,3.497524202,3.786876447,3.8842654
Sweden,5.470588235,5.583533868,5.846094099,5.96330007,5.814009187,5.754201378,5.489447424,5.458598357,5.198348321
Switzerland,5.694444444,5.680189492,5.561199964,5.660841533,5.845825293,5.894239516,5.856700153,5.680486053,5.577851637
Syria,,3.231578947,3.506107585,3.486040985,3.295351162,3.403062463,,,
Taiwan,4.8,4.93530281,4.991402473,5.342449024,5.73226814,5.807490684,5.581121672,5.370338631,5.423242057
Tajikistan,3.611111111,3.56079628,3.567131966,3.73440995,3.927931362,4.104908255,4.306993829,4.0046,3.702127695
Tanzania,4.908163265,4.638005384,3.979962595,4.0394198,4.114270151,4.078364775,3.999249897,3.727941958,3.557899673
Thailand,4.739130435,4.581714976,4.167107873,4.24850656,4.320874117,4.183619796,4.045959296,3.889987912,3.661489801
"Timor Leste",2.794117647,2.589327508,3.010414941,3.408800204,3.407079649,3.292245675,3.739671423,3.411960133,3.183078562
"Trinidad and Tobago",3.951219512,4.082908022,4.137144638,4.182309848,4.1686693,3.981959505,3.945383112,3.88983297,3.670068148
Tunisia,5.375,5.29168357,5.20377564,5.083152551,5.177729265,4.737676776,4.3579,3.978189982,3.766736732
Turkey,4.196078431,4.137403647,3.687747145,4.169166625,4.535074039,4.615077127,4.724627287,4.584992803,4.438707342
