Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Switzerland,,,,,,18.5,17.73,16.96,16.19,15.42,14.65,13.88,13.11,12.34,11.57,10.8,10.3727,9.9455,9.5182,9.0909,8.6636,8.2364,7.8091,7.3818,6.9545,6.5273,6.1
Tanzania,,,,,,,,,,,74.1,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,33.4,34.68,35.96,37.24,38.52,39.8,39.1167,38.4333,37.75,37.0667,36.3833,35.7
"Trinidad and Tobago",,,,,,,,,,,,,,,,65.7,62.02,58.34,54.66,50.98,47.3,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,68.9,66.5667,64.2333,61.9,59.5667,57.2333,54.9
Turkey,91.7,91.3,90.9,90.5,90.1,89.7,89.82,89.94,90.06,90.18,90.3,89.84,89.38,88.92,88.46,88,87.48,86.96,86.44,85.92,85.4,83.8,82.2,80.6,79,77.4,75.8
"Macedonia (F.Y.R.O.M.)",,,,,,65.9,63.42,60.94,58.46,55.98,53.5,54.1125,54.725,55.3375,55.95,56.5625,57.175,57.7875,58.4,59.0125,59.625,60.2375,60.85,61.4625,62.075,62.6875,63.3
Egypt,,,,,,,,,,,99.6,98.625,97.65,96.675,95.7,94.725,93.75,92.775,91.8,90.825,89.85,88.875,87.9,86.925,85.95,84.975,84
Uganda,,,,,,,,,,,76.1,,,,,,,,,,,,,,,,
Uruguay,,,,,,31.9,30.33,28.76,27.19,25.62,24.05,22.48,20.91,19.34,17.77,16.2,14.88,13.56,12.24,10.92,9.6,,,,,,
Ukraine,,,,,,65.2,64.47,63.74,63.01,62.28,61.55,60.82,60.09,59.36,58.63,57.9,58.66,59.42,60.18,60.94,61.7,,,,,,
"United Kingdom",,,,,,21.7,21.21,20.72,20.23,19.74,19.25,18.76,18.27,17.78,17.29,16.8,15.7545,14.7091,13.6636,12.6182,11.5727,10.5273,9.4818,8.4364,7.3909,6.3455,5.3
"United States",38.6,36.78,34.96,33.14,31.32,29.5,28.26,27.02,25.78,24.54,23.3,23.62,23.94,24.26,24.58,24.9,24,23.1,22.2,21.3,20.4,19.1167,17.8333,16.55,15.2667,13.9833,12.7
Uzbekistan,,,,,,,,,,,,,,,,,,,,,65,,,,,,
Venezuela,,,,,,67.5,65.48,63.46,61.44,59.42,57.4,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,68.7,,,,,,
