Country,2011,2012,2013,2014,2015,2016,2017
Philippines,33.71372986,35.0926,36.4714,37.85029602,38.1849,38.5195,38.85416412
Poland,68.28720093,69.8441,71.401,72.95792389,77.9594,82.9608,87.96221924
Portugal,77.80403137,80.5722,83.3403,86.10840607,87.613,89.1176,90.62212372
"Puerto Rico",,,,66.09325409,,,
Qatar,61.56953049,,,,,,
Romania,41.06061172,46.3301,51.5996,56.86904907,55.7763,54.6836,53.59091949
Russia,47.70323181,55.1997,62.6962,70.19265747,72.1722,74.1518,76.13137054
Rwanda,28.24671173,30.6051,32.9635,35.32194519,38.5348,41.7477,44.96050262
"Saudi Arabia",15.23300743,30.5385,45.8441,61.14961624,60.1564,59.1633,58.17010498
Senegal,5.450441837,7.4335,9.4165,11.39955044,20.4162,29.4329,38.44960785
Serbia,62.31583405,69.1997,76.0835,82.9673996,78.6873,74.4071,70.12700653
"Sierra Leone",12.80253506,12.7012,12.5999,12.49859047,13.4521,14.4055,15.35897541
Singapore,98.21179199,97.4986,96.7853,96.07212067,96.1524,96.2327,96.31292725
Slovakia,78.91836548,79.2699,79.6213,79.97283936,81.0266,82.0803,83.13398743
Slovenia,98.10960388,97.7323,97.3551,96.9777832,96.9649,96.9521,96.93920898
Somalia,,,,33.66255951,,,
"South Africa",51.02336502,57.4696,63.9159,70.36218262,70.2381,70.1139,69.98981476
"South Korea",93.1078186,93.1986,93.2893,93.38002014,93.8151,94.2502,94.68531036
"South Sudan",,,,,,,4.708465576
Spain,91.66147614,93.6304,95.5994,97.56838226,95.5927,93.617,91.64125061
"Sri Lanka",67.23841858,72.5284,77.8184,83.10843658,79.8863,76.6642,73.44207001
Sudan,4.354854584,6.231,8.1071,9.983160973,,,
Swaziland,27.41395187,,,,,,
Sweden,99.01312256,99.2615,99.5099,99.75826263,99.8388,99.9194,100
Switzerland,,,,96.69478607,97.4154,98.136,98.85665131
Syria,19.58799934,,,,,,
Tajikistan,2.135162115,4.4537,6.7722,9.090660095,20.104,31.1174,42.13079453
Tanzania,13.82398129,20.6607,27.4974,34.33413696,36.9402,39.5462,42.15222168
Thailand,72.63754272,73.5718,74.506,75.44029236,76.8869,78.3335,79.78010559
Togo,9.217669487,11.1826,13.1476,15.11257744,22.6061,30.0996,37.59315491
"Trinidad and Tobago",69.85585022,70.4804,71.1049,71.7294,72.354,72.9785,73.6030426
Tunisia,,,,20.70147133,23.2555,25.8094,28.36343575
Turkey,32.67997742,36.6063,40.5325,44.45881271,47.7371,51.0155,54.29382324
Turkmenistan,0.793922663,6.5811,12.3683,18.1555,23.9427,29.7299,35.51710892
Uganda,15.06351852,22.2534,29.4434,36.63328171,41.991,47.3487,52.70641327
Ukraine,39.20775223,43.3671,47.5264,51.68564987,54.8975,58.1093,61.32117462
"United Arab Emirates",47.20843506,54.0325,60.8566,67.68061829,70.5927,73.5047,76.41671753
"United Kingdom",97.65198517,97.9856,98.3192,98.65273285,97.793,96.9332,96.07344055
"United States",84.06905365,87.6453,91.2215,94.79771423,94.0939,93.3901,92.68624878
Uruguay,23.82964706,29.6416,35.4536,41.26561737,47.72,54.1744,60.62883759
Uzbekistan,21.29315376,27.3072,33.3212,39.33525467,38.2132,37.0911,35.96907806
Venezuela,36.15054321,41.8528,47.5551,53.25737,58.8509,64.4445,70.03800964
Vietnam,18.90926361,23.2832,27.6572,32.03121567,31.494,30.9569,30.41970062
Yemen,1.08959353,1.2836,1.4775,1.671490073,,,
Zambia,23.33738518,26.6408,29.9443,33.2477684,35.5915,37.9352,40.27887726
Zimbabwe,37.12440872,34.4095,31.6946,28.97971916,36.5415,44.1032,51.66492462
