Georgia,5170,4190,2330,1650,1530,1600,1900,2310,2470,2590,2690,2820,3020,3470,3870,4410,5090,5850,6070,5990,6390,7100,7950,8380,9130,9350,9450
Germany,19740,21130,21850,21930,22780,23520,24090,24550,25200,26140,27100,28300,28980,29720,31660,32250,34850,36970,38400,37910,40040,43770,44590,46320,48100,49040,49530
Ghana,1220,1290,1330,1390,1430,1480,1530,1590,1640,1690,1740,1820,1880,1970,2080,2230,2400,2510,2720,2800,2950,3300,3510,3830,3890,4060,4150
Greece,13580,14350,14720,14690,15230,15810,16380,17300,18100,18260,19640,21170,22610,23800,25160,25620,28010,28530,29940,29720,27630,25430,25450,26070,26490,26450,26900
Grenada,4480,4780,4840,4750,4880,4990,5260,5590,6250,6750,7150,7040,7310,8160,8100,10160,10020,10730,11040,10020,10390,10760,10770,11250,12230,13090,13440
Guatemala,3230,3410,3570,3720,3860,4040,4120,4280,4470,4600,4760,4900,5000,5110,5270,5480,5790,6170,6330,6260,6380,6610,6850,7080,7330,7570,7750
Guinea,690,690,700,720,730,740,770,790,810,850,870,900,970,920,950,960,980,1030,1040,1030,1060,1110,1160,1180,1180,1170,1200
"Guinea Bissau",970,1000,1020,1040,1070,1110,1240,1340,940,950,1040,1060,1070,1070,1110,1170,1210,1260,1280,1310,1360,1480,1450,1440,1460,1510,1580
Guyana,1270,1430,1680,2050,2370,2600,2880,3040,3040,3250,3320,3430,3550,3620,3540,3930,4400,4890,5160,5370,5750,6150,6510,6980,7320,7580,7860
Haiti,,,,,,,1280,1310,1330,1360,1380,1370,1360,1370,1340,1380,1440,1510,1530,1560,1480,1570,1630,1690,1750,1770,1790
Honduras,1880,1940,2020,2220,2190,2230,2290,2430,2480,2430,2560,2610,2670,2760,2920,3140,3360,3650,3810,3700,3710,3830,3920,4020,4100,4280,4410
