Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Egypt,1004.20,1299.00,1330.00,1251.00,1271.00,1340.00,1345.00,1424.00,1558.00,1594.00,1400.00,1330.00,1273.00,1634.00,2041.00,1698.00,1932.00,1792.00,1631.00,1538.00,1995.00,1789.00,1919.00,1990.00,2033.00,1959.00,1888.00,1813.00,1633.00,1451.00,2472.00,1098.00,1021.00,336.00,646.00
Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,
Estonia,--,--,--,--,--,--,--,--,--,--,--,--,288.00,147.00,105.00,93.00,126.00,108.00,83.00,86.00,97.00,121.00,66.00,49.00,64.00,62.00,77.00,143.00,142.00,96.00,66.00,77.00,71.00,67.00,86.00
Ethiopia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.05,0.00,0.01,0.01,0.01,0.80,17.00,46.00,55.00,187.00,248.00,321.00,380.00
Fiji,23.15,20.00,25.00,20.00,24.00,18.00,17.00,5.50,8.80,18.00,26.00,20.00,22.00,22.00,22.00,22.00,24.00,24.00,22.00,20.00,19.00,17.00,18.00,18.00,0.20,,,,,,,,,,
Finland,6274.35,2961.00,3301.00,3470.00,4183.00,5862.00,5013.00,6347.00,6458.00,6283.00,6225.00,6138.00,5361.00,6612.00,8567.00,7234.00,8800.00,7712.00,5738.00,5861.00,5719.00,6609.00,7345.00,9828.00,8810.00,4926.00,8627.00,7593.00,5624.00,6225.00,7676.00,5916.00,5098.00,6418.00,5249.00
Czechoslovakia,137149.41,136631.00,140540.00,142078.00,143989.00,139960.00,137304.00,138169.00,136334.00,127501.00,121466.00,112186.00,99698.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Serbia and Montenegro",--,--,--,--,--,--,--,--,--,--,--,--,42354.00,40632.00,37203.00,44759.00,44688.00,47398.00,48698.00,36658.00,41143.00,40305.00,42551.00,44607.00,45681.00,--,--,--,--,--,--,--,--,--,--
"Soviet Union",751332.12,748107.00,770505.00,763734.00,769602.00,778868.00,802558.00,806943.00,821181.00,777312.00,848469.00,672436.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Yugoslavia,48673.56,58542.00,62438.00,68159.00,76499.00,81622.00,81864.00,82708.00,84510.00,85306.00,83156.00,81067.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,55834.21,49999.00,52945.00,46838.00,44558.00,42582.00,36291.00,32529.00,31590.00,34458.00,33766.00,36198.00,32474.00,25599.00,24795.00,26567.00,27530.00,24458.00,28705.00,26194.00,24952.00,21981.00,21738.00,22317.00,21633.00,23716.00,22004.00,23120.00,21354.00,17368.00,18216.00,15088.00,17569.00,19511.00,14441.00
Georgia,--,--,--,--,--,--,--,--,--,--,--,--,581.00,311.00,349.00,46.00,24.00,24.00,37.00,31.00,21.00,13.00,6.60,13.00,15.00,20.00,18.00,85.00,132.00,249.00,60.00,162.00,284.00,528.00,467.00
