Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Cape Verde",,,,,,,,,,,,,,,,,,,,,500,460,440,450,510,640,830,890,890,900,1030,1180,1290,1400,1330,1340,1310,1350,1380,1320,1270,1490,1860,2110,2240,2750,3230,3410,3330,3450,3380,3440,3310,3150,2970
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,310,320,290,300,300,310,320,350,400,460,520,590,670,700,750,810,880,960,1020,1070,1140
Cameroon,,,,,,110,130,160,170,170,190,210,280,350,340,340,520,630,630,840,850,780,780,800,930,1040,1130,1080,950,890,900,900,810,750,680,660,660,660,620,600,590,690,840,930,990,1030,1130,1200,1210,1240,1260,1320,1380,1350,1200
Canada,2340,2360,2470,2670,2920,3080,3370,3680,3970,4390,5050,6060,7190,7990,8690,9040,9700,10550,11530,12300,11810,12100,13050,13830,14450,16200,18480,19710,20480,20800,21220,21080,20740,20740,20700,21200,20760,21300,22610,22980,23490,25360,29370,34120,37780,41420,44810,43110,44370,47060,50900,52620,51750,47250,43660
"Central African Republic",80,80,80,90,90,100,100,110,110,110,120,140,160,180,200,230,270,300,340,340,330,260,260,280,330,400,470,460,460,460,450,430,360,340,290,290,270,270,250,250,250,250,300,330,350,380,410,450,470,480,500,330,340,360,370
Chad,110,110,110,120,120,130,130,140,140,140,150,160,190,230,220,230,240,220,240,230,210,190,180,210,210,210,270,270,270,290,330,240,220,210,200,210,220,200,180,190,190,210,340,470,530,630,700,830,910,890,960,980,980,880,720
"Channel Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42430,41270,40370,42770,49540,55320,59810,65430,,,,,,,,,
Chile,610,660,700,700,780,790,810,850,900,1080,1170,1380,1680,1170,1030,1080,1380,1810,2340,2820,2300,1840,1600,1440,1480,1670,1940,2200,2350,2610,3130,3460,3750,4450,5100,5620,5520,5150,5090,4830,4560,4520,5200,6220,7350,8700,10080,9980,10780,12380,14410,15350,15130,14320,13530
China,70,80,90,100,110,100,90,110,120,130,130,160,180,200,190,190,200,210,220,220,220,220,250,290,310,320,330,320,330,350,390,420,470,540,650,750,800,860,940,1010,1110,1280,1510,1760,2060,2510,3100,3690,4340,5060,5940,6800,7520,7940,8260
Colombia,270,280,300,300,310,290,300,310,320,340,380,450,530,580,610,670,830,1030,1220,1310,1280,1240,1240,1170,1190,1210,1260,1220,1220,1190,1280,1390,1740,2140,2470,2590,2510,2280,2320,2300,2330,2340,2580,2920,3430,4070,4660,5090,5540,6180,7140,7760,7970,7140,6320
Comoros,,,,,,,,,,,,,,,,,,,,,390,340,320,320,360,450,550,540,570,550,640,630,510,490,460,460,420,410,420,410,390,460,550,630,660,680,730,780,790,800,810,830,830,790,760
"Congo (Kinshasa)",230,270,230,230,220,220,220,230,250,270,290,360,430,460,430,460,510,610,650,570,490,420,350,270,270,250,260,250,240,220,210,200,160,150,130,120,120,110,130,140,190,170,190,210,230,250,280,290,310,320,350,370,410,430,420
"Congo (Brazzaville)",140,140,150,160,170,180,200,210,210,230,260,330,410,480,470,430,470,590,800,1050,1180,1040,1030,960,940,1020,900,910,900,930,1030,770,660,420,450,570,560,480,550,610,650,670,750,930,1150,1320,1740,1840,2070,2060,2330,2430,2520,2350,1710
"Costa Rica",360,350,340,370,390,410,440,470,520,570,630,760,880,970,1040,1240,1480,1740,1950,1420,1020,1020,1280,1560,1820,2070,2190,2210,2320,2350,2580,2740,2980,3170,3230,3330,3360,3140,3580,3690,3780,4040,4390,4650,5060,5690,6420,6540,7230,8060,9210,9810,10200,10570,10840
"Ivory Coast",160,180,210,210,230,230,260,280,290,300,310,370,460,580,660,760,920,1100,1120,1100,930,690,640,620,710,790,890,810,750,730,760,730,670,680,710,750,750,720,640,590,560,610,770,930,940,970,1080,1170,1200,1130,1240,1340,1460,1490,1520
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470,5440,5110,5290,5190,5470,6490,8270,9870,10990,12350,13970,13810,13750,14050,13460,13470,13150,12750,12110
Cuba,,,,,,,,,,,850,1040,1240,1500,1550,1600,1790,2000,2150,2430,2340,2180,2310,2310,2390,2490,2780,2750,2660,2340,2130,1870,2140,2550,2700,2500,2230,2390,2610,2750,2820,3090,3480,3950,4510,4970,5420,5480,5560,5870,6210,6570,,,
Cyprus,,,,,,,,,,,,,,,,1530,1820,2410,3410,4070,4510,4220,4360,4480,5090,6450,8090,8770,9510,9670,11230,11190,11900,13140,14160,14580,15800,14780,14860,14690,14980,17130,20920,24450,26290,29030,32090,32560,31330,31500,28920,27010,26500,25810,23680
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,3470,4130,5090,5930,6110,6060,6070,6320,6320,6620,8060,10210,12380,13920,15740,18300,18650,19210,19420,19350,19270,18790,18150,17570
Denmark,,,,,,,,,3300,3680,4340,5630,6850,8150,9040,9860,11260,13670,15220,14300,12970,11800,11610,11940,14180,17900,22300,23240,24570,25750,28930,28800,30600,32820,35030,35320,33580,33130,32660,31440,30870,34850,42770,49610,53540,55740,60390,60090,61220,61990,61650,63200,63640,60270,56730
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,790,800,810,790,770,740,750,770,780,800,890,980,1030,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,570,780,950,980,980,1090,1170,1460,1750,2090,2100,2300,2390,2590,2750,2830,2980,3080,3190,3360,3340,3600,4150,4360,4810,5080,5130,5470,5740,6320,6490,6670,6840,6750,6700,6970,6760,6750
"Dominican Republic",220,240,260,230,250,250,250,280,340,370,430,520,610,710,780,830,890,1030,1160,1230,1240,1260,1360,1040,1000,930,910,900,870,1030,1320,1580,1700,1910,2140,2300,2380,2470,2630,2650,2810,2590,2480,2910,3470,4270,4620,4850,5230,5410,5660,5850,6110,6240,6390
Ecuador,210,210,220,280,340,460,470,500,520,510,510,600,830,1090,1290,1370,1560,1830,2140,2480,2430,2140,1930,1830,1780,1640,1530,1390,1370,1480,1600,1670,1820,1970,2080,2190,2170,1790,1540,1550,1740,2130,2560,2900,3120,3330,3880,4090,4410,4900,5410,5830,6150,6030,5820
Egypt,,,,,,170,180,200,220,230,250,270,280,310,340,380,380,410,490,520,540,540,560,590,630,770,790,760,740,710,720,720,800,900,1000,1110,1180,1290,1390,1410,1330,1260,1200,1210,1300,1510,1810,2090,2330,2520,2850,3050,3250,3360,3460
"El Salvador",,,,,,300,300,300,310,320,350,390,440,480,530,610,710,780,760,730,690,680,700,720,760,820,870,860,900,950,1080,1210,1370,1580,1720,1850,1930,2020,2140,2210,2280,2440,2630,2830,3000,3190,3400,3320,3380,3520,3640,3750,3790,3840,3920
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,120,120,130,150,160,210,240,230,260,260,370,360,260,250,350,860,690,800,760,890,1250,1180,1700,3850,8030,11490,14130,12430,9890,11440,13760,13630,12620,9190,6550
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,190,210,220,220,210,210,210,210,210,240,280,290,300,300,350,410,520,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4150,4320,4620,5710,7480,9710,11500,13500,15070,14470,14540,15870,16900,18200,18790,18310,17750
Ethiopia,,,,,,,,,,,,,,,,,,,,,,210,200,190,230,280,270,250,260,250,220,210,160,150,150,140,130,120,120,130,120,110,130,160,180,220,280,340,380,390,410,470,550,600,660
Fiji,280,290,300,290,300,340,350,350,400,440,530,720,930,1120,1220,1300,1360,1660,1870,2040,1800,1580,1660,1580,1790,1770,1790,1790,1790,1790,1990,2090,2230,2460,2660,2580,2300,2350,2230,2140,2170,2420,3030,3590,3630,3830,4020,3870,3650,3760,4120,4700,4850,4810,4840
Finland,1370,1470,1620,1810,1970,2060,2090,2270,2470,2690,3170,4030,5130,6320,6840,7190,7910,9540,11450,11980,11700,10840,10790,11130,13010,16480,21540,24110,26000,25090,24170,20680,20170,22030,24970,26650,25790,26040,26420,25780,25510,28680,35200,40100,42740,46040,49920,48590,49330,49910,48670,49220,48990,46630,44730
France,1560,1700,1880,2040,2210,2370,2560,2820,3010,3240,3670,4690,5780,6700,7120,7790,8810,10810,13080,13200,12060,10470,9840,9800,11350,14490,18540,19510,20660,21550,24010,23760,24550,25910,27270,27090,25970,25560,25150,23940,23180,26020,31500,36000,37960,40250,43510,43760,43790,44220,43020,43380,42750,40530,38950
"French Polynesia",,,,,,2090,2520,2430,2400,2640,2660,3330,4600,5120,5620,5940,6820,8060,9240,9710,9240,8280,8120,8420,10350,13120,15480,15050,15390,16160,17430,17590,17690,18150,18020,17490,16890,16400,15990,,,,,,,,,,,,,,,,
Gabon,340,410,340,360,420,440,460,530,570,610,680,900,1690,2860,4430,3990,3070,3500,4580,5270,4820,4250,4290,3850,3830,3410,4140,4560,4810,5160,5110,4420,4130,3900,4100,4270,3940,3280,3090,3410,3580,3840,4270,5480,5600,6410,7170,7490,7750,8040,9040,9330,9360,8010,7210
Gambia,,,,,,,110,110,110,120,120,150,190,240,240,250,280,330,400,410,350,320,300,310,310,330,310,310,320,410,550,750,730,740,750,730,710,680,670,600,480,420,420,400,410,450,520,580,590,520,520,500,460,450,440
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,540,510,540,650,790,820,780,750,720,770,910,1120,1410,1790,2240,2670,2810,3000,3300,3870,4240,4490,4120,3810
Germany,,,,,,,,,,,3610,4680,5800,6730,7140,7680,8880,11070,13030,12560,11140,10040,9890,9850,11260,14260,18650,19790,21340,22920,25860,25990,27530,29560,30910,30200,27990,26880,26210,24790,23710,26230,31730,35880,38370,40700,43870,43810,44790,47360,46710,47470,47680,45780,43660
Ghana,190,200,210,230,250,250,230,230,250,270,260,280,320,310,290,310,360,390,430,420,360,320,340,350,400,420,440,410,400,420,440,420,380,380,380,400,390,400,340,300,280,320,390,470,600,800,1160,1200,1250,1400,1560,1730,1580,1470,1380
Greece,630,710,790,890,980,1070,1180,1330,1500,1700,2000,2490,2850,3480,3750,3940,4600,5650,6500,6370,5910,5280,5140,5010,5360,6130,7590,8310,8970,9850,11200,11140,11610,12410,13430,14100,13810,13380,13330,13070,13150,15700,19580,22760,24550,26350,28660,29330,27660,24930,23500,22540,22000,20270,18960
Greenland,,,,,,,,,,,1890,2440,3130,3800,4330,5140,6160,7550,9270,9100,8020,7270,6740,7060,8540,11470,15170,16970,15690,16510,17440,16600,17830,19470,20780,20540,20440,19740,20290,19390,18760,21250,26510,30500,30080,34260,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,1150,1300,1310,1300,1280,1340,1500,1790,2200,2490,2680,2840,3040,3140,3110,3210,3320,3500,3670,4020,4360,4660,4570,4720,5370,5440,6760,6530,6940,7370,6810,7050,7180,7160,7510,8160,8650,8830
Guatemala,250,270,280,280,290,290,310,320,340,350,380,430,510,580,650,750,870,1020,1140,1180,1110,1060,1080,1110,1030,980,950,950,920,950,1010,1120,1210,1340,1430,1520,1600,1640,1660,1600,1620,1690,1860,2010,2160,2370,2570,2610,2700,2850,3090,3310,3450,3610,3790
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,430,420,430,430,460,470,460,470,470,470,430,420,380,340,330,320,350,340,300,310,350,390,400,420,440,470,490,490,490
"Guinea Bissau",,,,,,,,,,,120,130,150,160,150,140,160,170,140,180,190,180,180,190,160,170,180,200,220,230,230,220,210,210,230,230,150,160,200,240,290,320,370,420,430,450,500,550,570,630,610,620,620,610,620
Guyana,280,250,280,310,320,340,330,350,360,380,390,430,540,680,660,610,620,670,760,740,590,510,470,500,520,460,470,360,380,380,420,480,590,700,830,880,850,870,870,860,870,910,930,1050,1330,1780,2420,2660,2930,3240,3600,3960,4110,4120,4250
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,450,470,440,410,370,370,400,470,550,610,680,650,700,750,800,820,810,780
Honduras,180,180,190,210,220,230,250,250,260,270,280,320,360,380,410,460,540,620,680,730,690,680,720,770,820,920,950,860,690,610,600,640,620,630,650,700,720,760,880,980,1070,1130,1210,1290,1370,1500,1640,1690,1760,1910,2000,2040,2040,2090,2150
"Hong Kong",,570,630,700,710,710,740,840,930,1060,1300,1750,2150,2450,2900,3340,3930,4700,5730,6360,6290,5890,6170,6090,7230,9080,10770,11550,12660,14320,16560,19560,21820,23570,24140,26080,25110,25800,26930,26350,25270,26340,28120,28890,30290,32070,33950,32350,33620,35690,36320,38530,40170,41100,43240
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,4070,4300,4410,4450,4470,4540,4660,4820,5310,6680,8700,10450,11300,11820,13220,13290,13100,13090,12910,13430,13460,12970,12570
Iceland,1540,1740,2050,2440,2980,3110,2790,2490,2580,3040,3740,4960,6690,7490,7970,9010,10860,13180,15440,16240,15100,12580,11900,11930,14250,19100,23470,24210,24810,25260,26510,26100,25660,25490,27320,28450,29260,30430,31560,30710,30920,33740,42050,50750,53650,61940,50100,41960,36520,37750,40750,47080,48160,50260,56990
India,90,90,110,110,100,100,100,110,110,120,120,140,170,190,180,180,200,220,270,290,280,280,280,290,310,350,390,390,380,340,340,320,340,360,400,410,410,430,440,450,450,510,600,700,790,920,1000,1110,1220,1380,1480,1520,1560,1600,1680
Indonesia,,,,,,,,70,80,80,90,110,160,220,270,300,360,400,470,530,560,530,520,500,510,510,510,530,560,610,660,740,850,990,1090,1100,660,570,580,720,790,900,1080,1220,1370,1600,1940,2140,2520,3000,3570,3730,3620,3440,3400
Iran,,,,260,290,300,340,370,400,460,560,750,1120,1500,2030,2090,2010,2290,2200,2470,3120,3310,3180,3510,3690,3560,3010,2580,2550,2306,2062,1818,1574,1330,1620,1810,1800,1720,1750,1790,1880,2180,2470,2890,3370,4140,4790,5350,5990,6700,6980,7090,6530,,
Iraq,,,,,,,,,,,,,,,,,,,3930,3460,3050,2360,2540,2750,3050,3520,3710,3710,7030,6716.875,6403.75,6090.625,5777.5,5464.375,5151.25,4838.125,4525,4211.875,3898.75,3585.625,3272.5,2959.375,2646.25,2333.125,2020,2510,3540,4030,4430,4810,6140,6850,6700,5960,5430
Ireland,,,,,,,,,,,2070,2540,2990,3390,3280,3580,4120,5120,6380,6780,6390,5720,5610,5630,6370,8220,10420,11100,12560,13130,14440,14600,15480,16920,19080,20740,21360,22680,24180,24170,24840,29990,37780,44550,48170,50170,50700,46930,44880,42070,41010,44040,47040,52170,52560
"Isle of Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17760,19740,22510,23200,23680,24750,28660,35230,40840,45600,64530,73290,78330,75860,76550,83070,88520,89970,,
Israel,1320,1330,1310,1440,1470,1480,1730,1910,2040,2150,2450,2690,3620,4180,4010,3850,3990,4640,5440,6120,6020,5990,5980,5980,6450,7610,9230,9770,10860,11490,12590,13070,13830,14210,16600,18010,17720,17410,18800,19040,18340,18400,19940,21220,22060,23710,25920,27180,29620,31580,32240,34450,35680,35780,36190
Italy,960,1060,1160,1280,1410,1550,1700,1850,2060,2250,2610,3240,3920,4310,4500,4710,5250,6720,8400,8680,8190,7600,7740,8010,9350,12120,15900,17240,18600,20300,22880,21520,20790,20610,21760,22240,22130,21900,21820,21080,20640,23270,28220,32390,34210,35820,37760,37690,37690,37680,36000,35370,34760,32870,31590
Jamaica,,,,,,,620,650,720,760,980,1020,1180,1370,1370,1450,1430,1300,1210,1290,1340,1330,1120,930,950,1160,1480,1680,1770,1730,1600,1760,1780,2070,2260,2480,2640,2960,3210,3200,3230,3420,3640,3780,4070,4300,4550,4300,4370,4590,4970,5030,4940,4750,4660
Japan,610,690,800,890,1030,1200,1430,1660,1810,2100,2710,3620,4410,5120,5380,5910,7410,9400,10800,11070,10510,10180,10430,11500,13820,18020,24770,26970,27900,28630,30560,33580,37040,42130,43150,40040,34450,33780,36230,36770,34790,35070,38350,40560,39930,38740,38850,38790,43440,46880,49480,48280,43940,38780,38000
Jordan,,,,,,,,,,,,,,,,950,1200,1470,1830,1950,1920,1800,1800,1760,1930,2120,2120,1520,1280,1100,1280,1300,1340,1430,1440,1450,1480,1540,1680,1740,1790,1910,2170,2340,2520,2760,3110,3370,3470,3560,3680,3790,3870,3890,3920
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,1310,1280,1340,1390,1390,1290,1260,1350,1520,1800,2300,2950,3860,4980,6150,6780,7440,8280,9940,11840,12090,11390,8710
Kenya,100,100,110,110,120,120,130,140,130,160,190,200,230,250,250,280,330,400,460,450,400,340,320,310,340,380,410,400,380,350,330,270,260,270,340,390,440,430,420,400,390,410,460,520,590,710,840,910,980,1010,1060,1150,1260,1310,1380
Kiribati,,,,,,,,,,,,,,,,,870,860,690,660,790,780,590,540,520,550,640,670,720,960,1030,1020,1050,1150,1090,1340,1470,1300,1330,1340,1250,1310,1530,1730,1760,1750,1880,1880,1990,2010,2450,2840,3250,3390,2380
"South Korea",120,120,130,130,140,150,190,240,280,310,340,430,550,650,800,960,1270,1670,1860,2020,2040,2150,2320,2450,2820,3480,4460,5310,6360,7440,8170,8860,9910,11600,13040,13230,10070,10160,10740,11620,12460,13350,15630,17790,19950,22420,22800,21040,21260,22540,24550,25760,26800,27250,27600
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510,2800,3100,3280,3420,3630,3770,3930,3990,3980,3850
Kuwait,,,,,,3650,3660,3540,3330,3540,3660,4380,6640,10090,14900,14050,15430,19240,19460,21280,18810,17730,16670,14670,16790,15420,14300,17350,17868.3333,18386.6667,18905,19423.3333,19941.6667,20460,20810,21420,19620,16820,17930,18670,18890,22520,28100,34400,41350,47590,51790,46000,42060,43510,49950,51990,49520,41680,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,450,370,360,390,390,360,300,280,280,290,340,400,450,500,610,760,860,850,880,1040,1190,1250,1180,1100
Laos,,,,,,,,,,,,,,,,,,,,,,,,,550,430,250,210,190,210,250,280,310,350,380,370,310,290,280,310,320,340,390,460,510,620,750,890,1000,1120,1350,1590,1840,2000,2150
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720,2870,2990,3310,3600,3930,4670,5820,7360,8880,11170,13410,14010,12630,13110,13760,14890,15330,14980,14630
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,1780,1830,2230,2840,3610,4210,4520,4970,5330,5470,5300,4990,4460,5550,5710,5650,6250,6960,7830,8450,8610,8450,8190,7980,7720,7680
Lesotho,50,50,60,60,80,80,80,80,90,90,100,150,220,230,280,310,340,410,450,520,620,550,500,420,400,440,520,550,580,620,690,710,730,740,760,760,670,660,630,690,630,700,840,1040,1150,1310,1340,1270,1330,1430,1550,1490,1370,1300,1210
Liberia,160,160,190,200,210,220,230,240,250,260,280,290,340,370,410,430,470,520,520,500,440,360,360,360,350,360,400,290,268.75,247.5,226.25,205,183.75,162.5,141.25,120,130,120,150,130,120,80,90,120,130,160,180,220,250,320,340,370,370,380,370
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5170,5170,5150,6870,8600,10410,12210,12110,12440,4730,,,,,
Liechtenstein,,,,,,,,,,,5120,6500,8210,10150,11190,12370,14770,18520,22620,22620,20340,18790,19030,19750,22890,31200,41550,43690,45540,47660,54450,56810,62120,70160,78650,80130,77540,78470,78620,68000,64800,68150,78350,92360,103700,111860,121650,116300,,,,,,,
