Country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Botswana,,,,,,,,,,,,,,,,,,,80.6,79.8625,79.125,78.3875,77.65,76.9125,76.175,75.4375,74.7,73.6556,72.6111,71.5667,70.5222,69.4778,68.4333,67.3889,66.3444,65.3,63.9429,62.5857,61.2286,59.8714,58.5143,57.1571,55.8,56.35,56.9,57.45,58,58.55,59.1,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,96.7,96.5636,96.4273,96.2909,96.1545,96.0182,95.8818,95.7455,95.6091,95.4727,95.3364,95.2,94.7,94.2,93.7,93.2,92.7,,,,,,,,,,
Canada,,,,,4.5,3.875,3.25,2.625,2,1.8667,1.7333,1.6,1.4667,1.3333,1.2,1.1167,1.0333,0.95,0.8667,0.7833,0.7,0.65,0.6,0.55,0.5,0.5,0.5,0.5,0.6667,0.8333,1,1,0.85,0.7,0.7,0.7,0.7,0.7,0.6333,0.5667,0.5,0.5,0.5,0.5,0.5667,0.6333,0.7,0.7,0.7,0.7,0.7,
Switzerland,,,,,,,,,,,,,,,,0.7,0.73,0.76,0.79,0.82,0.85,0.88,0.91,0.94,0.97,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.2,0.2,0.225,0.25,0.275,0.3,0.3,0.3,0.2,0.2,0.1667,0.1333,0.1,0.1,0.1,0.1,0.1,
Chile,,,,,,,,,,,,,,,,,,,,,52.3,50.0667,47.8333,45.6,42.4,39.2,37.85,36.5,33.65,30.8,29.7,28.6,29.5,30.4,30.2,30,29.8,26.2667,22.7333,19.2,17.8667,16.5333,15.2,13.6,12,9.3,6.6,5.85,5.1,4.35,3.6,
China,,,,,,,,,,,,,,,,,,,,,,,,98.3,97.6333,96.9667,96.3,94.9667,93.6333,92.3,91.1667,90.0333,88.9,86.1333,83.3667,80.6,77.2333,73.8667,70.5,67.2333,63.9667,60.7,57.1,53.5,49.2,44.4,36.4,31.5,27.2,24,,
"Ivory Coast",,,,,,,,,,,,,,,,,,,47.6,52,58.4,68.1,70.8,73.5,76.2,78.9,79.1667,79.4333,79.7,80.7667,81.8333,82.9,82.65,82.4,82.15,81.9,81.9167,81.9333,81.95,81.9667,81.9833,82,82.1714,82.3429,82.5143,82.6857,82.8571,83.0286,83.2,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1,87.46,85.82,84.18,82.54,80.9,80.9833,81.0667,81.15,81.2333,81.3167,81.4,79.9286,78.4571,76.9857,75.5143,74.0429,72.5714,71.1,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,99.475,99.25,99.025,98.8,98.575,98.35,98.125,97.9,,,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1,88.9,87.7,86.5,85.3,84.1,82.9,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,49.2,51.3,53.4,55.5,56.6333,57.7667,58.9,54.1,60.8,53.8,51.5,51.3,47.2,45.7,44.2,42.7,41.5,38.7,35.8,34.5,32.4,30.3,29.2,29,28.1,28.2
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4,61.7833,60.1667,58.55,56.9333,55.3167,53.7,52.15,50.6,49.05,47.5,45.95,44.4,42.85,41.3,,,
"Costa Rica",,,,,,,,,,,,,,,66.2,64.1,62,59.9,57.8,55.7,51.6,47.5,43.4,40.7,45.3,42,35.9,30.9,32.2,35.6,33.1,27.8,30.6,30.5,23.9,23,22.4,23.1,21,20.5,16.3,15.9,15.6,13.2,13.7,12.7,12.8,12.3,12,11,10,11.2
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.1,0.1,0.1,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,0.6,0.9,1.2,1.0833,0.9667,0.85,0.7333,0.6167,0.5,0.75,1,0.6,0.6,0.5,0.3,0.6,0.7,0.6,0.6,0.5,0.6,0.3,0.6,0.4,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.4,0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,75.84,74.98,74.12,73.26,72.4,71.54,70.68,69.82,68.96,68.1,74.5,73.425,72.35,71.275,70.2,
Denmark,,,,,,,,,,,,,,,,,,,,,1.2,1.16,1.12,1.08,1.04,1,0.7333,0.4667,0.2,0.2,0.2,0.2,0.2,0.2,0.2667,0.3333,0.4,0.4,0.5,0.3,0.5,0.7,0.9,0.2,0.6,0.2,0.6,0.7,0.4,0.4,0.2,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,28.5,37.2667,46.0333,54.8,50.1333,45.4667,40.8,38.6,36.4,34.2,32,29.6,29.8,30,30.2,30.1,30.6,38.5,45.8,36.8,33.7,33.4,34.5,31.7,31.8,31,30.8,29.9,25.2,21.8,19.9,15.9,13.9
Algeria,,,,,,,,,,,,,,,,,,,,,,57,56.6571,56.3143,55.9714,55.6286,55.2857,54.9429,54.6,52.975,51.35,49.725,48.1,46.475,44.85,43.225,41.6,39.975,38.35,36.725,35.1,33.475,31.85,30.225,28.6,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,61.4,61.9,62.4,62.9,63.4,72.7,66.2667,59.8333,53.4,54.9,46.5,41.3,40.4,38.2,38.2,34.4,30.2,27.5,27.2,23.8,24.8,24,23.3,24.2
Egypt,,,,,,,,,,,,,,,,,,,,,,,,78.8,79.4,80,80.6,81.2,81.8,78.95,76.1,73.25,70.4,71.86,73.32,74.78,76.24,77.7,77.625,77.55,77.475,77.4,73.95,70.5,69.1,67.7,66.6,65.5,64.4,68.5,72.6,
Spain,,,,,,,,,,,,,,6.5,6.5,6.5,6.5,6.5,6.5,5.74,4.98,4.22,3.46,2.7,3,3.3,3.6,3.9,4.2,3.66,3.12,2.58,2.04,1.5,1.7,1.9,2.1,2.1,2.3,2.4,1.5,1.7,2.3,2.3,2.8,3.1,3.4,2.9,3.2,3.2,2.2,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,8.2,5.5,3.1,2.3,2.2,2.9,3.9,3.4,3.5,3.5,3,1.8,1.4,1,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,96.975,97.25,97.525,97.8,97.42,97.04,96.66,96.28,95.9,95.5,95.1,94.7,94.3,93.9,93.5,92.94,92.38,91.82,91.26,90.7,,,
Finland,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,41.4667,40.6333,39.8,38.9667,38.1333,37.3,37,36.7,36.4,36.1,35.8,,,,,
France,,,,,,,,,,,,2.2,2.3333,2.4667,2.6,2.7333,2.8667,3,2.74,2.48,2.22,1.96,1.7,1.4,1.1,0.8,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2667,0.3333,0.4,0.2,0.2,0.2,0.1,0.1,0.3,0.3,0.2,0.3,0.2,0.1,0.3,0.2,0.1,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.1,54.1083,52.1167,50.125,48.1333,46.1417,44.15,42.1583,40.1667,38.175,36.1833,34.1917,32.2,
"United Kingdom",,,5,4.2,3.4,2.6,1.8,1,1.04,1.08,1.12,1.16,1.2,1.3429,1.4857,1.6286,1.7714,1.9143,2.0571,2.2,2,1.8,1.6,1.4,1.2,1.1333,1.0667,1,2,1.75,1.5,1.25,1,1.04,1.08,1.12,1.16,1.2,1.2,0.8,0.8,1,0.6,0.7,0.7,0.6,0.4,0.6,0.7,0.5,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,64.5,64.3,71.8,73.5,76.1,62.8,62.4,58.8,61.3,62.2,64.5,60,59.9,60.8,59,54.9,49.5,45.7,44.8,43.3,43,42.5
Ghana,,,,,,,,,,,,,,,,,,,,,93.8,92.6,92.7333,92.8667,93,91.8571,90.7143,89.5714,88.4286,87.2857,86.1429,85,83.8143,82.6286,81.4429,80.2571,79.0714,77.8857,76.7,74.2857,71.8714,69.4571,67.0429,64.6286,62.2143,59.8,58.925,58.05,57.175,56.3,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,100,96.4667,92.9333,89.4,90.1,90.8,91.5,92.2,92.9,93.6,94.3,95,94.98,94.96,94.94,94.92,94.9,94.42,93.94,93.46,92.98,92.5,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2,93.62,92.04,90.46,88.88,87.3,86.3571,85.4143,84.4714,83.5286,82.5857,81.6429,80.7,79.1,77.5,75.9,74.3,72.7,,,
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,95.8333,95.8667,95.9,95.9333,95.9667,96,96.0333,96.0667,96.1,95.8125,95.525,95.2375,94.95,94.6625,94.375,94.0875,93.8,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.1,3.7,3.3,2.9,2.5,2.2,1.9,1.6,1.7,1.6,1.9,1.7,1.2,1.5,2.4,4.8,6.3,7.1,7.1,7,5.6,4.7,
Guatemala,,,,,,,,,,,,,,,,,,,,85,80.9667,76.9333,72.9,70.3667,67.8333,65.3,62.7667,60.2333,57.7,55.1667,52.6333,50.1,47.6,45.1,44.8667,44.6333,44.4,44.1667,43.9333,43.7,44.375,45.05,45.725,46.4,47.075,47.75,48.425,49.1,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,81.4,76.1833,70.9667,65.75,60.5333,55.3167,50.1,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,80.1,82.1,78.9,75.8,69.2,69.1,70.2,72.5,64.5,64.3,65.6,60.7,55.8,61,64.4,63.9,61.4,55.9,53.5,50.7,47.6,50.6,53.2,57.8,56,54.9,54.7,53.6,53.6,50.9
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.8,6.9,6.8,6.7,5.8,5,4.1,3.6,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.5,1.9,1.8,1.5,1.4,2.5,2.8,4.3,4.3,3.1,2.7,2.6,3,
Indonesia,,,,,,,,,,,,,,,,,,97.9,97.9667,98.0333,98.1,97.5,96.9,96.3,96.2333,96.1667,96.1,95.1667,94.2333,93.3,95.45,97.6,94.7,95.1,94,88.6,87,87,85.9,87.9,83,83.2,81.9,75.5,72.2,71.4,68.7,66.6,64.3,59.7,55.8,53.2
India,,,,,,,,,,,97.1,97.0167,96.9333,96.85,96.7667,96.6833,96.6,96.375,96.15,95.925,95.7,95.6667,95.6333,95.6,95.5667,95.5333,95.5,95.2636,95.0273,94.7909,94.5545,94.3182,94.0818,93.8455,93.6091,93.3727,93.1364,92.9,92.54,92.18,91.82,91.46,91.1,89.25,87.4,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,3.7,3.2714,2.8429,2.4143,1.9857,1.5571,1.1286,0.7,1,1,0.875,0.75,0.625,0.5,0.4667,0.4333,0.4,0.3,0.2,0.6,0.4,0.6,1.2,1.5,1.2,0.9,1.4,0.9,0.8,0.7,,
Iran,,,,,,,,,,,,,,,,,,,,45.6,45.525,45.45,45.375,45.3,44.25,43.2,42.15,41.1,39.925,38.75,37.575,36.4,33.4286,30.4571,27.4857,24.5143,21.5429,18.5714,15.6,16.5,15.9667,15.4333,14.9,13.65,12.4,11.15,9.9,12.3,12.7,13.5,12.9,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,56.2333,55.4667,54.7,53.9333,53.1667,52.4,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.2,0.3,0.2,0.1,0.2,0.2,0.5,0.2,0.1,0.1,0.1,,,
Israel,,,,,,,,,,,,,4.7,4.9143,5.1286,5.3429,5.5571,5.7714,5.9857,6.2,5.5333,4.8667,4.2,3.5333,2.8667,2.2,2.4,2.6,2.8,3,3.2,3.025,2.85,2.675,2.5,3.375,4.25,5.125,6,5.35,4.7,4.5333,4.3667,4.2,4.35,4.5,4,3.5,3.1,2.7,,
Italy,,,,,,,,,,,,,,,,,,,,1.5,2.7,1.6,0.5,0.85,1.2,2.45,3.7,3.2,2.7,2.9667,3.2333,3.5,3.25,3,2.6,2.2,1.8,1.5,1.7,1.4,1.6,1.7,1.8,2.5,2.4,2.9,2.8,2.7,3.4,3.2,3.1,
Jamaica,,,,,,,,,,,,,,,,,,,,,,45.8,47.65,49.5,54.4667,59.4333,64.4,57.2,50,42.8,38.7,34.6,30.5,31.5333,32.5667,33.6,31.45,29.3,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,23.2,26.6667,30.1333,33.6,37.0667,40.5333,44,44.26,44.52,44.78,45.04,45.3,43.36,41.42,39.48,37.54,35.6,32.8,30,27.2,24.4,23.7,23,20.25,17.5,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.95,0.5,0.7333,0.9667,1.2,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,54.4,56.2,58,59.8,61.6,58.6,52.9,48.1,48.9,30.7,20.3,18,19,14.6,7,7,4.4,5,6,9.6,6.6,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,80.35,84.5,84.1,83.7,83.3,83.925,84.55,85.175,85.8,86.425,87.05,87.675,88.3,88.13,87.96,87.79,87.62,87.45,87.28,87.11,86.94,86.77,86.6,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4,83.8,92.2,93,91.3,91.2,74,79.9,66.5,66.9,58.8,57.8,60.8,60.2,63.5,64.3,60.7,63.9,61.4,60.5,54.8
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,1.35,1.5,1.35,1.2,,,,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,89.8,90.76,91.72,92.68,93.64,94.6,94.04,93.48,92.92,92.36,91.8,91.06,90.32,89.58,88.84,88.1,87.36,86.62,85.88,85.14,84.4,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,97.2714,96.7429,96.2143,95.6857,95.1571,94.6286,94.1,93.65,93.2,,
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.3,82.1857,79.0714,75.9571,72.8429,69.7286,66.6143,63.5,60.3857,57.2714,54.1571,51.0429,47.9286,44.8143,41.7,38.5857,35.4714,32.3571,29.2429,26.1286,23.0143,19.9,,
"Sri Lanka",,,,,,,,,,,,,,,,,,,81.9,81.8,81.7,81.6,81.5,81.4,80.34,79.28,78.22,77.16,76.1,75.0714,74.0429,73.0143,71.9857,70.9571,69.9286,68.9,66.5,64.1,61.7,59.3,58.5333,57.7667,57,55.3667,53.7333,52.1,49.5,46.9,44.3,41.7,,
Lesotho,,,,,,,,,,,,,,,,,,,,85,84.15,83.3,82.45,81.6,80.75,79.9,79.05,78.2,79.95,81.7,83.45,85.2,86.95,88.7,90.45,92.2,90.9667,89.7333,88.5,87.2667,86.0333,84.8,83.5667,82.3333,81.1,79.8667,78.6333,77.4,76.1667,74.9333,73.7,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,12.1,7.1,4.3,4.5,8.9,8.2,5.3,5.5,4.9,4.8,4.2,4.5,3.8,
Luxembourg,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.1,0.1,0.125,0.15,0.175,0.2,0.1,0.2,0.3,0.3,0.3,0.6,0.3,0.7,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,14,7.7,4.9,6.1,9.5,9.5,8.7,7.4,6,5.5,3.9,3.6,3.4,
Morocco,,,,,,,,,,,,,,,,,,67.1,63.8667,60.6333,57.4,54.1667,50.9333,47.7,49.0375,50.375,51.7125,53.05,54.3875,55.725,57.0625,58.4,58.65,58.9,56.9167,54.9333,52.95,50.9667,48.9833,47,44.6,42.2,39.8,37.4,35,32.6,30.2,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,82.9,87.9,90.1,85,75.5,67.8,68.5,73.9,39.9,31,32.4,31,28.3,25,24,19.2,17.9,15.5,15.9,15.8,12.8
Madagascar,,,,,,,,,,,,,,88.5,89.1154,89.7308,90.3462,90.9615,91.5769,92.1923,92.8077,93.4231,94.0385,94.6538,95.2692,95.8846,96.5,96.575,96.65,96.725,96.8,96.65,96.5,95.4,94.3,94.975,95.65,96.325,97,97.1,97.2,97.3,97.4,97.5,97.4,97.3,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,59.8429,56.9857,54.1286,51.2714,48.4143,45.5571,42.7,37.0857,31.4714,25.8571,20.2429,14.6286,9.0143,3.4,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,39.7,41.7,43.7,45.7,45.5,45.3,53.35,61.4,57.4,53.4,48.6,43.8,42.2,40.6,39,37.4,36.7,33.1,33.25,33.4,33.35,33.3,32.45,31.6,32.45,33.3,29.35,25.4,24.05,22.7
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,34.1,32.2,31.2,29.5,26.1,24.7,21.5,19.5,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7,97.3286,96.9571,96.5857,96.2143,95.8429,95.4714,95.1,94.56,94.02,93.48,92.94,92.4,93.2667,94.1333,95,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1,0.5,0.8,0.5,0.5,0.4,0.2,0.1,0.3,0.3,0.3,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,58.15,54.3,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,20.2,20.5,19.3,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2,76.6667,83.1333,89.6,84,78.4,72.8,67.2,61.8,56.4,51,45.6,40.2,39.2667,38.3333,37.4,31.9,23.5,20.85,18.2,24.4,30.6,29.1,27.6
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,96.6333,96.6667,96.7,96.7333,96.7667,96.8,96.7167,96.6333,96.55,96.4667,96.3833,96.3,95.6167,94.9333,94.25,93.5667,92.8833,92.2,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,86.8,87.0833,87.3667,87.65,87.9333,88.2167,88.5,83.65,78.8,77.96,77.12,76.28,75.44,74.6,74.7,74.8,74.9,75,72.425,69.85,67.275,64.7,63.7167,62.7333,61.75,60.7667,59.7833,58.8,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,20.5667,20.0333,19.5,18.9667,18.4333,17.9,16.86,15.82,14.78,13.74,12.7,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.8,94.2714,94.7429,95.2143,95.6857,96.1571,96.6286,97.1,96.95,96.8,96.65,96.5,96.35,96.2,96.3,96.4,96.5,96.6,96.7,96.8,,
Malaysia,,,,,,,,,,,,,,,,,,32.3,32.5,32.7,32.9,32.7,32.5,31.7667,31.0333,30.3,30,29.7,29.4,25.65,21.9,20.5,19.1,17.7,16.3,14.9,13.5,12.1,12.8333,13.5667,14.3,16.7,14,11.3,8.6,6.3,4,3.35,2.7,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,72.8333,71.8667,70.9,69.9333,68.9667,68,65.1667,62.3333,59.5,56.6667,53.8333,51,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,98.35,98.4,98.2818,98.1636,98.0455,97.9273,97.8091,97.6909,97.5727,97.4545,97.3364,97.2182,97.1,96.95,96.8,96.55,96.3,96.05,95.8,95.0667,94.3333,93.6,,,,
Nigeria,,,,,,,,,,,,,,,,,,,94.3,94.1857,94.0714,93.9571,93.8429,93.7286,93.6143,93.5,93.475,93.45,93.425,93.4,93.6143,93.8286,94.0429,94.2571,94.4714,94.6857,94.9,94.5667,94.2333,93.9,93.5667,93.2333,92.9,92.8,92.7,92.6,92.5,92.4,92.3,92.2,92.1,92
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8,73.84,72.88,71.92,70.96,70,67.7667,65.5333,63.3,61.075,58.85,56.625,54.4,53.35,52.3,51.25,50.2,47.24,44.28,41.32,38.36,35.4,,,,
Netherlands,,,,,,,,,,,,,,,,,2.5,2,1.5,1,0.5,0.9,1.3,1.7,2.1333,2.5667,3,2.5833,2.1667,1.75,1.3333,0.9167,0.5,0.56,0.62,0.68,0.74,0.8,0.4,0.2,0.3,0.5,0.3,0.2,0.3,0.2,0.2,0.4,0.4,0.3,0.4,
