Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"United Kingdom",2147000000,1174000000,1116000000,1297000000,1405000000,1471000000,1336000000,1976000000,1617000000,1761000000,887000000,2194000000,2464000000,2751000000,2337000000,2416000000,2494000000,2188000000,2201000000,1501000000,1702000000,2433000000,2571000000,2559000000,2552000000,2121000000,1965000000,3597000000,2553000000,3548000000,1866000000,1522000000,1179000000,1421000000,1539000000,1475000000,1662000000,2384000000,1412000000,1368000000,1633000000,1387000000,1100000000,754000000,1216000000,1060000000,997000000,984000000,987000000,1080000000,1157000000,1055000000,929000000,1608000000,1651000000,1179000000,1376000000,1225000000,699000000,972000000
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000000,69000000,69000000,69000000,42500000,16000000,15166666.6667,14333333.3333,13500000,12666666.6667,11833333.3333,11000000,10166666.6667,9333333.3333,8500000,7666666.6667,6833333.3333,6000000,7000000,,
Ghana,,,,,,,,,,,,,,,,,,,,6000000,6500000,7000000,7500000,8000000,8500000,9000000,9500000,10000000,10500000,11000000,11500000,12000000,12500000,13000000,13500000,14000000,14500000,15000000,15500000,16000000,16500000,17000000,17500000,18000000,18500000,19000000,,,,,,,,,,,,,,
Greece,,,,,7000000,1000000,1518518.5185,2037037.037,2555555.5556,3074074.0741,3592592.5926,4111111.1111,4629629.6296,5148148.1481,5666666.6667,6185185.1852,6703703.7037,7222222.2222,7740740.7407,8259259.2593,8777777.7778,9296296.2963,9814814.8148,10333333.3333,10851851.8519,11370370.3704,11888888.8889,12407407.4074,12925925.9259,13444444.4444,13962962.963,14481481.4815,15000000,10000000,18000000,18500000,19000000,31000000,9000000,3000000,2000000,2000000,4000000,6000000,22000000,13000000,23000000,23636363.6364,24272727.2727,24909090.9091,25545454.5455,26181818.1818,26818181.8182,27454545.4545,28090909.0909,28727272.7273,29363636.3636,30000000,,
Guyana,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,2058823.5294,2117647.0588,2176470.5882,2235294.1176,2294117.6471,2352941.1765,2411764.7059,2470588.2353,2529411.7647,2588235.2941,2647058.8235,2705882.3529,2764705.8824,2823529.4118,2882352.9412,2941176.4706,3000000,,
Hungary,,,,,,,18000000,18000000,37000000,28000000,21333333.3333,14666666.6667,8000000,44000000,8000000,8000000,7200000,6400000,5600000,4800000,4000000,30000000,4000000,4000000,5700000,7400000,9100000,10800000,12500000,14200000,15900000,17600000,19300000,21000000,13500000,6000000,15000000,24000000,26000000,28000000,30000000,32000000,34000000,50000000,66000000,82000000,45500000,9000000,14333333.3333,19666666.6667,25000000,30333333.3333,35666666.6667,41000000,,,,,,
Indonesia,,,,7000000,7714285.7143,8428571.4286,9142857.1429,9857142.8571,10571428.5714,11285714.2857,12000000,11625000,11250000,10875000,10500000,10125000,9750000,9375000,9000000,6500000,4000000,4800000,5600000,6400000,7200000,8000000,4000000,5714285.7143,7428571.4286,9142857.1429,10857142.8571,12571428.5714,14285714.2857,16000000,16000000,25000000,16500000,8000000,28500000,49000000,32500000,16000000,49000000,37000000,25000000,8000000,8000000,4500000,1000000,3333333.3333,5666666.6667,8000000,23600000,39200000,54800000,70400000,86000000,94000000,15000000,8000000
India,,,,,,,,,1000000,3000000,5000000,7000000,2000000,21000000,24000000,31000000,29666666.6667,28333333.3333,27000000,22000000,15333333.3333,8666666.6667,2000000,1833333.3333,1666666.6667,1500000,1333333.3333,1166666.6667,1000000,2000000,3000000,3000000,3000000,9000000,2000000,2000000,5800000,9600000,13400000,17200000,21000000,2000000,3000000,4000000,27000000,19000000,33000000,23000000,15000000,27000000,5000000,3000000,8500000,14000000,36000000,42000000,45000000,56000000,43000000,115000000
Ireland,,,,,,,,,,,,,,,,,,,2000000,9000000,9000000,2000000,2583333.3333,3166666.6667,3750000,4333333.3333,4916666.6667,5500000,6083333.3333,6666666.6667,7250000,7833333.3333,8416666.6667,9000000,9583333.3333,10166666.6667,10750000,11333333.3333,11916666.6667,12500000,13083333.3333,13666666.6667,14250000,14833333.3333,15416666.6667,16000000,32000000,31000000,28000000,28000000,26000000,1000000,26000000,27000000,14000000,,,,,
Iran,,,3000000,8000000,13000000,18000000,23000000,28000000,26333333.3333,24666666.6667,23000000,6000000,106000000,6000000,129000000,81000000,72111111.1111,63222222.2222,54333333.3333,45444444.4444,36555555.5556,27666666.6667,18777777.7778,9888888.8889,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2166666.6667,2333333.3333,2500000,2666666.6667,2833333.3333,3000000,9000000,1000000,2000000,75000000,59000000,43000000,45000000,45000000,86000000,21000000,12000000,47000000,15000000,5000000,20000000,,
