Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burundi,,,,,,,,,,,16331428.57,18544000,20174857.14,28385774.62,32778412.7,36111746.03,36680579.71,43157777.78,50360000,72806666.67,63285555.56,70860000,83547777.78,90438945.67,77319355.11,84263816.39,94531838.49,119821948.9,105953915.7,130127877.9,133812151.5,148352459.6,93133560.25,79077429.98,86506532.42,82619976.14,54500412.88,94802299.99,92113341.62,91378496.52,94893712.38,95788227.37,91509292.41,86649686.5,104804589.2,132769070.9,132013381,150665094,155099457.6,169067238.3,187887952.7,208355990.5,206047290.7,234025960.2,273939176.1,273235210.2,277077668.3
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,14076503.93,19851847.35,19242793.21,23268840.87,38692827.35,40227467.51,48231188.8,46923402.59,53843020.6,62010408.18,65538468.24,57572176.94,63572664.48,59811440.36,49948220.82,40520080.7,46847433.93,57015564.52,59232128.78,62726158.59,64341989.31,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218336994.8,247148264.9,314717766.8,354012485.3,400794978.1,395081932.8,464169076.2,585041601.6,668095067.4,754338332.6,847999803.9,1002594154,1120455882,1350499121,1497416847,1588749847,1499653481,1651926411,1946574136,2123227072,2358904040,2571795667,2890478521,3201715952
Cameroon,,,,,,77537129.06,82429598.18,91258267.8,97582435.81,113187599.3,118843770.1,127529393.4,148551801.8,180105629.5,221510399,283234659,324319589.3,301519896.1,363371815.2,470324991.8,593198067.9,738384183.8,832570727.9,820237404.7,875419842.3,896666809.5,1272637256,1570032395,1646095853,1565185550,1580871238,1761554341,1587487273,2744158193,1932401005,1758510261,1810385803,1774109373,1843107270,2040272191,1789027493,1860139607,2074277144,2553694022,2819023927,2861899370,2937357775,2795246823,3232326638,3500592880,3546599176,3558181018,3614601458,3931009635,4217272939,3659314954,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179000000000,170000000000,143000000000,167000000000,184000000000,189000000000,183000000000,,,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26075972.3,,,,,,,,,,
"Central African Republic",,,,,,5712865.66,6919615.24,8536554.14,9290500.63,8847494.58,11577294.18,11984463.78,15077713.71,18394789.88,21603230.02,26596635.11,25946800.7,30934590.85,47860481.38,55471564.71,53956936.68,48577364.05,54472479.68,54058876.94,49661671.28,78114601.02,85863394.18,100297268.3,119070721.3,117758691.5,154232203.4,156731366.7,148655908.5,135692354.9,81085408.68,109923221.2,75599293.44,53573135.75,55723196.37,58027473.49,53546812.44,53410584.03,58221756.7,66133271.78,73327856.87,81405682.73,90956015.42,106393766.5,125559693,125895224,124271872.1,137189342.5,133434640.4,123271395,132370579.4,107728555,
Chad,18996554.47,21990595.55,21014594.01,23014448.15,26015356.72,25246803.29,38917610.49,47836696.5,52485166.21,49982479.58,48785539.65,52526916.47,62252052.12,78091905.41,79439605.75,105237436.8,96437470.74,101778639.3,115579325.9,110826030.56,106072735.22,101319439.88,96566144.54,91812849.2,118341977.7,104925295.5,123392206.3,127451605.2,152054719.9,182804040.2,238555426.8,193733203.6,193404822.1,157729533.5,106987566.9,158870588.4,162815774.1,178312992.9,188058177.3,150102646.2,118950026.3,157455788.2,180122085.7,209939610.3,221660740.6,15460650.61,51645651.73,58349885.49,79469789.21,92200444.61,103672619,209867330.8,254638784.1,352267488.5,374228128.2,304111340,298197499.5
Chile,845454545.5,965454545.5,1213636364,1280000000,1385217391,1367187500,1534615385,1578627451,1743188406,1998720930,2218407080,2543196721,2635288462,4338701117,4585671390,1463828717,2293767663,2905002971,3448331459,4403225396,5910538462,7288230769,4585916323,4067572027,4435672218,2584185006,3166614834,3623221366,4361809722,4968136355,5613414234,6609967929,7952101605,8570653438,9796170689,12619205081,13142613933,14045567036,13174814377,12258300938,13142796787,12443954331,12261742202,12883314064,15826296743,17573136904,19948544053,20755798348,20020488098,19369081230,23542005158,27776805629,28863807241,30943912068,29123788402,27675463745,27118142663
China,,,,,,,24186156390,20319205459,18283182996,23347136323,30879673369,34552717402,40476067970,49490047150,50721232001,61448446177,56960070104,67814791958,59968536870,70634113130,76199750125,74376428849,75432908244,83100490460,90841714536,107000000000,104000000000,93155489036,107000000000,118000000000,117000000000,123000000000,138000000000,150000000000,188000000000,245000000000,287000000000,316000000000,325000000000,342000000000,385000000000,419000000000,457000000000,539000000000,625000000000,734000000000,893000000000,1150000000000,1480000000000,1610000000000,1920000000000,2370000000000,2620000000000,2860000000000,,,
Colombia,,,,,,1139657143,1052800000,1079618383,1077235648,1174723035,1487351037,1593414036,1853091687,2344124522,2867848222,3042146957,3708834126,4642004449,5406190050,6277548104,7772276076,7755940627,8268945695,8125974067,8458015721,7462808750,7853946859,7390175127,8296565903,8258606931,8034271095,8422356844,9548310543,11168274309,12159388996,13507039019,13906749192,14628973107,13770117580,11861159229,13916897813,13883228435,13742922401,13480676168,16874480554,20717550612,23169322404,29984239942,33983643840,30778555963,36620727520,41391356010,45181248396,44957010310,43400351987,33230473286,32517040824
Comoros,,,,,,,,,,,,,,,,,,,,,4832500.15,4405122.23,3931790.14,3978346.88,391346.44,4200248.1,5954323.24,7353576.97,7967212.22,7940299.17,10522932.83,10311781.63,11840283.86,11855479.69,11080723.58,9653883.95,9594432.57,8829298.93,8968066.63,9266425.65,8757853.3,9161859.89,10330155.6,13295439.44,15410871.61,15482760.04,16424626.65,18861566.82,19809196.91,26418937.83,27707035.52,35055120.12,35870535.69,42066446.68,46088319.02,42440228.46,
