Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ghana,30000000,32000000,35000000,304000000,325000000,357000000,374000000,383000000,441000000,495000000,867000000,910000000,990000000,970000000,849000000,706000000,797000000,1154000000,1010000000,1027000000,911000000,952000000,919000000,996000000
Guinea,911000,9300000,4800000,4300000,5800000,7800000,8200000,7016666.6667,5833333.3333,4650000,3466666.6667,2283333.3333,1100000,2400000,4900000,2040000,2120000,1680000,9390000,17100000,8200000,16600000,16600000,7700000
Gambia,28000000,67000000,76000000,73000000,70000000,67000000,64000000,61000000,58000000,51000000,59000000,69000000,87000000,80200000,64000000,80000000,86000000,104000000,78000000,110000000,121000000,120000000,116000000,168000000
"Guinea Bissau",,,3100000,3000000,2900000,2800000,2700000,2300000,2400000,2200000,1600000,2800000,28400000,38200000,12000000,13600000,14500000,6800000,17400000,20800000,17300000,11500000,16440000,20000000
"Equatorial Guinea",1000000,4000000,5000000,400000,10000000,5000000,14000000,,,,,,,,,,,,,,,,,
Greece,4182000000,3759000000,3794000000,6188000000,8839000000,9264000000,9219000000,10012000000,10852000000,12815000000,13455000000,14502000000,15683000000,17608000000,16038000000,13857000000,16269000000,14665000000,17433000000,19489000000,17547000000,16811000000,19139000000,21594000000
Grenada,76000000,79000000,78000000,83000000,88000000,93000000,83000000,91000000,104000000,86000000,71000000,94000000,129000000,127000000,112000000,112000000,117000000,122000000,120000000,388000000,422000000,437000000,482000000,548000000
Guatemala,216000000,221000000,270000000,329000000,374000000,498000000,588000000,647000000,646000000,630000000,791000000,919000000,1055000000,1335000000,1359000000,1378000000,1350000000,1419000000,1479000000,1564000000,1580000000,1552000000,1571000000,1553000000
Guyana,33000000,112000000,115000000,111000000,109000000,80000000,65000000,53000000,28000000,27000000,35000000,37000000,50000000,59000000,35000000,80000000,95000000,64000000,77000000,79000000,65000000,104000000,95000000,28000000
"Hong Kong",9604000000,11994000000,9979000000,7337000000,7343000000,8198000000,7923000000,9849000000,9004000000,11874000000,13588000000,15541000000,18237000000,20236000000,20291000000,27208000000,33169000000,37098000000,42426000000,46352000000,42491000000,37838000000,38170000000,41870000000
Honduras,85000000,119000000,152000000,175000000,214000000,263000000,260000000,305000000,372000000,420000000,465000000,515700000,546600000,619800000,616100000,626700000,641500000,683700000,618000000,706000000,671000000,700000000,722000000,745000000
Croatia,1349000000,2014000000,2523100000,2733400000,2595000000,2871000000,3463000000,3952000000,6513000000,6945000000,7625000000,8296000000,9617000000,11615000000,9300000000,8299000000,9598000000,8912000000,9715000000,10079000000,9018000000,9820000000,11128000000,12075000000
Haiti,90000000,96000000,107000000,131000000,135000000,128000000,105000000,108000000,96000000,93000000,80000000,126000000,190000000,360000000,416000000,383000000,456000000,447000000,546000000,578000000,609000000,511000000,460000000,620000000
Hungary,2938000000,3589000000,3824000000,3688000000,3622000000,3809000000,4191000000,3774000000,4119000000,4009000000,4761000000,4998000000,5628000000,7533000000,7013000000,6595000000,7239000000,6149000000,6671000000,7483000000,6929000000,7481000000,8448000000,9595000000
Indonesia,5229000000,6184000000,6648000000,4255000000,4352000000,4975000000,5277000000,5797000000,4461000000,5226000000,5094000000,4890000000,5831000000,8150000000,6053000000,7618000000,9038000000,9463000000,10302000000,11567000000,12054000000,12566000000,14691000000,15600000000
India,2582000000,2831000000,2890000000,2949000000,3010000000,3598000000,3342000000,3300000000,4560000000,6307000000,7659000000,8915000000,11234000000,12462000000,11136000000,14490000000,17708000000,18340000000,19042000000,20756000000,21472000000,23111000000,27878000000,29143000000
