Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"El Salvador",0.4,0.4,0.3,0.7,0.6,1.1,0.5,1.6,0.6,1.1,1.3,1,1.8,1.2,1.5,1.5,1.4,1.6,1.7,2.1,1.8,2,2.8,2.5,1.3,1.3286,1.3571,1.3857,1.4143,1.4429,1.4714,1.5,2.8,2,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.9,3.5,3.5,2.9,2.3,2.7,2.7,3.4,3.1,2.8,3.5,3.1,3.3,2.8,3.8,3.1,3.1,4,3.5,3.1,3.9,3.5,
"England and Wales",4.3,4.3,4.8,4.8,4.8,5,5.1,5.2,5.3,5.3,5.8,5.5,5.2,5.7,5.8,5.4,5.6,5.5,5.9,5.8,5.7,5.6,5.6,5.7,5.5,5.7,5.6,5.6,5.8,5.7,5.6,5.4,5.6,5.5,5.6,5.5,5.4,5.4,5.4,5.3,5,5.3,5.1,4.9,4.9,5,4.5,4.7,4.7,4.6,4.6,4.8,4.7,4.9,4.5,4.4,4.6,4.4,4.3,4.2,4.1,4.1,4.2,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,8.3,8.1333,7.9667,7.8,5.9,5.8,7,6.6,6.3,7.6,5.2,7.2,7.9,5.3,7.7,6.1,5.4,5.7,5.4,5.1,5.4,7,7.2,7.6,5.6,7.8,5.8,7.3,6.7,5.2,7.3,
Finland,,,3.7,3.6,5.1,6.2,6,5.9,5,5.5,6.5,6.2,6.8,6.7,7.3,7,7,6.8,6.5,7,7.3,6.8,7.7,6.5,6.9,7.8,7.4,5.3,7.2,6,5.6,7.6,6.4,5.7,6.4,6.6,5.5,5,5.4,5.5,5.1,4.9,4.6,4.9,5,4.4,4.6,4.9,4.4,5,4.4,4.6,4,3.9,3.8,4.1,4,3.8,4.3,3.4,3.3,3.3,2.8,2.9
France,4,4.35,4.7,5.3,5.5,5.6,5.9,5.8,6.1,5.8,6.2,6,6.8,6.4,6.5,6.5,6.7,6.7,7.1,6.8,6.7,6.6,6.9,6.9,7.1,7,7.2,7.3,7.3,7.1,7,7,6.8,7.1,6.9,7.1,6.9,6.5,6.1,6.3,6.3,6.1,6.1,5.9,5.8,5.8,5.7,5.7,5.5,5.4,5.5,5.8,5.5,5.5,5.2,5.3,5.3,5.1,5,4.9,4.6,4.8,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,4.1,3.9,3.7,3.5,3.9,4.1,4.6,4.4,3.3,3.1,3,2.7,2.4,2.8,2.1,2.2,2.7,2.2,2.6,1.6,2.0333,2.4667,2.9,2.3,2.5,2.3,2.55,2.8,1.1,1.9,3,
Germany,,,,,,,,,,,,,,,,,,,,,,,,6,6,6.1,6.5,6.1,6.2,6.15,6.1,5.9,6.3,5.7,5.6,5.8,5.9,5.9,5.9,5.8,5.8,6,5.9,5.7,5.7,5.4,5.4,5.4,5.5,5.4,5.2,5.1,4.9,4.8,4.9,4.8,4.7,4.5,4.6,4.2,4.2,4.4,4.3,4.3
Greece,,,,,,,,,,,,7,6.5,7.2,7.5,6.9,7.4,7.5,7.5,7.3,6.7,6.7,6.8,7.1,6.5,7.6,7.3,6.3,6.9,6.8,6.3,7.1,5.6,6.6,6.5,6.3,5.6,6,6.2,5.5,5.4,5.2,6.1,5.6,5.8,6.7,5.8,5.5,5.5,5.9,5.9,6.4,5.6,6.3,6.1,6.1,5.5,5.9,6.7,5.9,5.5,5.1,5.2,
Guatemala,,,,,,,,,,,,,,1.1,1.9,1.6,1,1.2,1.2,1.3,1.3,1.5,1.6333,1.7667,1.9,1.3,1.1,1.8,1.2,1.6,1.4,2.2,1.9667,1.7333,1.5,1.4,1.3,1.9,1.9,1.9,1.7,2.4,1.5,2.3,2.5,2.6,2.2,2.8,3.2,2.7,2.9,2.8,3.6,3.6,3.5,3.1,3.7,3.9,3.5,3.6,3.9,3.4,3.5,
"Hong Kong",,,,,,1.6,1.7,2.3,3,2.3,2.5,2.8,3.4,3,2.6,3.6,3.4,3.2,4.4,3,3.6,2.7,3.1,3.3,3.6,4.1,3.1,3.8,4.7,4.8,3.9,4.3,3.5,3.3,4.2,4.2,3.4,3.8,4.2,3.4,3.7,3.3,3.8,3.3,3.4,3.4,3.2,3.6,3.7,3,3,3.5,3.3,2.8,3.2,3.3,3.1,3.5,3.2,2.8,3.5,3.6,3.1,2.8
