Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mauritania,-7,9.9,-2.8,-3.7,1.1,-0.406,-1.517,2.644,-1.117,-3.58
Mauritius,-2.5,-5.5,-4.3,-3.4,-3.4,-3.208,-3.364,-1.841,-3.507,-3.448
Mexico,-1.616367023,0.11,0.005,-0.1,-0.2,-4.105,-3.42,-3.713,-3.85,-4.625
Moldova,,,,,-6.82611,-2.474,-2.383,-2.092,-1.754,-1.746
Mongolia,2.9,9,2.2,-4.975530179,-5.43263,1.201,-3.614,-6.982,-10.09,-10.972
Montenegro,,-0.3,3,0.851723753,-2.9375,-3.822,-6.49,-4.004,-2.372,-0.757
Morocco,-5.9,-4.1,-3.4,0.8,-2.5,-1.808,-6.936,-7.538,-5.446,-4.891
Mozambique,-2.3,-2,-5.1,-4.4,-5.7,-3.622,-4.939,-2.963,-4.605,-8.442
"Burma (Myanmar)",,,,,,,,-5.295,-4.903,-4.315
Namibia,-1.1,2.2,1.9,-3.6,-2,-7.009,-7.929,-4.116,-4.674,-5.201
Nepal,,,-4,-5.7,-2.4,-1.871,-1.673,-0.62,1.96,2.195
Netherlands,-0.3,0.5,0.6,0.789,-4.547,-5.175,-4.996,-4.147,-3.118,-2.269
"New Zealand",5.8,5.6,3.487,0.055,0.392,-6.262,-6.185,-2.644,-0.557,-0.604
Nicaragua,-0.624965014,-2.6,-3.1,-4.1,-2.3,0.178,0.484,-0.524,-0.459,-1.068
Nigeria,10.7,9.8,5.6,0.9,-5.2,-7.189,1.08,0.917,-4.853,-2.311
Norway,15.2,19.3,16.85,18.82,-6.849,10.875,13.099,13.838,11.108,8.773
Oman,,7.6,13.7,3.8,0.8,7.461,9.815,11.847,5.839,-1.542
Pakistan,-3.8,-4.2,-4.6,-4.2,-5.4,-5.969,-6.356,-8.16,-7.835,-4.708
Panama,-3.2,0.5,1.2,0.425,-1,-1.976,-2.351,-2.144,-3.027,-4.292
Paraguay,0.8,0.5,1,0.2,0.1,0.937,1.173,-1.012,-1.783,-0.541
Peru,-0.3,2.051,3.1,2.4,-2,-0.592,1.863,2.019,0.479,-0.118
Philippines,-2.7,-1.037,-0.187,-1.1,-3.893,-3.665,-0.826,-0.932,-0.087,0.531
Poland,-4.33,-3.93,-2,-3.913705985,-7.13394,-7.922,-5.231,-3.457,-4.54,-3.451
Portugal,-5.7,-3.9,-2.99,-2.613,-7.813,-7.303,-4.035,-4.892,-4.892,-4.52
"Puerto Rico",,0.853125,-1.1,-3.4,-4,-2.6,-1,-0.95,-5.219234439,
Qatar,9.6,7.5,7,9.3,9.2,11.389,7.761,8.004,11.115,14.538
Russia,8.1,9.2,5.1,5.2,-6.21967,-3.563,1.561,0.422,-1.263,-1.19
Rwanda,,,,,-1.9,-0.5,-1.892,-1.691,-2.467,-3.567
"Saudi Arabia",,20.3,12.6,33.4,-3.249,7.692,15.231,15.206,8.285,-0.454
Senegal,,-5.5,-5.5,-4.5,-4.6,-4.964,-6.124,-5.664,-5.424,-5.063
Serbia,,2.7,0.5,-2.137240886,-4.06221,-3.508,-4.038,-6.965,-5.687,-6.279
Seychelles,,,,,,,2.573,1.85,1.188,3.255
"Sierra Leone",,,,,,,-5.719,-2.792,-2.245,-3.116
Singapore,7.8,6.4,9.088,4.973,-1.6,5.254,7.271,5.647,6.934,4.241
Slovakia,-2.8,-3.4,-2.2,-2.226,-4.863,-8.164,-5.531,-4.909,-2.985,-3.022
Slovenia,-1.1,-0.8,-0.061,-0.268,-4.876,-5.231,-5.676,-3.198,-14.151,-5.807
"South Africa",-0.3,0.3,0.8,-1,-1.2,-5.715,-4.578,-4.772,-4.281,-4.103
Spain,1.1,1.8,2.23,-3.824,-8.408,-9.244,-8.456,-10.318,-7.197,-5.833
"Sri Lanka",-7.2,-7.4,-6.7,-7.5,-9.7,-8.243,-6.912,-6.516,-5.847,-5.913
Suriname,,,,,,-3.579,-0.086,-1.944,-5.971,
Swaziland,,,,,-3.3,-11.524,-6.751,3.657,-0.663,-2.044
Sweden,2.8,2.8,3.199,2.523,-0.625,-0.229,0.114,-0.401,-0.968,-2.129
Switzerland,-0.2,0.9955,2.191,0.933,0.657387936,0.235,0.43,0.287,0.005,0.215
Syria,,-5.2,-5.3,-3.5,-5.7,-4.821,,,,
Tajikistan,-2.9,-5.1,-6,-6.14457699,-8.46572,-2.979,-2.142,-1.476,-0.81,0.132
Tanzania,-4.6,-6,-4.5,-4.6,-4.7,-6.948,-5.961,-5.022,-5.571,-3.883
Thailand,0.2,1.03,-2.397,0.8,-4.439,-2.693,-1.923,-1.701,-0.201,-1.83
"Trinidad and Tobago",2.5,4.1,1,6.5,-5.4,-4.142,0.295,-1.616,-2.308,-3.959
Tunisia,-2.6,-3,-3.1,-3,-2.9,-1.329,-3.114,-4.899,-5.943,-3.499
Turkey,-5.905971555,0.66,-1.2,-1.851212766,-5.46851,-2.617,-0.274,-1.46,-1.504,-1.497
Uganda,-0.7,-2.1,-2.8,-2.2,-2.6,-5.028,-7.248,-3.64,-3.7,-3.938
Ukraine,-2.3,-1.9,-1.3,-1.493017139,-11.4,-5.751,-2.731,-4.642,-4.484,-4.522
"United Arab Emirates",26.9,29.7,28.8,23.2,0.4,3.347,11.023,15.235,10.149,5.989
"United Kingdom",-3,-2.5,-3.015,-5.365,-7.834,-10.441,-8.663,-8.301,-5.8,-5.694
"United States",-3.7,-2.6,-2.492,-6.073,-7.884,-10.585,-9.562,-8.49,-7.339,-5.333
Uruguay,-0.5,-0.566,-0.462,-0.1,-2.3,-1.215,-0.791,-2.616,-2.28,-3.433
Venezuela,1.6,-1.8,-1.4,-1.1,-6.2,-6.003,-5.3,-18.944,-15.058,-14.773
Vietnam,-1.2,-1.7,-1.9,-4.7,-9,-6.414,-2.696,-5.241,-5.691,-5.371
Yemen,,,,,,-4.012,-4.354,-5.482,-7.111,
Zambia,-2.6,-2.5,-1.8,-2.1,-4.4,-3.136,-3.429,-4.494,-8.575,-5.567
Zimbabwe,-1.5,-11.3,-24.6,-39.7,-3.3,-2.312,-2.148,-0.929,-0.091,-1.469
