Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Cayman Islands",,,,7.1,,,,,,,
"Central African Republic",,,,5.3,,,,,,,
Chad,3.3,3.3,3.3,3.2,3.5,4.1,4,3.9,3.563045439,3.739316248,3.891458343
Chile,6.6,6.6,6.6,6.4,6.7,6.7,6.8,6.8,6.645638881,6.724086101,6.92620655
China,4.7,4.7,4.7,5.1,5.5,5.5,5.5,5.5,5.389301469,5.407959858,5.712218576
Colombia,4.9,5,4.9,5,5.1,5.2,5.2,5,4.753272144,4.920162085,5.354060057
Comoros,,,,5.9,,,,,,,
"Congo (Brazzaville)",,,,5.3,,,,,,,
"Costa Rica",5.7,5.7,5.7,5.7,5.9,5.8,5.9,6,5.73579928,5.818359873,6.0598796
Croatia,4.4,4.4,5,4.9,4.7,5.2,5.2,5.0364,4.87274862,4.937977219,4.754056537
Cuba,,,,4.4,,,,,,,
Cyprus,6.3,6.4,6.3,6.6,6.9,6.8,6.6,6.4,6.048057278,6.121045571,5.446776745
"Czech Republic",5.9,5.9,6.1,6.2,6.5,6.4,6.5,6.5,6.273876518,6.532367342,6.860460777
Denmark,8.5,8.5,8.5,8.5,8.1,8.3,8,7.9,7.894361963,7.938450825,8.158382155
Djibouti,,,,6.2,,,,,,,
Dominica,,,,6.8,,,,,,,
"Dominican Republic",4.1,4.5,4.5,4.1,4.6,4.5,4.6,4.9,4.362614646,4.547462882,4.822770016
Ecuador,4,3.9,4,3.9,4.4,4.5,4.6,5,4.8766,4.753228828,4.627424857
Egypt,4.7,4.6,4.7,5,5.2,5.1,4.8,4.6,4.13498424,4.341646472,4.432799863
"El Salvador",4.9,4.9,4.8,4.8,4.9,4.9,4.8,4.9,4.81239456,4.785250744,4.944926567
"Equatorial Guinea",,,,5.7,,,,,,,
Eritrea,,,,4.7,,,,,,,
Estonia,6.4,6.5,6.6,6.7,6,6.7,6.7,6.6607,6.621386912,6.8033119,7.199167974
Ethiopia,3.4,3.5,3.8,4,4,4.5,4.4,4.4,4.006114046,4.211042222,4.717979156
Fiji,,,,5.8,,,,,,,
Finland,8.6,8.6,8.7,8.6,8.5,8.6,8.6,8.5,8.326898773,8.376803528,8.625662376
France,6.9,7,7.1,7.2,7.3,7.4,7.3,7.3,7.208695512,7.258101376,7.336351424
Gabon,,,,5.9,5.6667,5.4333,5.2,4.8164,4.432812473,4.659502458,4.694200619
Gambia,4.1,4.3,4.5,4.7,,,,,,,
Georgia,4.2,4.0333,3.8667,3.7,3.9,4.2,4.2,4.2245,4.248950224,4.600998722,4.707357464
Germany,8.2,8.3,8.2,8,7.8,7.7,7.7,7.8,7.606893394,7.722116103,7.959329706
Ghana,,,,5.2,5,5.5,5.5,5.8,5.612308092,5.457112707,5.645575993
Greece,6,6.1,6,5.9,5.8,5.7,5.4,5.3,5.278838559,5.360565972,5.388713468
Grenada,,,,6.4,,,,,,,
Guatemala,4.4,4.4,4.3,4.3,4.5,4.6,4.7,4.8,4.464496922,4.626983944,5.076824053
Guinea,,,,4.5,,,,,,,
"Guinea Bissau",,,,3.9,,,,,,,
Guyana,3.7,3.6,3.2,3.9,4.2,4.6,4.7,4.7,4.489,4.277949358,
Haiti,,,,3.5,3.4667,3.4333,3.4,3.0353,2.670607633,2.84302447,
Honduras,4.2,4,4.5,4.6,4.7,4.8,4.8,4.5,4.370828311,4.707973648,4.901821933
"Hong Kong",7.6,7.5,7.4,7.5,7.8,7.6,7.7,7.8,7.601907615,7.781788828,7.785630453
Hungary,6.7,6.5,6.6,6.5,6.4,6.4,6.3,6.1,5.825735379,5.664925584,5.991868359
Iceland,8.1,8.1,8.1,7.8,7.2,7.2,7.2,7.2,7.039840742,7.208483872,7.699625011
India,6.1,6.1,5.7,5.5,5.6,5.4,5.5,5.5,5.15489807,5.219545854,5.563708803
Indonesia,4.5,4.5,4.1,4.1,5,4.8,4.9,5,4.899880403,5.018311484,5.166588765
Iran,,,,4.9,3.8,4.2,4.3,4.1325,3.965032358,4.240467543,4.521243257
Iraq,,,,4.1,,,,,,,
Ireland,7.9,8,8,8,7.6,7.6,7.5,7.5,7.430602804,7.578941058,7.872364403
Israel,6.8,6.8,6.6,6.3,6.3,6.6,6.7,6.5,6.242157693,6.410486846,6.974054807
Italy,6.1,6.1,6.2,6,6,6.1,6.1,6,5.588577907,5.65570667,5.979105571
"Ivory Coast",,,,3.1,3.7,3.8,3.9,4.1,4.223874824,4.732418928,4.587281289
Jamaica,5.2,5.2,5.3,5.3,4.7,5.5,5.4,5.5,5.353075829,5.57516601,6.010054885
Japan,7.7,7.8,7.6,7.6,7.6,7.7,7.7,7.8,7.977405246,8.097778559,8.326697427
Jordan,5.7,5.7,5.9,6.1,6.1,5.9,6,6,5.848952186,5.860361881,6.266462853
Kazakhstan,3.9,3.9,4.1,4.3,4,4.3,4.5,4.4938,4.487647439,4.763074634,4.431786695
Kenya,4.1,4.1,4.2,4.3,4.4,4.5,4.6,4.6,4.533378206,4.610563689,4.85581581
Kiribati,,,,3.4,,,,,,,
Kosovo,,,,3.7,,,,,,,
Kuwait,5.6,5.7,5.7,5.8,5.4,5.9,5.8,5.4995,5.199027192,5.161206477,5.379895437
Kyrgyzstan,3.8,3.8,4,4.1,,,,,,,
Laos,,,,,4.8,,,,,,
Latvia,5.4,5.4,5.4,5.4,5,5.6,5.7,5.617,5.534093689,5.696707889,5.341128382
Lebanon,,,,4.5,4,4.3,4.2,3.8352,3.470442607,3.831010218,4.331474326
Lesotho,4.8,4.6333,4.4667,4.3,,,,,,,
Liberia,,,,4.7,4.9,5.1,5.3,5.145,4.99,4.834947074,4.893188768
Libya,,,,3.7,3,4.3,3.4,3.0638,2.727665701,,
Liechtenstein,,,,7.7,,,,,,,
Lithuania,5.8,5.7,5.9,6.2,6,6,6,6.1,5.863537454,5.974723294,5.917759545
Luxembourg,8,8,8,8.1,8.2,8.2,8.1,8.1,8.147163673,8.255755686,8.45934187
Macau,,,,5.6,,,,,,,
"Macedonia (F.Y.R.O.M.)",3.6,3.7,3.8,4.1,4.2,4.7,4.9,4.9262,4.952372995,5.006712726,4.65451675
Madagascar,4.4,4.3,4.2,4.3,3.9,4.2,4.2,4.4,3.820350371,3.844594864,4.063769745
Malawi,4.5,4.4,5.3,4.7,4.6,5.2,5.1,5.1,4.530583195,4.608305413,4.670416338
Malaysia,6.4,6.4,6.3,6.1,6.1,6.5,6.5,6.5,6.601597681,6.752536127,6.610207294
Maldives,,,,4.4,,,,,,,
Mali,4.9,4.9,4.8,4.7,4.3,4.8,4.9,4.5,4.235709539,4.572167265,4.814180809
Malta,6.6,6.6,6.6,6.6,6.1,7,7,7,6.8636,6.727115652,6.88092172
"Marshall Islands",,,,5.5,,,,,,,
Martinique,,,,6.6,,,,,,,
Mauritania,4.9,4.8,4.8,4.4,4.1,4.6,4.7,4.5,3.768080724,3.730633799,4.091108116
Mauritius,5.8,5.8,5.7,5.9,6.3,6.2,6.3,6.3,6.125589671,6.14427771,6.31545244
Mexico,5.1,5.1,4.9,4.7,5,5.1,5.2,5.2,4.749758039,4.787990984,5.194189628
Micronesia,,,,5.8,,,,,,,
Moldova,3.9,4,4.1,4.4,3.6,4,4.1,3.8589,3.617862385,3.723168489,3.178120106
Mongolia,4.8,4.4667,4.1333,3.8,,,,,,,
Montenegro,,3.6,3.9,4.5,4.8,5.2,5.1,4.9164,4.7328,4.549171339,4.191541769
Morocco,5.1,5.1,5.1,5.1,5.3,5.3,5.3,5.2,5.152632476,5.285851803,5.50037533
Mozambique,4.1,4.2,4.2,4.2,4.2,4.7,4.6,4.8,4.214099079,4.310063193,4.625269427
Namibia,6.2,6.2667,6.3333,6.4,,,,,,,
Nepal,3.9,4,4,4,3.9,4.4,4.5,4.5,4.1688728,4.460516472,4.940919903
Netherlands,8.4,8.4,8.4,8.4,8,8.1,8.2,8.1,7.904505024,8.027261358,8.296021517
"New Caledonia",,,,,4.2,,,,,,
"New Zealand",8.2,8.3,8.4,8.3,8.2,8.2,8.4,8.3,8.207379394,8.26562197,8.633485065
Nicaragua,3.7,3.6,3.7,3.6,4.1,4.1,4.4,4.6,4.052583576,3.981321488,3.989936096
Niger,,,,6,,,,,,,
Nigeria,3.4,3.4,3.5,3.8,3.9,3.9,3.9,3.7,3.377760483,3.562215918,3.950457663
"North Korea",,,,3.4,,,,,,,
Norway,8.3,8.4,8.3,8.3,8.2,8.3,8.3,8.3,8.226708666,8.252145612,8.532594328
Oman,6.4,6.4333,6.4667,6.5,6,6.6,6.6,6.3825,6.165056196,5.993277733,6.279720088
Pakistan,3.9,3.9,4,3.9,4.1,4.2,4.1,4.3,3.55676307,3.684479104,3.474252051
Palau,,,,7.4,,,,,,,
Panama,5.3,5.3,5.3,5.4,5.6,5.5,5.6,5.6,5.266983972,5.381235718,5.798207999
"Papua New Guinea",,,,5.7,,,,,,,
Paraguay,3.4,3.5,3.5,3.5,4,4.1,4.2,4.1,3.738421184,4.055644415,4.477807086
Peru,4.1,4.2,4.2,4.3,4.9,5,5,5,4.603496152,4.803126737,5.217302551
Philippines,4.9,4.7,4.6,4.5,4.7,4.8,5,5.0261,5.052197847,5.148782742,5.330936305
Poland,5.3,5.3,5.4,5.5,6.2,6.1,6.2,6.1,5.90425258,5.947293324,6.253334244
Portugal,7.2,7.1,7.1,7,6.9,6.8,6.8,6.8,6.556442209,6.600162058,6.847898925
"Puerto Rico",,,,6.3,5.7,6.3,6.4,,,,
Qatar,6.4,6.4,6.5,6.8,6.4,7.2,7.3,7.3961,7.492256241,7.380981725,7.347770989
Romania,4.7,4.9,4.9,5.4,5.5,5.4,5.3,5.3,5.289938555,5.449519342,5.041844181
Russia,3.9,4,4.2,4.3,4.6,4.5,4.5,4.8,4.548120805,4.579455811,4.043149797
Rwanda,,,,4.4,5,6,6.2,6.0492,5.898333045,6.194868317,6.507755238
"Saint Kitts and Nevis",,,,7.1,,,,,,,
"Saint Lucia",,,,7.7,,,,,,,
"Saint Thomas and Principe",,,,6.1,,,,,,,
"Saint Vincent and Grenadines",,,,7.4,,,,,,,
Samoa,,,,6.5,,,,,,,
"San Marino",,,,7,,,,,,,
"Saudi Arabia",,,,6.1,6.5,6.5,6.4,6.2,5.976766509,6.101099056,6.133307003
Senegal,4.3,4.2667,4.2333,4.2,4.7,4.6,4.5,4.7,4.566274142,4.80446688,4.94193737
Serbia,3.5,3.6,3.7,3.9,3.8,4.3,4.4,4.1573,3.914653936,4.024311399,4.044155207
Seychelles,,,,7.3,,,,,,,
"Sierra Leone",,,,5.6,5.3333,5.0667,4.8,4.5689,4.337734578,4.223993835,4.523168295
Singapore,8.1,8.2,8.1,8.2,8.3,8.1,8.1,8.2,8.11831186,8.128299259,8.358473368
Slovakia,6.3,6.4,6.3,6.4,6.3,6.3,6.3,6.2,5.874373072,6.016046596,6.395573547
Slovenia,5.6,5.6,5.6,5.6,5.1,6,6,5.5923,5.184539902,5.541684487,5.993563228
"Solomon Islands",,,,3.8,,,,,,,
Somalia,,,,2,,,,,,,
"South Africa",6.8,6.8,6.8,6.8,6.6,6.7,6.8,6.7,6.584632555,6.585053965,7.000321028
"South Korea",6.5,6.5,6.9,6.8,6.3,6.6,4.1,5.0157,5.931346314,6.12262421,6.495111822
Spain,6.9,6.9,6.8,6.8,6.5,6.5,6.5,6.3,5.730198279,5.84957701,6.421889773
"Sri Lanka",5,5,4.7,4.6,5,5,5,5,4.760202248,4.995094695,5.389623862
Sudan,,,,5.1,,,,,,,
Suriname,4.7,4.3667,4.0333,3.7,,,,,,,
Swaziland,,,,5.5,4.7,5.2,5.1,5.0222,4.944393348,4.803201129,
Sweden,8.4,8.4,8.5,8.5,8.5,8.5,8.4,8.3,7.99407022,8.098496735,8.608429509
Switzerland,8.3,8.4,8.4,8.3,8.2,8.3,8.2,8.2,8.050490211,8.160671876,8.561430965
Syria,,,,4.9,4.3,4.9,,,,,
Taiwan,6.7,6.6,6.7,6.8,7.1,7.1,7.2,6.9,6.9125,6.925037684,7.267781098
Tajikistan,3.7,3.8,3.9,4,,,,,,,
Tanzania,4.4,4.5,4.6,4.6,4.5,5,4.9,5.1,4.613912795,4.579301644,5.051008341
Thailand,5.6,5.4,5.4,5.2,5.3,5,5.1,5.3,4.923012028,5.0378613,5.21503438
"Timor Leste",3.6,3.3667,3.1333,2.9,,,,,,,
Togo,,,,4.6,,,,,,,
Tonga,,,,6.1,,,,,,,
"Trinidad and Tobago",5.3,5.2,5.1,5.2,4.9,5.6,5.7,5.4594,5.21878089,5.206693166,5.503121825
Tunisia,5.8,5.8,6,5.9,6,5.6,5.2812,4.9625,4.643726578,4.845656581,5.080579559
Turkey,5.2,5.2,5.3,5.2,5.3,5.3,5.5,5.6,5.261283908,5.19462509,4.924618197
Turkmenistan,,,,3.4,,,,,,,
Uganda,3.8,3.9,4.4,3.9,4,4.9,4.9,4.7,4.339455267,4.630834965,5.102347872
Ukraine,4.2,4.2,4.3,4.1,4,4,4.2,4.3,3.925585486,3.932956903,3.424345595
"United Arab Emirates",6.8,6.9,6.9,7.1,6.4,7,7.2,7.2504,7.300838797,7.286635379,7.482572209
"United Kingdom",8.3,8.3,7.8,7.8,7.7,7.7,7.8,7.8,7.690252797,7.755410944,8.129238304
"United States",7.8,7.8,7.8,7.9,7.5,7.5,7.6,7.7,7.606034567,7.736615148,8.074113877
Uruguay,5.6,5.5,5.6,5.7,6.1,6.2,6.2,6.1,5.908612474,6.101751018,6.411512833
Uzbekistan,2,2.9,3.8,4.7,,,,,,,
Vanuatu,,,,6.5,,,,,,,
Venezuela,3.3,3.3,3.3,3.2,3.4,3.4,3.4,3.2,2.698244696,2.729686518,3.056623881
Vietnam,4.4,4.4,4.4,4.5,4.9,4.7,4.7,4.8,4.490104011,4.655083408,4.929524056
Yemen,2.7,3.1667,3.6333,4.1,3.55,3,2.9282,2.8564,2.784527245,2.7563,2.728052961
Zambia,3.9,3.8,4,4.5,4.8,4.7,4.9,5.1,4.735202156,4.791373822,4.91675559
Zimbabwe,3,3.1,3.2,3.2,3.5,3.7,3.8,3.8,3.237700633,3.401597558,3.759730864
