Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cambodia,,,,,,,23.93175,20.26773,24.89226,23.75486,21.75477,23.4216,21.2419,19.78091,19.11779,16.55838,16.65326,19.6995,22.7458,25.79203,25.35415,24.4764,23.59874,24.04762,25.9164,27.78511,23.85714,28.14808,24.605,29.56186,24.66064,23.75094,25.16195,22.91288,25.4043,27.89566,27.34186,27.99015,28.59203,31.34582,
Cameroon,,,31.58501,27.70929,26.67997,28.3251,26.83466,25.3818,23.92886,27.24104,28.71786,29.9454,28.44922,29.72905,28.54599,26.99361,26.28848,26.95358,25.6178,24.28202,24.15087,21.6814,19.21188,19.75614,23.41325,23.66847,23.66742,23.95276,23.50322,22.83249,24.0725,21.22016,17.59527,21.7792,22.30456,21.80981,22.08541,22.14664,21.6232,21.09985,
Canada,,,,,,,,,,,33.94945,33.43248,33.39503,32.04531,30.75349,31.77258,30.56053,30.68733,37.04284,37.41449,38.97122,39.56436,28.7573,17.95028,17.25878,17.72481,,,,,,,,,,,,,,,
"Cape Verde",,,,,,,,,,28.5942,30.1486,31.703,33.25735,32.6528,32.0482,31.4437,30.8391,30.2345,29.63,29.0254,28.4209,27.8163,27.2117,26.6072,26.0026,25.3981,24.79349,25.11192,25.92543,21.67492,23.0438,22.48211,21.70624,21.54475,21.39923,19.7914,20.25986,19.7062,18.19472,17.70104,
"Cayman Islands",,,,,,31.6,30.4353,29.2706,28.1059,26.9412,25.7765,24.6118,23.4471,22.2824,21.1176,19.9529,18.7882,17.6235,16.4588,15.2941,14.1294,12.9647,11.8,10.6353,9.47059,12.17647,14.37778,10.01695,11.5994,13.18182,11.73077,12.76923,8.51515,8.5007,8.4862,8.4718,8.4573,8.44286,,,
"Central African Republic",,50.10798,48.4441,46.7803,45.1164,43.4526,41.7887,40.1248,38.461,36.7971,35.1333,33.4694,31.80556,31.9514,32.0973,32.2431,32.389,32.5348,32.6807,32.8266,32.9724,33.1183,33.2641,33.41,33.5558,33.7017,33.8476,33.9934,34.1393,34.2851,34.43099,34.4021,34.37326,36.8485,39.3237,41.7989,44.27406,,,,
Chad,,,,,,,,,,,,,,,,,,,,,24.97015,25.6426,26.315,26.9874,27.6598,28.3322,29.0046,29.677,30.3494,31.0218,31.6942,32.3666,33.039,33.7114,34.3838,35.0562,34.0137,35.17311,29.29759,,
Chile,49.64053,41.86005,46.23432,46.61157,65.56436,60.8304,56.0965,51.3626,46.6286,41.8947,37.1608,32.4268,27.6929,22.95897,23.16133,23.5968,24.03219,25.6299,27.22762,27.96994,29.55942,28.5022,27.4451,26.3879,25.3307,24.27353,24.5373,24.80104,22.90848,21.40568,20.69556,19.65949,18.63931,14.18888,12.45921,9.80758,9.4785,,,,
China,25.0999,26.21564,27.13397,26.78614,28.43682,29.85501,28.01972,26.33308,26.80853,26.33372,26.36408,26.90835,26.92974,27.75315,27.66304,26.05641,26.31043,28.73313,29.79399,30.53278,30.52224,30.98329,30.00607,28.48124,27.44985,26.66438,26.20314,25.5397,24.8763,24.2129,23.5495,22.88608,22.42936,22.38452,22.71068,24.03674,23.15033,23.01143,22.26595,21.03872,
Colombia,24.67404,25.96017,27.37004,25.1175,27.76241,25.8631,24.32984,25.19218,24.2081,27.33484,26.19466,24.07279,24.00827,23.90417,23.80926,23.7686,23.72802,23.69979,24.36591,21.68804,20.74508,20.04184,18.5245,17.00724,17.67108,20.06263,20.39633,21.09269,21.1076,21.12253,22.20104,22.19353,21.95723,26.95342,27.90779,26.57539,25.63352,,,,
