Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Comoros,10,10,10,10,10,10,10,10,10,10,10,10
"Congo (Kinshasa)",8,8,8,8,8,8,8,8,8,10,10,12
"Congo (Brazzaville)",11,11,11,11,11,11,11,11,11,12,12,12
"Costa Rica",21,21,21,21,21,21,21,19,15,15,15,15
"Ivory Coast",23,23,23,23,24,23,23,23,23,23,23,23
Croatia,19,19,20,20,20,19,19,19,19,19,19,19
Cyprus,,,,9,8,8,8,8,8,8,8,8
"Czech Republic",21,21,21,21,21,21,21,21,21,21,21,21
Denmark,7,7,7,7,7,7,7,7,7,7,7,7
Djibouti,13,13,17,17,17,17,17,17,17,17,17,17
Dominica,10,10,10,10,10,10,10,10,10,10,10,10
"Dominican Republic",13,13,13,13,13,13,13,13,13,13,13,13
Ecuador,15,15,15,15,15,15,15,15,15,15,15,15
Egypt,22,20,20,20,18,18,17,17,17,17,17,17
"El Salvador",24,24,24,24,24,24,24,24,24,24,24,24
"Equatorial Guinea",13,13,13,13,13,13,13,13,13,13,13,13
Estonia,9,9,9,10,10,10,10,10,10,10,10,10
Ethiopia,8,8,8,8,8,8,10,10,12,12,12,12
Fiji,12,12,12,15,15,15,15,15,15,15,15,15
Finland,16,16,16,16,16,16,16,16,16,17,17,17
France,9,9,9,9,9,9,9,9,9,9,9,9
Gabon,12,12,12,12,12,12,12,12,11,11,12,12
Gambia,12,12,12,12,12,12,12,12,12,12,12,12
Georgia,24,15,12,12,10,10,9,9,7,7,7,7
Germany,8,8,8,8,8,8,8,8,8,8,8,8
Ghana,14,14,14,14,14,14,14,14,14,14,14,14
Greece,15,15,15,15,15,15,15,17,17,17,17,17
Grenada,13,13,13,13,13,13,13,13,13,13,13,13
Guatemala,18,18,18,18,17,17,17,10,10,11,11,11
Guinea,27,27,27,27,27,27,27,27,27,27,27,27
"Guinea Bissau",11,11,11,11,11,11,11,11,11,11,11,11
Guyana,8,15,15,15,15,15,15,15,15,15,15,15
Haiti,8,8,8,8,8,8,8,8,12,12,12,12
Honduras,10,10,10,10,10,15,15,15,15,15,15,15
"Hong Kong",25,25,25,18,10,10,10,11,11,11,11,11
Hungary,15,15,15,15,15,15,15,15,15,17,17,17
Iceland,17,17,17,17,17,17,17,17,17,17,17,17
India,42,42,42,42,42,42,42,42,35.1,35.1,35.1,35.1
Indonesia,17,17,17,17,17,17,17,17,17,17,17,17
Iran,17,17,17,17,15,15,15,15,15,15,15,15
Iraq,12,12,12,12,12,12,12,12,12,12,12,11
Ireland,10,10,10,10,10,11,11,11,11,10,10,10
Israel,15,15,15,15,15,15,15,15,15,15,15,15
Italy,10,10,10,10,10,10,10,10,10,10,10,10
Jamaica,14,14,14,14,14,14,15,15,15,17,17,17
Japan,12,12,12,12,12,12,12,12,12,12,12,12
Jordan,18,18,18,18,16,16,16,16,16,16,16,16
Kazakhstan,32,32,32,32,31,25,25,29,25,28,22,19
Kenya,7,7,7,7,8,13,13,14,15,15,17,17
Kiribati,14,14,14,14,14,14,14,14,14,14,14,14
"South Korea",9,9,9,9,9,9,10,10,10,10,10,10
Kosovo,,,,,15,15,15,15,14,15,15,15
Kuwait,23,23,23,23,23,23,23,23,23,23,23,23
Kyrgyzstan,21,21,21,12,11,11,11,11,11,11,11,11
Laos,11,11,11,11,11,11,11,11,11,11,11,11
Latvia,17,17,17,17,16,15,15,15,12,12,12,12
Lebanon,17,17,17,17,17,17,17,17,18,18,18,18
Lesotho,11,11,11,11,11,11,11,11,11,11,11,11
Liberia,,22,22,22,22,22,22,22,22,22,22,22
Lithuania,12,12,12,12,12,12,12,12,12,12,12,12
Luxembourg,,11,11,11,11,11,11,11,11,11,11,11
"Macedonia (F.Y.R.O.M.)",19,19,19,19,19,19,9,9,9,9,9,9
Madagascar,12,12,12,12,12,12,12,12,13,15,15,15
Malawi,12,12,12,13,13,13,13,13,13,13,13,13
Malaysia,22,22,22,22,22,22,23,38,15,15,15,15
Maldives,9,9,9,9,9,9,9,9,9,9,10,10
Mali,12,11,11,11,13,13,13,13,13,13,13,13
Malta,,,,,,,15,15,15,15,15,15
"Marshall Islands",7,7,7,7,7,7,7,7,7,7,7,7
Mauritania,17,17,17,17,17,17,13,13,13,13,13,13
Mauritius,17,17,16,16,16,16,16,16,17,15,15,15
Mexico,12,12,11,11,11,13,13,13,13,13,13,13
Micronesia,14,14,14,14,14,14,14,14,14,14,14,14
Moldova,26,26,26,26,26,26,27,27,27,27,27,27
Mongolia,20,20,20,20,20,19,19,19,17,17,17,17
Montenegro,,14,14,14,13,13,13,12,8,8,8,8
Morocco,13,13,13,13,13,13,12,12,12,12,13,13
Mozambique,10,10,10,10,10,10,10,10,10,10,10,10
"Burma (Myanmar)",,,,,,,,14,14,14,14,14
Namibia,10,10,10,10,10,10,10,10,10,10,10,10
Nepal,11,11,11,11,11,12,12,12,12,10,10,10
Netherlands,14,14,14,14,14,14,14,13,13,13,13,13
"New Zealand",10,10,10,10,10,10,10,10,10,10,10,10
Nicaragua,16,16,16,16,16,16,16,16,16,16,16,16
Niger,24,15,15,15,15,15,15,15,15,15,15,15
Nigeria,17,17,17,17,17,17,17,17,16.1,16.1,16.1,16.1
Norway,10,10,10,10,11,11,11,11,11,11,11,11
Oman,12,12,12,12,12,12,12,12,12,12,12,12
Pakistan,14,14,14,14,14,14,14,14,14.4,14.4,15,15
Palau,19,19,19,19,19,19,19,19,19,19,19,19
Panama,18,18,18,18,17,17,17,17,16,16,16,16
"Papua New Guinea",17,17,17,17,17,17,17,17,17,17,17,17
Paraguay,13,13,12,12,12,12,12,12,12,12,12,12
Peru,16,16,16,16,16,16,16,14,14,14,14,14
Philippines,28,28,28,28,28,28,28,27,24,24,24,24
Poland,22,22,20,20,20,20,20,18,18,16,16,12
Portugal,16,16,16,17,15,16,14,14,14,14,14,14
"Puerto Rico",18,18,18,18,18,18,21,21,21,20,20,20
Qatar,,,16,16,16,16,16,16,16,16,16,16
Romania,17,17,18,18,19,19,19,19,19,19,20,20
Russia,49,47,46,46,44,34,34,26,19.9,14.3,14.3,13.7
Rwanda,13,13,13,11,11,11,11,11,14,14,14,15
"Saint Thomas and Principe",15,15,15,15,15,15,15,15,15,15,15,15
Samoa,18,18,18,18,18,18,18,18,18,18,18,18
"San Marino",,,,,,,,13,15,15,15,15
"Saudi Arabia",15,15,15,15,14,11,13,13,13,13,13,13
Senegal,13,13,13,13,13,13,13,13,13,13,13,13
Serbia,18,17,17,17,17,17,17,17,17,17,19,12
Seychelles,16,16,16,16,16,16,16,16,16,17,17,17
"Sierra Leone",40,40,40,17,17,17,16,16,16,16,16,16
Singapore,13,13,13,13,13,13,13,13,13,13,13,9
Slovakia,10,10,10,10,10,10,10,10,10,10,10,10
Slovenia,14,14,14,14,13,13,13,13,12,12,12,12
"Solomon Islands",13,13,13,13,13,13,13,13,13,13,13,13
"South Africa",17,17,17,17,17,17,17,17,17,19,19,19
"South Sudan",,,,,,,,23,23,23,23,23
Spain,12,12,12,12,12,13,13,13,13,13,13,13
"Sri Lanka",14,14,14,14,15,15,15,14,13,13,13,13
"Saint Kitts and Nevis",10,10,10,10,10,10,10,10,10,10,10,10
"Saint Lucia",14,14,14,14,14,14,14,14,14,14,14,14
"Saint Vincent and Grenadines",7,9,9,9,9,9,8,14,14,14,14,14
Sudan,15,15,15,15,15,15,15,15,15,15,15,15
Suriname,10,10,10,10,10,10,10,10,10,10,10,10
Swaziland,13,13,13,13,13,13,13,13,13,13,13,13
Sweden,7,7,7,7,7,7,7,7,7,7,7,7
Switzerland,14,14,14,14,14,14,14,13,13,13,13,13
Syria,20,20,20,20,20,20,20,20,,,,
Taiwan,22,22,22,22,22,22,22,10,10,10,10,10
Tajikistan,29,29,29,29,28,27,27,27,27,27,27,27
Tanzania,18,18,18,18,18,18,18,18,18,18,18,18
Thailand,17,17,17,17,17,17,17,17,17,17,17,17
"Timor Leste",16,16,16,16,16,16,16,16,16,16,16,16
Togo,12,12,12,12,12,12,12,12,12,11,11,11
Tonga,14,14,14,11,11,11,11,11,11,11,11,13
"Trinidad and Tobago",16,16,16,16,16,16,16,16,16,16,16,16
Tunisia,17,17,17,17,17,17,17,17,17,17,17,17
Turkey,22,22,22,22,22,22,22,20,19,19,18,18
Uganda,17,17,17,17,17,17,17,17,18,18,18,18
Ukraine,27,27,27,27,27,19,19,19,10,10,10,10
"United Arab Emirates",18,18,18,18,14,14,13,12,11,11,10,11
"United Kingdom",17,17,17,17,9,9,9,9,9,9,9,9
"United States",14,14,14,14,14,15,15,15,15.8,15.8,15.8,15.8
Uruguay,21,21,21,21,21,21,21,21,21,21,21,21
Uzbekistan,23,23,23,23,23,23,23,23,23,23,23,23
Vanuatu,6,6,6,6,6,6,11,12,12,14,14,14
Venezuela,9,9,9,9,9,9,9,9,9,9,9,9
Vietnam,10,10,10,10,10,10,10,10,10,10,10,10
"West Bank and Gaza",21,21,21,21,21,21,21,21,21,21,20,20
Yemen,11,11,11,11,11,11,11,11,11,11,11,11
Zambia,11,11,11,11,11,11,10,10,10,10,10,10
Zimbabwe,10,10,10,10,10,10,10,10,10,10,10,10
