Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Botswana,2.150149244,2.292170378,2.099497348,2.053950714,1.8945452,1.961067118,2.018062042,2.072918541,2.114618603,2.295602116,2.005678991,1.969935564,1.588453735,1.589310825,2.363208547,3.055774406,4.021491725,3.567033088,2.995262871,2.345871759,2.108547274,2.267069428,2.509609998,2.500632825,2.208487289,1.90392781,2.188092739,2.467093146,2.307184353,2.307204914
Brazil,1.194575842,1.120702353,1.149799713,1.178074835,1.268750447,1.250183819,1.260494983,1.231424,1.304193874,1.24848563,1.0847048,1.172109052,1.228127877,1.194440069,0.91018982,0.820444381,0.909617645,0.866006415,0.728673359,0.689504982,0.797075158,1.031017023,1.118482749,1.176961372,1.159985634,1.140509517,1.239800003,1.126448691,1.529333531,1.654241438
Brunei,0.379131795,0.465932093,0.469673198,0.684138176,0.474585717,0.42753356,0.775053925,2.06121619,2.135189142,0.997236234,0.275296117,0.408247543,0.397444905,0.673938414,0.482602212,0.784109333,0.782034873,0.698499974,0.554299531,0.450845823,0.426069249,0.458114018,0.504888982,0.528275751,0.567930159,0.576603885,0.492782383,0.159281054,0.459650559,0.47241447
Bulgaria,3.211605874,3.013169393,3.050541335,3.340633215,3.369190668,3.328155308,2.929158627,2.734727161,1.982433697,1.384741336,0.86550217,0.916624098,1.536067514,1.877216598,1.762697271,1.301791451,1.389540664,1.525675974,1.644105169,1.554823971,1.460114651,1.431072742,1.491757955,1.549408965,1.436693644,1.260442439,1.085048312,1.018897454,1.094313877,1.035468044
"Burkina Faso",1.094859563,1.080788771,0.994024041,0.945022079,0.832942853,0.808038834,0.846431105,0.918516707,0.916789792,0.874302198,0.665704154,0.55120171,0.438636201,0.506321712,0.610348139,0.793865355,1.015275733,0.990182535,0.797261612,0.650137924,0.774832927,0.921729477,1.013431724,1.220046218,1.337512719,1.453345506,1.2367205,1.177346882,1.547448124,1.62997561
Burundi,1.895521324,1.930319665,1.704893216,1.389913372,1.216875204,1.400765059,1.42780816,1.555536371,1.232911627,1.509214889,1.017336062,0.998294386,0.666241645,0.656742992,1.150484885,1.760146801,2.516653861,1.988328497,1.383235907,1.176200959,1.504433942,1.899470326,2.142487168,2.473780887,2.480729351,2.530904208,2.296152677,2.409399662,3.161938042,3.419172065
"Ivory Coast",0.928961128,0.989421873,0.904960691,0.896364024,0.777661794,0.674301873,0.698749781,0.745130089,0.783045224,0.682146589,0.416576342,0.380550644,0.267238159,0.264672955,0.333767806,0.579403379,1.034467626,0.965962971,0.688477581,0.461079257,0.619528877,0.86475811,1.127019684,1.354110753,1.455453357,1.521190113,1.155368165,0.980748016,1.638945323,1.773169758
"Cape Verde",0.82499956,0.78074788,0.766426181,0.66697694,0.558230414,0.498931189,0.456256575,0.498008785,0.463631142,0.543071715,0.428658494,0.347286549,0.312107874,0.357181997,0.355443925,0.283689672,0.278160983,0.286813332,0.258152004,0.296717351,0.40278611,0.494919093,0.480179633,0.61532414,0.658415216,0.667909361,0.485750364,0.327188672,0.785683767,0.828906841
Cambodia,0.598851997,0.669187203,0.684380703,0.766061127,0.696033183,0.685431377,0.662785288,0.835973118,0.689337362,0.64927805,0.401429232,0.61046239,0.732491031,1.188854854,1.241237582,1.133722409,1.228065473,1.289180732,1.410690221,1.18486285,1.609691622,2.221903896,2.574928183,2.236449117,1.776061356,1.73551193,1.503811343,1.273363745,1.812892326,1.840325148
Cameroon,2.653803579,2.616271146,2.477571213,2.360337016,2.139034006,2.090262935,1.877297783,1.748976942,1.594629478,1.48308156,1.095188944,0.948588188,0.816214807,0.92898507,1.150955779,1.667535564,2.276402904,2.198482433,1.671738125,1.314048993,1.41452763,1.638180632,1.691150925,1.917968343,2.00287577,2.196623085,2.071767573,2.115829966,2.424094222,2.553641132
Canada,0.970662788,0.86713728,0.84687073,0.827957528,0.952850437,1.0564748,1.025567027,1.141432087,1.290305282,1.228549419,1.215258478,1.165312257,1.330814789,1.153768743,1.127666766,1.063460335,1.097801576,1.041320203,0.949806674,0.914150088,0.857589546,0.937644357,0.920123843,0.916496481,0.893334786,0.858040005,0.811686993,0.667926242,0.813603847,0.817706431
"Central African Republic",7.863624214,7.944056974,7.486818797,7.132056932,6.785482775,7.59446052,7.405798281,7.088582014,6.085484963,5.709334843,4.417789306,3.807755572,3.401683295,3.913632348,4.25420672,5.803854561,7.015370718,7.343000547,5.985080848,5.128091352,5.027062816,5.07117534,4.684616087,4.846021649,4.602976329,5.361169414,6.114404473,7.314846346,6.290923658,6.462194774
Chad,2.472972469,2.325341296,2.076771071,1.951430323,1.818351934,1.821356086,1.843571423,1.946417174,1.827037679,1.764478381,1.286445628,1.154236627,1.059972266,1.265556186,1.615017445,2.075151957,2.619043555,2.641853307,2.126377341,1.822460341,1.779544608,2.002638596,1.982679667,2.261958453,2.354706395,2.455588226,2.331685366,2.395258815,2.622656685,2.711531203
Chile,0.932082375,0.900193957,0.875338784,0.89522683,0.913226661,0.873791486,0.825006029,0.803650462,0.914044252,0.999957932,0.962592495,1.033959647,1.019444068,0.993058026,0.903903517,0.846442051,0.84040618,0.850039857,0.77525359,0.708373843,0.663271795,0.643325738,0.536971285,0.483644987,0.502754325,0.555557951,0.63761921,0.53859405,0.537462732,0.534505862
China,18.84868975,18.40443674,18.99872206,18.92790643,19.42004839,19.12744886,19.10139841,19.23225808,18.08976927,18.44538932,17.41230224,17.02423169,16.25309737,16.27353812,16.7327012,16.19275751,16.21996632,15.71486148,15.81832456,14.21970125,13.31336442,11.70081978,9.877265108,8.178558914,7.208266267,7.207766515,7.773585782,7.811043335,6.206271938,5.913065089
Colombia,0.647768655,0.681059041,0.699606607,0.700983583,0.747149754,0.801967312,0.825250577,0.774825508,0.736461481,0.746919285,0.63297332,0.842976647,0.934876745,0.947317668,0.64129559,0.480719321,0.487781416,0.447957585,0.421439343,0.359736917,0.34166966,0.398019032,0.586814581,0.547107244,0.495155394,0.387238555,0.409712052,0.259371092,0.472739947,0.488444581
Comoros,0.095740584,0.107279498,0.114334645,0.108164007,0.094061524,0.079167496,0.06917006,0.070266775,0.082615299,0.121631924,0.051281791,0.053786446,0.025604495,0.027338101,0.041668278,0.100510619,0.213678848,0.205674842,0.13756642,0.077190065,0.100158111,0.175315251,0.24862842,0.380301757,0.366541097,0.375315494,0.189993949,0.086987365,0.397764797,0.468548924
"Congo (Brazzaville)",1.374982425,1.450323868,1.264334437,1.383446822,1.196124891,1.139988601,0.92865416,0.887069579,0.832445332,0.86042237,0.461814534,0.475053514,0.30604506,0.410926851,0.847485821,1.816946376,2.636581717,2.197114384,1.563081528,1.161632147,1.447025191,1.584979209,1.798711457,1.959229376,2.083382716,1.906226406,1.869232149,1.872913191,2.446704998,2.660188209
"Cook Islands",1.073047668,1.266843711,1.574109681,1.801521208,1.524243649,1.180967575,1.099473572,1.33004525,1.499426963,1.476377493,1.203118423,1.074049974,1.079933968,0.975094526,0.911452465,0.868347793,0.972735268,0.882983145,0.836723921,0.722858507,0.673711453,0.616994923,0.566129275,0.667812314,0.623100862,0.629093584,0.532212056,0.372980298,0.526229497,0.516026363
