Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,17841.39715,1.367897784,18813.58864,-0.858301351,19621.8169,1.126739919,22036.30253,1.060267108,23292.8649,1.448422809,23962.652,1.040153301,26212.77058,-1.077851392,26685.55612,-1.412149977,27815.24775,-4.913524513,27408.88843,0.441225725,27538.74052,0.876540863,29722.16422
Japan,,,,,,,,,,,,,,,,,,,,,,,,,15929.72021,16560.11863,16995.58092,17458.44782,17669.40725,17952.62758,19094.73567,19220.98932,20305.6888,20986.66099,21771.71775,22927.16354,23566.47397,24467.0861,24977.15294,25351.26701,26307.61771,27210.67583,28345.08727,30271.71449,29875.3132,30510.98996,30718.62879,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,4098.078553,4576.306034,5143.04184,5283.270123,5527.968004,6230.205368,6826.29499,7918.85885,8460.822347,9140.113015,9979.725104,11452.64433,13060.09805,14570.12091,12700.1885,13320.64135,12927.86234,14052.05375,15147.78607,15721.69068,16877.34008,17912.81841,18971.30778
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,4826.561125,5135.427099,5769.339416,6442.294604,6725.535767,7434.927312,7969.484073,9076.069082,10039.66936,11545.90199,12102.38471,13394.22667,14014.01185,15873.37754,15123.12527,16191.16804,17331.03907,18223.10331,19818.39955,20514.09732,21304.63435,22613.83737,23895.99407
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,22704.93309,1.442645108,24115.65915,2.910855456,26754.43541,6.273276059,30913.61518,5.976830924,34539.09192,1.551319001,34980.72782,1.421948345,37223.9442,1.355535332,38699.97069,2.282752213,38436.66493,3.573983658,41646.84693,4.981396223,42471.00535,1.366501166,44446.3726
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9514.413317,5.036296494,10469.89547,6.042218279,11892.279,1.553561267,12621.90323,2.623608823,14020.03409,-0.253257648,14573.87088,3.116229332,16007.78347,3.358477606,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,16261.84836,16941.19415,17886.13174,18854.33815,19888.68167,22229.15137,23824.67921,25571.49494,24485.44121,25432.33751,25581.25136,27538.95825,29054.25167,30251.72918,30054.22356,29797.24484,30222.02884,30910.02704,31517.26606,31761.71443,32034.83936,32497.90918,33578.20059
Norway,,,,,,,,,5489.287224,0.813272817,6863.099646,2.770919019,8093.885734,1.740564071,9127.759169,2.214412186,10013.01457,0.3173499,10761.53689,1.745555953,12040.29635,3.79130157,13615.90421,3.879669043,14917.2365,2.552125615,16547.47385,4.077772878,18239.47119,2.902199297,20432.74933,0.81970324,23322.60406,4.299547985,25398.20868,7.322243911,26407.49274,5.19487029,29996.91891,3.975851947,31338.95763,3.217204495,33770.92174,3.125982499,36619.70244,4.342533654,36436.48966,1.771720864
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,6480.524307,5.758588109,7579.440618,5.726314029,8553.998328,2.711932079,9875.620744,0.052751103,10621.38621,-0.625324573,10718.95408,4.786107969,12759.55475,4.350041139,14472.25322,2.270771514,16756.50288,0.957871527,18401.78421,2.992921896,19432.70329,5.466296636,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,11657.4771,12080.97667,12562.27979,13174.8124,14142.55714,15521.28576,16138.88403,17057.0516,17183.23875,18003.62625,18735.86237,19513.43662,1.224918372,20893.04807,1.735251343,21517.05262,-5.570947799,20458.3144,-0.710142639,21510.58019,1.673931923,23046.226,2.563866673
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17837.51458,5.777350251,18033.29326,2.735058702,17744.72851,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,5995.37768,22.20721551,8356.501187,4.497229813,8554.492136,1.020066117,10085.28528,5.170731676,10948.9053,2.904918967,12085.05685,3.942366863,14472.29455,5.441610114,16526.78465,0.65751877,18161.41663,-0.413753861,19510.7313,4.836485355,20990.88892,2.530348002,22508.75913
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,10518.24097,3.208510522,11902.11243,1.843760895,12840.68914,4.584493026,15015.89867,2.712434149,16225.51254,3.211527146,17539.41398,2.982307006,19234.25695,2.891960962,19850.40609,-0.426772757,20970.00954,-4.174435116,21310.14706,1.113242968,21796.631,4.307465922,24243.88974
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,4356.318381,5.727039991,4669.225293,1.55037239,4753.998121,3.467437394,5139.62874,4.525625327,5569.773413,5.582974022,6306.570342,5.906955582,7273.31934,1.553768625,7491.825307,3.01389718,8315.725201,3.376892957,8852.316913,1.425724965,9090.913293,9165.457838,9485.611152
"South Korea",,,,,,1093.200163,13.06255761,1466.222115,11.85529273,1959.24181,-8.203290992,2235.028189,8.62606791,2862.657373,11.0564393,3615.562578,14.64924959,4784.992402,11.49626868,6092.201249,8.78150143,7855.894474,4.800351686,8982.284488,6.693092232,10422.81072,6.354875087,11555.35505,-3.09782769,11722.07958,0.830721081,12670.98741,3.991841261,13976.17845,3.815226798,15479.01991,3.834037133,17219.80624,1.679388149,18092.78845,3.592850487,19795.80231,1.846429673,20838.96771,3.645184173,22955.61595,2.518898307,24116.4202
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14921.97221,5.251280699,18122.54953,3.411121459,19950.42463,2.981104261,21141.25434,2.094031842,22178.45293,2.438775402,23381.1268,-2.874338254,22980.70042,-5.475943157,23283.01126,0.742234571,24791.23294,1.861804586,26108.82915
Sweden,,,,,,,,,,,,,,,,,,,,,,,,14370.64013,-0.340654835,14794.94192,-0.337840572,15159.46084,2.827878062,16874.70032,3.78421656,19763.00753,2.754554958,21110.67656,0.772736137,22108.55808,3.609049007,25640.39557,2.641554659,27362.9547,2.184420581,28904.89145,2.660670229,30601.0612,2.415353583,31776.23988,3.929444469,33378.18714
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,20113.71322,0.64602395,21407.10376,2.7381507,22909.30691,3.030085117,25703.94422,0.067407339,26347.37303,1.308768514,27365.34708,3.016984285,31633.97052,1.045186626,33341.59997,0.987647264,34203.77625,3.363709169,37535.92044,1.94282046,38727.39943,3.124795425,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11396.24055,12954.42085,14585.65907,15287.98695,16708.34323,18071.66454,19478.19683,,
"United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,15401.67114,2.71709373,17064.29105,2.605930655,18030.03608,5.985084816,22005.5253,2.913835271,23784.78805,2.505311012,25119.574,1.723349445,26987.02757,0.290748124,27448.12864,-0.257759297,27901.2947,2.761956242,29681.848,1.245684465,31220.01007,0.120383698,32039.31959
"United States",4108.264154,4.605569387,4773.34483,5.872219278,5743.785094,2.657422863,6828.054822,3.028861679,8207.056969,1.761109812,9925.958248,1.868132377,11603.37445,3.235343546,13514.3283,2.788682957,14992.6677,2.347296528,16930.00089,2.918062914,18988.27836,0.672418292,20590.5504,1.701321777,21968.69815,3.003243495,23713.82913,3.463231576,25998.9401,3.196029752,28729.47416,2.819753362,31030.64252,2.791016105,33982.09055,1.341957906,37246.27629,1.784015203,40025.95605,-0.051615034,40321.65312,2.228039936,43568.64832,-1.470077048,45278.26429,4.072332897,47801.33193,
