Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chile,5778,5874,6129,6474,6152,6259,6230,6714,6914,6364,6723,6875,7030,7304,7303,7206,7848,7944,8073,8219,8237,8813,8547,7925,7860,6728,6844,7400,7889,8415,8944,9340,7927,7573,7889,7919,8230,8628,9101,9892,10078,10659,11574,12157,12579,13492,14217,15067,15523,15261,15885,16223,16545,17043,18082,18930,19923,20686,21193,20629,21597,22666,23616,24336,24521,24832,24980,25035,25775,26471
China,,,238,269,274,287,323,331,392,419,418,307,288,310,358,408,440,404,378,429,498,519,526,554,555,593,575,610,672,714,760,788,854,925,1052,1176,1262,1387,1518,1558,1595,1718,1937,2179,2434,2674,2911,3152,3376,3619,3910,4220,4589,5032,5526,6146,6933,7931,8721,9554,10565,11568,12463,13419,14383,15373,16383,17484,18641,19800
Colombia,3838,3833,3947,4058,4204,4230,4261,4278,4247,4409,4451,4527,4624,4630,4768,4793,4902,4963,5123,5306,5516,5694,5981,6238,6449,6454,6619,6762,7205,7446,7589,7584,7491,7443,7538,7615,7907,8159,8324,8425,8602,8627,8826,9156,9456,9781,9822,10028,9931,9393,9525,9562,9679,9934,10335,10690,11279,11908,12151,12153,12534,13300,13660,14120,14620,14883,15024,15059,15291,15622
"Congo (Kinshasa)",1554,1702,1822,1889,1964,2000,2093,2115,2011,2038,2039,1779,2093,2136,2038,2012,2094,2012,2034,2160,2095,2169,2113,2232,2245,2074,1901,1858,1699,1644,1631,1625,1573,1554,1596,1555,1579,1571,1530,1473,1391,1231,1067,892,809,798,766,697,656,612,545,518,518,531,551,568,581,600,619,620,647,673,702,743,793,827,826,834,847,864
"Costa Rica",3669,3647,3951,4397,4279,4598,4301,4497,4869,4856,5076,5089,5205,5455,5535,5844,6090,6259,6537,6770,7016,7270,7697,8072,8280,8217,8422,8914,9103,9270,9178,8750,7915,7906,8284,8112,8310,8467,8525,8782,8873,8869,9454,9850,10001,10131,9991,10288,10742,10911,11089,11263,11446,11749,12073,12356,13061,13927,14369,14032,14527,14953,15468,15619,15966,16343,16833,17201,17459,17784
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21685,21668,21579,21147,21549,21493,22027,21944,21706,21327,19783,15498,13837,12765,13455,14429,15398,16499,16901,16788,17412,17898,18737,19789,20561,21404,22453,23656,24155,22421,22148,22142,21701,21666,21739,22371,23278,24078,24836,25636
Cyprus,4029,3883,4213,4572,4589,4692,5149,5372,5110,5327,4880,5369,5879,6175,5545,6736,7096,8003,8303,9000,9200,10306,10903,11047,9081,7719,9287,10756,11528,12580,13196,13447,14146,14722,15818,16371,16924,17860,19196,20542,21794,21394,22784,22396,23232,25078,24990,25289,26507,27522,28856,29674,30428,30850,31970,33042,34027,35008,35385,33754,33321,32613,31195,29455,29390,30138,31444,32545,33601,34459
"Czech Republic",,,,,,,,,,,,,,,,,,,,,13632,14300,15001,15624,16274,17071,17637,18131,18785,18954,19223,19175,18870,19169,19594,20033,20586,21059,21492,21858,22096,19579,19462,19461,20020,21278,22203,22095,22043,22381,23402,24173,24620,25515,26758,28467,30336,31849,32433,30700,31307,31798,31499,31336,32153,33794,34556,35964,36915,37833
Denmark,13475,13462,13499,14151,14306,14353,14437,15458,15711,16763,17102,18072,18917,18887,20494,21258,21659,22196,22972,24319,24620,25101,26275,27065,26688,26436,27931,28365,28907,29952,29771,29581,30693,31512,32842,34143,35770,35815,35793,36002,36474,36886,37484,37363,39223,40201,41133,42298,43080,44203,45706,45918,45985,46039,47145,48114,49833,50063,49515,46834,47499,47936,47864,48110,48642,49431,50224,51031,51362,51875
"Dominican Republic",2566,2790,2930,2806,2874,2955,3148,3238,3298,3208,3255,3078,3484,3591,3709,3146,3459,3467,3370,3631,3902,4198,4591,5011,5165,5276,5494,5622,5617,5721,5927,6029,5997,6123,6005,5728,5774,6078,5991,6616,6176,6112,6671,7036,7096,7369,7672,8207,8605,8960,9219,9287,9545,9269,9364,10099,10871,11515,11720,11669,12471,12690,12865,13319,14156,14965,15762,16283,17220,17895
Ecuador,3839,3782,4140,4118,4334,4330,4370,4443,4448,4557,4716,4696,4803,4781,4968,5287,5266,5382,5513,5644,5863,6021,6207,6780,6971,7129,7597,7851,8162,8366,8509,8616,8479,8082,8191,8316,8341,7618,8218,8023,8042,8362,8563,8572,8727,8723,8673,8845,8938,8363,8334,8543,8755,8824,9338,9621,9861,9921,10391,10293,10499,11161,11624,12028,12312,12158,11851,11975,11949,11745
Egypt,2426,2474,2557,2523,2428,2391,2410,2519,2628,2719,2822,2848,2856,3074,3331,3326,3230,3231,3381,3760,4093,4167,4185,4171,4241,4543,4925,5168,5464,5837,6033,6094,6373,6704,7005,7208,7309,7438,7523,7551,7525,7476,7485,7639,7856,8105,8417,8804,9216,9551,9775,9899,10003,10149,10364,10728,11240,11785,12220,12496,12872,12575,12608,12615,12894,13057,13219,13532,13923,14374
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13285,13667,14066,14448,14712,14607,14894,14922,15597,16583,15230,13776,12052,11315,11370,12330,13180,14904,15667,15659,17440,18662,19922,21534,23027,25330,28097,30412,28841,24642,25256,27258,28534,29190,30094,30664,31725,33225,34485,35398
Ethiopia,479,485,490,510,501,519,526,513,520,524,541,556,568,630,648,672,684,699,696,706,731,745,766,774,766,749,751,754,733,771,796,777,755,771,737,678,709,755,747,737,706,656,586,584,615,632,670,703,684,669,683,700,715,694,707,766,783,839,925,976,1035,1124,1207,1288,1377,1473,1573,1673,1753,1823
Finland,8002,8600,8794,8751,9410,9777,9962,10329,10299,10824,11721,12526,12829,13158,13746,14429,14720,14950,15225,16702,18017,18370,19655,20855,21374,21525,21369,21361,21746,23200,24361,24571,25189,25820,26508,27334,27990,28902,30316,31757,31818,29773,28622,28274,29262,30377,31385,33248,34960,36429,38402,39303,39867,40565,42036,43057,44631,46746,46864,42784,43863,44782,43934,43401,42948,43021,44087,45150,46037,46729
France,9344,9840,10026,10241,10658,11169,11619,12183,12352,12574,13329,13907,14535,15068,15890,16514,17196,17851,18499,19613,20558,21342,22096,23107,23626,23346,24271,25011,25899,26704,26991,27137,27668,27896,28158,28492,29037,29643,30904,31931,32669,32816,33178,32830,33483,34068,34430,35113,36242,37293,38494,38976,39136,39182,39998,40361,41065,41804,41681,40279,40865,41563,41495,41452,41578,41891,42272,43093,43560,43998
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6850,7197,7561,7967,8549,9031,9012,8926,9550,9222,7905,6238,3475,2505,2298,2406,2700,3013,3129,3239,3321,3499,3705,4135,4382,4755,5159,5816,5957,5702,6000,6387,6777,7018,7351,7570,7791,8170,8555,8981
Germany,8594,9313,10081,10862,11619,12837,13678,14376,14918,15892,17062,17609,18207,18569,19536,20341,20788,20808,21844,23119,24002,24528,25423,26499,26712,26663,28087,28946,29795,30987,31254,31331,31089,31730,32736,33526,34255,34769,35785,36666,35273,36772,37195,36598,37368,37905,38105,38753,39514,40273,41410,42041,41971,41649,42146,42468,44089,45587,46169,43685,45575,47343,47487,47589,48423,48841,49534,50414,50901,51254
Ghana,2759,2788,2666,2956,3241,2951,3040,3053,2920,3250,3391,3415,3482,3504,3479,3426,3331,3294,3243,3260,3503,3667,3448,3437,3579,3067,2897,2906,3099,2976,2846,2809,2563,2295,2361,2407,2431,2477,2544,2600,2613,2677,2729,2784,2815,2881,2968,3087,3180,3264,3320,3386,3469,3568,3684,3828,3966,4035,4313,4452,4699,5395,5749,6071,6111,6109,6183,6543,6764,7096
Greece,4554,4903,4883,5492,5608,5978,6435,6799,7047,7230,7481,8068,8321,9133,9848,10723,11294,11773,12523,13713,14770,15752,17598,18205,17478,18363,19274,19632,20677,21174,21335,21156,21115,21084,21562,22154,22449,22294,23267,24046,23818,24264,24247,23719,24073,24464,25053,26048,26913,27634,28599,29627,30676,32376,33931,34034,35850,36930,36708,35037,33075,30099,28053,27341,27727,27789,27851,28326,29030,29697
Guatemala,3938,3867,3823,3838,3786,3756,3967,4058,4111,4176,4142,4185,4199,4458,4520,4621,4779,4875,5195,5328,5513,5689,5968,6227,6471,6444,6759,7115,7295,7463,7564,7413,6994,6619,6480,6270,6086,6040,6027,6096,6119,6134,6310,6418,6469,6586,6612,6733,6904,7031,7089,7131,7263,7308,7403,7492,7723,8033,8122,7996,8059,8228,8307,8450,8638,8832,8943,9029,9149,9309
"Hong Kong",4381,3908,4078,4245,4419,4594,4767,4937,5109,5289,5480,5664,6473,7306,7749,8671,8625,8580,8679,9467,10146,10686,11612,12842,12897,12643,14289,15467,16243,17573,18855,20158,20357,21199,22983,22739,24779,27518,29230,29504,30076,31449,32999,34401,35755,35723,36363,37924,35335,35921,38247,38359,39018,39984,43245,46169,48943,51852,52758,51225,54257,56406,56877,58316,59580,60527,61282,63325,64628,65750
Hungary,7389,8029,8229,8299,8492,9147,8657,9443,10032,10380,10872,11370,11804,12417,13073,13137,13842,14581,14700,15082,14980,15606,15897,16671,17029,17294,17252,18252,18631,18624,18789,18920,19614,19441,19990,19534,19959,20302,20948,20566,19243,16954,16435,16355,16852,17129,17161,17770,18566,19212,20072,20891,21899,22807,24002,25105,26113,26263,26533,24820,25040,25560,25240,25840,27004,28026,28750,30019,31533,32732
Iceland,9632,9158,10001,10073,10708,11444,11701,11425,11980,12132,12421,12160,12962,14018,15174,15983,17070,16597,15469,15733,16811,18823,19685,20717,21599,21463,22530,24330,25593,26572,27804,28660,28878,27890,28743,29459,31103,33526,32798,32477,32601,32153,30680,30769,31604,31470,32798,34907,36985,38018,39335,40329,40243,40872,43773,45813,47099,50223,50280,46712,45172,45882,46230,47688,48143,49772,52698,53544,55398,57265
India,930,931,940,973,1000,1010,1039,1025,1057,1073,1114,1132,1134,1157,1212,1171,1143,1190,1208,1250,1289,1284,1255,1268,1265,1321,1333,1383,1433,1364,1387,1447,1470,1538,1578,1606,1639,1673,1784,1879,1944,1951,1994,2068,2170,2286,2417,2505,2609,2741,2848,2909,2994,3147,3338,3583,3859,4185,4383,4540,4967,5240,5455,5716,6040,6414,6889,7275,7723,8148
Indonesia,1583,1678,1733,1793,1877,1900,1896,1994,1892,1942,1994,2089,2044,1926,1957,1937,1898,1817,1954,2150,2328,2406,2617,2937,3015,2950,3136,3302,3373,3474,3686,3856,3636,3702,3874,3886,4042,4166,4327,4633,4956,5306,5557,5900,6240,6640,7039,7251,6202,6154,6359,6497,6694,6918,7168,7482,7793,8185,8689,8993,9460,9936,10426,10895,11330,11772,12253,12762,13309,13855
Iran,4981,4848,4720,4599,4477,4451,4771,5262,5672,5999,6375,6615,6691,7152,7532,8168,8747,9529,10602,11577,12493,13766,15298,16161,16935,17728,19321,17969,15474,13435,11422,11094,12250,12971,12707,12149,10832,10231,9630,9874,10693,11793,12723,12126,11736,11797,12573,12819,13000,13067,13262,13654,14475,15494,16265,16597,17128,18523,17858,18860,19049,19516,18152,17652,18157,17705,19189,20280,19901,19091
Iraq,11752,12456,13414,18348,21228,19807,20591,19819,21487,21744,23570,25519,25997,24748,26849,28334,28857,27265,31057,31060,29928,30738,28634,32346,32963,37189,43289,43021,49066,58220,54961,43444,41651,36787,35641,33889,32394,32721,25058,22153,21187,7653,9611,9331,8602,7590,8283,7718,8602,9053,9755,10333,10751,8181,12220,12107,12471,12397,13084,13172,13620,14203,15664,16308,15901,15804,17423,16647,16291,16303
Ireland,7109,7296,7499,7714,7811,8071,8023,8058,7966,8314,8816,9282,9544,9926,10264,10400,10459,11018,11878,12536,12763,13081,13717,14137,14499,15062,15034,16049,16984,17225,17583,17944,18161,17993,18643,19159,19074,19966,21070,22399,24330,24588,25294,25751,27161,29614,31641,34739,37359,40828,44097,45709,47609,48224,50462,52173,53340,54578,51121,48063,48720,50313,50192,50596,54648,58705,60941,64635,68237,70564
Israel,5043,5654,5422,5209,6040,6625,6910,7145,7354,8057,8347,8943,9427,10011,10590,11227,11080,11136,12589,13823,14500,15592,16965,17264,17944,18164,18027,17654,18123,18821,19661,20329,20388,20737,20555,20893,21516,22678,22747,22560,23389,23562,24337,24365,25177,26686,27209,27585,28001,28250,29976,29360,28767,28535,29385,30035,31191,32475,32910,32747,33923,35010,35128,35976,36749,37099,37995,38716,39392,40031
Italy,7335,7831,8373,8923,9319,9794,10177,10721,11227,11841,12392,13349,14299,15212,15682,15916,16636,17707,19072,20038,20356,20610,21072,22274,23137,22500,23848,24440,25270,26643,27543,27648,27758,28050,28736,29526,30363,31305,32514,33449,34169,34671,34937,34618,35355,36375,36833,37489,38084,38671,40088,40775,40816,40696,41073,41260,41962,42366,41644,39182,39721,39881,38652,37547,37246,37626,38112,38779,39127,39143
"Ivory Coast",2817,2863,2909,2955,3003,3050,3097,3145,3191,3222,3400,3588,3613,4039,4569,4278,4407,4259,4681,4647,4893,4881,4902,5050,4977,4773,5124,5149,5437,5328,5524,5506,5316,4924,4591,4645,4614,4379,4148,3979,3538,3391,3286,3176,3067,3136,3294,3393,3481,3448,3292,3214,3093,2987,2953,2937,2919,2908,2918,2949,2945,2744,2980,3191,3403,3633,3850,4070,4293,4533
