Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Greece,3.95,3.95,3.95,3.95,3.95,3.95,0.13,0.33,-0.15,0.03,-0.05,-1.44,-1.84,-1.74,-1.14,-1.34,-1.64,-1.64,-0.75,-2.05,0.35,0.57,1.07,0.17,0.17,1.26,0.86,0.48,1.17,1.43,5.21,-1.09,0.37,-0.25,2.47,0.36,0.01,1.53,0.47,1.42,-1.7,1.44,0.8,1.78,0.92,-0.63,-0.46,4.42,-0.14,0.46,0.05,2.06,1.3,1.97,3.53,1.3,0.66,1.05,-1.75,-5.44,-6.04,-5.5,-2.44,-1.77,1.06,1.41,3.22
"Hong Kong",2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,3.97,2.57,2.89,3.38,3.83,1.83,3.11,3.22,2.25,4.44,5.53,-1.55,-0.55,1.86,-0.09,3.26,0.49,3.66,-2.64,-2.04,2.87,-4.27,5.23,2.74,-0.49,8.09,0.82,-1.27,1.56,4.33,1.18,-0.26,-1.28,3.5,1.61,0.72,2.56,-1.37,-2.23,2.49,0.85,1.22,1.5,-1.69,1.31,0.5,0.89
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,-4.84,-1.69,-4.15,-1.84,-0.65,1.87,-0.75,-1.59,-3.41,-6.94,-10.44,-6.41,4.82,-0.13,-0.22,1.35,1.53,3.67,0.62,-2.1,0.52,-1.35,-0.56,-0.25,0.26,-0.11,-1.81,-3.41,-1.43,-0.38,-0.98,0.73,5.32,2.06,3.08,0.71
Iceland,,,,,,,,,,,,,,,3.45,1.95,-2.1,-1.4,-0.58,2.66,2.98,0.83,1.81,2.14,0.29,2.07,-2.05,0.75,0.27,2.71,4.38,3.24,0.45,1.32,3.58,2.75,5.62,-2.53,-1.71,-1.5,0.16,0.405,0.65,-0.88,2.13,1.19,1.53,2.98,2.41,5.17,2.32,-3.43,-1.86,-0.12,2.83,4.48,3.09,0.9,-10.33,-1.17,2.44,-0.33,3.02,2.59,4.22,3.9,2.96
Indonesia,,,,,,,,,,,,,,,,,,,,,2.56,2.84,3.95,4.66,5.52,6.5,3.64,7.14,-0.93,1.67,4.37,7.31,0.65,2.58,4.5,8.51,2.96,4.45,3.62,2.17,1.14,1.1,1.91,4.26,-1.44,5.31,3.21,-3.52,2.28,2.7,2.26,1.82,1.38,3.57,-0.54,2.2,8.83,2.69,3.23,2.71,-0.18,1.19,1.66,0.86,0.17,3.13,1.32
Ireland,-1.82,-1.82,-1.82,-1.82,-1.82,-1.82,-4.12,-1.96,-1.23,-0.96,-0.35,1.08,0.7,0.6,-0.06,-0.19,-0.4,0.41,0.41,-1.09,0.42,-2.08,0.86,-0.2,-1.23,-1.12,1.8,0.21,4.06,-2.72,-1.76,-0.75,-1.37,-2.65,2.12,-0.21,-0.64,0.44,0.36,3.96,-2.03,-1.58,0.19,3.25,4.83,3.97,2.78,3.84,5.85,3.99,2.62,0.56,0.92,2.76,5.36,4.38,3.6,-1.75,-9.44,-4.61,-6.02,-0.27,3.24,2.36,3.09,2.81,2.21
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,2.46,1.65,-0.74,1.14,2.31,1.2,2.23,1.85,5.7,7.18,6.23,9.07,6.3,4.79,2.64,1.34,3.87,4.06,-0.31,1.7,0.55,0.47,2.87,2.13,4.98,3.33,2.09,2.82,2.52,2.59,2.33,2.01,2.36,2.72,2.51
Italy,0.96,1.14,1.37,1.67,0.27,0.65,0.75,0.66,0.45,0.71,-0.14,-2.57,-2.35,-0.64,-5.14,-0.73,2.46,-0.36,-0.77,-0.57,-2.54,-1.2,0.58,-0.04,-0.73,0.9,-1.53,-0.2,0.76,1.5,0.26,0.82,0.28,-0.56,0.76,1.14,1.25,1.27,-0.16,1.01,1.49,-0.56,-2.69,-1.97,-0.08,1.15,-0.01,1.75,0.91,0.88,1.24,1.06,0.87,0.58,0.38,2,1.56,-0.4,-3.38,-0.55,0.08,-2.51,-2.62,-0.07,0.99,1.69,0.62
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,4.36,4.09,-0.09,1.29,1.13,-0.63,2.28,3.78,0.75,-0.69,1.58,-2.56,-1.11,1.01,8.64,,,,,,,,,,,,,,,
Japan,1.18,1.18,1.18,2.83,4.52,4.51,3.77,1.59,1.95,3.12,1.51,0.24,0.56,1.65,0.74,2.42,2.57,1.84,0.14,0.61,0.33,0.63,1.58,-3.19,-1.62,2.17,1.52,1.17,1.26,0.75,0.51,0.81,1.82,1.04,-0.06,0.59,0.66,0.99,0.54,0.04,1.14,-1.32,-1.43,-0.81,0.48,0.27,-0.74,-2.22,-2.17,-0.32,-1.19,-1.84,0.25,0.97,0.05,1.15,0.27,-1.2,-3.91,0.96,-0.35,0.15,-0.64,0.3,0.03,0.6,0.2
