Country,2015,2016,2017,2018
Finland,0.831607842,0.925691458,0.9077,0.889694837
France,0.774146851,0.766026066,0.7721,0.778129158
Georgia,0.65803569,0.685080576,0.6518,0.618497943
Germany,0.845051248,0.878155895,0.8777,0.87723266
Ghana,0.730577814,0.787160943,0.7801,0.7729866
Greece,0.627942598,0.625745673,0.6287,0.631660922
Grenada,,0.629085043,0.6264,0.623760481
Guatemala,0.586317543,0.574886694,0.5728,0.570657147
Guyana,,0.586746432,0.5811,0.575451451
Honduras,0.54413444,0.524251362,0.497,0.469710195
"Hong Kong",0.524128642,0.522359415,0.5832,0.64404148
Hungary,0.505743656,0.469494865,0.4586,0.447781153
India,0.646305054,0.658810009,0.6406,0.622337011
Indonesia,0.684022129,0.672435887,0.6483,0.624116672
Iran,0.249040955,0.335153394,0.3295,0.323829679
Italy,0.691042127,0.724634417,0.6963,0.668033657
"Ivory Coast",0.555242061,0.535592879,0.5027,0.469781417
Jamaica,0.654278428,0.686004563,0.6641,0.642286328
Japan,0.748009213,0.699098227,0.7052,0.711371063
Jordan,0.431598864,0.440999074,0.4474,0.453867542
Kazakhstan,0.348915015,0.392955092,0.3902,0.387396023
Kenya,0.580281573,0.570488556,0.575,0.579511161
Kyrgyzstan,0.570328987,0.63396797,0.6139,0.59377896
Lebanon,0.603274578,0.576499921,0.561,0.545562832
Liberia,0.662824541,0.661311106,0.6561,0.650823439
"Macedonia (F.Y.R.O.M.)",0.583819092,0.574023342,0.5368,0.499577641
Madagascar,0.539664197,0.527982397,0.5141,0.500140334
Malawi,0.710706288,0.722149855,0.6683,0.614395722
Malaysia,0.371595658,0.353314522,0.38,0.40665752
Mexico,0.561389646,0.531292303,0.5378,0.544369648
Moldova,0.573395892,0.604119932,0.5752,0.546331143
Mongolia,0.599243241,0.616969197,0.6131,0.609213974
Morocco,0.513654945,0.50564499,0.4854,0.465177194
Nepal,0.671529359,0.656074177,0.6505,0.644979084
Netherlands,0.817169918,0.863747351,0.8639,0.864141724
"New Zealand",0.827802818,0.87185534,0.8483,0.824708473
Nicaragua,0.480639387,0.418055512,0.425,0.431875953
Nigeria,0.553394398,0.528248871,0.5283,0.528341074
Norway,0.889237425,0.946197011,0.9245,0.902893175
Pakistan,0.561468389,0.545255448,0.5636,0.581883329
Panama,0.630454855,0.666907463,0.6498,0.632764927
Peru,0.648196835,0.661836181,0.6687,0.675661912
Philippines,0.618548872,0.60820592,0.5782,0.548141181
Poland,0.723264068,0.715991245,0.6726,0.629274267
Portugal,0.763042533,0.803486436,0.7994,0.795345549
Romania,0.648826039,0.699203795,0.6956,0.692091163
Russia,0.420701528,0.412722752,0.4198,0.42683894
"Saint Kitts and Nevis",,0.681652024,0.682,0.682418084
"Saint Lucia",,0.695476411,0.6929,0.690256619
"Saint Vincent and Grenadines",,0.608433959,0.594,0.579603577
Senegal,0.730698605,0.753954426,0.6991,0.644202784
Serbia,0.545966795,0.554125568,0.5203,0.486435617
"Sierra Leone",0.582763218,0.561559639,0.5565,0.551380827
Singapore,0.552209045,0.574047789,0.5646,0.55510807
Slovenia,0.62278608,0.649348949,0.6679,0.686519433
"South Africa",0.702038671,0.655822341,0.6551,0.654463957
"South Korea",0.702560895,0.610610247,0.6251,0.639589329
Spain,0.70226366,0.712097528,0.7119,0.711800514
"Sri Lanka",0.539672996,0.517331236,0.5421,0.566968391
Suriname,,0.629910991,0.5715,0.513060532
Sweden,0.900199538,0.868029752,0.868,0.867970663
Tanzania,0.581342994,0.494238996,0.4898,0.485421679
Thailand,0.522298131,0.493772273,0.4945,0.495158618
"Trinidad and Tobago",,0.666183164,0.6642,0.662149016
Tunisia,0.645268186,0.682048185,0.6351,0.588065325
Turkey,0.339702951,0.23858584,0.2367,0.234867906
Uganda,0.421810104,0.463454583,0.4645,0.465511463
Ukraine,0.648150009,0.6346895,0.5952,0.555702246
"United Arab Emirates",0.363576904,0.338463874,0.3376,0.336673715
"United Kingdom",0.789365272,0.856285869,0.8554,0.854512125
"United States",0.80164634,0.832558814,0.8141,0.79560179
Uruguay,0.776182613,0.79856573,0.7932,0.787800192
Uzbekistan,0.242417549,0.163713225,0.1981,0.23255857
Venezuela,0.342040559,0.289756237,0.2883,0.286899167
Vietnam,0.369122048,0.419694919,0.4208,0.421899184
Zambia,0.471742966,0.468578528,0.4629,0.457200061
Zimbabwe,0.231535435,0.176751092,0.184,0.191196903
