Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.58289712,18.68045761,20.62548866,23.25752018,29.6502864,28.65609483,36.66169896,41.31429364,35.49306725,33.80530973,21.38001796,13.05791927,14.42999304,21.25972436,15.0554608,13.48643844,11.36670446,10.43740192,12.98480375,13.66807367,17.55651355,23.6918138,26.02240055,32.88240978,39.59097133,27.40262733,35.24580943,34.62026337
Bulgaria,,,,,,,,,,,,,,,,,,,,,33.99635532,35.48781365,34.12952814,32.88992641,33.20335071,32.19727998,35.87634137,32.90383863,34.41743534,33.10905728,25.58877829,22.59764186,19.88894422,15.28203413,9.391171994,15.698595,0.298643898,8.868906636,18.49396235,19.33142249,19.19781524,21.39500567,20.55885092,22.14921883,23.48061537,27.7626785,32.14934436,33.36244844,36.80234815,28.62352087,22.56768175,21.47033159,21.94202615,21.33990781,21.4356596,21.18976816,20.30720794
"Burkina Faso",8.519938835,8.654232441,8.707800699,8.801236956,9.63910844,8.711953097,7.972084048,8.022715569,8.270184987,9.610307098,10.27003377,14.87390023,17.27749445,20.63106893,25.52317181,23.104222,22.84450386,19.56245445,18.3189338,16.40009385,15.10695056,14.13092965,17.92663493,17.13226585,14.16662848,22.95327815,20.13659159,19.22265641,18.78891127,20.41001717,18.91339663,21.2456099,19.30243347,19.45939738,27.16616165,23.92534288,24.94470713,27.39177838,24.17456283,18.30478157,20.06839449,13.78886648,17.53587318,21.30612282,21.6631529,24.09577966,20.60530082,22.24628133,25.41249696,24.87154617,26.93085732,27.96709932,32.45217107,32.42896706,31.52905396,32.83449403,33.33287391
Burundi,6.250000319,6.896551996,7.377048973,6.015037646,5.369127352,5.766593118,6.767566522,6.851483879,8.189644417,8.288770053,4.530794619,7.607678643,3.181696102,5.311823807,4.052299601,7.580076434,9.088417504,11.19641139,14.03688618,14.91621548,13.88576799,17.0061756,14.45739664,22.82679966,18.37083548,13.86112932,11.64423,22.61237161,15.0351399,16.46288679,14.53697686,14.40976319,10.63829807,11.54014928,6.974127152,6.363436388,8.209806157,6.096849475,6.771614193,5.88493632,2.78113771,4.468258563,3.948660199,7.868790037,10.34709713,22.37270868,21.95541947,23.60674987,26.66390822,23.24776453,30.51985271,27.58877261,28.37304824,28.74508988,27.81257545,16.89167613,16.87434335
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.78971192,48.5351919,43.78942607,47.64732142,47.50878184,37.19352322,31.62958464,37.00438697,,
Cambodia,20.17937058,17.77777801,18.18181795,17.64705744,15.69343204,13.48684211,18.125,14.83679538,14.20911497,13.908873,12.53132823,12.503,12.4747,12.4464,12.4181,12.3898,12.3615,12.3332,12.3049,12.2766,12.2483,12.22,12.1917,12.1634,12.1351,12.1068,12.0785,12.0502,12.0219,11.9936,11.9653,11.937,11.9087,11.8804071,11.93855081,14.55231684,14.72005581,15.02049984,11.83376966,16.98372802,17.5289932,18.65986306,18.1245154,20.09876028,16.20760935,18.46570017,22.51697645,21.19729133,18.61672786,21.35991038,17.3676572,17.09791455,18.5325191,19.72187081,21.99545776,22.4529982,22.70583248
Cameroon,,,,,,12.53132773,13.34289846,13.76465562,13.35907349,10.69556094,16.02765631,16.64710262,18.24678108,19.89145697,17.08068633,19.97386587,17.58845253,28.48920857,31.24881269,28.52036987,20.98283879,27.18770913,24.79631653,25.97784573,25.94366095,24.88494696,25.51283406,24.69976327,20.89731229,17.09601256,17.81197837,16.67265481,14.30538628,13.67117039,12.57098042,13.29641199,14.24025887,15.13045547,15.04541909,14.85916048,16.72088548,20.31131529,19.78918328,17.4964642,18.90958248,19.06779951,16.81536059,17.30630699,18.2178586,18.51776974,19.04223306,20.59370215,19.37743059,19.50470066,20.73631843,20.54966501,25.67898616
Canada,,,,,,25.69966574,26.38662076,23.6221409,22.75676022,23.56102585,22.01366448,22.97048851,23.08710128,24.46677855,26.30303165,25.5492878,25.14835839,24.19219661,23.36335774,25.10903319,23.51174992,25.38127756,19.99648373,20.29969668,21.03975509,21.61802941,21.77042616,22.27123789,23.59989814,23.70012526,21.38118924,19.41100002,18.43945482,18.53525613,19.57702718,19.44224963,18.98980541,21.28825913,21.11811116,20.75551343,20.68333968,19.74090425,19.80962662,20.53914414,21.45588344,22.70463251,23.66494729,23.97059609,24.1324611,22.01510178,23.53731445,24.20795945,24.92752939,24.96959208,24.63909089,23.82839935,22.87141487
"Central African Republic",19.63635583,21.19205263,23.27869317,21.76655686,22.12643584,21.40921409,21.13401804,21.83623325,16.21911628,16.365681,17.98367251,18.74860653,18.43350918,20.84581973,15.5018227,13.80130839,11.96626004,11.55393597,10.88687069,9.794197902,7.007125589,8.739405813,6.669374574,11.83265505,12.30714187,15.38406105,12.77946311,12.63111525,10.50941213,11.75584426,12.70805981,12.6480118,12.40250132,10.57848181,11.70605363,14.11903115,7.275021434,10.08018914,11.01276891,12.9619644,11.07229594,10.24082921,9.624946666,6.404792507,6.812138026,9.77029209,10.23420525,10.68371827,12.72839825,13.16531432,14.26577514,14.860674,14.66211096,8.691476864,10.19972792,13.92269501,13.62289753
Chad,13.57363116,14.78004415,11.67230961,15.12399385,14.98532108,11.03193983,13.15273158,15.65616529,15.04346063,16.85434008,16.09262267,15.89077097,14.75063851,15.23033659,18.47476488,20.52805596,17.05431382,18.51475565,16.23124527,12.9639,9.6965,6.4291,3.161763905,2.732897275,4.830397245,7.302372473,8.132939986,9.129483068,7.035497303,8.03107437,6.753507456,6.543070259,7.468113915,9.759301852,16.63991107,13.1924876,20.25016049,19.48477886,16.93422051,13.6915006,23.27390222,40.25037691,60.15617302,52.12177433,24.28387192,20.70430673,22.19288094,22.31519662,21.87902517,30.23108205,34.4790567,28.47213272,31.10026433,29.25254692,33.75971111,28.60863548,24.40930155
Chile,14.11855784,15.50279054,12.87534198,15.35984828,14.68450659,15.44923283,16.73693865,16.55842068,16.88313527,15.66481129,17.06308611,15.23516751,12.85203484,8.791852648,21.97342562,14.23681519,13.59499531,15.25384969,18.79970235,18.59925717,21.88279521,23.28217646,11.91995469,12.21342409,19.25149487,17.03264434,18.76046646,22.15637469,22.96902134,25.67744716,25.78298306,23.35938076,25.05961399,27.99139647,25.64375487,27.45492215,27.84967073,27.77917306,26.94382504,20.86982846,22.11674947,22.36678545,22.33307575,21.04101861,19.77894959,21.84016717,20.81581803,20.84546483,26.81762984,21.05836895,23.13998612,24.64276539,26.44943795,25.62556817,23.23218149,23.34236496,21.58699983
China,39.11298551,22.28353485,15.32438479,21.25290395,23.83155317,26.64936563,30.16889924,23.7264519,24.78068918,24.7630211,32.67535202,33.33469006,30.99435825,32.78064001,33.10464335,34.94982727,33.12922439,33.78769231,38.40215293,37.06621144,35.3801552,33.68856112,32.74649198,32.69112591,35.17482998,39.89053622,38.56806924,38.15074007,39.92187294,37.90403791,34.73393066,35.86587051,39.83709941,44.24301717,40.94844513,39.68460985,38.37239743,36.33720128,35.678645,34.96473228,34.42966252,36.42221803,37.07752548,40.63155827,42.89447245,41.39123174,40.93324553,41.46314116,43.26638301,46.44128848,47.61226961,47.68586018,47.23452969,47.38774527,47.00772081,45.40088411,
Colombia,20.20569087,20.43646162,18.07894684,17.64466183,17.45909753,17.66878956,20.43191151,18.46473454,21.16349328,20.47283126,20.33622597,19.2448334,17.93116489,18.09508225,21.40304841,17.03249529,17.66021063,18.71432596,18.25204769,18.16932329,19.06112856,20.62767575,20.50215873,19.90742447,18.95459849,19.02984871,18.00116265,19.06076931,20.64553927,18.49046128,18.50394236,15.94992937,16.71488077,21.28107018,25.53844675,25.79874333,22.15093866,20.92375062,19.72807918,12.88013417,14.89562703,16.03225135,17.25154184,18.68181902,19.44099661,20.22101624,22.40308624,23.02701173,23.48720128,22.44004225,22.12620476,23.87634015,23.85252318,24.30847702,26.27845694,26.72047961,25.48062712
Comoros,,,,,,,,,,,,,,,,,,,,,33.16854667,26.98785306,31.38391352,30.26402414,44.96039745,32.79220889,23.58805736,25.24604099,21.83474702,17.39514463,19.66683315,13.24141893,20.52286469,19.30405188,20.68363693,19.45698751,19.42057174,15.84774788,17.95431413,14.95981787,6.257678823,10.34080957,14.32151031,11.12762404,10.40288494,10.56248814,11.26610533,11.06704765,19.76711031,16.81270325,14.74846237,15.58846153,17.67217845,21.76751959,27.35829313,18.4,20.9
"Congo (Kinshasa)",6.931732405,7.140554726,3.964220861,18.05167607,18.50968105,16.86320754,8.326573574,12.01961237,11.24759028,12.8268046,14.92225725,18.39277913,18.64687323,16.72023298,17.09391979,17.82065143,14.47070908,21.393626,11.93044342,12.73980475,9.956569874,10.50102455,8.319313546,9.324722476,10.49215948,12.50219473,13.1988745,14.16337901,14.4286555,14.30273729,9.05003681,5.575812728,6.900063996,1.763037628,7.899999716,9.373601742,27.85181701,2.500000031,2.100000021,3.069010671,14.43349633,6.704140752,7.435791083,9.524554843,12.25692055,11.77940641,14.80563085,14.02062746,11.1862027,14.87057335,15.9231582,16.17914608,20.01257717,21.62814445,22.41626933,19.40194684,15.28264607
"Congo (Brazzaville)",53.18682682,64.65345362,36.29847941,22.74108549,20.31055597,22.42798057,30.25829317,31.50684426,29.58198376,26.70537675,24.21051829,26.60653565,29.08213034,31.95364876,35.06032775,39.11192105,31.0038858,26.59574128,27.3323232,25.96074349,35.76581576,48.16318996,59.73239437,38.43843856,30.39123631,30.28430264,29.45062753,19.72836302,18.61911988,14.1282962,15.90551181,20.52816443,21.59969088,29.49611893,54.48613543,36.57264249,32.79041317,22.23338497,26.68437527,27.77202788,22.6259542,26.35663721,23.40759656,26.09032417,22.52034084,20.19022881,21.63245666,21.81255483,18.30297919,22.51301909,20.5231699,25.2725018,25.99644792,30.94451685,41.3,40.87291485,50.40618906
"Costa Rica",17.50043227,18.87822578,19.45333968,18.7944282,15.99412272,19.50362635,19.05839096,19.35734437,18.02719133,20.02899899,20.53643867,24.336557,22.02706858,23.99334779,26.73865271,21.6410984,23.66219167,24.26976921,23.46136146,25.31401397,26.57473014,29.02664752,24.68609331,15.88234583,14.70076144,13.75140566,16.07099831,19.53554363,17.92206413,17.74297785,18.47804844,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ivory Coast",16.72493469,19.84098339,13.88956778,17.78283022,21.84455323,21.87222786,21.82034643,19.78228194,17.81210511,19.52529038,22.49565293,21.8019049,20.87534817,23.18011006,22.01623856,22.44457888,22.98922739,27.33238036,29.76217101,27.96544933,26.53611796,25.94047338,23.18829037,18.41277178,11.6507777,12.95138474,12.06341005,12.31724466,12.65035275,8.90395595,6.688803339,7.358001161,6.923884602,9.793071084,13.71571807,15.59844581,12.11207057,14.42444857,13.51926727,13.30789947,10.4845624,10.51608017,9.364770174,9.079177833,10.1012411,13.93881658,10.59140593,12.67022898,12.06917563,8.696855236,13.43703222,4.70372346,15.11865318,20.71073361,19.7931974,20.19346785,20.7948613
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.83901851,20.10766616,25.62996663,21.60661368,21.26234591,20.15082908,22.11252256,25.85352995,27.98534379,27.53406362,27.93838433,29.80770267,29.70299728,31.43427816,25.03881695,21.35008598,20.62795256,19.26938972,19.10547343,18.55299859,18.79407068,18.89159613
Cuba,,,,,,,,,,,25.92694101,25.93697326,25.93454637,25.9162428,25.89200872,25.95493528,25.98713369,25.922409,25.82472879,25.77083897,26.26956589,26.14812672,25.59878371,25.33632734,25.50139111,28.76320219,25.540928,22.85207025,24.02404456,26.32671003,24.80249224,13.99548243,6.544959175,6.394381927,5.242130851,7.014274978,15.89699928,14.95296891,13.20312506,11.85632159,12.5049893,11.46472489,9.196350159,8.503615478,8.800617753,10.77459352,11.72861509,10.18276941,14.84467892,10.9375,10.07337396,8.470792869,8.57521773,9.393633017,7.6113276,9.372589886,
Cyprus,,,,,,,,,,,,,,,,22.52917602,26.56483238,34.8853722,37.2161941,38.72658021,37.81401897,33.81278141,31.7201665,30.11348713,33.59503199,30.34003462,25.92291888,25.53084143,27.45628501,30.89192911,27.04542752,25.84215003,28.69895942,24.08770256,25.51565377,26.98226722,24.64512041,24.45152243,19.37066375,20.17561689,20.80614559,19.01679752,21.84391294,20.36375219,22.22285997,22.52513432,24.70455859,24.49604912,29.17447122,23.09957962,23.77781808,18.76276538,16.08722453,13.15086488,12.32111752,14.46601501,16.03450009
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.33342777,22.27762436,25.39497171,26.47092295,29.788682,33.86411749,35.68631518,32.3714964,30.35227974,29.23242301,31.50145619,31.61929372,30.21336751,29.16670683,29.387669,29.16872828,30.10155594,32.1290228,31.11552529,26.51516755,27.17430041,26.95753708,26.18564146,24.6670431,25.88038033,27.35746051,26.23573693
Denmark,,,,,,,25.42189631,24.95287338,24.54513019,26.27197726,26.74636516,25.91225941,26.70750516,27.53718297,26.93560162,22.47155744,25.41406734,24.40633731,23.13527219,23.11796152,20.1243302,17.01370298,18.27133957,18.36432581,20.60268342,22.09969049,23.7846333,22.02178703,21.05717856,21.32320191,20.79838047,19.61156632,18.93958271,17.37791152,18.73448332,20.68639814,20.06371183,22.0619145,22.65511961,20.88776589,22.35151992,21.82517867,21.34306101,20.92171852,21.69135346,22.20640309,24.29826543,25.27781372,23.98407967,19.08836839,18.07605612,19.1269586,19.46641745,19.69080836,19.9920597,19.7550182,20.11584439
