Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Northern Ireland",4.1,3.46,3.93,4.4,4.68,3.68,5.6,3.99,4.39,3.14,4.73,4.96,4.18,4.36,4.26,4.77,6.6,4.89,5.99,5.13,5.11,5.13,5.69,5.33,5.65,5.69,5.22,5.56,5.52,5.33,4.79,4.68,6.04,5.4,5.84,5.69,4.24,5.51,4.92,4.99,4.28,4.12,4.45,3.64,3.61,5.14,4.87,4.54,5.16,4.14,4.37,5.11,4.73,5.55,5,4.55,5.2,6.2,5.7
Norway,3.05,2.6,3.55,2.57,4.02,3.61,3.63,4,3.59,4.05,3.28,3.56,3.86,4.72,4.63,4.76,4.68,4.32,4.96,4.3,4.64,4.98,4.79,4.79,4.69,4.9,5.64,5.2,4.66,4.89,5.88,5.89,5.85,5.79,5.45,5.59,4.75,5.84,5.69,5.61,5.57,5.79,5.69,5.2,5.52,5.18,5.9,6.2,5.18,5.89,5.94,5.54,6.07,5.98,5.52,5.53,5.2,6.1,6
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2,2.92,2.42,1.83,3.35,3.07,3.13,2.87,2.39,2.75,2.37,2.785,3.2,2.4,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,2.51,2.12,2.03,1.77,1.98,2.37,2.23,2.7,2.15,2.3,2.57,3,2.81,3.09,2.8,3,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,2.1194,2.1489,2.1783,2.2078,2.2372,2.2667,2.2961,2.3256,2.355,2.3844,2.4139,2.4433,2.4728,2.5022,2.5317,2.5611,2.5906,2.62,2.23,1.96,2.43,2.18,2.45,2.88,2.57,3,2.93,3.04,2.84,2.8,3.1,
Philippines,,,,,,,,,,,,,,0.28,0.3125,0.345,0.3775,0.41,0.4425,0.475,0.5075,0.54,0.5725,0.605,0.6375,0.67,0.7025,0.735,0.7675,0.8,0.8325,0.865,0.8975,0.93,0.9625,0.995,1.0275,1.06,0.98,1.43,1.31,1.39,1.63,1.57,1.62,1.73,1.73,1.99,1.94,1.946,1.952,1.958,1.964,1.97,,,,,
Poland,,,,,,,1.66,1.81,2.45,2.52,2.9,2.83,3.23,3.35,3.28,3.21,3.56,3.6278,3.6956,3.7633,3.8311,3.8989,3.9667,4.0344,4.1022,4.17,4.22,4.38,4.25,4.47,4.8,4.75,4.97,4.88,4.96,4.78,5.09,4.91,5.24,5.02,4.93,4.91,4.94,4.97,5,5.11,4.92,4.92,5.21,4.91,4.92,5.24,5.24,5.3,5.17,5.17,5,5.2,5.1
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.54,2.74,2.98,2.65,2.97,2.9,3.08,3.29,3.38,3.15,2.93,2.8,3.25,3.17,3.17,2.93,3.23,3.28,2.95,3.07,3.44,3.43,3.13,3.2675,3.405,3.5425,3.68,3.41,3.43,3.62,4,3.7,3.8
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,2.79,2.79,2.77,2.97,2.9,3.23,3.08,3,3.28,3.07,3.11,3.24,3.19,3.69,3.62,3.62,3.68,3.69,3.97,3.93,4.17,4.03,3.96,4.32,4.16,4.5,4.48,4.51,4.66,4.66,4.6,4.8,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.13,4.28,4.33,4.25,4.32,4.39,4.44,4.44,4.57,4.69,4.77,4.6,,
