Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ethiopia,,,,,,,,,,,,,,,,,66.4,63.65,60.9,58.15,55.4,51.58,47.76,43.94,40.12,36.3,35.8333,35.3667,34.9,34.4333,33.9667,33.5,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.6667,4.4333,4.2,3.9667,3.7333,3.5,3.1,2.7,2.3,1.9,1.5,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,70.5,65.46,60.42,55.38,50.34,45.3,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,6,17.6,15.7,19.9,21,20.9,16.9,17.4,16.8,16.2,13.9,16.3,15.5,15.4,19.6,17.8,15.5,11.5,9.8,8.3,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.1,0.15,0.2,,,,,,
Ghana,,,,,,,,,40,39.7,42.2667,44.8333,47.4,45.4714,43.5429,41.6143,39.6857,37.7571,35.8286,33.9,32.6429,31.3857,30.1286,28.8714,27.6143,26.3571,25.1,23.4571,21.8143,20.1714,18.5286,16.8857,15.2429,13.6,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.3,0.6,0.5,0.3,0.6,1,1.2,1.5,1,1.5,,
Guatemala,,,,,,,,50.9,46.6,42.3,38,35.2667,32.5333,29.8,27.0667,24.3333,21.6,18.8667,16.1333,13.4,11.75,10.1,10.3333,10.5667,10.8,11.0333,11.2667,11.5,11.5,11.5,11.5,11.5,11.5,10.8333,10.1667,9.5,,
Guinea,,,,,,,,,,,,,92.3,77.7,63.1,48.5,50.1375,51.775,53.4125,55.05,56.6875,58.325,59.9625,61.6,61.22,60.84,60.46,60.08,59.7,54.82,49.94,45.06,40.18,35.3,,,,
"Guinea Bissau",,,,,,,,,,,,,43,53.5,64,62.8778,61.7556,60.6333,59.5111,58.3889,57.2667,56.1444,55.0222,53.9,55.55,57.2,58.85,60.5,62.15,63.8,65.45,67.1,,,,,,
Guyana,,,,,,,,,,,,,,33.2,30,26.8,23.6,20.4,17.2,14,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,,,,
Honduras,,,,,,,,,,,38.6,44.3,33.4,28.7,23.6,26.7,27.7,30.4,21.2,25.9,26.5,22.4,18.3,29.1,27.5,26.3,27.8,23.8,17.4,16.1,14,15.5,18.8,21.4,18.9,17.2,17.8,
Hungary,,,,,,,,,0.1,0.1,0.1,0.125,0.15,0.175,0.2,0.1909,0.1818,0.1727,0.1636,0.1545,0.1455,0.1364,0.1273,0.1182,0.1091,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.7,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.15,0.1,0.1,0.1,0.1,0.1,0.1,,,,,
India,,,,,53.9,51.625,49.35,47.075,44.8,44.9833,45.1667,45.35,45.5333,45.7167,45.9,45.2,44.5,43.8,43.1,42.4,41.7,41,40.3,39.6,38.9,38.2,36.78,35.36,33.94,32.52,31.1,26.15,21.2,,,,,
Indonesia,,,,,,70.3,70.2333,70.1667,70.1,65.8333,61.5667,57.3,57.2333,57.1667,57.1,53.3667,49.6333,45.9,55.6,65.3,40,39.8,36,23.4,23.3,24.4,21.6,28,22.8,21.6,18.4,15.9,13.6,11.8,9.8,8.3,7.5,6.8
Iran,,,,,,,,7.4,7.05,6.7,6.35,6,5.3,4.6,3.9,3.2,3.05,2.9,2.75,2.6,2.2857,1.9714,1.6571,1.3429,1.0286,0.7143,0.4,0.4,0.6,0.8,1,0.775,0.55,0.325,0.1,0.3,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.1667,2.2333,2.3,2.3667,2.4333,2.5,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1,0.2,0.4,0.5,0.5,0.3,0.8,0.5,,
Israel,,,,,,,,0.3,0.3091,0.3182,0.3273,0.3364,0.3455,0.3545,0.3636,0.3727,0.3818,0.3909,0.4,0.375,0.35,0.325,0.3,0.4,0.5,0.6,0.7,0.5,0.3,0.3,0.3,0.3,0.5,0.7,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.7,0.6,0.7,0.9,1.3,1.1,1.2,1.4,1.2,,
Jamaica,,,,,,,,,,7.2,5.9,4.6,6.3333,8.0667,9.8,7.6667,5.5333,3.4,3.1333,2.8667,2.6,2.6333,2.6667,2.7,2.2,1.7,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,
