Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,68.62770081,68.62770081,68.62770081,68.45117188,68.45117188,68.27465057,68.27465057,68.27465057,68.27465057,68.09812164,67.7745285,67.80184937,68.08953094,67.93495178,68.09490967,67.78637695,69.49952698,70.45441437,69.94697571,69.62159729,68.91670227,69.15054321,70.45300293,70.12838745,70.83727264,70.93946075,73.60909271,73.75154877,74.1164093,75.15607452,78.30851746,78.25457001,75.5618515,74.84989166,76.05092621,77.51731873,80.76115417,85.43704987,87.06575775,87.36669159,87.35404205,88.44225311,89.09690857,89.16782379,88.59320831,88.08291626,87.54328156,87.37516785,86.28616333
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,29.3035717,29.32197952,29.63274193,29.7523613,30.56899643,30.91611099,32.81037903,33.97602081,35.89895248,37.51591492,38.03442383,45.028759,40.43885803,48.05746841,48.02848053,51.36466599,60.46563721,61.93310928,65.72047424,69.15827179,70.07032013,72.0793457,74.18043518,74.62553406,74.10778046,73.75158691,73.25474548,73.66004181
Bahamas,,,,68.63609314,68.63609314,67.92998505,68.45957184,67.22388458,67.04735565,67.92998505,68.31612396,68.52452087,68.55101013,68.21990967,67.89241791,68.10115051,67.7745285,67.61544037,67.27836609,66.93672943,66.59712219,66.79153442,66.99125671,67.00304413,67.18186188,69.36469269,70.19241333,69.89229584,71.18955231,70.83840179,74.70768738,75.34078979,79.07997894,79.34889221,78.8303833,74.04808807,79.86399078,74.66601563,82.01298523,82.30419159,83.19523621,84.50615692,84.86440277,85.90557861,88.21204376,88.25875092,86.85461426,87.50216675,87.49468231
Bahrain,,63.75837708,63.93490601,64.28795624,64.46448517,64.28795624,64.11142731,63.93490601,63.75837708,64.11142731,64.30007172,62.71304703,63.79426956,62.56350327,64.90507507,60.45178604,61.35946274,61.37713623,61.5738678,61.77534485,61.79407883,61.8276825,62.00675964,62.32011795,62.96659851,65.84277344,66.52070618,65.85219574,66.70594025,65.80942535,63.32878876,63.31699753,62.90302658,67.37281799,66.92784119,66.61459351,69.09453583,70.49656677,75.13513184,78.34757996,79.2512207,81.17153168,81.83802795,83.05495453,84.45711517,85.31806183,77.97303009,84.91069794,85.15000916
Bangladesh,,12.717103,12.717103,12.717103,12.717103,12.18752289,11.65794277,11.1283617,11.65794277,11.1283617,11.13944244,11.83725262,11.31167507,11.65118408,11.63581753,11.46408844,11.09129906,11.27301598,11.63732243,11.26088905,11.42972565,11.42689705,11.78498268,11.78030109,12.26305103,13.42028999,15.43327999,13.47890663,17.01948738,20.73668671,22.63574791,24.52489281,24.09049606,24.53956985,25.10844421,26.00436211,29.41001511,32.07424545,45.231987,48.08875656,50.70704269,52.27457047,55.36992645,56.89522171,58.34014511,59.02092743,58.24583435,57.52754974,58.12896347
Barbados,63.60134888,63.60134888,63.60134888,63.60134888,63.42481995,63.0717659,62.71871185,61.4830246,63.60134888,64.4839859,65.20849609,65.05030823,64.89229584,64.733284,64.75288391,64.95285034,65.14970398,65.16323853,65.35945129,65.55783081,65.58521271,65.61750031,65.82675171,66.15969849,66.12556458,65.77099609,72.01050568,72.54864502,73.63069916,73.59687042,75.41259003,78.71738434,82.71720886,83.95604706,83.63191223,83.95262146,83.13149261,84.34184265,83.99338531,85.28581238,85.66681671,86.1751709,85.32855225,85.76854706,86.84590149,87.28872681,87.28032684,87.41841888,87.39529419
Belarus,,,,,,,,,,,,,,,,,,,,,,39.29915237,39.32195663,39.32148743,40.57820129,39.20123291,42.07901764,41.10322189,36.38899231,45.18141556,45.32971954,48.59677887,52.22742462,56.3285675,55.31763458,57.78731537,58.46221924,59.20869827,65.94597626,69.94377136,72.1092453,73.66425323,75.90609741,76.59660339,77.35327911,77.89168549,76.53023529,77.99430084,78.53829193
Belgium,64.94391632,64.94391632,64.94391632,64.94391632,64.76739502,64.76739502,65.22892761,65.99815369,65.64510345,65.44589233,65.30718231,65.16827393,64.8520813,64.5577774,64.24172211,63.5904541,63.26612091,63.0076828,62.97980881,62.32310867,62.01468277,65.04532623,66.76790619,70.04767609,70.7248764,71.09812927,71.50812531,71.29704285,71.48500824,73.1847229,75.92182159,77.33810425,76.74718475,78.6322937,78.00608826,77.68546295,80.19579315,86.05792236,86.87546539,87.52352905,88.16558838,89.20330811,89.67260742,90.75533295,90.44976044,90.2072525,89.64968872,90.06881714,89.94945526
Belize,,,,,,,,,,,,44.79174042,44.80768204,44.81904984,44.83271408,44.84451675,44.85819244,44.86360168,44.86794281,44.86790466,44.87577438,44.89103317,44.74346924,44.75030518,45.2294426,47.23270798,51.141716,52.13100052,52.8064537,59.91569519,54.67276001,60.24787903,59.97546387,64.86568451,61.27602768,68.26557159,73.73456573,71.95002747,71.76815796,73.54307556,78.52087402,78.98262787,79.86256409,79.11306763,79.73705292,79.20189667,80.20559692,79.1924057,78.54511261
Benin,19.97481346,19.97481346,19.97481346,19.97481346,19.97481346,19.97481346,19.97481346,19.97481346,19.97481346,19.97481346,19.98299599,20.17749214,20.36849976,20.55616379,20.55406761,20.74184036,20.74005699,20.92521095,21.30768394,21.49786568,21.6996479,21.71593285,21.73736572,22.52477455,22.50397491,22.82977676,22.70064545,27.79231071,29.05342102,32.47375107,34.36753845,34.92977142,37.33069229,41.6912384,41.69424057,41.61503601,42.10912323,45.25667191,44.94226456,45.80217361,46.82277679,48.25536346,48.49556732,61.19341278,61.47607422,62.20851135,63.97106552,66.41992188,66.09042358
