Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,152,169,214,221,213,281,296,279,295,1722,1913,2073,2309,2522,1747,2069,2785,3530,4592,4656,4418,4680
Iceland,,,,,,,1,2,2,2,2,3,1,2,7,5,8,15,22,30,62,65,64,58,48,63,74,70,76,85,88,74,73,96,112,62,80,110,120,94,135,151,157,189,206,206,243
India,,,,,,430,643,935,1161,1441,2761,2302,2622,2662,2293,2472,2243,2663,2317,2610,2382,3294,2896,3527,5855,6224,8763,10334,9477,11122,12845,14229,15707,21015,18753,22125,28334,37217,49977,49204,53480,62499,68821,69970,70389,68910,62745
Indonesia,,,,,,,,,,,,,,10,53,61,71,86,99,167,166,130,229,346,449,651,796,725,958,1110,1190,1050,1260,1490,1866,5420,5722,6174,6794,6793,6916,6924,7212,7614,8551,9659,9234
Iran,,,,,,,,,,,,,,,,,,,,,,1200,1196,1500,1200,1600,658,400,680,508,536,682,851,1178,1032,1032,1032,1115,1115,1072,1181,1330,1330,1330,1330,1330,1355
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,389,3,71,152,177,223,271,271,271,1004,837
Ireland,,,,,,,,,,,,,,,,,,,,,286,278,322,297,324,347,362,314,274,295,252,244,316,337,414,513,539,590,633,573,658,755,706,724,725,601,596
Israel,72,140,190,178,130,101,72,106,194,335,421,532,281,243,253,209,449,614,542,784,812,877,1161,1264,1605,701,640,665,446,486,400,499,410,423,715,377,489,580,628,507,572,595,685,765,859,853,974
Italy,1232,1367,1552,1461,1214,1602,1402,2159,3000,3706,4013,3533,3533,3389,3274,3237,4397,4462,4826,5076,5068,3697,2969,2668,2418,2360,2585,2280,2121,1997,1936,2271,2262,2144,2176,2318,2556,3063,7355,7036,7977,8726,9169,9328,10087,9517,10669
Jamaica,,,,,,,89,82,69,90,96,107,111,84,74,146,112,121,154,208,229,182,216,239,522,653,715,730,758,790,892,1059,1260,1399,1627,1762,1924,2122,2157,1889,2026,2106,2167,2172,2269,2361,2439
Japan,,,,,,,,90,130,160,140,190,210,180,210,252.5714,295.1429,337.7143,380.2857,422.8571,465.4286,508,582,777,874,1150,1228,1346,1239,1109,1374,1987,1821,1079,930,905,1177,1384,1732,1595,1684,2132,2540,2364,3734,3670,3659
Jordan,,,21,45,75,167,411,470,521,601,794,1030,1080,1110,1240,1020,1180,938,895,627,499,448,844,1040,1090,1437,1698,1824,1621,1754,1845,2011,2142,2200,2332,2421,2794,3326,3510,3465,3623,3684,3848,5343,6370,5348,5135
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,116,89,60,72,64,122,171,205,147,166,62,84,143,126,198,226,180,178,207,229,194,308
Kenya,,,,,,6,7,4,13,18,13,7,7,6,6,6,10,11,12,11,8,4,83,77,71,87,88,507,532,585,318,51,57,66,376,425,570,645,667,631,686,934,1211,1304,1441,1561,1727
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,13,13,15,16,17,17,16,16,16
"South Korea",,,,,,,47,103,105,101,563,690,784,921,946,1158,1738,2075,2510,2187,2412,2674,2932,2889,3085,3494,3635,4366,5596,4707,4862,4836,5530,6301,6574,5178,4826,5130,6952,5982,5836,6582,6571,6455,6551,6454,6395
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,701,771,919,1042,1055,997,1122,1059,1122,1192,971,972
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,3,4,4,34,35
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,3,25,18,9,11,37,78,189,313,473,704,1223,982,1266,1709,2031,2278,2243,1688,1997
Laos,,,,,,,,,,,,,,,3,4,4,4,7,8,11,10,11,12,10,22,45,41,50,1,1,1,1,1,1,1,4,6,18,38,42,110,59,60,40,93,95
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,41,46,49,49,72,112,138,174,230,381,1646,1812,1920,1585,1258,1505,1499,1605,1774,1354,1275
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2540,4739,5589,4924,5202,5769,7181,7558,6914,6913,6671,7567,7191,7481,7309
Lesotho,,,,,,122,138,165,177,213,263,291,348,378,323,224,255,353,372,365,428,437,455,401,320,411,388,379,295,276,478,402,390,557,627,599,614,638,576,548,610,649,555,463,380,366,316
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,32,79,62,58,25,31,360,516,383,506,641,642
