Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Peru,,,,,,44.8,41.3556,37.9111,34.4667,31.0222,27.5778,24.1333,20.6889,17.2444,13.8,14.5,15.2,15.9,16.6,17.3,17,16.7,16.4,16.1,15.8,15.5
Philippines,,,,,,78.3,78.9429,79.5857,80.2286,80.8714,81.5143,82.1571,82.8,83.4429,84.0857,84.7286,85.3714,86.0143,86.6571,87.3,87.6,87.9,88.2,88.5,88.8,89.1
Poland,,,,,,,,,,,,,,,64.2,65.06,65.92,66.78,67.64,68.5,,,,,,
"Puerto Rico",,,,,,55.6,55.005,54.41,53.815,53.22,52.625,52.03,51.435,50.84,50.245,49.65,49.055,48.46,47.865,47.27,46.675,46.08,45.485,44.89,44.295,43.7
Qatar,,,,,,,,,,,,,,,,,,,,96.1,,,,,,
Romania,,,,,,,,,,,,,,,28.4,26.44,24.48,22.52,20.56,18.6,20.4833,22.3667,24.25,26.1333,28.0167,29.9
Russia,,,,,,,,,,,,,,,,,,,,41.6,46.2833,50.9667,55.65,60.3333,65.0167,69.7
Rwanda,,,,,,,,,,,,,,,,,,,,96,,,,,,
"Saudi Arabia",,,,,,67.7,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,45.8,46.255,46.71,47.165,47.62,48.075,48.53,48.985,49.44,49.895,50.35,50.805,51.26,51.715,52.17,52.625,53.08,53.535,53.99,54.445,54.9
"Serbia and Montenegro",,,,,,,,,,,,,,,20.1,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,86.3,,,,,,
Slovenia,,,,,,,,,,,,,,,44.9,42.34,39.78,37.22,34.66,32.1,,,,,,
"South Africa",,,,,,54.6,55.8889,57.1778,58.4667,59.7556,61.0444,62.3333,63.6222,64.9111,66.2,63.56,60.92,58.28,55.64,53,,,,,,
"South Korea",,,,,,44.4,47.2556,50.1111,52.9667,55.8222,58.6778,61.5333,64.3889,67.2444,70.1,70.12,70.14,70.16,70.18,70.2,72.8333,75.4667,78.1,80.7333,83.3667,86
Spain,,,,,,60.7,60.8111,60.9222,61.0333,61.1444,61.2556,61.3667,61.4778,61.5889,61.7,59.74,57.78,55.82,53.86,51.9,,,,,,
Sweden,,,,,,74.2,75.2556,76.3111,77.3667,78.4222,79.4778,80.5333,81.5889,82.6444,83.7,83.18,82.66,82.14,81.62,81.1,,,,,,
Switzerland,,,,,,,,,,,,,,,91.4,,,,,,,,,,,
Taiwan,,,,,,,,,,,,,,,65.8,66.7,67.6,68.5,69.4,70.3,71.9,73.5,75.1,76.7,78.3,79.9
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,87.2
Tanzania,,,,,,67.3,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,85.1,80.24,75.38,70.52,65.66,60.8,62.0667,63.3333,64.6,65.8667,67.1333,68.4
"Trinidad and Tobago",,,,,,,,,,,,,,,33.8,33.28,32.76,32.24,31.72,31.2,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,44.2,44.8333,45.4667,46.1,46.7333,47.3667,48
Turkey,,,,,,28.8,29.7667,30.7333,31.7,32.6667,33.6333,34.6,35.5667,36.5333,37.5,41.64,45.78,49.92,54.06,58.2,58.6,59,59.4,59.8,60.2,60.6
Uganda,,,,,,69.7,,,,,,,,,,,,,,,,,,,,
Ukraine,17.6,18.3571,19.1143,19.8714,20.6286,21.3857,22.1429,22.9,23.6571,24.4143,25.1714,25.9286,26.6857,27.4429,28.2,29.52,30.84,32.16,33.48,34.8,36.4167,38.0333,39.65,41.2667,42.8833,44.5
"United States",,,,,,73.6,72.2889,70.9778,69.6667,68.3556,67.0444,65.7333,64.4222,63.1111,61.8,61.74,61.68,61.62,61.56,61.5,60.6,59.7,58.8,57.9,57,56.1
Uruguay,,,,,,,,,,,,,,,83,77.98,72.96,67.94,62.92,57.9,,,,,,
Venezuela,,,,,,48.4,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,93.1,92.7889,92.4778,92.1667,91.8556,91.5444,91.2333,90.9222,90.6111,90.3,90.1273,89.9545,89.7818,89.6091,89.4364,89.2636,89.0909,88.9182,88.7455,88.5727,88.4
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,45.5,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,42.1,,,,,,
Zambia,,,,,,,,,,,,,,,49.5,,,,,,,,,,,
Zimbabwe,,,,,,30.2,32.5143,34.8286,37.1429,39.4571,41.7714,44.0857,46.4,48.7143,51.0286,53.3429,55.6571,57.9714,60.2857,62.6,57.6167,52.6333,47.65,42.6667,37.6833,32.7
