Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahamas,213000000,235000000,250000000,256000000,276000000,261000000,256000000,244000000,305000000,316000000,344000000,385000000,377000000,305000000,240000000,228000000,246000000,286000000,262000000,212000000,238000000,329000000,371000000,349000000
"Bosnia and Herzegovina",,,,81000000,83000000,73000000,74000000,85000000,106000000,117000000,122000000,170000000,203000000,281000000,231000000,194000000,160000000,139000000,133000000,127000000,206000000,225000000,249000000,261000000
Belarus,87000000,119000000,114000000,124000000,116000000,216000000,454000000,493000000,399000000,450000000,448000000,586000000,606000000,716000000,639000000,622000000,588000000,789000000,1153000000,1159000000,901000000,800000000,983000000,1058000000
Belize,21000000,26000000,18000000,21000000,36000000,40000000,42000000,44000000,46000000,43000000,42000000,41000000,43000000,41000000,41000000,36000000,34000000,37000000,40000000,49000000,47000000,53000000,51000000,48000000
Bermuda,,,,,,,,243000000,248000000,217000000,239000000,268000000,288000000,307000000,295000000,301000000,216000000,221000000,222000000,264000000,244000000,249000000,255000000,260000000
Bolivia,48000000,54000000,57000000,60000000,75000000,77000000,83000000,80000000,138000000,164000000,186000000,273000000,304000000,281000000,290000000,313000000,298000000,361000000,521000000,808000000,711000000,818000000,866000000,912000000
Brazil,3391000000,4387000000,5419000000,5385000000,3085000000,3894000000,3199000000,2396000000,2261000000,2871000000,4720000000,5764000000,8211000000,10962000000,10898000000,15965000000,20802000000,22039000000,25028000000,25567000000,17357000000,14497000000,19002000000,18266000000
Barbados,71000000,74000000,79000000,82000000,87000000,94000000,101000000,99000000,104000000,108000000,217000000,222000000,212000000,205000000,216000000,274000000,65000000,47000000,43000000,,,,,
Brunei,,,,,,,456000000,398000000,469000000,382000000,374000000,408000000,430000000,459000000,477000000,515000000,553000000,591000000,624000000,616000000,459000000,499000000,504000000,585000000
Bhutan,,,,,,,,,,,,22000000,26000000,64000000,33000000,41000000,56000000,67000000,64000000,42000000,40000000,51000000,61000000,78000000
Botswana,145000000,78000000,92000000,126000000,147000000,198000000,204000000,184000000,230000000,276000000,282000000,277000000,281000000,229000000,232000000,298000000,316000000,331000000,262000000,276000000,256000000,237000000,253000000,269000000
"Central African Republic",,,,,,,,,,31000000,44000000,44000000,48000000,49000000,52000000,49000000,50000000,50000000,50400000,,,,,
Canada,10260000000,11254000000,11480000000,10849000000,11499000000,12438000000,11961000000,11722000000,13337000000,15524000000,18021000000,20615000000,24641000000,27225000000,24190000000,29977000000,33399000000,35032000000,35158000000,34444000000,30271000000,28936000000,31811000000,33581000000
Switzerland,7420000000,7626000000,6987000000,6814000000,5767000000,5419000000,5141000000,5537000000,6883000000,8104000000,8801000000,9239000000,10109000000,10912000000,10936000000,11173000000,13764000000,15178000000,16152000000,16868000000,16294000000,16484000000,17875000000,18335000000
Chile,703000000,736000000,839000000,888000000,752000000,620000000,708000000,673000000,850000000,977000000,810000000,904000000,1026000000,994000000,1174000000,1313000000,1663000000,1833000000,1867000000,2089000000,1963000000,2124000000,2304000000,2333000000
China,3688000000,4474000000,8130000000,9205000000,10864000000,13114000000,13909000000,15398000000,15187000000,19149000000,21759000000,24322000000,29786000000,36157000000,43702000000,54880000000,72585000000,101977000000,128576000000,227344000000,249831000000,250112000000,257875000000,277345000000
"Ivory Coast",190000000,221000000,200000000,213000000,222000000,189000000,187000000,358000000,387000000,381000000,354000000,373000000,372000000,356000000,343000000,352000000,380000000,364000000,381000000,402000000,357000000,372000000,386000000,
Cameroon,105000000,134000000,136000000,160000000,152000000,205000000,160000000,171000000,171000000,323000000,355000000,412000000,368000000,410000000,389000000,186000000,529000000,518000000,612000000,630000000,568000000,615000000,635000000,688000000
"Congo (Kinshasa)",,,,,,,,,,,54000000,93000000,109000000,127000000,121000000,150000000,298000000,108000000,170000000,283000000,127000000,60000000,68000000,115000000
"Congo (Brazzaville)",52000000,78000000,65000000,54000000,63000000,50000000,65000000,70000000,78000000,103000000,112000000,132000000,91000000,84000000,378000000,211000000,223000000,173000000,204000000,257000000,324000000,251000000,,
Colombia,878000000,1117000000,1209000000,1120000000,1013000000,1060000000,1164000000,1075000000,1062000000,1185000000,1499000000,1690000000,1904000000,2177000000,2252000000,2641000000,3032000000,3626000000,3941000000,4683000000,4318000000,4254000000,4475000000,4824000000
Comoros,7000000,7260000,7520000,7780000,8040000,8300000,8560000,8820000,9080000,9340000,9600000,11000000,15200000,15300000,17100000,19100000,21100000,19700000,21850000,24000000,19000000,21000000,24000000,25000000
"Cape Verde",16000000,18000000,17000000,24000000,41000000,36000000,47000000,56000000,73000000,78000000,67000000,82000000,107000000,133000000,136000000,129000000,132000000,127000000,120000000,110000000,101000000,71000000,78000000,85000000
"Costa Rica",323000000,336000000,348000000,409000000,447000000,479000000,360000000,341000000,349000000,401000000,463000000,479000000,625000000,586000000,363000000,418000000,400000000,422000000,425000000,450000000,690000000,803000000,895000000,862000000
Curacao,,,,,,,,,,,,,203000000,203000000,209000000,226000000,267000000,278000000,299000000,310000000,345000000,359000000,380000000,467000000
Cyprus,329734600,365293500,385000000,408000000,431000000,413000000,428000000,512000000,611000000,811000000,932000000,967000000,1479000000,1666000000,1405000000,1320000000,1366000000,1318000000,1254000000,1343000000,1080000000,1120000000,1366000000,1551000000
"Czech Republic",1635000000,2960000000,2355000000,1908000000,1493000000,1276000000,1386000000,1597000000,1934000000,2280000000,2405000000,2765000000,3768000000,4884000000,4255000000,4252000000,4789000000,4472000000,4637000000,5133000000,4772000000,4920000000,5465000000,5972000000
Germany,60260000000,59076000000,53667000000,54423000000,55877000000,52829000000,51824000000,53052000000,65290000000,71231000000,74167000000,74153000000,83138000000,91641000000,81461000000,77566000000,86227000000,83202000000,91311000000,93284000000,77468000000,79923000000,89736000000,95199000000
Djibouti,3800000,3900000,5000000,2600000,2900000,5900000,4000000,2800000,2800000,2800000,2900000,3500000,2600000,3700000,5800000,8600000,21000000,18400000,19200000,21500000,23400000,23500000,27800000,22300000
Dominica,6000000,7000000,7000000,8000000,9000000,9000000,9000000,9000000,9000000,9000000,10000000,10000000,11000000,11000000,13000000,13000000,12000000,12000000,13000000,26000000,22000000,23000000,20000000,20000000
Denmark,4288000000,4140000000,4194000000,4577000000,4899000000,4669000000,4861000000,5838000000,6659000000,7279000000,6850000000,7486000000,8830000000,9698000000,8968000000,9082000000,9840000000,9600000000,10072000000,10443000000,8918000000,9174000000,9804000000,10485000000
"Dominican Republic",173000000,198000000,221000000,254000000,264000000,309000000,291000000,295000000,272000000,310000000,352000000,333000000,326000000,327000000,359000000,395000000,396000000,399000000,382000000,407000000,463000000,503000000,530000000,549000000
Algeria,186000000,188000000,144000000,269000000,251000000,193000000,194000000,248000000,255000000,341000000,370000000,349000000,376000000,468000000,456000000,601000000,527000000,529000000,471000000,608000000,685000000,474000000,580000000,
Ecuador,235000000,219000000,227000000,241000000,271000000,299000000,340000000,364000000,354000000,391000000,429000000,466000000,504000000,542000000,549000000,568000000,594000000,611000000,623000000,635000000,639000000,661000000,687000000,654000000
Egypt,1278000000,1317000000,1347000000,1153000000,1078000000,1072000000,1132000000,1266000000,1321000000,1257000000,1629000000,1784000000,2446000000,2915000000,2538000000,2240000000,2203000000,2618000000,3014000000,3140000000,3442000000,4110000000,2160000000,2667000000
Spain,4539000000,5057000000,4681000000,5288000000,5908000000,5969000000,6584000000,7372000000,9172000000,12295000000,15169000000,16830000000,19866000000,20543000000,17146000000,16926000000,17387000000,15395000000,16433000000,17976000000,17429000000,18803000000,22346000000,26670000000
Estonia,91000000,101000000,120000000,155000000,215000000,204000000,192000000,231000000,319000000,399000000,439000000,586000000,670000000,809000000,605000000,633000000,806000000,796000000,1059000000,1181000000,1026000000,1164000000,1252000000,1468000000
Ethiopia,25000000,25000000,40000000,46000000,51000000,74000000,44000000,45000000,50000000,58000000,77000000,97000000,107000000,156000000,138000000,143000000,170000000,181000000,214000000,283000000,372000000,461000000,356000000,612000000
Finland,2278000000,2285000000,2080000000,2062000000,2035000000,1852000000,1852000000,2006000000,2433000000,2821000000,3057000000,3424000000,3983000000,4544000000,4401000000,4306000000,4879000000,4889000000,5297000000,5303000000,4795000000,5190000000,5606000000,6072000000
Fiji,64000000,70000000,69000000,52000000,66000000,83000000,65000000,55000000,70000000,94000000,106000000,101000000,92000000,93000000,95000000,88000000,98000000,91000000,91000000,89000000,104000000,109000000,128000000,149000000
France,16358000000,17748000000,17490000000,18819000000,25204000000,22537000000,22611000000,23779000000,28075000000,29469000000,31347000000,32347000000,37898000000,40928000000,36991000000,38297000000,44725000000,39836000000,42183000000,48777000000,39521000000,40436000000,42962000000,47764000000
Micronesia,,,,,,,,,,,,,,,10000000,12000000,12000000,13000000,12000000,12000000,,,,
Gabon,137000000,100000000,86000000,84000000,91000000,84000000,225000000,194000000,194000000,214000000,274000000,251500000,229000000,381000000,360000000,376000000,543000000,314000000,296000000,278000000,397000000,232000000,,
"United Kingdom",24926000000,25962000000,28529000000,33452000000,41514000000,41862000000,42011000000,46860000000,54030000000,63225000000,66166000000,69222000000,79677000000,77910000000,60820000000,60716000000,60608000000,61323000000,60823000000,67042000000,68116000000,67220000000,65177000000,68888000000
Georgia,,,156000000,226000000,130000000,110000000,107000000,149000000,130000000,147000000,169000000,167000000,176000000,203000000,181000000,199000000,213000000,256000000,294000000,299000000,330000000,386000000,464000000,525000000
Ghana,21000000,4000000,4000000,85000000,91000000,100000000,105000000,119000000,138000000,186000000,303000000,345000000,558000000,542000000,684000000,574000000,464000000,464000000,473000000,458000000,737000000,792000000,693000000,450000000
Guinea,21000000,27000000,23000000,27000000,24000000,9000000,18000000,31000000,26000000,25000000,29000000,28000000,29000000,9000000,13000000,8000000,33000000,23000000,50000000,18200000,400000,11900000,11500000,13000000
Gambia,14000000,15000000,16000000,14000000,12000000,10000000,8000000,6000000,4000000,4000000,5000000,6000000,13000000,12000000,12000000,14000000,16000000,13000000,10000000,54000000,56000000,75000000,44000000,9000000
"Guinea Bissau",3800000,2900000,1500000,1825000,2150000,2475000,2800000,5100000,13300000,13100000,9800000,15500000,40200000,45600000,25700000,29400000,31500000,19800000,27200000,53000000,53000000,33000000,63000000,74500000
Greece,1323000000,1210000000,1327000000,1756000000,3991000000,4558000000,4178000000,2439000000,2433000000,2874000000,3038000000,2998000000,3423000000,3930000000,3383000000,2853000000,3161000000,2364000000,2435000000,2755000000,2259000000,2220000000,2156000000,2582000000
Grenada,5000000,5000000,6000000,6000000,7000000,8000000,8000000,8000000,8000000,9000000,10000000,16000000,16000000,11000000,10000000,10000000,10000000,11000000,11000000,18000000,20000000,21000000,22000000,24000000
Guatemala,141000000,135000000,119000000,157000000,183000000,182000000,225000000,276000000,312000000,385000000,421000000,529000000,597000000,606000000,715000000,784000000,708000000,706000000,725000000,788000000,755000000,735000000,748000000,785000000
Guyana,21000000,59000000,62000000,63000000,75000000,69000000,55000000,38000000,26000000,30000000,40000000,49000000,58000000,52000000,52000000,73000000,79000000,82000000,81000000,77000000,93000000,103000000,94000000,80000000
"Hong Kong",10497000000,11461000000,12678000000,13474000000,13134000000,12502000000,12317000000,12418000000,11447000000,13270000000,13305000000,14044000000,15042000000,16095000000,15547000000,17357000000,19022000000,20077000000,21215000000,22011000000,23059000000,24141000000,25388000000,26498000000
Honduras,57000000,60000000,62000000,81000000,94000000,120000000,128000000,149000000,217000000,244000000,262000000,355000000,212000000,291000000,296000000,321000000,354000000,454000000,404000000,338000000,358000000,370000000,401000000,408000000
Croatia,422000000,510000000,530000000,600000000,751000000,568000000,606000000,781000000,672000000,848000000,754000000,737000000,985000000,1123000000,1014000000,832000000,881000000,926000000,903000000,846000000,755000000,945000000,1369000000,1693000000
Haiti,35000000,37000000,35000000,29333333.3333,23666666.6667,18000000,18000000,18000000,42000000,72000000,55000000,56000000,56000000,64000000,63000000,63000000,62000000,64000000,62000000,71000000,71000000,62000000,62000000,103000000
Hungary,1498000000,1482000000,1494000000,1476000000,1543000000,1651000000,1808000000,2133000000,2594000000,2421000000,2277000000,1879000000,2546000000,3225000000,2750000000,2404000000,2485000000,1886000000,1906000000,2036000000,1830000000,2166000000,2469000000,2639000000
Indonesia,2172000000,2399000000,2411000000,2102000000,2353000000,3197000000,3406000000,3289000000,3082000000,3507000000,3584000000,4030000000,4904000000,5554000000,5316000000,6395000000,6255000000,6771000000,7675000000,7682000000,7292000000,7566000000,8289000000,8772000000
India,996000000,913000000,1342000000,1713000000,2010000000,2690000000,3006000000,2988000000,3585000000,4816000000,6187000000,6845000000,8219000000,9606000000,9310000000,10490000000,13699000000,12342000000,11615000000,14595000000,14838000000,16376000000,18443000000,21319000000
Ireland,2034000000,2198000000,2210000000,3015000000,2631000000,2525000000,2858000000,3755000000,4736000000,5177000000,6073000000,6865000000,8655000000,10417000000,7826000000,7069000000,6728000000,5895000000,6112000000,6061000000,5695000000,6125000000,6616000000,7390000000
Iran,241000000,258000000,382000000,153000000,632000000,668000000,708000000,3750000000,3842000000,4093000000,3724000000,4684000000,6809000000,7566000000,7805000000,9655000000,9775000000,7825000000,8839000000,9452000000,8992000000,9437000000,11300000000,
Iraq,117000000,70000000,131000000,14000000,14000000,9000000,31000000,26000000,163666666.667,301333333.333,439000000,395000000,639000000,794000000,1207000000,1620000000,1836000000,2281000000,4835000000,6115000000,7934000000,7647000000,8093000000,7855000000
Iceland,282000000,308000000,323000000,396000000,436000000,471000000,372000000,371000000,523000000,697000000,980000000,1076000000,1326000000,1103000000,534000000,599000000,740000000,780000000,850000000,972000000,998000000,1268000000,1664000000,1829000000
Israel,2120000000,2278000000,2283000000,2473000000,2566000000,2804000000,2945000000,2543000000,2550000000,2796000000,3261000000,3399000000,3930000000,3961000000,3540000000,3665000000,3775000000,3909000000,4542000000,5189000000,6012000000,6447000000,7057000000,7668000000
Italy,14811000000,15806000000,16643000000,17598000000,16887000000,15686000000,14798000000,16939000000,20604000000,20471000000,22362000000,23162000000,27322000000,30940000000,27967000000,26902000000,28749000000,26239000000,26948000000,28866000000,24425000000,24987000000,27901000000,30004000000
Jamaica,148000000,157000000,181000000,198000000,227000000,209000000,206000000,258000000,252000000,286000000,249000000,273000000,298000000,268000000,216000000,193000000,159000000,184000000,178000000,198000000,235000000,256000000,271000000,286000000
Jordan,425000000,381000000,398000000,451000000,355000000,350000000,378000000,453000000,452000000,524000000,585000000,837000000,883000000,1004000000,1064000000,1572000000,1161000000,1144000000,1096000000,1142000000,1160000000,1258000000,1386000000,1387000000
Japan,36764000000,37058000000,33009000000,28806000000,32772000000,31884000000,26531000000,26656000000,28958000000,38252000000,37565000000,26876000000,26511000000,27901000000,25199000000,27950000000,27262000000,27906000000,21861000000,19314000000,15974000000,18562000000,18188000000,20197000000
Kazakhstan,283000000,319000000,445000000,498000000,394000000,408000000,673000000,757000000,669000000,844000000,753000000,821000000,1082000000,1078000000,1132000000,1273000000,1611000000,3272000000,3468000000,3515000000,2867000000,2447000000,2560000000,2687000000
Kenya,192000000,169000000,145000000,155000000,182000000,132000000,143000000,126000000,127000000,108000000,124000000,178000000,265000000,266000000,227000000,212000000,197000000,174000000,233000000,206000000,217000000,145000000,262000000,
Kyrgyzstan,7000000,6000000,4000000,4000000,11000000,16000000,12000000,10000000,17000000,50000000,58000000,92000000,112000000,304000000,147000000,148000000,247000000,350000000,350000000,390000000,399000000,461000000,292000000,321000000
Cambodia,8000000,15000000,13000000,25000000,28000000,33000000,37000000,38000000,36000000,48000000,96000000,122000000,123000000,97000000,104000000,61000000,264000000,314000000,355000000,401000000,510000000,616000000,741000000,862000000
Kiribati,,,,,,,,,,,,3100000,5500000,6600000,11700000,10100000,12300000,7900000,13400000,13200000,12400000,15200000,13900000,
"Saint Kitts and Nevis",5000000,5000000,6000000,6000000,7000000,9000000,8000000,8000000,8000000,10000000,11000000,14000000,12000000,15000000,11000000,13000000,14000000,15000000,16000000,39000000,37000000,37000000,42000000,44000000
"South Korea",6341000000,7482000000,6988000000,3470000000,4881000000,7132000000,7617000000,10465000000,10103000000,12350000000,15406000000,18809000000,21957000000,19056000000,15035000000,18766000000,19920000000,20645000000,21648000000,23192000000,25270000000,27243000000,31691000000,31973000000
Kuwait,2248000000,2492000000,2377000000,2517000000,2270000000,2495000000,2842000000,3021000000,3348000000,3701000000,4532000000,5573000000,6636000000,7570000000,6189000000,6434000000,8064000000,9249000000,9653000000,11268000000,12381000000,12337000000,12548000000,14318000000
Laos,30000000,22000000,21000000,23000000,12000000,8000000,100000,300000,1000000,4000000,5000000,9000000,8000000,41000000,83000000,203000000,237000000,605000000,904000000,1051000000,998000000,912000000,922000000,926000000
Lebanon,,,,,,,,2683000000,2943000000,3170000000,2908000000,3006000000,3114000000,3564000000,4012000000,4515000000,4004000000,4199000000,4388000000,4995000000,4741000000,5040000000,5587000000,6254000000
Liberia,,,,,,,,,,14000000,16000000,17000000,21000000,30000000,29000000,1700000,1900000,2100000,2400000,2200000,2500000,3510000,5970000,7700000
Libya,76000000,67000000,269000000,281000000,402000000,397000000,445000000,586000000,557000000,603000000,680000000,668000000,889000000,1277000000,1587000000,2047000000,2269000000,2557000000,2425000000,1143000000,967000000,714000000,,
"Saint Lucia",25000000,29000000,29000000,31000000,33000000,33000000,32000000,34000000,36000000,37000000,39000000,39000000,42000000,45000000,47000000,48000000,48000000,45000000,46000000,45000000,46000000,51000000,54000000,56000000
"Sri Lanka",186000000,176000000,180000000,202000000,218000000,240000000,250000000,263000000,279000000,296000000,314000000,373000000,393000000,428000000,411000000,453000000,501000000,710000000,1188000000,1263000000,1420000000,1542000000,1599000000,1660000000
Lesotho,13000000,12000000,14000000,13000000,14000000,192000000,163000000,162000000,238000000,271000000,262000000,260000000,268000000,243000000,239000000,270000000,290000000,245000000,206000000,170000000,174000000,248000000,319000000,334000000
Lithuania,106000000,266000000,277000000,292000000,341000000,253000000,219000000,326000000,471000000,636000000,743000000,909000000,1144000000,1530000000,1119000000,849000000,859000000,925000000,1069000000,1059000000,951000000,1012000000,1115000000,1195000000
Luxembourg,1193000000,1189000000,1115000000,1335000000,1316000000,1309000000,1464000000,1915000000,2415000000,2878000000,2965000000,2996000000,3404000000,3736000000,3577000000,3538000000,3774000000,2998000000,3216000000,3281000000,2819000000,2858000000,2989000000,3216000000
Latvia,24000000,373000000,326000000,305000000,268000000,247000000,223000000,230000000,328000000,377000000,584000000,704000000,927000000,1139000000,798000000,648000000,765000000,680000000,715000000,715000000,618000000,699000000,728000000,778000000
Macau,,,,,,,,492000000,455000000,512000000,412000000,433000000,526000000,621000000,646000000,800000000,964000000,1083000000,1132000000,1213000000,1227000000,1223000000,1289000000,1411000000
Morocco,302000000,300000000,315000000,423000000,452000000,425000000,389000000,444000000,548000000,574000000,612000000,693000000,880000000,1090000000,1106000000,1203000000,1363000000,1253000000,1318000000,1456000000,1402000000,1460000000,1793000000,2007000000
Moldova,56000000,52000000,65000000,59000000,57000000,73000000,75000000,95000000,99000000,113000000,141000000,190000000,233000000,288000000,243000000,241000000,277000000,308000000,335000000,345000000,284000000,257000000,302000000,353000000
Madagascar,59000000,72000000,80000000,119000000,111000000,115000000,130000000,160000000,64000000,93000000,75000000,86000000,97000000,141000000,111000000,104000000,150000000,108000000,133000000,156000000,141000000,141000000,164000000,183000000
Maldives,31000000,38000000,40000000,42000000,45000000,46000000,45000000,46000000,46000000,56000000,70000000,78000000,122000000,167000000,174000000,205000000,184000000,164000000,204000000,208000000,253000000,284000000,315000000,361000000
Mexico,3171000000,3387000000,3892000000,4209000000,4541000000,5499000000,5702000000,6060000000,6253000000,6959000000,7600000000,8108000000,8462000000,8568000000,7207000000,7255000000,7832000000,8449000000,9122000000,9606000000,10098000000,10303000000,10840000000,11230000000
"Marshall Islands",,,,,,,,,,,14400000,10900000,11400000,11600000,12350000,11090000,12700000,12900000,12700000,12300000,14700000,15500000,16100000,19900000
"Macedonia (F.Y.R.O.M.)",27000000,26000000,27000000,32000000,32000000,34000000,39000000,44000000,48000000,55000000,62000000,71000000,102000000,136000000,100000000,92000000,113000000,111000000,131000000,149000000,159000000,180000000,207000000,259000000
Mali,49000000,40000000,38000000,38000000,40000000,40000000,36000000,36000000,48000000,66000000,77000000,120000000,137000000,147000000,102000000,111000000,119000000,102000000,118000000,144000000,150000000,157000000,160000000,
Malta,214000000,219000000,190000000,193000000,201000000,200000000,180000000,154000000,215000000,255000000,268000000,320000000,237000000,307000000,291000000,309000000,333000000,339000000,384000000,397000000,368000000,408000000,472000000,518000000
"Burma (Myanmar)",18000000,28000000,33000000,27000000,21000000,25000000,27000000,29000000,32000000,29000000,31000000,37000000,36000000,49000000,52000000,53000000,123000000,257000000,115000000,37000000,25000000,37000000,105000000,89000000
Montenegro,,,,,,,,,,,,,37000000,43000000,49000000,46000000,39000000,39000000,48000000,47000000,44000000,66000000,67000000,68000000
Mongolia,20000000,19000000,14000000,45000000,41000000,51000000,55000000,119000000,138000000,193000000,126000000,172000000,196000000,217000000,210000000,265000000,396000000,485000000,580000000,473000000,422000000,482000000,533000000,719000000
Mozambique,,68000000,82000000,97000000,136000000,108000000,114000000,113000000,140000000,134000000,176000000,179000000,180000000,208000000,212000000,216000000,230000000,186000000,241000000,253000000,223000000,245000000,191000000,132000000
Mauritania,23000000,36000000,48000000,42000000,55000000,55307692.3077,55615384.6154,55923076.9231,56230769.2308,56538461.5385,56846153.8462,57153846.1538,57461538.4615,57769230.7692,58076923.0769,58384615.3846,58692307.6923,59000000,58000000,62000000,43000000,41000000,29000000,13000000
Mauritius,159000000,179000000,173000000,185000000,187000000,182000000,198000000,204000000,216000000,255000000,275000000,327000000,357000000,452000000,354000000,398000000,400000000,366000000,438000000,481000000,547000000,616000000,669000000,649000000
Malawi,39000000,50000000,70000000,39000000,47000000,50000000,40000000,78000000,57000000,60000000,54000000,55000000,57000000,61000000,63000000,61000000,61000000,65000000,62000000,74000000,86000000,72000000,86000000,97000000
Malaysia,2314000000,2569000000,2590000000,1785000000,1973000000,2075000000,2614000000,2618000000,2846000000,3178000000,3711000000,4257000000,5601000000,6709000000,6508000000,8324000000,10180000000,12217000000,12236000000,12442000000,10708000000,10472000000,10829000000,12168000000
Namibia,90000000,89000000,99000000,88000000,89000000,86000000,71000000,65000000,101000000,123000000,108000000,118000000,132000000,114000000,35000000,35000000,46000000,48000000,41000000,50000000,63000000,72000000,71000000,56000000
"New Caledonia",,,,,,,,104000000,128000000,167000000,122000000,129000000,149000000,168000000,170000000,179000000,176000000,159000000,164000000,169000000,145000000,153000000,,
Niger,13000000,45000000,38000000,35000000,31000000,26000000,26000000,17000000,22000000,22000000,30000000,28000000,29000000,68000000,54000000,92000000,40000000,36000000,47000000,85000000,70000000,74000000,80000000,
Nigeria,906000000,1304000000,1816000000,1567000000,620000000,591000000,831000000,881000000,1795000000,1017500000,240000000,3279000000,5590000000,9777000000,5012000000,5566000000,6598000000,6141000000,5864000000,5811000000,5605000000,1079000000,5797000000,9569000000
Nicaragua,40000000,60000000,65000000,70000000,78000000,78000000,76000000,69000000,75000000,89000000,91000000,136000000,127000000,144000000,134000000,121000000,138000000,136000000,152000000,168000000,156000000,181000000,235000000,219000000
Netherlands,11674000000,12276000000,11227000000,12005000000,12029000000,12191000000,11994000000,12976000000,15265000000,16348000000,13724000000,14588000000,17277000000,19805000000,18628000000,19044000000,20741000000,19778000000,20698000000,21092000000,18038000000,19906000000,21526000000,22702000000
Norway,4232000000,4491000000,4448000000,4723000000,4894000000,4601000000,4410000000,5189000000,6716000000,8489000000,9678000000,10721000000,12121000000,14100000000,12101000000,13472000000,15823000000,16603000000,18465000000,18539000000,15298000000,15069000000,16268000000,17322000000
Nepal,136000000,125000000,103000000,78000000,71000000,73000000,80000000,69000000,81000000,154000000,163000000,185000000,274000000,381000000,434000000,402000000,320000000,413000000,422000000,504000000,527000000,587000000,784000000,836000000
Nauru,,,,,,,,,,,,,,1500000,2500000,2900000,2900000,1900000,4300000,10700000,6400000,10000000,9000000,7100000
