Country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Barbados,,,,,,,,,,,,,,,,5.300000191,5.2419,5.1839,5.1258,5.0677,5.0097,4.9516,4.8935,4.8355,4.7774,4.7194,4.6613,4.6032,4.5452,4.4871,4.429,4.371,4.3129,4.2548,4.1968,4.1387,4.0806,4.0226,3.9645,3.9065,3.8484,3.7903,3.7323,3.6742,3.6161,3.5581,3.5,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299999952,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,5.400000095,5.3643,5.3286,5.2929,5.2571,5.2214,5.1857,5.15,5.1143,5.0786,5.0429,5.0071,4.9714,4.9357,4.900000095,5.16,5.42,5.68,5.94,6.199999809,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79999924,25.74,24.68,23.62,22.56,21.5,21.24,20.98,20.72,20.46,20.20000076,19.925,19.65,19.375,19.1,18.825,18.55,18.275,18,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,34,32.3417,30.6833,29.025,27.3667,25.7083,24.05,22.3917,20.7333,19.075,17.4167,15.7583,14.10000038,13.6889,13.2778,12.8667,12.4556,12.0444,11.6333,11.2222,10.8111,10.39999962,11.6,12.80000019,,,,,,
Bolivia,,,,,,,,,,,,,,,,12.69999981,12.2857,11.8714,11.4571,11.0429,10.6286,10.2143,9.800000191,8.899999619,9.699999809,10.19999981,10.5,11.55,12.60000038,10.925,9.25,7.575,5.900000095,5.900000095,5.900000095,5.900000095,5.900000095,5.900000095,5.62,5.34,5.06,4.78,4.5,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.199999809,3.7667,3.3333,2.9,2.4667,2.0333,1.600000024,1.5833,1.5667,1.55,1.5333,1.5167,1.5,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.10000038,14,12.9,11.8,10.69999981,10.7714,10.8429,10.9143,10.9857,11.0571,11.1286,11.19999981,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,5.300000191,5.1857,5.0714,4.9571,4.8429,4.7286,4.6143,4.5,4.3667,4.2333,4.1,3.9667,3.8333,3.700000048,3.4,3.1,2.8,2.5,2.200000048,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.600000381,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600000024,,,,,,,,,,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,,,29.60000038,30.2833,30.9667,31.65,32.3333,33.0167,33.70000076,34.075,34.45,34.825,35.20000076,36,36.8,37.59999847,33.7333,29.8667,26,26.20000076,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,30.20000076,30.8692,31.5385,32.2077,32.8769,33.5462,34.2154,34.8846,35.5538,36.2231,36.8923,37.5615,38.2308,38.90000153,38.16,37.42,36.68,35.94,35.20000076,33.98,32.76,31.54,30.32,29.10000038,,,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,16.70000076,16.6,16.5,15.9778,15.4556,14.9333,14.4111,13.8889,13.3667,12.8444,12.3222,11.80000019,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59999847,41.825,41.05,40.275,39.5,37.28,35.06,32.84,30.62,28.39999962,28.5333,28.6667,28.79999924,28.9,29,27.8,26.6,25.4,24.20000076,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,18,17.9714,17.9429,17.9143,17.8857,17.8571,17.8286,17.79999924,17.35,16.9,16.45,16,15.55,15.10000038,15.85,16.60000038,16.3,16,15.7,15.4,15.10000038,15,14.9,14.80000019,,
Canada,,,,,,1.799999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.29999924,20.39999962,20.68,20.96,21.24,21.52,21.79999924,22.8333,23.8667,24.9,25.9333,26.9667,28,26.875,25.75,24.625,23.5,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.29999924,32.6667,31.0333,29.39999962,30.525,31.65,32.775,33.90000153,33.3,32.7,32.1,31.5,30.9,30.29999924,30,29.7,29.4,29.1,28.79999924,
Chile,,,,,,,,,,,3.299999952,2.599999905,1.899999976,1.600000024,1.299999952,1.100000024,1,1,0.800000012,1.5,2.200000048,2.025,1.85,1.675,1.5,1.325,1.15,0.975,0.800000012,0.800000012,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,
China,,,,,,,,,,,,,,,,,,,,,,18.70000076,16.6667,14.6333,12.60000038,13.4,14.19999981,13.0333,11.8667,10.69999981,9.4333,8.1667,6.900000095,7.15,7.400000095,7.1,6.800000191,6.0333,5.2667,4.5,4.7,4.9,5.099999905,4.599999905,3.400000095,,,,,,
Colombia,18.60000038,18.3,18,17.7,17.4,17.1,16.8,16.5,16.2,15.9,15.6,15.3,15,14.69999981,13.8286,12.9571,12.0857,11.2143,10.3429,9.4714,8.600000381,8.6667,8.7333,8.800000191,8.3833,7.9667,7.55,7.1333,6.7167,6.300000191,6.02,5.74,5.46,5.18,4.900000095,4.94,4.98,5.02,5.06,5.099999905,4.76,4.42,4.08,3.74,3.400000095,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,16.20000076,17.725,19.25,20.775,22.29999924,22.975,23.65,24.325,25,24.325,23.65,22.975,22.3,21.625,20.95,20.275,19.6,18.925,18.25,17.575,16.89999962,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.70000076,31.1833,31.6667,32.15,32.6333,33.1167,33.59999847,32.7,31.8,30.9,30,29.1,28.20000076,26.8667,25.5333,24.20000076,23.9333,23.6667,23.39999962,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,21.10000038,20.5833,20.0667,19.55,19.0333,18.5167,18,17.4833,16.9667,16.45,15.9333,15.4167,14.9,14.3833,13.8667,13.35,12.8333,12.3167,11.80000019,11.80000019,11.80000019,11.80000019,11.80000019,11.80000019,11.80000019,11.925,12.05,12.175,12.30000019,
"Costa Rica",,,,,,,,,,,,,,,,,5.5,5.0571,4.6143,4.1714,3.7286,3.2857,2.8429,2.400000095,2.5,2.200000048,2,2,1.899999976,3.2,4.5,4.2167,3.9333,3.65,3.3667,3.0833,2.8,2.5167,2.2333,1.95,1.6667,1.3833,1.100000024,,,,,,,,
"Ivory Coast",,,,,,,,,,,,,,,,,,,,,10.80000019,12.0625,13.325,14.5875,15.85,17.1125,18.375,19.6375,20.89999962,20.225,19.55,18.875,18.20000076,18.0125,17.825,17.6375,17.45,17.2625,17.075,16.8875,16.70000076,29.39999962,26.66,23.92,21.18,18.44,15.69999981,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600000024,0.5,0.5,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.400000095,,,,,,,,,,,,,,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,0.899999976,1.02,1.14,1.26,1.38,1.5,1.62,1.74,1.86,1.98,2.099999905,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,20.20000076,19.6,19,18.4,17.8,17.2,16.6,16,17.5667,19.1333,20.7,22.2667,23.8333,25.39999962,26.45,27.5,28.55,29.60000038,29.6333,29.6667,29.7,29.7333,29.7667,29.79999924,,,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,9.300000191,9.12,8.94,8.76,8.58,8.399999619,7.66,6.92,6.18,5.44,4.699999809,4.4,4.1,3.8,3.5,3.85,4.199999809,4.3,4.4,4.5,4.599999905,3.400000095,3.5,3.6,3.7,3.8,3.9,4,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,14.5,14.3333,14.1667,14,13.8333,13.6667,13.5,13.3333,13.1667,13,12.8333,12.6667,12.5,11.45,10.4,9.35,8.3,7.25,6.199999809,6.225,6.25,6.275,6.3,6.325,6.35,6.375,6.400000095,,,,
Egypt,,,,,,,,,,,,,13.89999962,13.67,13.44,13.21,12.98,12.75,12.52,12.29,12.06,11.83,11.60000038,11.2333,10.8667,10.5,9.35,8.199999809,9.5,10.80000019,10.5,10.19999981,9.399999619,6.85,4.300000191,5.7667,7.2333,8.699999809,7.05,5.400000095,5.8667,6.3333,6.800000191,6.8333,6.8667,6.9,6.9333,6.9667,7,,
"El Salvador",,,,,,,,,,19.5,18.8538,18.2077,17.5615,16.9154,16.2692,15.6231,14.9769,14.3308,13.6846,13.0385,12.3923,11.7462,11.10000038,10.32,9.54,8.76,7.98,7.199999809,7.68,8.16,8.64,9.12,9.600000381,8.9,8.2,7.5,6.8,6.099999905,6.2,6.3,6.4,6.5,6.599999905,6.3333,6.0667,5.8,5.5333,5.2667,5,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.80000019,14.4333,15.0667,15.69999981,14.425,13.15,11.875,10.60000038,9.7667,8.9333,8.1,7.2667,6.4333,5.599999905,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.90000153,37.6,38.29999924,37.7571,37.2143,36.6714,36.1286,35.5857,35.0429,34.5,35.0375,35.575,36.1125,36.65,37.1875,37.725,38.2625,38.79999924,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,43.29999924,43.1375,42.975,42.8125,42.65,42.4875,42.325,42.1625,42,40.52,39.04,37.56,36.08,34.59999847,33.7,32.8,31.9,31,30.1,29.20000076,27.8667,26.5333,25.20000076,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.900000095,6.7545,6.6091,6.4636,6.3182,6.1727,6.0273,5.8818,5.7364,5.5909,5.4455,5.300000191,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.800000191,8.6083,8.4167,8.225,8.0333,7.8417,7.65,7.4583,7.2667,7.075,6.8833,6.6917,6.5,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.20000076,21.25,19.3,17.35,15.39999962,15.4667,15.5333,15.6,15.6667,15.7333,15.80000019,16.2,16.6,17,17.39999962,17.0667,16.7333,16.39999962,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.700000048,2.6333,2.5667,2.5,2.4333,2.3667,2.299999952,2,1.7,1.4,1.100000024,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.100000024,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,24.10000038,24.3,24.5,24.7,24.9,25.10000038,24.3,23.5,22.7,21.9,21.1,20.29999924,19.925,19.55,19.175,18.79999924,17.1667,15.5333,13.89999962,14.1,14.30000019,14,13.7,13.39999962,12.6667,11.9333,11.19999981,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300000012,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,27.79999924,27.0375,26.275,25.5125,24.75,23.9875,23.225,22.4625,21.70000076,21.35,21,20.65,20.29999924,19.60000038,18.65,17.70000076,17.0286,16.3571,15.6857,15.0143,14.3429,13.6714,13,12.9333,12.8667,12.8,12.7333,12.6667,12.60000038,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.20000076,21.20000076,21.20000076,21.20000076,21.20000076,21.20000076,29.10000038,27.78,26.46,25.14,23.82,22.5,21.65,20.79999924,19.9,19,18.1,17.2,16.29999924,,,,
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.89999962,21.15,20.4,19.65,18.9,18.15,17.39999962,17,16.60000038,17.35,18.10000038,17.825,17.55,17.275,17,,
Guyana,,,,,,22,21.75,21.5,21.25,21,20.75,20.5,20.25,20,19.75,19.5,19.2167,18.9333,18.65,18.3667,18.0833,17.8,17.5167,17.2333,16.95,16.6667,16.3833,16.10000038,14.65,13.2,11.75,10.30000019,10.8333,11.3667,11.89999962,11.7167,11.5333,11.35,11.1667,10.9833,10.80000019,10.9,11,11.10000038,10.58,10.06,9.54,9.02,8.5,,
Haiti,,,,,,,,,,,,,33.5,32.6833,31.8667,31.05,30.2333,29.4167,28.6,27.7833,26.9667,26.15,25.3333,24.5167,23.70000076,23.775,23.85,23.925,24,22.3167,20.6333,18.95,17.2667,15.5833,13.89999962,14.7333,15.5667,16.4,17.2333,18.0667,18.89999962,17.6833,16.4667,15.25,14.0333,12.8167,11.60000038,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,18.10000038,17.64,17.18,16.72,16.26,15.80000019,15.95,16.10000038,17.65,19.20000076,17.86,16.52,15.18,13.84,12.5,11.72,10.94,10.16,9.38,8.600000381,8.35,8.1,7.85,7.6,7.35,7.099999905,,,,
Hungary,,,,,,,,,,,,,,,,,,,2.299999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,67.30000305,66.65,66,65.35,64.7,64.05,63.4,62.75,62.1,61.45,60.8,60.15,59.5,56.5667,53.6333,50.70000076,48.78,46.86,44.94,43.02,41.09999847,42.75,44.40000153,44.2714,44.1429,44.0143,43.8857,43.7571,43.6286,43.5,41.7375,39.975,38.2125,36.45,34.6875,32.925,31.1625,29.39999962,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,35.90000153,33.45,31,30.6,30.2,29.79999924,29,28.2,27.39999962,26.8667,26.3333,25.79999924,22.79999924,24.79999924,23.39999962,23,23.10000038,19.70000076,24.39999962,22,19.60000038,19.2667,18.9333,18.60000038,19.0333,19.4667,19.89999962,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.80000019,12.3667,10.9333,9.5,8.6833,7.8667,7.05,6.2333,5.4167,4.599999905,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,10.39999962,10.6778,10.9556,11.2333,11.5111,11.7889,12.0667,12.3444,12.6222,12.89999962,11.9667,11.0333,10.10000038,8,7.55,7.099999905,7.38,7.66,7.94,8.22,8.5,,,,,
Italy,,,,,,,,,,,1.299999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,8.100000381,7.9364,7.7727,7.6091,7.4455,7.2818,7.1182,6.9545,6.7909,6.6273,6.4636,6.300000191,5.15,4,7,8.899999619,4.5,4,5.599999905,3.5,3.400000095,2.299999952,3.799999952,4.099999905,2.599999905,2.85,3.099999905,3.4,3.700000048,1.799999952,2,2.6,3.200000048,2.85,2.5,,,,
Japan,,,,,,,,,,,,,,,3.200000048,3.2067,3.2133,3.22,3.2267,3.2333,3.24,3.2467,3.2533,3.26,3.2667,3.2733,3.28,3.2867,3.2933,3.3,3.3067,3.3133,3.32,3.3267,3.3333,3.34,3.3467,3.3533,3.36,3.3667,3.3733,3.38,3.3867,3.3933,3.400000095,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,4.800000191,4.6571,4.5143,4.3714,4.2286,4.0857,3.9429,3.799999952,3.76,3.72,3.68,3.64,3.599999905,3.3571,3.1143,2.8714,2.6286,2.3857,2.1429,1.899999976,2.2667,2.6333,3,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.699999809,5.975,5.25,4.525,3.799999952,3.9571,4.1143,4.2714,4.4286,4.5857,4.7429,4.900000095,4.6,4.3,4,3.700000048,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10000038,19.79999924,19.25,18.7,18.15,17.60000038,17.55,17.5,17.1667,16.8333,16.5,17.45,18.39999962,17.9,17.4,16.9,16.39999962,15.32,14.24,13.16,12.08,11,,
Kiribati,,,,,,,,,,,,,,,,,,,,11.30000019,11.45,11.6,11.75,11.9,12.05,12.2,12.35,12.5,12.65,12.8,12.95,13.1,13.25,13.4,13.55,13.7,13.85,14,14.15,14.3,14.45,14.6,14.75,14.89999962,,,,,,,
"North Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,40.1,24.70000076,21.25,17.79999924,19.2,20.60000038,20.24,19.88,19.52,19.16,18.79999924,17.6,16.4,15.19999981,,,,
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899999976,0.8571,0.8143,0.7714,0.7286,0.6857,0.6429,0.600000024,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,5.599999905,5.96,6.32,6.68,7.04,7.4,7.76,8.12,8.48,8.84,9.199999809,5.35,1.5,1.64,1.78,1.92,2.06,2.200000048,2.099999905,2.299999952,2.799999952,2.700000048,2.700000048,2.900000095,2.299999952,1.700000048,1.700000048,2.099999905,2.200000048,3.099999905,3,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.199999809,7.5889,6.9778,6.3667,5.7556,5.1444,4.5333,3.9222,3.3111,2.700000048,3.3667,4.0333,4.699999809,4.3667,4.0333,3.700000048,3.25,2.799999952,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79999924,35.90000153,35.9833,36.0667,36.15,36.2333,36.3167,36.40000153,35.6,34.8,34,33.2,32.4,31.60000038,30.58,29.56,28.54,27.52,26.5,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5875,3.675,3.7625,3.85,3.9375,4.025,4.1125,4.199999809,,,,,,,,,,,,
Lesotho,,,,,,,,,,,15.19999981,15.1125,15.025,14.9375,14.85,14.7625,14.675,14.5875,14.5,14.4125,14.325,14.2375,14.15,14.0625,13.975,13.8875,13.80000019,18.89999962,18.3429,17.7857,17.2286,16.6714,16.1143,15.5571,15,15.4,15.8,16.2,16.60000038,15.98,15.36,14.74,14.12,13.5,12.86,12.22,11.58,10.94,10.30000019,,
Liberia,,,,,,,,,,,17.79999924,18.0083,18.2167,18.425,18.6333,18.8417,19.05,19.2583,19.4667,19.675,19.8833,20.0917,20.3,20.5083,20.7167,20.925,21.1333,21.3417,21.55,21.7583,21.9667,22.175,22.3833,22.5917,22.79999924,22.4571,22.1143,21.7714,21.4286,21.0857,20.7429,20.39999962,19.55,18.7,17.85,17,16.15,15.30000019,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.300000191,4.4083,4.5167,4.625,4.7333,4.8417,4.95,5.0583,5.1667,5.275,5.3833,5.4917,5.599999905,,,,,,,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.899999976,1.76,1.62,1.48,1.34,1.200000048,1.799999952,1.7167,1.6333,1.55,1.4667,1.3833,1.299999952,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,29.70000076,30.425,31.15,31.875,32.6,33.325,34.05,34.775,35.5,40.90000153,35.65,30.39999962,32.95,35.5,35.6857,35.8714,36.0571,36.2429,36.4286,36.6143,36.79999924,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,21.10000038,21.4,21.7,22,22.3,22.6,22.9,23.2,23.5,23.8,24.1,24.39999962,25.1,25.8,26.5,26.4333,26.3667,26.29999924,23.9,21.5,20.725,19.95,19.175,18.39999962,16.95,15.5,14.3667,13.2333,12.10000038,13.80000019,14.525,15.25,15.975,16.70000076,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,22.10000038,23.10000038,22.60000038,20.5,19.70000076,17.70000076,17.45,17.2,16.95,16.70000076,16.1571,15.6143,15.0714,14.5286,13.9857,13.4429,12.89999962,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,39,40.25,41.5,37.55,33.6,29.65,25.70000076,24.7125,23.725,22.7375,21.75,20.7625,19.775,18.7875,17.79999924,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,29,30.0222,31.0444,32.0667,33.0889,34.1111,35.1333,36.1556,37.1778,38.20000076,36.58,34.96,33.34,31.72,30.10000038,29.66,29.22,28.78,28.34,27.89999962,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,43.29999924,39.4667,35.6333,31.8,27.9667,24.1333,20.29999924,22.825,25.35,27.875,30.39999962,29.3714,28.3429,27.3143,26.2857,25.2571,24.2286,23.20000076,15.89999962,18.7333,21.5667,24.39999962,19.5,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,21.10000038,20.29,19.48,18.67,17.86,17.05,16.24,15.43,14.62,13.81,13,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,12.39999962,13.89999962,14.0286,14.1571,14.2857,14.4143,14.5429,14.6714,14.80000019,10.4,6,5.675,5.35,5.025,4.7,4.375,4.05,3.725,3.400000095,3.3,3.2,3.1,3,2.9,2.799999952,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.200000048,3.0571,2.9143,2.7714,2.6286,2.4857,2.3429,2.200000048,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,10.80000019,11.60000038,9.9,8.2,6.5,4.800000191,5.300000191,5.18,5.06,4.94,4.82,4.699999809,3.6667,2.6333,1.600000024,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.200000048,2.05,1.9,1.75,1.6,1.45,1.3,1.15,1,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,12.69999981,11.78,10.86,9.94,9.02,8.100000381,8.02,7.94,7.86,7.78,7.699999809,8.0667,8.4333,8.8,9.1667,9.5333,9.899999619,9.05,8.2,7.35,6.5,5.65,4.8,3.95,3.099999905,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89999962,26,28.10000038,26.825,25.55,24.275,23,22.1,21.20000076,20.62,20.04,19.46,18.88,18.29999924,17.4,16.5,15.60000038,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,34.09999847,33.2167,32.3333,31.45,30.5667,29.6833,28.79999924,32.79999924,31.1,29.4,27.70000076,38.70000076,31.85,25,26.7,28.4,30.10000038,29.9333,29.7667,29.60000038,28.4333,27.2667,26.1,24.9333,23.7667,22.60000038,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,21.35,21.2,21.05,20.9,20.75,20.6,20.45,20.29999924,19.9,19.5,19.1,18.7,18.3,17.9,17.5,16.7833,16.0667,15.35,14.6333,13.9167,13.19999981,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.800000191,,,,,,,,,
Nepal,,,,,,,,,,60.79999924,59.965,59.13,58.295,57.46,56.625,55.79,54.955,54.12,53.285,52.45,51.615,50.78,49.945,49.11,48.275,47.44,46.605,45.77,44.935,44.09999847,42.90000153,40.55,38.20000076,39.8,41.4,43,42.16,41.32,40.48,39.64,38.79999924,36.86,34.92,32.98,31.04,29.10000038,29.4333,29.7667,30.10000038,,
Netherlands,,,,,,,,,,,,,,,1.600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,8.699999809,8.7818,8.8636,8.9455,9.0273,9.1091,9.1909,9.2727,9.3545,9.4364,9.5182,9.600000381,9.74,9.88,10.02,10.16,10.30000019,9.4667,8.6333,7.800000191,6.6333,5.4667,4.300000191,5,5.699999809,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,45,44.4286,43.8571,43.2857,42.7143,42.1429,41.5714,41,41.6667,42.3333,43,43.6667,44.3333,45,44.3,43.59999847,42.9833,42.3667,41.75,41.1333,40.5167,39.90000153,39.5667,39.2333,38.9,38.5667,38.2333,37.90000153,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,35.09999847,35.09999847,35.09999847,35.09999847,33.8,32.5,31.2,29.9,28.6,27.29999924,27.275,27.25,27.225,27.20000076,26.825,26.45,26.075,25.70000076,26.70000076,25.9333,25.1667,24.39999962,27.7,31,19.79999924,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,21.39999962,17.6,13.8,10,10.26,10.52,10.78,11.04,11.30000019,11.03,10.76,10.49,10.22,9.95,9.68,9.41,9.14,8.87,8.600000381,8.82,9.04,9.26,9.48,9.699999809,,
