Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,15.69,16.24,16.76,17.62,19.65,19.13,20.6,21.27,21.98,23.43,23.92,25.41,25.39,26.78,28.08,30.97,32.34,31.59,33.08,37.43,38.2,40.18,40.13,43.17,46.27,45.12,49.06,51.41,53.53,51.42,53.6,56.74,57.33,61.92,66.24,65.93,69.07,69.93,75.14,76.91,81.39,86.51,94.21,97.44,99.4,103.17,110.89,116.64,116.92,124.01,128.95,127.1,136.64,134.97
"British Virgin Islands",118.59,117.02,99.79,68.39,69.54,91.32,71.69,78.52,65.08,63.23,68.33,69.41,71.19,75.07,76.36,79.73,81.41,81.1,81.97,84.86,86.48,88.91,89.08,92.59,94.54,96.62,96.29,99.02,92.71,82.42,91.47,95.34,98.39,98.04,93.83,98.89,99.19,99.45,99.14,99.25,99.34,99.42,99.49,99.68,100.05,100.27,107.92,100.82,101.35,101.94,102.56,103.98,103.79,102.71
Brunei,16.84,22.12,20.58,17.69,16.31,17.3,19.19,20.45,23.01,24.05,23.74,21.43,24.75,33.77,31,30.1,29.16,27.25,29.12,33.2,35.49,38.36,40.18,40.24,53.4,42.63,32.73,29.19,33.28,27.88,30.66,41.16,41.88,44.68,45.92,40.07,51.19,58.92,74.08,83.89,96.46,107.48,105.32,102.67,75.05,122.28,128.22,132.23,132.73,139.27,149.63,154.19,167.33,156.75
Bulgaria,119.28,128.62,130.87,133.1,147.36,165.89,162.88,165.74,168.31,161.41,163.76,170.04,170.26,160.6,163.8,178.93,165.7,176.49,183.01,177.39,191.81,201.76,183.54,199.36,173.58,190.47,181.07,181.15,189.53,178.28,150.53,149.98,119.51,122.99,137.02,113.17,118.72,118.23,121.21,113.99,114.1,104.39,94.35,110.26,89.08,100.66,78.06,109.9,101.46,111.06,113.99,109.52,133.35,131.96
"Burkina Faso",21.62,23.77,23.92,26.28,26.96,27.02,27.83,29.21,28.77,29.35,27.97,26.57,23.82,27.06,30.6,27.57,28.41,30.86,32.58,30.47,33.94,34.02,34.82,35.03,43.53,48.98,45.19,52.23,50.51,52.03,62.65,64.75,66.6,65.31,65.72,70.73,64.81,76.5,77.95,68.23,89.4,87.94,101.46,92.1,103.79,104.11,91.94,116.96,108.62,125.43,114.9,131.72,126.89,133.95
Burundi,63.52,63.77,64.59,69.77,70.14,70.41,73.12,75.32,75.09,75.84,77.79,71.09,80.14,74.32,81.58,83.27,85.41,79.11,79.66,78.44,83.24,81.96,80.57,80.26,90.98,95.89,98.42,101.48,95.69,102.38,105.3,107.48,105.46,90.51,95,96.77,97.61,91.38,94.58,90.83,98.1,100.63,104.26,98.37,100.45,101.18,104.46,105.68,112.46,113.79,111.75,98.21,144.69,121.33
"Cape Verde",28.65,31.09,32.62,35.23,38.79,40.26,40.4,30.48,30.82,27.01,23.81,23.54,22.77,21.94,22.49,25.29,25.49,28.22,28.76,38.65,29.19,32.26,27.32,34.19,34.79,39.42,58.18,59.98,61.16,56.64,52.65,63.76,64.37,55.17,68.26,58.43,64.43,72.28,83.91,93.58,93.75,93.67,94.31,96.98,99.99,103.04,110.71,110.15,110.22,103.12,90.28,93.99,98.04,98.52
Cambodia,39,34.94,42.8,45.1,41.96,40.87,43.26,53.42,45.09,60.41,47.31,37.45,27.25,21.4,25.14,24.6,22.85,21.4,14.75,27.96,26.69,33.84,36.3,27.88,35.8,39.86,37.13,47.22,49.4,47.39,46.85,47.31,49.19,47.29,61.66,62.13,63.77,64.55,72.82,74.27,75.69,72.33,86.1,81.95,104.16,113.89,119.61,130.15,135.31,147.28,169.32,174.05,175.4,176.65
Cameroon,26.01,27.52,29.67,30.58,28.17,29.73,32.74,34.16,33.7,37.03,38.63,40.43,41.57,44.78,44.92,43.4,44.55,43.64,44.81,45.59,46.42,48.04,49.38,48.43,52.54,55.99,50.83,52.51,54.65,57.19,58.25,59.2,62.44,64.43,68.36,71.31,69.17,72.51,76.18,77.69,79.47,81.85,84.94,88.92,101.89,109.19,116.27,121.62,131.39,143,148.47,155.93,159.47,158.4
Canada,34.19,40.75,43.55,42.09,45.47,49.22,44.23,47.38,46.1,43.14,48.95,47.77,47.81,45.3,49.9,55.77,55.58,57.41,53.34,56.84,61.55,66.19,62.54,62.69,65.02,70.05,67.52,60.11,66.77,73.75,73.22,73.09,72.57,75.85,78.3,83.56,82.55,87,93.33,91.48,84.72,82.38,88.64,97.69,101.57,100.74,100.37,110.6,108.04,107.92,107.84,110.17,118.81,112.25
