Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Central African Republic",4333,5333,5333,6480,7810,7980,7069,7981,7782,7300,7366,7185,6778,4728,5045,4970,4688,5609,4642,4882,5308,5239,6341,6975,10288,11965,9422,10833,10360,7716,8672,9782,9622,8518,8347,8452,9060,9441,9596,9424,9842,9994,9283,9365,9118,9254,8897,8841,8880,13519,15018,15444,15001,13970
Chad,5837,5349,7462,6165,5361,6380,6486,6535,7121,6900,6143,4596,4902,6289,5588,4833,5116,5168,4864,5174,6862,6791,5197,5091,6232,5800,5459,6862,4705,5141,5475,6747,4977,7112,5552,5568,5418,6569,6172,5003,6053,6310,7637,6548,7330,7307,7812,7763,5746,7431,5936,9169,7553,8098
Chile,15744,15763,16525,19979,20894,25562,27755,23523,17665,22637,23227,22310,22349,23110,22679,18196,24087,19932,27529,26112,28781,27059,29919,35489,40647,47060,49578,50967,54212,54143,54952,59959,59956,63449,63498,58800,54428,64642,50420,54553,63181,71593,72759,74859,83568,79511,66952,71041,69172,82874,81999,73247,78772,68383
China,10315,10010,10910,12279,12606,13992,15392,14758,14303,16642,17185,15365,17838,19401,20735,21207,21328,23923,25698,26191,26224,27956,30755,33380,30675,31169,33517,33712,33139,39166,38686,38591,42969,41953,43320,46605,39429,47482,44689,41077,42938,44909,44919,47888,49523,52063,48584,52166,49690,51974,54789,56188,57630,55723
Taiwan,15717,17560,14806,17649,18550,18195,23458,19203,18607,20520,20226,23222,24384,25703,26324,26225,24997,27758,27767,28159,27339,29860,43069,44890,44578,42567,45506,44616,45975,46187,48084,48917,50460,49489,49296,53350,52793,53587,56070,57166,56316,65885,64504,64356,60089,61928,59434,59950,63056,60297,62157,57233,58432,57207
Colombia,11316,11606,12116,13375,10908,10798,11618,11660,12835,14122,14314,14434,14334,15699,15079,15554,15191,15542,16564,15785,16385,15826,17055,17477,17323,17071,17813,17401,17403,17963,18745,19131,18953,18885,18874,19430,19349,18266,19433,21543,21372,24006,27480,27236,28356,25983,27953,28086,27172,27977,28657,29136,28130,35272
Comoros,10455,10952,10222,10400,10714,11000,10938,10938,10606,10606,10606,10588,10571,10556,10526,10500,10698,10000,10000,10000,10000,10000,12500,17250,14792,16625,24025,24022,24035,23800,23361,23182,23003,22824,22644,22448,21765,19354,21823,22002,21895,21789,21697,21620,21543,21466,21389,21312,21235,21158,21081,21004,20927,20850
"Congo (Brazzaville)",7500,7500,10200,10000,10000,6250,6250,9375,5714,5714,6667,6667,5385,6054,6000,6000,6111,3846,6538,8056,9600,5701,7166,6547,7564,8365,7558,7896,8243,5784,5984,6041,6195,6346,7412,7493,7508,7597,7424,7629,7818,7783,7858,7828,7842,7908,7776,7830,8029,7979,8069,8229,8454,8374
"Costa Rica",10659,11095,11499,9907,15048,13029,13240,14424,13884,11881,13894,14101,11976,15446,14055,15560,17464,18924,17131,19871,16797,15724,15340,16714,17385,17194,17777,16415,17566,16546,16291,16677,18789,19060,18565,15757,19133,17459,18915,18111,16619,17119,17273,19517,20794,20770,21529,17350,20815,19551,22540,23206,22333,17228
"Ivory Coast",5208,7070,6499,6654,6577,6803,6947,6305,7110,6498,7605,6195,6332,6165,5415,4977,5000,4923,4951,7756,7572,7633,6916,8107,8384,6747,6560,6755,6687,10194,10545,10918,11375,11851,12409,13151,13613,14459,15359,15704,16051,16297,17276,17311,17052,17333,14586,16368,16200,16114,15514,16871,16970,16383
