Paraguay,299.9,287.5,224.6,221.7,202.6,160.7,157.1,152.3
Peru,521.8,500,441.6,378.2,353.7,325.5,324.5,335.5
Philippines,811.7,873.2,19.5,12,40.1,31.4,28.7,25.7
Poland,218.8,212.1,209.3,208.3,12.3,20.8,19.5,19
Portugal,48.2,49.1,55.9,54,45.7,40.6,38.2,37.3
"Puerto Rico",433.8,428.6,392.4,384,373.6,346.4,346.4,354.1
Qatar,9.4,13,11.1,8.7,8.9,9,8.8,10.8
Romania,84.5,83,83.6,81.1,74.1,603.5,573.7,561.1
Russia,3965.8,4125.4,1852.4,1573.7,299.5,277.4,93.1,44.1
Rwanda,6233.6,5513.6,4696.8,3948.1,4018.7,3073.9,2932,2722.6
"Saint Thomas and Principe",1710.2,1437.2,1252.8,1066.6,1049.9,951.5,905.4,827.2
Samoa,901.6,881.9,857.1,790.8,783.6,735.9,623.3,641.9
"San Marino",,,,53.3,57.1,59.3,59.7,58.8
"Saudi Arabia",16.7,21.5,18.5,31.5,31.1,25.5,26.2,31.4
Senegal,6306,6243.4,6182,5855.1,5802.9,5748,3747.1,3822.3
Serbia,591.1,564.6,536.1,502.6,505.6,454.9,240.4,235.8
Seychelles,455.9,546.1,487.7,415.6,462.6,429.8,385,364.9
"Sierra Leone",8868.2,9385.1,8937.2,8595.3,4958.1,4237.5,4066.5,4417.3
Singapore,34.6,34.3,31.5,29,27.8,26.6,25.9,25.8
Slovakia,72.4,67.5,61.1,62.4,56.9,56.9,54.8,52.6
Slovenia,115.4,122.9,119.1,119.9,120.3,119.3,113.2,109.8
"Solomon Islands",1950.8,2575,2272.4,2044.4,2090.6,1562.8,1383.1,1253.7
Somalia,,,,,,,NA,NA
"South Africa",874.8,950.1,874.2,797.1,758,729.5,161.4,156.1
"South Sudan",,,,2571.7,4976.7,3236.9,NA,NA
Spain,212.4,223.8,219,219.1,221.3,230.8,225.2,216.1
"Sri Lanka",1760.7,1575.9,1360.8,1187.2,1017,901.6,829.5,732.1
"Saint Kitts and Nevis",377.3,376.8,383.2,304.3,290.6,291.1,264.3,241
"Saint Lucia",195.3,212.6,241.1,202.9,211.9,191.8,197.6,193.1
"Saint Vincent and Grenadines",248.8,246.5,256.8,205.9,61.5,58.5,55.6,56.6
Sudan,4470.1,4091,3949.3,2527.3,3435.1,4386.3,2843.7,2686.8
Suriname,903.9,795.3,647.1,634.4,530.9,486.1,467.2,484.4
Swaziland,1526.7,1472.2,1302,1071.8,1232.7,1039.1,1042.6,739.9
Sweden,21.1,21.8,39.1,37.1,36.6,36,33.5,32.3
Switzerland,68.8,70.7,62.7,61.1,59.5,59.2,57.2,58.9
Syria,994.2,1045.9,940.4,902.9,652.8,801.5,339.3,312.4
Taiwan,52.1,52.5,48.3,48,47.1,45.7,42.8,41.3
Tajikistan,1716.3,1463.1,1299.1,1141.6,1078.2,942.9,878.9,742.5
Tanzania,2861,2402.9,2223.5,1944.1,1690.6,1453,1021,948
Thailand,78.9,61.9,55.7,54,48.3,47.4,45.9,42.5
"Timor Leste",1231.9,1159.2,1008.6,592.9,584.8,596.9,733.4,1218
Togo,6492.1,6020.7,6023.2,5638.7,5911.2,5567.5,5705.1,5508.3
Tonga,135.7,115.1,111.3,101.5,94.4,93.4,95.3,85.9
"Trinidad and Tobago",54.5,7.3,7.9,6.6,7,6.7,198.1,177.4
Tunisia,1210.7,1062.8,894.1,878.5,811.9,738.7,677.7,696.6
Turkey,688.9,714.3,624.4,517.9,475.3,433.3,599.6,617.3
Uganda,7021.5,5990.8,15622.7,14082.1,13575.8,11004.9,9030.5,8449
Ukraine,262.9,275.2,229.2,192.3,855.5,882.7,795.3,637.6
"United Arab Emirates",17.3,22.1,22.1,19.3,24.8,24.2,23.5,24.7
"United Kingdom",72.8,74.7,141.8,138.7,91.9,29.2,26.7,25.8
"United States",16.8,16.9,16.8,16.1,27.2,25.5,24.6,24.4
Uruguay,16.1,15.4,15.9,14.3,16.5,14.8,12.7,12.5
Uzbekistan,5092.9,3953.1,3125.8,2489.5,2032.5,1688.1,1393.1,1232.5
Vanuatu,1398.7,1266.1,1238.8,1248.1,1230.1,1229.8,1157.5,1091
Venezuela,1494.5,1460.2,1341.1,1022.6,1133.7,714.1,1783.3,18867.2
Vietnam,3274,2984.3,2609.3,1988.3,1726.4,1432.8,1322.6,1261.3
"West Bank and Gaza",1640.1,1634.1,1702.9,1620.2,1540.3,1547.7,1462.5,1259.3
Yemen,5024.5,4973.4,4569.8,3921.2,3604,3492.6,NA,NA
Zambia,1198.3,1250.5,1317.9,1109.5,955.8,837.5,643.8,609.6
Zimbabwe,6966,6166.6,4415.9,3278.8,3365.3,2992.8,2925,2957.9
