Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Chad,35400,38400,38600,40900,43200,46400,53200,60100,65400,69400,70500,70800,70000,70200,74200,74700,76300,78300,80200,86200,89200,98200,104200,111000,119700,103700,109500,119100,108800,123260,108116,94556,93836,103520,120781,121883,103494,110081,97359,74747,72298,69756,67671,46765,104761,128245,104984,81798,99256,114926,110146,123320,134642,95118
Chile,96880,92210,89650,85630,91974,77270,78100,81080,77215,72650,81020,80200,67690,94270,72530,69440,87060,91820,81930,89760,90920,78410,68160,82370,63870,53650,58700,62950,63680,56020,60495,63542,64610,59647,58284,60738,68929,57506,61540,61028,64253,62510,57160,60760,56850,64450,56043,57275,46380,52075,54958,42834,50876,50280
"Hong Kong",4000,3000,3200,2900,2500,1600,1500,1200,1000,250,200,175,165,300,250,100,150,80,60,60,55,50,55,50,45,35,32,40,40,38,30,27,23,17,15,20,12,13,13,10,9,10,9,9,8,8,7,6,5,5,5,5,5,5
China,12056000,12308000,10680000,11405000,10866000,11800000,10875000,10487000,10641000,10922000,10619000,11570000,11545000,11311000,11223000,10625000,11498000,12076000,11234000,10464000,9936000,9693000,9733000,9334220,8912000,9010000,9188400,9371500,9404233,9433313,9376043,9544273,9609400,9579659,9829645,10111459,10102389,10322491,10674197,10861697,10543018,10212876,10043681,9790700,9848750,8229720,8438400,8786114,9002192,9119041,9272130,9261390,9344760,9401865
Taiwan,254919,254286,259207,270105,258133,258594,261718,267226,261146,255935,252075,237596,227170,209622,183263,150286,135763,119313,98975,84164,75189,63833,50710,41950,36238,33757,33088,25971,21788,20411,19720,19146,16967,15725,16229,15608,16877,15241,15824,15023,15080,14611,14265,12896,15376,15966,14825,15717,15925,15708,14464,14393,14656,15275
Colombia,178500,228000,225900,215800,223500,233000,238000,248300,245700,244100,343800,347800,355400,349300,374000,368600,361900,372600,382102,364400,379500,346700,347100,326860,310615,324890,337550,340000,369700,381083,338072,340813,384348,392715,378703,396407,368773,363537,378037,317928,341567,299954,319904,315948,303360,335964,367971,332322,375093,347370,316251,370757,405358,342039
Comoros,9300,9200,9200,9100,9000,9200,9000,9000,9300,9400,9550,9100,9250,9800,10150,8400,9100,8700,8800,8600,8700,8700,9100,7740,7980,8630,10800,10920,11050,12825,13822,14334,14368,13450,13361,13652,13601,13892,14178,14274,14442,14467,15020,15102,15386,15702,16099,16486,16912,16794,16462,16228,16350,16456
"Congo (Brazzaville)",107650,107750,108600,113900,114100,109100,111900,113100,114050,117110,117260,115360,117590,113049,108230,90068,110078,105950,103020,99554,102180,102280,101538,104769,108027,104814,111316,115113,119029,116647,88176,90431,105593,104646,104925,104240,103969,98886,98302,100200,101369,103980,104392,110626,118925,123843,128760,129400,135612,127371,128362,137471,138552,140152
"Cook Islands",423,418,424,430,426,510,437,357,407,412,468,339,444,423,381,381,381,414,454,520,590,670,750,810,910,990,1090,1179,815,370,370,345,330,339,333,334,320,347,299,322,241,212,185,180,188,181,179,161,147,137,128,124,128,112
"Costa Rica",3100,3210,3250,3332,3510,3650,3750,3900,3900,3700,3800,4200,4078,4700,4112,4154,5200,5772,6782,8027,8502,8627,8121,7449,7820,7440,7850,7050,8824,9950,11193,10706,10114,13574,16711,12409,10788,13626,20113,13954,20135,20732,16382,15968,27525,28136,20287,16361,25049,18798,21097,19313,19290,20888
"Ivory Coast",442000,478000,519000,532000,550000,520000,529600,532000,556400,551000,556200,570000,612200,678400,684000,714500,730000,778046,807170,604000,609266,634130,648252,681173,671000,698000,740000,759021,781000,803818,841000,916195,941365,951447,973334,941191,814600,842990,835589,841326,856418,871562,872685,922083,956090,1040323,1091751,1198317,1232887,1264432,1271707,1300669,1333669,1667359
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60758,64754,66356,66458,65537,63189,64931,66374,65232,65641,64640,63097,16043,18903,16759,17355,15000,14000,10950,10881,10232,10234,10310
Cuba,93000,104700,120100,124100,128500,134000,127956,129386,129810,127113,129978,128265,130678,137553,141944,144938,153643,160042,152495,121458,117516,122400,123017,108400,110100,103400,123879,134265,149194,149352,155795,186742,200089,218474,186925,198158,193624,205000,165071,169555,190519,171349,210945,245226,251648,182972,203935,196122,246033,243834,200993,200993,228507,214973
