Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"El Salvador",5.3,7.62,4.03,4.6,5.14,5.71,3.86,4.9,6.17,7.04,6.24,5.29,5.55,6.12,6.88,4.88,4.9,4.39,4.39,4.63,4.59,4.1,4.31,5.08,4.01,3.9557,3.9014,3.8471,3.7929,3.7386,3.6843,3.63,3.27,4.51,3.73,4.41,5.09,5.77,6.45,7.13,7.81,7.7,9.17,8.28,8.57,8.86,9.25,10.83,9.31,9.01,9.07,8.19,8.21,8.8,7.46,8.14,7.69,6.8,8.74,7.16,6.68,6.2,5.5,
"England and Wales",17.22,17.03,16.34,15.68,15.56,15.04,14.77,14.03,14.14,13.85,13.56,13.1,12.68,12.58,11.57,11.4,11.39,10.9,10.73,10.42,10.34,9.61,9.56,9.24,8.98,8.64,8.64,8.08,8.07,8.07,7.42,6.94,6.64,6.42,6.47,6.12,5.6,5.64,5.58,5.18,4.93,4.66,4.56,4.13,4.16,3.85,3.42,3.61,3.38,3.17,2.99,2.95,2.76,2.62,2.63,2.44,2.18,2.21,2.17,1.97,2.08,1.9,1.9,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.15,17.12,16.6833,16.2467,15.81,15.98,13.31,12.82,15.17,14.34,13.68,13.55,12.77,13.43,10.42,12.6,9.99,10.98,11.99,9.46,9.28,9.46,9.58,9.69,8.88,9.42,8.15,7.42,8.35,6.54,5.8,6.4,
Finland,,,40.14,40.49,36.77,33.29,32.56,31.31,30.39,28.88,26.86,26.11,24.06,22.07,20.75,19.54,20.19,17.51,17.66,16.52,15.96,14.45,14.23,14.05,12.78,12.2,11.32,11.39,11.07,11.2,10.64,10.59,9.13,9.36,9.29,9.04,8.71,8.01,7.34,7.9,6.47,6.14,5.83,5.83,4.63,4.83,5.01,4.93,4.13,3.63,3.86,3.91,4.1,3.23,3.86,3.73,3.33,3.24,3.41,2.71,2.65,2.6,2.6,2.9
France,15.82,15.895,15.97,15.22,14.71,14.89,14.51,13.64,13.67,13.84,12.73,12.4,11.74,11.76,11.25,10.59,10.29,9.95,9.44,9.02,8.54,8.03,8.01,7.7,7.23,6.98,6.62,6.28,6.07,5.69,5.53,5.21,5.03,4.76,4.76,4.4,4.05,3.88,3.89,3.6,3.57,3.3,3.21,3.19,2.85,2.77,2.64,2.55,2.5,2.44,2.42,2.23,2.24,2.11,2.06,2.01,1.94,1.79,1.93,1.83,1.76,1.7,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29,9.25,8.8867,8.5233,8.16,7.45,7.31,8.41,6.86,6.8,6.59,6.25,5.005,3.76,3.98,3.6,4.04,4.68,4.5,4.64,5.05,5.2167,5.3833,5.55,3.81,2.81,2.47,3.065,3.66,2.12,2.8,4.1,
Germany,,,,,,,,,,,,,,,,,,,,,,,,14.18,13.76,13.46,12.89,12.43,11.83,11.325,10.82,10.54,10.21,9.66,9.16,8.83,8.54,8.28,7.99,7.69,7.58,7.57,7.09,6.89,6.63,6.28,6.29,5.67,5.59,5.11,5.16,4.78,4.68,4.55,4.18,4.03,3.83,3.61,3.57,3.41,3.26,3.3,3.1,2.9
Greece,,,,,,,,,,,,9.78,11,9.7,10.6,9.98,9.02,8.58,8.86,7.82,7.86,7.8,8.04,7.08,7.65,8.03,7.77,7.79,6.98,7.02,6.36,6.73,6.09,5.58,5.6,5.45,5.7,5.47,5.14,4.97,4.97,4.76,4.74,4.26,4.22,4.13,4.46,4.16,3.87,3.63,3.71,3.95,3.82,3.43,3.51,3.48,3.24,3.32,3.25,2.98,2.99,3.2,2.9,
Guatemala,,,,,,,,,,,,,,14.33,16.81,10.94,11.17,12.17,11.2,13.66,11.4,9.82,10.52,11.22,11.92,12.81,10.32,10.63,13.29,15.35,14.34,12.33,14.2433,16.1567,18.07,15.575,13.08,12.97,14.05,14.92,14.54,13.21,14.1,14.31,18.8,16.38,17,18.38,17.52,17.79,17.05,16.5,16.96,17.27,17.14,17.22,17.17,18.32,15.73,15.5,14.85,14.2,13.8,
"Hong Kong",,,,,,7.94,11.06,7.42,9.66,11.59,10.4,10.4,13.71,10.71,12.19,13.19,11.85,10.28,9.74,11.19,9.42,8.78,10.2,9.42,8.6,7.97,7.36,7.3,7.75,7.12,6.76,7.19,6.34,7.39,5.5,6.14,7.22,6.71,5.13,5.71,5.37,5.1,5.44,4.82,5.59,5.01,4.57,5.06,4.79,4.89,4.79,4.63,3.91,4.31,4.12,3.57,3.33,3.54,3.12,3.35,3.51,3.5,3.3,2.9
