Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bhutan,20.55226898,20.55226898,20.55226898,20.55226898,20.55226898,20.55226898,20.55226898,20.55226898,20.55226898,20.55226898,20.57116508,20.59630966,20.62801361,20.6729393,20.72693825,20.78884315,20.8566246,20.90576363,20.97005081,21.02852821,21.07032013,21.06539154,21.09895706,21.13370705,21.15254021,21.17832565,21.13454628,21.0879879,20.99525833,34.85128021,35.20856476,36.83496857,36.76151657,40.18844986,40.91282654,41.01679993,44.16470337,52.35667419,51.37335587,56.76581573,57.97898483,60.14876938,62.56255722,66.56710815,70.25015259,70.8279953,65.2275238,67.08028412,66.79000854
Bolivia,30.9215126,25.97876358,25.27265739,25.97876358,29.50929832,29.50929832,28.45013809,28.80319214,25.27265739,25.62570953,25.68787766,25.74403191,23.65351105,22.27006912,20.89135361,19.86701965,19.92063522,20.31729126,20.35894585,20.39211273,20.7802639,20.78899956,20.80716515,20.88240433,23.28084564,33.43980026,36.65363693,35.19357681,40.85873795,41.76529312,42.51742554,40.19371033,40.8295517,45.35256958,47.81132126,47.92196655,49.77054214,62.81204605,67.42237091,70.32807922,72.94880676,74.96848297,75.88983154,77.46092987,78.31733704,77.71643066,76.80954742,77.1532135,76.97195435
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,42.59978104,42.61323929,42.62584686,42.64442825,42.6288147,42.60001755,48.53339767,45.84063339,53.84878159,56.63379288,55.59560394,54.90577698,60.99121857,61.89059067,62.76952744,59.24311829,62.77440643,64.56771851,68.89741516,72.56489563,73.74729919,76.03633881,71.33516693,72.57804871,72.45511627,73.14141083,73.09914398
Botswana,37.29190445,37.29190445,37.29190445,37.29190445,36.93885422,36.23274612,35.87969208,34.82052994,34.46747589,33.76137161,33.47138214,38.15437317,37.15366364,36.86915588,36.60006714,36.33373642,36.07618713,35.78711319,35.50619888,35.21045303,34.9033699,34.91449738,34.58957672,34.27512741,33.94835281,33.6352005,39.48188019,40.71991348,41.28215408,41.16415405,44.8340683,45.98513031,46.81243515,48.14820862,47.54541779,47.94049454,47.35561371,49.33946609,53.3765831,53.91882706,54.7936058,56.94788361,58.57458878,64.72838593,69.60868073,69.43066406,69.95096588,68.0384903,66.813591
Brazil,32.10919571,31.75614166,31.75614166,32.8153038,33.52140808,33.16835403,33.16835403,32.8153038,32.46224976,31.75614166,31.47067451,31.52545166,30.85028267,29.44944,29.12326622,28.79055786,28.460495,28.83719063,28.48616409,28.4849472,28.85247803,28.15296555,27.43016434,27.07859612,26.73352623,27.84232521,28.91780281,41.90629959,42.8435936,44.81926346,45.68622589,50.94563293,51.16625977,52.3651123,53.83703232,54.79418564,58.87499619,60.45589828,84.00793457,84.94728088,85.8467865,88.2824173,89.56475067,88.36077118,88.81770325,88.69400787,88.42338562,87.98536682,87.91438293
Brunei,,,,,,,,,,,,,,,49.27449799,49.38692474,49.5130043,49.59886551,49.68438721,49.74590302,49.80581284,49.83870316,49.87109375,49.92710876,47.09262848,63.27784729,60.49196243,67.05683136,67.50193787,70.12864685,69.64699554,53.28892517,57.24456406,64.13454437,75.55649567,74.62575531,77.11904144,79.75721741,86.43075562,86.24845886,87.29285431,85.50892639,83.37876129,85.5772934,93.12818146,93.93054199,94.66226196,94.82131958,90.66611481
Bulgaria,46.28199768,46.28199768,46.28199768,46.28199768,46.28199768,45.92894363,43.81061935,43.81061935,43.81061935,44.86978149,45.65939331,46.0886116,45.07990646,45.13566589,45.20555496,37.39509964,36.02091217,39.29524994,37.90308762,38.65679169,40.12757111,40.14284897,40.88189316,34.4226265,43.82809448,41.34321213,42.03031158,43.76554489,42.70949173,50.05477142,55.01403809,58.03559875,58.9489975,60.96463776,52.94845963,50.31284332,54.4879837,67.02635956,69.24062347,71.30899048,72.02503967,73.93759918,74.6816864,76.18596649,77.00719452,75.76098633,74.80900574,75.11226654,74.17502594
"Burkina Faso",11.60272408,11.60272408,11.60272408,11.60272408,11.60272408,11.60272408,11.60272408,11.60272408,11.60272408,11.60272408,11.59946632,11.59592819,11.59219265,11.5874815,11.58174229,11.57541275,11.56842232,11.56343269,11.55732441,11.55202579,11.54798031,11.5478096,11.54481316,11.54134178,11.53908348,11.53589153,12.99999905,15.90881634,16.03732872,18.61393929,17.69124031,20.27181053,23.35502625,24.90741348,31.41773415,34.3784523,37.10399628,35.96860504,36.91724777,69.00924683,69.93811035,70.51781464,71.40526581,74.35061646,76.08429718,77.95219421,80.27770233,80.24658966,80.24626923
Burundi,11.90534973,12.61145592,10.84618759,10.14008141,11.90534973,13.3175621,13.67061615,12.96450996,11.19924164,9.787027359,14.37299633,12.23472691,10.08558655,10.06797791,12.90633583,10.73996735,9.639733315,9.621884346,9.602703094,9.587788582,9.934464455,9.930283546,9.561876297,9.189448357,11.50667763,9.786840439,10.88373756,10.59356213,10.32318115,9.453316689,9.211938858,12.14104748,16.90324402,17.85210419,17.08037186,17.11578751,16.79856682,20.34775925,22.20602989,29.71281624,47.19700623,25.89383125,32.43433762,55.3025856,56.18310547,57.99723816,57.31269073,57.06763458,57.03183746
"Cape Verde",,,,,,28.01398659,28.01398659,28.01398659,28.01398659,28.01398659,28.07697296,28.14538765,28.21760941,28.30868721,28.41965485,28.54200935,28.67715836,28.77362633,28.89173889,28.99417686,29.07239342,29.07568932,29.13363838,29.20073509,29.24439049,29.30608559,41.03124237,40.96809387,42.92139053,47.45308685,45.14484406,47.19421768,41.57001495,44.5435257,43.41773224,41.46164322,73.29866791,73.24043274,76.01181793,78.26461792,79.41779327,81.58233643,81.73920441,83.45975494,83.0341568,83.78256989,83.16689301,84.42914581,85.59949493
