Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ethiopia,87.6,90.74,94.12,113.34,107.6,108.88,115.36,124.22,118.74,102.77,84.97,91.95,97.12,91.17,90.68,96.21,80.79,66.72,47.68,32.27
Fiji,35.69,34.8,36.44,39.94,36.41,40.43,43.15,44.51,45.86,44.92,39.32,41.63,45.87,39.28,54.96,46.93,45.5,41.71,29.85,24.55
Finland,108.82,109.17,104.81,102.59,104.62,104.72,108.2,113.88,120.71,115.78,113.1,102.17,96.31,93.23,101.01,84.82,76.39,67.74,51.42,38.24
France,105.04,103.68,104.51,108.24,106.2,108.46,113.69,117.7,129.61,126.6,122.43,116.18,111.35,108.13,113.54,96.08,87.49,77.17,55.76,40.24
Gabon,95.26,90.45,79.14,115,104.44,83.16,96.42,112.54,109.35,94.99,81.82,82.21,79.5,66.6,86.02,52.25,45.2,38.65,27.27,17.39
Gambia,134.62,135.5,128.92,152.72,144.97,157.36,154.13,154,138.53,115.88,113.32,118.66,112.71,105.36,104.25,82.99,77.41,67.64,51.22,36.72
Georgia,223.94,301.28,300.94,252.08,243.31,279.64,315.52,369.45,382.95,377.62,358.41,321.1,309.9,308.89,343.79,287.09,261.26,223.08,139.95,93.82
Germany,94.06,92.73,101.4,109.35,110.46,111.19,117.12,122.73,130.23,132.56,129.93,120.92,114.43,108.92,117.03,99.12,89.9,79.25,57.24,41.6
Ghana,107.39,104.82,114.26,125.39,123.29,130.78,140.73,146,148.74,142.68,137.49,108.37,107.05,98.21,91.79,65.71,54.1,54.08,34.89,22.85
Greece,198.25,191.69,194.24,207.6,200.01,170.29,191.74,211.16,204.67,192.35,201.05,175.82,177.49,172.88,147.62,119.62,109.52,89.66,67.91,49.59
Grenada,164.89,169.05,178,186.3,167.68,139.7,148.15,155.18,149.54,141.72,136.48,144.03,147.99,140.33,142.6,121.24,112.11,99.88,73.95,52.32
Guatemala,108.26,109.67,111.62,114.92,122.82,170.12,217.86,220.65,227.33,224.73,220.22,228.37,219.08,192.72,192.43,160.74,143.24,126.92,87.54,61.88
Guinea,161.79,156.77,155.29,180.49,173.76,180.96,198.31,214.48,196.26,196.48,186.12,177.66,183.69,157.56,158.98,119.15,114.21,105.31,67.91,46.54
"Guinea Bissau",214.36,213.73,202.85,233.93,210.1,222.19,240.11,246.85,241.83,231.51,230.85,231.59,218.3,210.5,219.75,186.35,152.16,134.06,98.52,71.17
Guyana,43.8,41.88,41.48,48.21,41.44,45.78,50.93,50.72,56.91,53.05,60.29,65.46,70.08,64.99,66.81,72,71.66,66.77,48.4,34.05
Haiti,182.3,185.79,177.73,205.58,196.15,223.66,222.81,223.22,211.73,195.15,180.07,209.96,196.83,192.66,210.77,213.1,243.97,234.25,158.94,107.85
Honduras,127.74,129.18,131.61,149.8,156.73,148.64,163.57,174.25,183.46,180.63,180.05,177.47,175.03,184.24,172.36,152.56,154.03,150.94,101.57,68.88
"Hong Kong",11.12,,,,,,,,,,,,,,,,,,,
Hungary,60.72,65.97,66.12,90.7,99.31,107.03,119.95,123.91,134.47,129.84,127.46,117.66,112.95,103.64,110.33,101.08,95.4,85.93,59.53,40.28
Iceland,65.77,66.76,71.29,88.23,87.96,91.16,94,99.48,105.11,98.97,90.87,80.19,73.83,68.28,72.9,66.01,58.84,51.61,37.61,26.87
India,144.05,141.41,158.66,173.34,154.18,173.25,191.35,194.44,190.64,183.85,168.71,150.39,140.77,131.41,130.04,106.51,99.09,88.83,68.01,52.45
Indonesia,58.4,59.42,60.51,72.05,75.07,70.37,72.21,78.38,85.73,77.33,86.88,85.2,82.06,71.99,73.01,64.05,58.99,53.63,39.59,28.34
Iran,101.66,99.49,105.05,127,135.17,143.48,160.78,170.46,164.56,171.95,174.3,151.43,147.91,160.15,180.95,168.08,139.57,122.82,83.9,64.87
Iraq,1.99,59.82,51.29,49.42,34.1,42.51,48.29,49.41,109.23,75.33,66.79,53.24,54.04,45.13,56.51,39.4,29.9,56.51,46.64,35.21
