Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,,,,,,,,,,,,,,,,,,,,,,6.864,6.8995,6.9349,6.9704,7.0058,7.0413,7.0767,7.1122,7.1476,7.1831,7.2185,7.254
Georgia,,,,,,,,,,,4.680521,4.7056,4.7306,4.7556,4.7807,4.8057,4.8308,4.8558,4.8808,4.9059,4.9309,4.955962,5.0541,5.1522,5.2504,5.3485,5.446667,5.6546,5.8624,6.0703,6.2782,6.4861,6.694
Germany,,,,,,,,,,,6.931785,6.931,6.9302,6.9294,6.9286,6.9278,6.927,6.9261,6.9253,6.9245,6.9237,6.922927,7.017,7.111,7.205,7.299,7.393049,7.4395,7.486,7.5325,7.579,7.6255,7.672
Ghana,,,,,,,,,,,,,,,,,,,,,,6.119764,6.1802,6.2407,6.3011,6.3616,6.422036,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
"United Kingdom",,,,,,,,,,,7.581502,7.5789,7.5763,7.5737,7.5711,7.5685,7.5659,7.5634,7.5608,7.5582,7.5556,7.552987,7.5669,7.5808,7.5947,7.6086,7.6225,7.6364,7.6504,7.6643,7.6782,7.6921,7.706
Guatemala,,,,,,,,,,,,,,,,,,,,,,7.950951,7.9111,7.8713,7.8315,7.7917,7.7519,7.7121,7.6723,7.6324,7.5926,7.5528,7.513
"Hong Kong",,,,,,,,,,,,,,,,,,,,,,6.40836,6.4966,6.5848,6.6731,6.7613,6.849549,6.8183,6.787,6.7558,6.7245,6.6933,6.662
Hungary,6.927235,6.8206,6.714,6.6073,6.5007,6.3941,6.2874,6.1808,6.0742,5.9675,5.860897,5.8639,5.867,5.87,5.873,5.876,5.8791,5.8821,5.8851,5.8882,5.8912,5.894212,6.0059,6.1176,6.2293,6.341,6.4528,6.5645,6.6762,6.7879,6.8996,7.0113,7.123
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.032
India,,,,,,6.700122,6.6663,6.6324,6.5986,6.5648,6.530909,6.2994,6.0679,5.8364,5.6049,5.3734,5.141919,5.2727,5.4034,5.5342,5.6649,5.795699,5.638,5.4802,5.3225,5.1647,5.006958,,,,,,
Indonesia,,,,,,,,,,,,,,,,,6.957576,6.9478,6.938,6.9283,6.9185,6.90871,6.9676,7.0264,7.0852,7.1441,7.2029,7.2618,7.3206,7.3795,7.4383,7.4972,7.556
Iran,,,,,,,,,,,,,,,,,6.376997,6.387,6.397,6.407,6.4171,6.427072,6.4057,6.3843,6.363,6.3416,6.3202,6.2989,6.2775,6.2561,6.2347,6.2134,6.192
Iraq,,,,,,,,,,,,,,,,,5.227097,5.074,4.921,4.7679,4.6149,4.461798,4.7523,5.0428,5.3333,5.6238,5.914358,5.6733,5.4322,5.1912,4.9501,4.7091,4.468
Israel,,,,,,,,,,,,,,,,,7.026051,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,6.887674,6.9224,6.9572,6.9919,7.0267,7.0615,7.0962,7.131,7.1657,7.2005,7.2352,7.27
Japan,6.579317,6.5687,6.5581,6.5475,6.5369,6.526262,6.5427,6.5591,6.5755,6.5919,6.608357,6.5876,6.5669,6.5462,6.5255,6.5048,6.484043,6.5854,6.6867,6.7881,6.8894,6.990741,6.975,6.9592,6.9434,6.9276,6.911802,6.8678,6.8239,6.7799,6.7359,6.692,6.648
Jordan,,,,,,,,,,,,,,,,,5.601151,5.9214,6.2416,6.5618,6.882,7.202172,7.0837,6.9653,6.8469,6.7284,6.61,6.6535,6.697,6.7405,6.784,6.8275,6.871
Kyrgyzstan,,,,,,,,,,,,,,,,,6.482263,6.5303,6.5784,6.6265,6.6746,6.7227,6.7708,6.8188,6.8669,6.915,6.963087,7.2007,7.4384,7.676,7.9137,8.1513,8.389
Latvia,,,,,,,,,,,4.898319,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,4.986948,5.0592,5.1315,5.2038,5.276,5.3483,5.4206,5.4929,5.5651,5.6374,5.7097,5.782,5.8542,5.9265,5.9988,6.0711,6.1433,6.2156,6.2879,6.3602,6.4324,6.5047,6.577
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,5.701736,5.6054,5.509,5.4127,5.3163,5.2199,5.123574,5.25,5.3765,5.503,5.6294,5.7559,5.8824,6.0088,6.1353,6.2618,6.3882,6.5147,6.6411,6.7676,6.8941,7.0205,7.147
Malaysia,,,,,,,,,,,,,,,,,,,,,,6.8375,6.8968,6.956,7.0153,7.0746,7.133846,7.1095,7.0852,7.0609,7.0366,7.0123,6.988
Mali,,,,,,,,,,,,,,,,,,,,,,6.092308,,,,,,,,,,,
Mexico,7.964578,7.8538,7.7431,7.6323,7.5216,7.410832,7.436,7.4612,7.4863,7.5115,7.536648,7.6378,7.7389,7.84,7.9412,8.0423,8.143426,8.1601,8.1768,8.1935,8.2102,8.226851,8.284,8.3411,8.3982,8.4554,8.5125,8.4528,8.393,8.3333,8.2735,8.2138,8.154
Moldova,,,,,,,,,,,3.725051,3.8638,4.0026,4.1414,4.2802,4.419,4.55783,4.7364,4.9149,5.0934,5.272,5.450528,,,,,,,,,,,
Montenegro,,,,,,,,,,,6.2103,6.1151,6.02,5.9248,5.8296,5.7345,5.639296,5.7568,5.8744,5.9919,6.1095,6.227,6.3446,6.4621,6.5796,6.6972,6.8147,6.9323,7.0498,7.1674,7.2849,7.4025,7.52
Morocco,,,,,,,,,,,,,,,,,5.861711,5.7398,5.6179,5.4961,5.3742,5.252297,5.3908,5.5292,5.6677,5.8061,5.944587,,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.196
Netherlands,,,,,,,,,,,,,,,,,,,,,,7.72164,7.6758,7.63,7.5842,7.5384,7.492561,7.5463,7.6,7.6538,7.7075,7.7613,7.815
"New Zealand",,,,,,,,,,,7.701365,7.7187,7.736,7.7534,7.7707,7.7881,7.8054,7.8228,7.8401,7.8574,7.8748,7.892125,7.8435,7.7949,7.7462,7.6976,7.648975,7.5935,7.538,7.4825,7.427,7.3715,7.316
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.944
Nigeria,,,,,,6.585757,6.587,6.5882,6.5894,6.5906,6.591754,6.6389,6.686,6.7331,6.7802,6.8273,6.874382,6.8132,6.7519,6.6907,6.6295,6.5682,6.507,6.4458,6.3845,6.3233,6.262081,6.1476,6.0331,5.9185,5.804,5.6895,5.575
Norway,,,,,,,,,,,7.658036,7.685,7.712,7.739,7.766,7.793,7.82,7.847,7.874,7.901,7.928,7.955034,7.9584,7.9618,7.9651,7.9685,7.9718,7.9752,7.9786,7.9819,7.9853,7.9886,7.992
Pakistan,,,,,,,,,,,,,,,,,4.852924,5.1155,5.378,5.6405,5.9031,6.1656,6.4282,6.6907,6.9533,7.2158,7.478333,7.5033,7.5282,7.5532,7.5781,7.6031,7.628
Peru,,,,,,,,,,,6.361881,6.3749,6.388,6.4011,6.4141,6.4272,6.440269,6.5572,6.6741,6.791,6.9079,7.024832,7.0467,7.0686,7.0905,7.1124,7.134328,7.2164,7.2986,7.3807,7.4628,7.5449,7.627
Philippines,,,,,,,,,,,6.839867,6.8085,6.7771,6.7458,6.7144,6.683,6.651667,6.72,6.7883,6.8567,6.925,6.9933,7.0617,7.13,7.1983,7.2667,7.335,7.3458,7.3567,7.3675,7.3783,7.3892,7.4
Poland,,,,,,6.639009,6.5954,6.5519,6.5083,6.4648,6.421191,6.4753,6.5294,6.5835,6.6375,6.6916,6.7457,6.7998,6.8539,6.908,6.9621,7.016178,7.025,7.0337,7.0425,7.0513,7.060103,7.1369,7.2137,7.2906,7.3674,7.4442,7.521
"Puerto Rico",,,,,,,,,,,8.099309,8.165,8.2308,8.2965,8.3623,8.428,8.493724,8.4857,8.4776,8.4696,8.4615,8.4535,8.4455,8.4374,8.4294,8.4213,8.4133,8.4052,8.3972,8.3891,8.3811,8.373,8.365
Romania,,,,,,,,,,,4.859806,4.941,5.0223,5.1035,5.1847,5.2659,5.3472,5.4284,5.5096,5.5909,5.6721,5.753317,5.9312,6.1092,6.2871,6.465,6.642953,6.7518,6.8606,6.9695,7.0783,7.1872,7.296
Russia,,,,,,5.374869,5.1905,5.0062,4.8218,4.6375,4.453148,4.6073,4.7614,4.9155,5.0696,5.2237,5.3778,5.5319,5.686,5.8401,5.9942,6.148314,6.144,6.1398,6.1355,6.1312,6.126978,6.1713,6.2157,6.26,6.3043,6.3487,6.393
Rwanda,,,,,,,,,,,,,,,,,,,,,,4.965403,5.2658,5.5663,5.8667,6.1671,6.467584,,,,,,
"Saudi Arabia",,,,,,,,,,,,,,,,,7.281794,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,5.561265,5.5714,5.5816,5.5917,5.6019,5.612,5.622166,5.6996,5.777,5.8545,5.9319,6.009362,6.0683,6.1273,6.1863,6.2452,6.3042,6.3632,6.4221,6.4811,6.5401,6.599,6.658
Singapore,,,,,,,,,,,,,,,,,7.238095,7.2114,7.1847,7.158,7.1313,7.1046,7.0779,7.0512,7.0245,6.9978,6.971081,,,,,,
Slovakia,,,,,,6.151188,6.1343,6.1174,6.1005,6.0837,6.066789,6.122,6.1772,6.2324,6.2876,6.3427,6.3979,6.4531,6.5083,6.5635,6.6187,6.6739,6.7291,6.7843,6.8395,6.8947,6.9499,7.005,7.0602,7.1154,7.1706,7.2258,7.281
Slovenia,,,,,,,,,,,6.463,6.534,6.605,6.676,6.747,6.818,6.889,6.96,7.031,7.102,7.173,7.24395,7.2655,7.287,7.3085,7.33,7.351555,7.4033,7.455,7.5068,7.5585,7.6103,7.662
"South Africa",6.786402,6.774,6.7616,6.7492,6.7368,6.724407,6.5961,6.4679,6.3396,6.2113,6.08302,6.1214,6.1597,6.1981,6.2365,6.2748,6.313189,6.4907,6.6681,6.8456,7.0231,7.200538,7.0961,6.9916,6.8871,6.7827,6.678216,,,,,,
"South Korea",5.33475,5.605,5.8752,6.1455,6.4157,6.685971,6.6431,6.6002,6.5572,6.5143,6.4714,6.4285,6.3856,6.3427,6.2998,6.2569,6.213981,6.2492,6.2844,6.3197,6.3549,6.390142,6.4342,6.4783,6.5224,6.5665,6.610597,6.6297,6.6487,6.6678,6.6869,6.7059,6.725
Spain,,,,,,7.14543,7.0385,6.9316,6.8248,6.7179,6.610972,6.6719,6.7329,6.7939,6.8548,6.9158,6.976763,7.0442,7.1116,7.179,7.2464,7.313807,7.2052,7.0965,6.9879,6.8792,6.770548,6.8926,7.0147,7.1368,7.2588,7.3809,7.503
Sweden,,,,,,,,,,,7.772592,7.768,7.7633,7.7587,7.754,7.7494,7.7448,7.7401,7.7355,7.7308,7.7262,7.721557,7.7013,7.6811,7.6609,7.6407,7.620432,7.624,7.6276,7.6312,7.6348,7.6384,7.642
Switzerland,,,,,,8.358571,8.2912,8.2238,8.1564,8.089,8.021595,8.011,8.0004,7.9898,7.9792,7.9686,7.958,7.9474,7.9368,7.9262,7.9156,7.905033,7.9098,7.9145,7.9192,7.9239,7.9287,7.9334,7.9381,7.9428,7.9476,7.9523,7.957
Taiwan,,,,,,,,,,,6.560411,6.5697,6.579,6.5883,6.5976,6.6069,6.6161,6.6254,6.6347,6.644,6.6533,6.662591,6.7072,6.7518,6.7965,6.8411,6.885691,6.9079,6.9301,6.9523,6.9746,6.9968,7.019
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.962
Tanzania,,,,,,,,,,,,,,,,,3.866375,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,7.212794,7.2834,7.3541,7.4247,7.4954,7.566053,7.4002,7.2344,7.0685,6.9027,6.7368,6.571
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,7.26026,7.3014,7.3425,7.3837,7.4248,7.465932,,,,,,
Turkey,,,,,,6.405063,6.3598,6.3146,6.2694,6.2242,6.178947,6.1158,6.0527,5.9896,5.9265,5.8634,5.800294,6.1313,6.4623,6.7934,7.1244,7.455423,7.4188,7.3822,7.3456,7.3089,7.27233,7.1438,7.0152,6.8867,6.7581,6.6296,6.501
Uganda,,,,,,,,,,,,,,,,,5.650699,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,3.952791,4.1215,4.2901,4.4588,4.6275,4.7962,4.9649,5.1335,5.3022,5.4709,5.6396,5.808233,5.8263,5.8444,5.8625,5.8806,5.898667,,,,,,
"United States",,,,,,,,,,,7.666232,7.6657,7.6653,7.6648,7.6643,7.6638,7.663333,7.583,7.5028,7.4225,7.3422,7.261886,7.2978,7.3337,7.3696,7.4054,7.441336,7.4051,7.3689,7.3327,7.2964,7.2602,7.224
Uruguay,,,,,,,,,,,7.134538,7.164,7.1934,7.2228,7.2522,7.2817,7.3111,7.3405,7.3699,7.3994,7.4288,7.458208,7.4866,7.5151,7.5435,7.572,7.600404,,,,,,
Venezuela,,,,,,,,,,,6.722831,6.8553,6.9877,7.1202,7.2526,7.3851,7.517529,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,6.517137,6.6326,6.7481,6.8635,6.979,7.094467,7.1784,7.2624,7.3463,7.4303,7.5143,7.5982,7.6822,7.7661,7.8501,7.934,8.018
Zambia,,,,,,,,,,,,,,,,,,,,,,6.058784,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,3.945,4.1546,4.3643,4.5739,4.7835,4.9932,5.2028,5.4124,5.6221,5.8317,6.041333,5.8596,5.6779,5.4962,5.3144,5.1327,4.951
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,6.794314,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,7.918469,7.8954,7.8723,7.8492,7.8262,7.8031,7.78
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,7.254667,7.1856,7.1164,7.0473,6.9782,6.9091,6.84
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,7.209321,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,6.503772,6.5325,6.5612,6.5899,6.6186,6.6473,6.676
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26089,,,,,,
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,,,,,,,,5.62211,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01322,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,5.582638,5.5712,5.5598,5.5483,5.5369,5.5254,5.514
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,7.888144,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88731,,,,,,
