Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bulgaria,0.5,0.3,0.3,2.5,2.1,1.8,1.4,1.4,1.1,0.7,2.1,0.1,0.07063,0.07063,0.035315,3.6902,7.3451,11,3.9,0.4,0.4,15,2.8,9.8,6.3567
"Burma (Myanmar)",40,37.9,40.2,39,51,58,57,53,62,68.1,123.5,257.5,310.5,364.1,385.1,486.1,468.3,498.5,459.5,424.5,444.5,450.3,456.15,462,593.292
Cameroon,,,,77,88,85,73,73,73,73,69,63,57,53,60,65,69.7,69.7,69.7,69.7,69.7,84.3,71.6,72,70
Canada,4897,5120,5581,6039,6479,6799,6970,7061,7262,7446,7679,7826,7786,7609,7699,7734,7784,7625,7369,6928,6696,6669,6307,6455,6323
Chad,,,,,,,,,,,,,,,,,,,,,,0.4,,,
Chile,155,146,167,148.2,149.6,133.5,128.5,113.5,108.5,104.5,101.2,105.2,101.5,77.2,74.5,70.5,66.9,69.7,67.9,69.4,67,57.1,46,36.2,28.98137
China,508,526,533,558,589,601,712,801,822,889,962,1070,1153,1211,1439,1763,2067,2446,2685,2975,3334,3629,3666,3986,4359.91927
Colombia,183,186,186,189,195.1,271,332,454,507,534,514,530,534,514,504,532,518,575,1026,1196,1124,1114,,,
"Congo (Brazzaville)",47,46,46,46,46,46,47.1,142,134,133.5,127.5,124.5,118.5,116.5,115.8,253,266,269,272,282,297,334,329,337,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,0.1,0.14,0.18,0.22,0.26,0.3,,,
"Ivory Coast",,,,,,1.4,19,21,28,47,48,48,47,47,46,46,46,53,57,57,57,53,63,63,73.68874
Croatia,,,64,73,64,70,64,57,55,55,59,62,55,65,58,54,72,72,72,70,67,53,67,63,60.494595
Cuba,1.1,1.2,1.2,1.3,1.2,1.4,1.5,35.3,20.5,24.5,28.5,17.5,19.5,20.5,20.5,21.5,19.5,29.5,49.5,49.5,42.8,39.4,39.4,39.4,
"Czech Republic",,,,8.4,10,9,8.3,7.6,8.1,8.1,7.7,5.7,5.4,5.9,7.6,7.1,6.9,7.1,7,7.9,8.7,8.3,9.3,8.9,9.146585
Denmark,115,147,153.6,166.4,233.4,192.7,233.9,350.8,383.7,406,422.2,406,304.3,289.7,342.6,375.9,374.7,331.8,360.9,300.1,294.4,236,205.6,174.6,166.44971
Ecuador,25,29.5,33,23.3,23.3,37.7,37.7,37.5,37.5,37.5,39.6,40.4,38.6,41.4,42.8,44.3,44,43.6,44,49,49,47,52,57,42
Egypt,399,478,479,527,548,563,632,641,644,693,860,1063,1107,1215,1296,1659,1776,1872,2312,2444,2369,2363,2314,,
"Equatorial Guinea",,,1.1,19.4,20.1,20.8,31.9,31.9,35.7,40.5,43.2,45.4,120,134,88.5,134,134,160,267,295,299,292,295,318,
Finland,,,,,,,,,,,,,,,,,,,,,,,0.035315,0.1,0.14126
Czechoslovakia,25,22,9.9,,,,,,,,,,,,,,,,,,,,,,
"Serbia and Montenegro",,,30,34,28,32,24,24,33,24,19,21,23,13,9.9,,,,,,,,,,
"Soviet Union",28987,29047,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,94,92,,,,,,,,,,,,,,,,,,,,,,,
France,153,156,111,121,125,118,103,91,80,73,66,67,96,84,77,63,65,58,52,49,48,40,36,12,0.600355
Gabon,85,87.4,95.1,95.1,91.1,91.1,91.1,91.1,91.1,91.1,88.4,83.4,80.7,76.7,75.1,75.1,74.1,73.4,73.4,73.4,73.4,76.4,87,87,80
Georgia,,,0.7,0.98,1.26,1.54,1.82,2.1,2.1,2.1,2.1,2.1,0.5,0.7,0.7,0.5,0.4,0.4,0.3,0.4,0.3,0.2,,,
Germany,,691,694,693,733,766,824,808,786,883,836,842,844,817,747,738,767,758,673,663,569,562,497,465,367
"East Germany",246,,,,,,,,,,,,,,,,,,,,,,,,
"West Germany",579,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,16,,,
Greece,4,4.04,4.07,2.93,1.34,1.24,1.335315,1.3,1.2,0.07063,1.3,1.2,1.3,1,0.9,0.6,0.8,0.7,0.5,0.4,0.2,0.2,0.2,0.2,0.176575
Hungary,172,176,179,178,171,173,165,154,137,120,113,114.5,110.6,104.9,108.8,107.8,109.1,92.3,93.2,105.1,102,98,79,69,65.6470535
India,658,670,657.5,637.5,685.5,748.5,810.5,833.5,875.5,867.5,910.5,919,1001,1126,1135,1190,1120,1140,1169,1473,1883,1716,1485,1270,1102
Indonesia,2159,2462,2583,2661,2942,3006,3160,3131,2980,3068,2900,2808,3042,3156,3030,2983,2955,2804,2883,3059,3405,3255,,,
Iran,1628,2030,2055,2119,2336,2672,3009,2917,3143,3623,3871,3926,4273,4556,4767,5354,5925,6152,6372,7428,7774,7915,8170,8083,7830
Iraq,321,88,109.5,96.8,120.8,120.8,122.8,135,176,155,154,140,126,81,117,401,420,355,522,586,596,659,724,756,492.3
Ireland,82,84,83,94,96,98,95,83,62,48,42,29,30,24,30,20,18,16,15,14,10,7.3,7.9,6.6,5.36788
Israel,1.1,1.1,0.8,1.1,1.1,0.7,0.7,0.7,0.7,0.4,0.4,0.4,0.4,1.4,51.7,26.7,35.1,97.1,122.1,99.1,114.1,152.1,,,
Italy,611,614,641,691,729,720,708,680,671,617,587,538,516,490,458,426,388,343,327,283,297,298,304,273,252.466935
Japan,211,219,219,225,216,223,213,205,198,201,205,193,219,185,201,191,179,189,185,176,178,180,175,169,167.993455
Jordan,4.6,4.6,5.3,7.1,9.9,10,9.5,10,9.9,9.9,10,10,11,11,11,9.9,11,8.8,7.4,7.8,7.8,8.1,7.6,7.1,7.027685
Kazakhstan,,,300,248,182,205,180,233,236,209,366,397,489,604,841,1062,1111,1044,1179,1257,1312,1620,1105,1388,1238
"South Korea",,,,,,,0.8,0.4,0.2,2.6,5,7.4,9.8,12.2,14.6,17,18,15,16,27,33,36,37,18,11.37143
Kuwait,251,565,127,245,267,267,385,384,374,358,396,353,343,396,423,533,506,434.8,490.1,413.1,421.7,485.7,556,583.7,537.749135
Kyrgyzstan,,,3.5,1.4,1.2,1.2,0.9,0.6,0.5,0.4,0.5,0.6,0.4,1,1,1.1,0.9,0.6,1.1,0.5,0.4,0.4,0.2,1.1,1.20071
Libya,571,550,502,438,442,440,447,455,446,325,358,365,367,451,585,755,955,1032,1071,1034,1068,348,619,609.5,600
Luxembourg,,,,,,,,,,,,,,,,,,,,,,0.035315,0.1,0.1,0.176575
Malaysia,826,759,860,895,938,1036,1249,1376,1391,1443,1734,1825,2300,2626,2600,2681,2480,2657,2684,2667,2717,2694,2724,2827,2653
Mexico,903,899,879,1002,1026,1033,1226,1419,1540,1492,1510,1456,1449,1509,1583,1728,1937,2253,2573,2566,2562,2551,2337,2326,1681
Morocco,2,1.4,0.8,1.1,1.1,0.7,0.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.1,1.5,2.3,2.5,2.8,2.5,,,
Mozambique,,,,,,,,,2.1,2.1,2.1,2.1,2.1,2.8,2.8,7.1,58,93,117,95,110,135,,,
Netherlands,2697,3048,3061.4,3118.1,2958.6,2988.4,3378.6,2992.1,2845.7,2653.5,2563.7,2754.4,2678.2,2575.9,3037.5,2774.4,2733.1,2689.6,2960.8,2787.7,3132.6,2853,2844.8,3054.6,2483.702885
"New Zealand",171,188,198.7,200,177.1,167.2,190,202.9,177.8,203.6,215.3,228.4,216.5,165,150.8,146.8,140.8,158.6,157.5,165.3,178.1,160.2,168.3,171.5,187.485915
Nigeria,977,1053,1154,1189,1189,1234,1301,1140,1121,1084,1230,1388,1346,1554,1603,1921,2183,2416,2565,1836,2392,2399,2997,2812,2736
Norway,996,1482,1506,1469,1589,1666,2099,2485,2623,2888,3188,3339,3736,4177,4511,4619,4573,4827,4989,5114,5253,5197,,,
Oman,187,238,215,228,237,268.1,251.8,363,371,408,484,730,765,879,971,847,1052,1069,1069,1097,1176,1157,1187.6667,1218.3333,1249
Pakistan,604,602,642,667,718,741,795,801,826,885,973,876,931,1017,1095,1215,1414,1414,1452,1476,1512,1471,1538.3,,
"Papua New Guinea",,,2.1,2.8,1.8,3.9,5,4.3,4.3,4.3,4.3,4.3,4.3,5.3,5.3,3.9,5.3,5.2,5,3.9,4.3,3.9,,,
Peru,35,36.1,32.7,46.3,47.3,44.6,43.9,33.5,32.4,32,28.7,32,34,65.7,121.8,194.8,250,289,270.8,383,491,624.7,558.3,572.5,645.4
Philippines,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,10.6,85,127.1,127.1,127.1,106.1,120.1,121.1,131.8,120.8,130,,,
Poland,145,154,148,182,173,179,177,180,181,176,184,193,196,199,210,214.8,212.7,213.7,203.8,207.8,215.6,221.7,223.7,220.2,215.2152
Qatar,296,369,457,649,646,649,669,837,925,1034,1312,1251,1346,1415,1712,2035,2189,2479,3210,3630,4611,5479,5758,5763.5,5769
Romania,1041,886,777,756,702,694,645,614,524,510,488,505,470,434,417,413,449,432,403,384,374,375,404,403,409.654
Russia,,,23331,22146,21803,21369,20235,19257,19914,19953,19692,19579,20303,21157,21944,22226,22771,22747,22221,19578,21533,24318,23132,23591,21797
"Saudi Arabia",1741,2283,2335,2377,2479,2612,2743,1680,1758,1719.8,1887.5,2013.3,2119.3,2399.2,2700.8,2872.8,3002.3,2940.6,3051.7,3164.8,3426.1,3617.1,3927.4,4029.7,4121.5605
Senegal,,,,0.7,1.4,1.8,2.1,1.4,1.4,1.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.7,1.6,1.6,1.62449
Serbia,,,,,,,,,,,,,,,,,8.8,5.3,7.1,9.9,15,22,24,24,22.1
Slovakia,,,,8.9,10,12,11,10,9.2,7.5,6.1,7,6.6,7.2,6,5.235315,7.1,5.1,4,4,4.1,4.6,5.8,4.9,3.7315
Slovenia,,,0.6,0.7,0.4,0.4,0.4,0.5,0.3,0.28,0.26,0.24,0.22,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.07063,0.07063,0.1,0.105945
"South Africa",,,1.4,64,69,69,65,63.8,56.7,54.7,64,80,87,87,84.3,83.3,102,54,64,37,34,45,,,
Spain,51,48,44.1,23.5,6.935315,15.2,16.2,6.4,4.1,5.3,5.7,18,18,7.6,12,5.9,2.6,0.6,0.6,0.5,1.8,1.8,2.2,2,0.84756
Sweden,,,,,,,,,,,,,,,,,,0.035315,,,,,,,
Switzerland,0.1,0.1,0.1,0.07063,0.035315,0.035315,0.035315,0.035315,0.035315,0.035315,0.035315,0.035315,0.035315,0.035315,0.035315,0.035315,0.035315,0.0677,0.1,0.1,0.2,0.3,0.3,0.5,0.7063
Syria,132,158,177,164,167,155,204,226,270,278,280,252,318.8,331.9,342.9,296.9,305.8,299.3,296.3,287.3,356.3,392.5,343.6,294.7,245.8
Taiwan,80,34,31,29,32,34,32,33,31,31,31,30,33,29,30,28,15,13,13,12,11,11,14,12,
Tajikistan,,,3.5,2.35,1.2,1.4,1,1.4,2.1,2.1,1.4,1.8,0.7,1.4,1.4,1.4,1.3,0.7,1.1,1.3,1.4,0.7,0.5,0.5,0.42378
Tanzania,,,,,,,,,,,,,,,4.6,14.3,18.2,19,20.3,24,28,31,,,
Thailand,230,285,285,343,376,401,468,571,616,677,713,716,762,834,860,925,935,998,1095,1174,1364,1416,1514.9,1613.8,1629.515555
"Trinidad and Tobago",294,298,263,303,342,360,392,413,412,500,577,614,678,949,1072,1174,1417,1476,1465,1515,1576,1507,1508,1585,1521.1
Tunisia,14,9.4,15.3,29,27,26,42,75,84,84,83,93.9,87.8,106,109,111,113,71.8,122.8,97,108,107.8,101.9034,96.0068,90.110215
Turkey,8,7.8,7.6,8.5,9.3,9.1,9.5,12.3,23.8,30.1,27.6,11.1,13.1,20.07063,24.035315,32.1,32.1,32.1,36.1,24.1,24.1,27.035315,22,19.07063,16.9476685
Turkmenistan,,,2020,2288,1257,1141,1307,901,466,788,1642,1702,1889,2087,2068,2225,2249.5,2432,2490,1347,1600,2379,2486.5,2594,2735
Ukraine,,,738,678,643,620,643,639,639,632,636,643,650,689,678,685,689,689,699,715,684,699,699,745,709.8315
"United Arab Emirates",1052,1162,1295,1292,1214,1443,1623,1698,1730,1776,1785,2084,2255,2306,2404,2410,2561,2649,2828,2679,2817,2912,2914,2960,2779
"United Kingdom",1754,2356,1964,2586,2777,2950,3471,3306,3444,3783,4123,4076,3981,3902,3690,3379,3049,2741,2656,2269,2171,1742,1497.8,1407.1,1407.1
"United States",20449,20640,20981,21425,22280,22448,22637,22650,22554,22235,22653,23084,22482,22745,22389,21870,21898,23072,23965,24311,24929,26476,27524,27925,29475
Uzbekistan,,,1511,1589,1667,1695,1695,1737,1935,1964,1992,2228,2038,2030,2125,2119,2226,2302,2387,2169,2123,2235,2222,2106,2180.3481
Venezuela,1475,1495,1500,1489,1569,1679,1926,2089,2166,2016,2136,2203,2189,1854,2027,1820,1872,2530,2542,2549,2510,2599,1831,2700,2269
Vietnam,1.4,2.5,7.4,36.8,36.8,34.9,40,17.6,39,49,56,60,95,113,124,169,247,241,279,283,330,301,332,335,338
Yemen,,,2.1,361.5,410.1,472,517,527,541,583,668,695,710,710,710,727,647,1030.8,534,1046,1153,1079,1007,1111,1066
