Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Philippines,5735,5852,6553,6436,6344,6434,6200,5962,5820,9088,8897,8674,8484,9153,9756,9643,11385
Poland,855,776,716,662,633,555,490,525,460,493,436,449,377,296,282,287,256
Portugal,116,105,119,149,144,135,155,185,124,130,124,114,122,144,92,100,66
"Puerto Rico",695,747,781,787,797,771,748,730,815,901,1017,1164,1004,902,700,619,679
Qatar,1,5,5,5,5,6,5,9,12,8,4,4,7,9,9,,
Reunion,,,,,23,25,19,24,18,15,,,,,,,
Romania,581,597,563,551,516,453,438,416,470,397,404,335,378,336,298,291,247
Russia,41090,42921,44252,41764,39256,35636,28844,25377,23738,21371,19969,18567,17165,15763,16260,16519,15561
Rwanda,,,,,,,319,268,144,217.5,291,273.5,256,359,428,293,
"Saint Helena",,,,,1,,,,,,,,,,,,
"Saint Kitts and Nevis",3,6,5,10,11,8,17,16,23,27,21,34,18,,,,
"Saint Lucia",23,34,42,36,37,41,43,29,39,39,44,46,39,33,34,,
"Saint Pierre and Miquelon",,,,,,,,,1,1,,,,,,,
"Saint Thomas and Principe",,,,,,,4,4,14,5,6,6,,,,,
"Saint Vincent and Grenadines",20,12,20,18,29,26,20,40,16,23,25,21,28,31,34,37,40
Samoa,,,,,,,,,,16,16,12.6667,9.3333,6,,,
"San Marino",,,1,,,,,,,,,,,,,,
"Saudi Arabia",173,229,285,250,301,297,255,265,290.875,316.75,342.625,368.5,394.375,420.25,446.125,472,
Scotland,106,116,125,109,137,95,120,115,99,82,100,93,63,62,62,58,64
Senegal,984,996.6,1009.2,1021.8,1034.4,1047,1057.4,1067.8,1078.2,1088.6,1099,1100.2,1101.4,1102.6,1103.8,1105,
Serbia,228,243,200,176,164,147,156,171,140,154,130,135,111,142,120,104,123
Seychelles,,,,,10,9.5,9,8,6,14,9,16,4,18,16,7,12
"Sierra Leone",,,,,112,99,101,134,184,158,163,187,113,116.6667,120.3333,124,
Singapore,37,30,22,24,21,21,17,18,27,20,19,16,11,17,14,14,18
Slovakia,129,118,121,137,108,93,82,82,86,78,82,88,63,71,69,44,57
Slovenia,36,28,36,21,27,20,12,24,10,13,15,16,14,12,17,20,10
"Solomon Islands",,,,,20,26,23,26,19,,,,,,,,
Somalia,490,495.4,500.8,506.2,511.6,517,540.8,564.6,588.4,612.2,636,628.6,621.2,613.8,606.4,599,
"South Africa",21758,21405,21553,19824,18793,18528,19106,18400,18084,16767,15893,15554,16213,17023,17805,18673,19016
"South Korea",,,,,,,,,,,,427,411,342,372,365,356
"South Sudan",,,,,,,,,,,,,1504,,,,
Spain,553,577,564,587,520,518,476,482,407,412,401,385,364,302,323,302,294
