Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Uganda,4,4,4,4,4,4,4,4,4,4,4,4,4
Ukraine,4,4,4,4,4,3.5,3,3,3,3.5,4,4.5,5
"United Arab Emirates",6,6,6,6.5,7,7,7,7,7,6.5,6,6.5,7
Uruguay,7,7,7,7.5,8,8.5,9,9,9,9,9,9,9
Uzbekistan,2,2,2,2,2,2,2,2,2,2,2,2,2
Venezuela,3,2.5,2,2,2,2,2,2,2,2,2,2,2
Vietnam,3,3,3,3.5,4,4,4,4,4,4,4,4,4
Yemen,2,2,2,2.5,3,3,3,3.5,4,4,4,3,2
Zambia,4,4,4,4,4,4,4,4,4,3.5,3,3,3
Zimbabwe,2,2.5,3,2,1,1,1,2,3,2.5,2,2,2
