Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,70.53,71.92,72.06,71.56,72.97,72.95,73.2,72.97,71.58,69.13,69.13,69.13
Colombia,54.05,58.5,69.79,73.3,73.86,74.78,70.1,71.36,72.34,62.83,62.83,62.83
Comoros,57.66,57.89,58.09,57.79,58.31,58.73,59.11,58.84,59.07,66.18,66.18,66.18
"Congo (Kinshasa)",17.88,16.6,16.6,16.6,18.1,22.27,26.98,28.61,30.39,1.26,1.26,1.26
"Congo (Brazzaville)",18.12,22.8,26.24,22.28,26.79,9.37,12.4,13.81,15.88,19.68,19.68,19.68
"Costa Rica",60.02,61.4,73.51,73.63,77.37,78.17,78.88,80.41,80.46,79.86,79.86,79.32
"Ivory Coast",42.06,42.75,43.45,42.75,44.36,44.81,45.1,45.79,45.99,50.39,54.15,54.15
Croatia,67.91,68.24,70.54,71.47,71.97,72.21,72.01,72.25,73.24,100,100,100
Cyprus,,,,83.67,83.95,83.95,83.72,83.89,84.01,88.44,88.44,88.44
"Czech Republic",80.09,80.07,80.1,77.9,77.52,77.69,77.57,78.28,78.35,100,100,100
Denmark,92.22,92.37,92.47,91.52,91.75,91.79,92.01,92.04,92.15,100,100,100
Djibouti,50.76,51,68.98,77.21,77.2,77.3,77.91,78.24,78.5,51.87,51.87,51.87
Dominica,67.14,67.05,71.9,73.41,73.59,73.45,72.88,73.41,73.49,74.26,74.26,74.26
"Dominican Republic",69.7,69.94,78.56,79.81,80.65,80.89,81.12,81.65,82.06,80.48,83.51,83.51
Ecuador,55.61,56.55,57.45,63.79,65.35,65.42,66.92,66.85,67.31,68.65,68.65,68.65
Egypt,48.33,54.1,63.11,64.75,65.83,69.45,70.07,70.65,71.15,51.01,51.01,42.23
"El Salvador",68.62,68.84,70.76,75.74,76.07,76.1,76.24,75.68,76.14,91.46,88.49,88.49
"Equatorial Guinea",45.18,52.6,54.79,53.88,56.95,52.42,56.48,59.11,60.05,32.05,32.05,32.05
Eritrea,6,8.1,11.53,15.73,19.73,25.67,27.66,29.49,30.99,,,
Estonia,91,91.4,91.92,92.08,92.38,92.46,92.47,92.33,92.51,99.92,99.92,99.92
Ethiopia,19.83,19.83,19.83,19.83,18,26.97,28.38,33.79,39.14,42.39,42.39,42.39
Fiji,65.11,65.45,67.29,66.84,67.06,68.03,68.39,68.69,67.87,77.57,77.57,77.57
Finland,89.43,89.45,89.48,88.75,88.55,88.61,88.62,89.01,89.02,92.44,92.44,92.44
France,60.77,81.34,81.54,89.77,90.01,90.07,89.82,89.94,90.08,100,100,100
Gabon,62.58,65.3,66.47,60.11,63.69,60.87,63.51,65.37,64.44,44.43,44.43,43.94
Gambia,69.39,69.73,70.6,70.3,73.62,74.13,74.95,75.03,75.26,65.27,65.27,65.27
Georgia,26.26,67.11,68.14,68.73,83.28,82.59,82.01,83.96,84.08,80.59,80.59,85.15
Germany,89.2,89.23,89.25,88.62,88.32,88.39,88.11,88.19,88.26,91.77,91.77,91.77
Ghana,30.24,46.46,60.48,59.88,61.97,63.88,65,64.85,65.51,43.75,43.75,52.32
Greece,76.67,76.9,77.08,76.67,77.04,77.21,77.3,79.31,80.3,93.72,93.72,93.72
Grenada,71,71.37,71.93,71.71,74.52,79.45,79.56,79.61,78.77,60.5,60.5,61.52
Guatemala,59.86,61.73,65.52,68.22,69.18,69.52,70.23,69.73,69.29,72.98,75.31,75.31
Guinea,41.32,47.14,52.94,52.33,54.08,54.3,56.55,58.38,59.72,46.24,46.24,46.24
"Guinea Bissau",64.55,65.08,65.34,63.32,64.99,65.38,67.22,67.79,67.64,52.86,52.86,52.86
Guyana,66.74,67.54,71.64,71,72.43,73.39,73.77,74.2,74.49,59.33,59.33,59.33
Haiti,32.24,35.97,43.81,48.38,53.78,54.13,55.04,55.73,56.35,76.08,76.08,76.69
Honduras,69.99,70.75,71.28,71.81,72.59,73.11,72.95,76.7,77.1,67.81,67.81,65.85
"Hong Kong",78.15,95.05,95.03,94.41,94.63,94.56,95.22,95.37,95.46,88.94,88.94,88.94
Hungary,74.21,74.42,74.7,74.35,74.96,75.23,75.41,76.14,76.33,100,100,100
Iceland,79.38,79.77,80.89,83.04,79.02,80.03,80.82,81.6,83.04,80.27,80.27,80.27
India,53.23,53.74,64.87,65.06,65.85,65.56,66.33,66.74,64.89,56.45,56.45,57.61
Indonesia,70.54,71.66,73.49,73.84,74.91,75.71,76.13,77.58,78.01,63.53,63.53,65.87
Iran,38.28,42.03,44.42,44.26,48.32,50,50.3,51.9,52.7,39.38,39.38,40.66
Iraq,8.26,8.26,8.26,8.26,13.96,9.87,14.57,19.92,20.64,23.51,23.51,23.51
Ireland,92.87,93.05,93.29,93.37,93.16,92.8,92.66,92.67,92.57,87.25,87.25,87.25
Israel,87.45,87.49,87.59,86.98,87.05,88.15,89.23,89.21,89.37,82.85,82.85,82.85
Italy,81.28,81.45,81.61,81.72,81.94,82.03,82.06,82.86,83.34,100,100,100
Jamaica,53.93,57.91,59.72,61.45,63.68,65.26,66.59,66.76,67.47,59.61,59.61,60.7
Japan,87.47,87.39,87.33,87.27,87.19,87.05,86.92,86.8,87.26,86.43,86.43,86.43
Jordan,59.99,71.01,72,71.11,74.29,75.23,77.07,77.56,78.2,86.06,86.06,86.39
Kazakhstan,2.56,2.56,2.56,2.56,5.82,11.49,15.09,8.1,8.17,60.39,60.39,63.19
Kenya,21.21,41.33,43.08,45.69,49.33,51.66,52.02,52.05,53.67,65.83,65.83,66.38
Kiribati,68.91,68.93,71.53,74.79,75.15,75.25,74.99,74.94,74.85,62.08,62.08,62.08
"South Korea",78.6,78.64,84.97,86.56,92.51,92.64,93.78,93.9,93.92,92.52,92.52,92.52
Kosovo,,,,,60.87,61.15,61.61,66.71,67,82.31,82.31,85.93
Kuwait,60.68,63.17,64.72,63.84,66.26,64.31,65.61,67.37,68.03,48.9,48.9,50.57
Kyrgyzstan,,0.45,1.94,7.405,12.87,13.92,15.06,12.59,12.68,72.25,72.25,74.91
Laos,18.43,19.84,39.66,40.24,41.65,41.86,45.75,49.25,52.04,62.98,62.98,62.98
Latvia,79.35,80.21,81.38,81.76,82.37,83.62,83.57,83.86,85.29,95.26,95.26,95.26
Lebanon,63.33,63.28,68.5,68.52,69.95,70.44,71.95,71.87,72.3,59.71,59.71,59.71
Lesotho,44.48,45.31,46.12,43.4,45.16,53.78,53.95,57.26,58.45,91.6,91.6,91.6
Liberia,,47.47,47.93,47.27,49.89,53.1,54.73,55.69,56.06,17.75,17.75,17.64
Libya,,,,,,,,59.99,61.51,64.66,64.66,64.66
Lithuania,83.11,83.65,84.15,84.54,85.17,85.21,85.98,86.76,87.12,97.7,97.7,97.7
Luxembourg,,81.94,82.64,81.66,81.7,81.79,82.54,82.95,83.23,100,100,100
"Macedonia (F.Y.R.O.M.)",67.71,68.06,68.37,71.93,73.44,73.86,74.12,74.43,74.43,93.87,93.87,93.87
Madagascar,32.61,35.5,53.84,60.32,62.53,65.07,66.1,66.79,68.17,58.24,59.42,60.95
Malawi,11.48,11.48,15.26,17.2,23.22,25.4,30.74,30.2,33.91,63.32,63.32,63.32
Malaysia,88.58,88.88,89.01,88.86,89.18,88.99,89.17,90.66,90.43,82.38,82.38,82.38
Maldives,61.86,61.99,63.14,62.55,63.6,62.52,62.57,63.39,63.38,55.87,55.87,55.87
Mali,29.21,29.72,30.79,36.66,44.5,47.97,48.79,49.7,46.11,69.04,70.79,70.79
Malta,,,,,,,81.33,81.32,81.44,91.01,91.01,91.01
"Marshall Islands",74.86,75.01,75.16,75.24,76.73,76.77,76.87,77.04,77.25,80.59,80.59,80.59
Mauritania,47.76,51.46,53.52,52.82,51.48,50.03,53.95,55.3,55.98,51.85,57.81,58.82
Mauritius,82.43,82.71,84.1,84.54,86.37,86.98,87.07,87.55,87.6,78.67,78.67,78.67
Mexico,75.53,76.29,77.13,75.88,76.7,79.66,80.4,80.98,81.29,82.09,82.09,82.09
Micronesia,65.44,65.67,67.7,67.97,68.04,68.44,68.7,68.95,69.28,84,84,84
Moldova,42.87,44.75,47.14,46.67,48.26,48.62,52.05,53,53.87,92.39,92.39,92.32
Mongolia,13.23,13.23,18.02,18.8,25.74,26.18,29.07,27.08,27.84,66.89,66.89,66.89
Montenegro,,74.91,75.56,75.37,75.9,79.2,79.35,79.22,79.35,88.75,88.75,88.75
Morocco,70.5,70.62,77.87,80.39,80.97,81.05,82.2,82.16,81.99,79.74,79.97,81.12
Mozambique,53.96,55.07,56.44,57.69,60.22,60.68,61.47,62.23,64.18,66.31,66.31,66.31
"Burma (Myanmar)",,,,,,,,63.09,63.22,55.05,55.05,47.4
Namibia,61.68,62.35,63.38,62.99,64.37,64.77,64.34,65.01,66.12,61.47,61.47,61.47
Nepal,29.41,30.78,32.32,32.51,34.02,34.55,37.1,37.95,36.07,79.32,79.32,79.75
Netherlands,87.01,87.18,87.3,87.32,87.7,87.71,87.66,89.01,89.1,100,100,100
"New Zealand",84.84,84.97,85.17,84.68,84.85,85.06,85.32,85.42,85.25,84.55,84.55,84.55
Nicaragua,54,60.23,61.27,63.7,65.08,69.58,71.5,74.35,75.11,80.55,80.55,78.99
Niger,21.3,22.94,23.03,19.89,21.8,23.3,23.91,24.45,19.04,60.48,55.74,60.48
Nigeria,18.55,36.19,39.3,38.22,38.9,38.88,49.49,49.76,50.12,19.93,19.93,19.93
Norway,87.58,88.07,88.51,85.25,86.07,85.64,86.11,85.39,85.59,96.97,96.97,96.97
Oman,72.87,74.06,74.72,73.39,74.83,76.6,77.29,77.97,78.27,76.39,79.35,80.17
Pakistan,52.88,64.23,65.83,65.75,66.77,68.43,68.71,69.71,68,38.11,38.11,39.41
Palau,62.9,63.28,67.11,67.53,67.81,68.86,68.85,68.93,69.03,46.22,46.22,46.22
Panama,91.84,91.93,92.02,91.75,92.01,91.82,91.61,91.91,92.09,85.47,85.47,85.47
"Papua New Guinea",61.19,62.64,63.45,63.01,63.64,63.28,63.99,62.84,63.06,44.64,44.64,44.64
Paraguay,51.04,52.42,53.21,52.17,53.75,54.01,54.75,55.83,55.78,60.37,60.37,64.03
Peru,72.73,72.87,73.32,72.5,73.24,78.41,78.78,78.98,78.71,71.36,71.45,71.45
Philippines,72.61,73.01,73.34,74.28,74.73,77.94,78.14,78.71,78.79,69.39,69.39,69.39
Poland,80.26,80.44,80.54,80.41,80.61,80.85,80.45,80.6,81.05,100,100,100
Portugal,82.64,84.43,84.58,84.31,84.67,84.72,84.75,86.61,85.1,100,100,100
"Puerto Rico",71.98,72.68,73.23,73.41,74.03,74.47,74.32,74.34,74.53,81.86,81.86,81.86
Qatar,,,73.02,73.85,75.2,73.3,73.17,76.67,77.02,60.13,61.41,61.41
Romania,46.01,74.39,75.51,75.42,76.91,77.35,75.91,76.33,76.86,100,100,100
Russia,31.7,36.86,41.32,38.28,42.14,38.78,45.43,46.57,53.03,57.96,57.96,57.96
Rwanda,1.87,4.3,22.09,30.32,38.04,44.45,47.87,49.42,51.84,74.02,59.89,71.19
"Saint Thomas and Principe",56.77,58.41,60.95,63.14,65.07,65.93,67.22,67.84,68.32,62.43,62.78,62.78
Samoa,70.31,70.37,73.58,74.24,74.44,74.56,74.61,74.69,74.75,57.81,57.81,57.81
"San Marino",,,,,,,,78.27,78.27,97.48,97.48,97.48
"Saudi Arabia",70.26,71.37,75.24,78.57,77.84,77.17,78.11,78.09,74.06,49.62,49.62,49.62
Senegal,50,50.29,50.73,70.76,73.52,73.35,74.15,74.59,74.78,60.85,60.85,60.85
Serbia,48.18,65.89,67.8,67.79,69.5,70.26,70.52,71.24,72.48,96.64,96.64,96.64
Seychelles,72.62,72.68,72.86,74.18,77.06,79.11,79.45,79.79,81.73,71.54,71.54,71.79
"Sierra Leone",47.86,50.59,52.42,52.98,54.98,56.17,60.15,62.42,62.37,42.07,42.07,42.07
Singapore,96.73,96.79,96.84,96.65,96.62,96.69,96.7,96.72,96.76,89.3,89.3,89.3
Slovakia,75.13,75.31,75.53,72.72,73.69,76.07,75.91,76.08,76.6,100,100,100
Slovenia,73.47,73.6,73.75,73.28,73.6,77.7,79.22,79.23,79.24,100,100,100
"Solomon Islands",65.48,66.16,69.96,71.74,71.81,71.65,72.04,73.32,73.77,53.45,53.45,53.45
Somalia,,,,,,,,,,,51.6,51.6
"South Africa",58.58,59.27,60.05,56.73,57.08,58.22,60,70.42,71.18,58.01,58.01,58.01
"South Sudan",,,,,,,,5.7,5.7,26.19,26.19,26.19
Spain,83.74,84.09,84.4,83.82,83.35,84.64,84.64,84.77,84.77,100,100,100
"Sri Lanka",63.96,64.75,70.13,70.44,71.42,72.02,72.4,73.01,73.96,70.7,70.7,70.7
"Saint Kitts and Nevis",74.43,74.23,75.41,76.87,77.39,77.39,78.05,76.71,76.99,79.26,79.26,79.26
"Saint Lucia",57.35,58.44,63.01,65.46,65.65,64.89,65.17,65.7,63.41,73.24,73.24,73.87
"Saint Vincent and Grenadines",75.9,76.19,78.43,80.85,80.89,80.78,81,80.94,81.02,71.08,71.08,71.08
Sudan,17.66,17.66,26.1,28.83,30.68,30.68,30.68,33.32,42.66,19.16,19.16,19.16
Suriname,60.55,62.78,67.28,67.12,68.51,68.71,68.92,68.85,69.68,72.04,78.03,75.02
Swaziland,49.68,50.26,53.64,50.26,52.91,59.97,58.65,62.46,64.36,92.68,92.68,92.68
Sweden,93.3,93.34,93.43,92.63,92.79,92.89,92.93,92.97,93.01,98.04,98.04,98.04
Switzerland,87.15,87.18,87.38,85.95,86.13,86.08,86.12,86.82,86.11,91.79,91.79,91.79
Syria,55.4,58.39,59.6,63.78,65.29,65.02,65.67,65.67,59.26,29.83,29.83,29.83
Taiwan,83.1,83.04,82.99,82.87,82.96,83.35,83.17,84.27,84.32,80.11,80.11,80.11
Tajikistan,2.83,2.83,2.83,2.83,2.83,4.17,4.11,3.85,3.85,43.59,57.05,57.05
Tanzania,40.08,51.64,52.48,52.97,54.38,55.33,61.63,59.94,60.65,18.44,20.21,20.21
Thailand,57.44,57.79,72.27,82.53,82.73,82.83,83.16,83.5,83.5,84.1,84.1,84.1
"Timor Leste",67.21,67.1,70.85,70.98,71.31,71.51,71.63,71.89,72.29,69.9,69.9,69.9
Togo,54.69,67.02,66.95,66.56,67.72,68.15,68.24,68.65,68.27,57.17,60.4,63.66
Tonga,71.57,71.95,75.31,75.51,76.04,75.96,75.08,75.46,75.54,68.2,68.2,68.2
"Trinidad and Tobago",69.24,70.54,70.63,70.76,72.16,71.49,71.93,75.47,75.3,63.48,63.48,62.6
Tunisia,77.16,77.4,80.11,78.91,80.28,81.52,81.74,81.91,82.17,64.57,70.5,70.5
Turkey,56.65,57.33,69.9,69.84,71.29,71.75,72.22,72.3,72.83,79.71,79.71,79.71
Uganda,17.36,16.92,29.47,29.03,31.09,38.33,39.98,39.13,45.67,57.78,57.78,58.9
Ukraine,29.65,36.34,40.13,43.12,48.29,50.38,48.8,51,53.44,65.24,65.15,64.26
"United Arab Emirates",84.02,84.88,85.44,84.69,90.42,91.02,90.67,91.53,91.59,71.5,71.5,71.5
"United Kingdom",84.82,84.99,85.24,84.78,85.68,87.78,88,88.16,88.24,93.76,93.76,93.76
"United States",88.34,88.6,88.83,88.64,88.34,88.4,88.5,88.5,88.34,92.01,92.01,92.01
Uruguay,65.67,65.75,66.48,67.84,68.72,69.24,70.42,71.75,73.08,55.98,55.98,55.98
Uzbekistan,,,,,,,,1.28,1.28,44.31,44.31,44.31
Vanuatu,57.57,57.65,59.29,64.37,65.01,64.71,67.9,68.12,68.25,53.05,56.27,56.27
Venezuela,23.57,25.03,16.64,14.98,14.98,14.98,14.98,18.26,13.52,7.93,7.93,7.93
Vietnam,68.79,69.56,70.23,70.3,72.62,73.01,73.44,74.92,75.37,65.61,65.61,69.92
"West Bank and Gaza",64.78,64.92,65.36,63.14,64.32,63,64.15,65.14,64.59,68.21,68.21,68.21
Yemen,50.32,53.45,55.48,59.02,62.65,61.71,63.02,63.83,63.91,,,
Zambia,17.33,18.23,21.19,18.6,22.3,20.38,20.38,20.38,21.77,63.49,46.99,46.99
Zimbabwe,29.03,30.14,29.7,18.43,15.45,19.64,22.67,25.76,24.35,66.83,66.83,55.65
