Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Saint Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
"Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,52.65,50.9,49.15,47.4,46.62,45.84,45.06,44.28,43.5,42.62,41.74,40.86,39.98,39.1,38.475,37.85,37.225,36.6,
Morocco,,,,,,,,,,,,,,,,,,32.2,32,31.8,31.6,31.4,31.2,31.14,31.08,31.02,30.96,30.9,29.8167,28.7333,27.65,26.5667,25.4833,24.4,23.3375,22.275,21.2125,20.15,19.0875,18.025,16.9625,15.9,16.15,16.4,16.65,16.9,17.15,17.4,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,9.8286,9.1571,8.4857,7.8143,7.1429,6.4714,5.8,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,63.7,62.9167,62.1333,61.35,60.5667,59.7833,59,58.2167,57.4333,56.65,55.8667,55.0833,54.3,53.74,53.18,52.62,52.06,51.5,51.5,51.5,51.5,50.35,49.2,48.05,46.9,45.75,44.6,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,22.0375,21.175,20.3125,19.45,18.5875,17.725,16.8625,16,15.8667,15.7333,15.6,15.4667,15.3333,15.2,14.4667,13.7333,13,10.7,,,
"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,12.0167,10.7333,9.45,8.1667,6.8833,5.6,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,43.02,42.24,41.46,40.68,39.9,37.4,34.9,32.4,29.9,30.5,31.1,31.7,32.3,32.9,31.2667,29.6333,28,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42.4667,42.9333,43.4,42.4538,41.5077,40.5615,39.6154,38.6692,37.7231,36.7769,35.8308,34.8846,33.9385,32.9923,32.0462,31.1,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.6375,8.875,9.1125,9.35,9.5875,9.825,10.0625,10.3,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,30.96,30.52,30.08,29.64,29.2,26.64,24.08,21.52,18.96,16.4,14.6333,12.8667,11.1,10.4,9.7,9,9.95,10.9,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,51.9,49.4,48.86,48.32,47.78,47.24,46.7,46.1667,45.6333,45.1,45.525,45.95,46.375,46.8,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,56.6,54.82,53.04,51.26,49.48,47.7,45.92,44.14,42.36,40.58,38.8,37.9714,37.1429,36.3143,35.4857,34.6571,33.8286,33,26.4,28,29.6,31.2,25.4,26.8,28.2,29.6,28.2333,26.8667,25.5,
Malawi,,,,,,,,,,,,,,,,,,,,,,,57.8,58.9667,60.1333,61.3,62.4667,63.6333,64.8,60.75,56.7,59,61.3,58.2,55.1,55.2,55.3,54.3,53.3,52.3,51.3,49.9,48.5,47.1,45.7,39.3,41.5,41.45,41.4,
Namibia,,,,,,,,,,,,,,,,,,,,,,,39.3,38.15,37,35.85,34.7,33.55,32.4,31.25,30.1,30.3143,30.5286,30.7429,30.9571,31.1714,31.3857,31.6,30.5167,29.4333,28.35,27.2667,26.1833,25.1,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,47.5,48.5125,49.525,50.5375,51.55,52.5625,53.575,54.5875,55.6,55.8167,56.0333,56.25,56.4667,56.6833,56.9,54.5,52.1,49.7,47.3,44.9,42.5,44.4,44.6,43.7,42.8,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,49.7,49.3923,49.0846,48.7769,48.4692,48.1615,47.8538,47.5462,47.2385,46.9308,46.6231,46.3154,46.0077,45.7,44.5,43.3,42.1,40.9,42.7,40.7333,38.7667,36.8,37.45,38.1,35.4,35.6,45.7,42.55,39.4,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,31.2,31.4,31.6,31.8,32,32.2,30.4,28.6,26.8,26.28,25.76,25.24,24.72,24.2,23.2,22.2,21.2,20.2,19.2,18.2,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,55.18,53.66,52.14,50.62,49.1,47.56,46.02,44.48,42.94,41.4,39.7,38,36.3,36.25,36.2,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,42.6083,43.1167,43.625,44.1333,44.6417,45.15,45.6583,46.1667,46.675,47.1833,47.6917,48.2,46.2,44.2,42.2,40.2,38.2,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,19.7,20.8,21.9,23,24.1,25.2,24.06,22.92,21.78,20.64,19.5,,,,,,,,,,,
