Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"Cape Verde",27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
"Central African Republic",3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.82,3.9,3.83,3.76,3.69,3.61,3.54,3.47,3.4,3.33,3.26,3.26
Chad,2.31,2.35,2.41,2.45,2.5,2.55,2.6,2.6,2.6,2.6,2.6,2.7,2.81,2.91,3.01,3.12,3.12,3.12,3.12,3.12,3.12
Chile,10.53,10.53,10.55,10.55,10.55,10.45,10.46,10.46,10.47,10.5,10.56,10.58,10.61,10.64,10.67,10.67,10.67,10.65,10.64,10.37,10.28
China,34.86,34.86,34.86,34.86,34.86,34.86,34.86,34.86,34.86,34.86,34.86,34.86,34.87,34.87,34.87,34.87,36.03,37.35,38.88,40.24,41.77
Colombia,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.33,14.38,14.39,14.39,14.38,14.38,11.34,11.34
Comoros,48.36,48.36,48.36,48.36,48.36,48.36,48.36,47.82,47.29,47.29,47.29,47.29,47.29,47.29,47.29,47.29,47.29,47.29,47.29,47.29,47.29
"Congo (Brazzaville)",3.74,3.73,3.73,3.73,3.73,3.74,3.74,3.74,3.74,3.74,3.74,4.07,4.4,4.73,5.06,5.01,4.97,4.97,4.97,4.97,4.97
"Congo (Kinshasa)",6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.66,6.62,6.58,6.55,6.55,6.55,6.55,6.55,6.55,6.55
"Costa Rica",69.58,69.54,69.59,69.55,69.63,69.67,69.66,69.66,72.94,70.21,70.24,69.66,69.09,66.31,69.14,69.78,70.42,71.73,74.46,76.4,76.36
"Ivory Coast",24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81,25.02,25.22,25.43,25.43,25.43,25.43
Croatia,48.19,48.19,48.19,48.19,48.19,48.19,48.13,49.18,49.24,49.54,49.74,49.94,50.13,50.56,50.31,50.31,50.87,51.31,51.68,51.85,51.83
Cyprus,97.76,99.74,100.64,103.38,106.11,108.84,112.59,115.18,116.97,119.02,120.44,122.89,125.33,127.14,130.38,131.31,132.76,132.39,133.2,133.84,134.95
"Czech Republic",161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.92,161.9,161.88,161.88,162.83,162.85,165.47,165.48,165.55,165.64,165.68
Denmark,164.59,164.87,164.86,165.03,165.36,165.36,165.52,165.55,165.79,165.83,166.14,166.44,166.74,166.74,167.27,167.69,167.93,168.05,169.87,170.18,171.86
Djibouti,12.41,12.41,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21
Dominica,104,104,104,104,104,104,104,104,104,104,104,116.83,129.66,142.49,155.32,168.15,180.98,193.81,206.64,219.47,201.6
"Dominican Republic",22.81,23.42,23.83,24.24,24.66,25.27,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89
Ecuador,15.19,14.74,15.19,15.21,15.23,15.2,15.25,15.23,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.94,17.03,17.03,17.03,17.03,17.03
Egypt,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.87,9.95,10.21,10.48,10.03,13.72
"El Salvador",58.24,58.24,58.23,46.8,47.09,47.22,47.42,47.67,47.67,47.67,47.67,46.01,44.36,42.71,41.05,39.4,37.75,36.09,34.44,32.79,32.88
"Equatorial Guinea",9.09,9.3,9.48,9.66,9.84,10.05,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27,10.27
Eritrea,3.03,3.09,3.15,3.21,3.27,3.34,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41
Estonia,109.4,109.4,109.4,109.4,109.4,109.4,109.4,109.4,109.4,111.51,113.67,118.68,123.69,125.69,125.67,126.06,126.08,127.27,129.12,129.08,129.14
Ethiopia,2.53,2.53,2.54,2.55,2.56,2.12,2.16,2.16,2.36,2.59,2.68,2.85,3.02,3.07,3.3,3.84,3.64,4.02,4.02,4.02,4.02
Fiji,16.69,17.02,17.41,17.73,18.06,18.45,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83
Finland,22.6,22.66,22.7,22.92,22.96,22.98,23,23.01,23.04,23.04,23.19,23.15,23.11,23.12,23.11,23.31,23.32,23.31,23.3,23.32,23.1
France,161.26,162.19,162.28,162.35,162.51,162.55,162.51,162.58,162.66,162.69,162.79,162.54,162.3,172.98,173.2,173.16,173.21,173.19,187.77,189.6,187.27
Gabon,2.83,2.81,2.81,2.81,2.84,2.85,2.88,3.02,3.18,3.11,3.16,3.23,3.29,3.36,3.43,3.43,3.43,3.43,3.43,3.43,3.43
Gambia,21.12,21.68,22.12,22.48,23.01,23.36,23.89,23.89,23.89,23.89,23.89,26.97,30.04,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12
Georgia,30.99,30.99,31.06,31.04,30.26,30.09,29.12,28.87,29,29,29.21,29.12,29.02,29.05,29.05,29.11,29.17,29.17,27.93,26.7,27.42
Germany,169.89,178.25,179.23,179.33,171.32,179.78,183.76,183.76,183.29,182.83,182.37,181.9,181.43,180.97,180.5,180.48,180.44,180.39,180.34,180.32,180.27
Ghana,15.99,15.37,15.51,15.59,15.68,15.76,15.85,16.07,16.3,16.52,16.52,17.69,18.86,20.03,22.77,24.15,32.98,41.82,50.65,45.91,45.91
Greece,87.96,87.91,88.02,88.66,88.66,88.66,88.66,88.66,88.66,88.26,88.26,87.87,87.48,87.1,87.1,89.07,88.38,88.38,88.44,88.61,88.63
Grenada,294.12,294.12,294.12,294.12,294.12,300,305.88,305.88,305.88,331.47,331.47,331.47,331.47,331.47,331.47,331.47,331.47,331.47,331.47,331.47,331.47
Guatemala,10.65,10.93,11.05,11.3,11.57,11.46,12.16,12.4,12.72,12.94,12.94,13.01,13.07,13.13,13.19,13.26,13.95,14.08,12.12,10.17,10.56
Guinea,12.05,12.1,12.16,12.2,12.28,12.32,12.41,12.41,12.41,12.41,12.41,14.28,16.16,18.04,18.04,18.04,18.04,18.04,18.04,18.04,18.04
"Guinea Bissau",11.35,11.49,11.62,11.76,11.9,12.04,12.18,12.18,12.18,11.52,10.87,10.22,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56
Guyana,3.3,3.36,3.43,3.5,3.57,3.64,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71
Haiti,13.32,13.58,13.86,14.13,14.41,14.7,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
Honduras,10.11,10.4,12.63,12.89,13.16,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09
Hungary,113.7,113.87,170.6,170.45,170.52,170.52,170.52,170.58,170.65,170.64,170.68,171.1,171.52,171.52,171.54,171.56,207.44,210.38,212.33,212.32,214.52
Iceland,11.05,10.96,11.04,10.95,11.17,12.02,11.98,12.32,12.32,12.31,12.58,12.59,12.6,12.61,12.59,12.65,12.66,12.67,12.5,12.51,12.49
India,60.84,71.5,61.49,64.32,65.18,66.11,72.01,75.01,74.76,100.29,100.88,101.9,102.92,106.55,110.17,119.54,121.8,125.96,125.02,125.02,125.02
Indonesia,15.16,16.48,16.79,18.11,18.74,17.18,17.66,17.93,18.66,17.99,18.69,19.02,19.34,19.45,19.56,20.53,20.68,20.81,22.98,25.01,25.01
Iran,7.51,7.62,8.01,8.48,8.71,8.97,9.4,9.5,9.58,9.74,9.89,10.05,10.21,10.28,10.07,9.86,9.99,10.18,10.37,11.04,11.4
Iraq,9.6,9.81,9.99,10.2,10.4,10.61,10.81,10.6,10.39,10.39,10.39,10.09,9.79,9.49,9.19,9.23,9.3,9.35,9.35,9.48,9.58
Ireland,131.34,131.37,131.37,131.4,131.62,131.62,131.62,131.62,136.18,136.16,136.16,136.19,136.22,137.45,137.39,137.32,137.26,137.19,137.2,137.2,137.2
Israel,59.81,60.76,61.73,63.11,65.21,66.84,68.64,70.61,72.39,73.04,74.53,75.72,76.9,78.17,79.05,79.7,80.29,80.98,82.03,83,83.69
Italy,158.72,158.72,158.72,158.72,158.72,158.72,158.72,158.72,159.14,159.18,159.18,159.74,160.29,160.84,161.34,161.84,161.84,161.84,161.84,161.84,161.84
Jamaica,153.78,156.51,159.24,162.88,165.61,169.24,172.88,171.52,170.15,170.15,170.15,177.05,183.96,190.86,191.05,191.05,200.69,201.28,201.28,201.28,201.28
Japan,66.06,67.35,68.49,69.96,71.36,72.76,74.08,75.33,76.68,77.86,78.94,80.23,81.63,82.77,83.97,85.03,85.91,86.72,87.6,88.26,89.05
Jordan,8.29,8.14,8,7.86,7.72,7.6,7.74,7.91,8.03,8.11,8.16,8.19,8.22,8.29,8.45,8.56,8.67,8.75,8.8,8.82,7.95
Kazakhstan,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.27,3.3,3.33,3.36,3.42,3.44,3.55,3.52
Kenya,10.56,10.78,10.87,10.92,10.91,10.97,11.02,11.02,11.02,11.02,11.02,10.99,10.96,10.93,10.9,10.91,10.93,10.94,10.95,10.67,10.67
Kiribati,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72,82.72
Kuwait,22.17,22.62,23.06,23.51,23.96,24.47,24.97,24.97,24.97,24.97,24.97,27,29.03,31.07,32.26,32.51,33.44,34.24,35.59,36.61,37.08
Kyrgyzstan,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Laos,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.18,13.74,14.3,14.89,15.55,14.78,16.71,16.71
Latvia,109.92,109.92,109.91,109.91,109.91,109.91,109.91,109.91,109.91,109.91,109.91,109.91,109.91,108.3,107.7,108.16,107.92,107.94,107.94,107.77,106.87
Lebanon,60.96,60.96,60.96,60.96,60.96,60.85,60.77,63.8,66.83,69.86,69.33,68.8,68.28,67.75,67.22,66.7,66.7,66.7,66.7,66.7,66.7
Lesotho,16.77,17.03,17.27,17.54,17.54,16.32,16.32,17.66,18.93,19.57,19.57,19.57,19.57,19.57,19.57,19.57,19.57,19.57,19.57,19.57,19.57
Liberia,8.37,8.54,8.71,8.88,9.07,9.25,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52
Libya,4.21,4.29,4.37,4.46,4.55,4.64,4.66,4.68,4.71,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73
Lithuania,74.63,75.24,80.87,86.82,92.78,95.73,101.4,106.04,110.96,112.79,115.65,116.9,118.14,120.82,121.49,122.49,122.49,123.61,124.09,124.55,125.77
Luxembourg,196.56,196.8,197.22,197.41,198.22,198.3,199.27,199.65,199.46,200.35,201.16,201.04,200.93,201.74,201.81,186.71,171.61,156.51,141.4,126.3,111.2
"Macedonia (F.Y.R.O.M.)",32.52,32.68,32.7,32.73,32.76,33.19,33.78,33.78,33.78,33.78,39.61,45.44,51.27,50.72,51.05,51.65,53.43,53.83,54.15,54.22,54.2
Madagascar,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.25,8.02,7.79,7.55,7.32,7.09,6.85,6.62,6.38,6.38
Malawi,8.61,11.66,11.94,11.95,11.99,12.32,12.32,13.89,13.74,13.6,13.46,13.32,13.18,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04
Malaysia,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,29.84,31.65,33.46,35.27,37.08,40.88,43.65
Maldives,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33,29.33
Mali,1.08,1.1,1.13,1.15,1.17,1.19,1.22,1.22,1.22,1.22,1.22,1.29,1.36,1.44,1.51,1.52,1.6,1.67,1.74,1.81,1.81
Malta,625,625,625,625,625,625,625,625,625,658.28,691.56,692.97,694.38,704.38,704.38,695.94,831.72,967.5,967.63,967.5,967.5
Mauritania,0.71,0.71,0.72,0.73,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.79,0.81,0.84,0.89,1.07,1.07,1.05,1.02,1.03
Mauritius,88.28,89.75,95.59,94.61,92.99,93.09,93.38,93.38,93.63,93.63,94.41,96.23,98.04,98.77,98.77,99.02,99.07,99.41,99.41,101.27,101.27
Mexico,12.18,12.33,12.41,12.38,15.45,15.68,15.9,16.49,16.24,16.78,16.78,16.97,17.17,17.77,17.92,18.11,18.17,18.33,18.64,18.67,18.93
Micronesia,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29,34.29
Moldova,41.17,41.65,42.97,36.37,36.38,36.84,37.15,37.37,37.39,37.4,37.5,37.54,37.59,37.62,37.62,37.63,37.93,37.68,37.75,37.75,37.92
Monaco,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2725,2950,3175,3400,3625,3850,3850,3850,3850,3850
Mongolia,2.71,2.71,2.71,2.71,3.15,3.15,3.15,3.15,3.15,3.14,3.15,3.15,3.15,2.74,2.34,1.93,1.53,1.12,0.72,0.72,0.72
Montenegro,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.35,53.6,53.61,55.21,56.21
Morocco,13.33,13.33,13.33,13.4,13.55,13.56,13.59,12.93,12.95,12.81,12.9,12.91,12.92,12.93,12.87,12.9,12.9,12.94,12.96,13.04,13.08
Mozambique,3.38,3.45,3.53,3.59,3.65,3.74,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.79,3.79,3.79
Namibia,7.92,7.91,7.92,7.59,7.69,7.67,7.86,7.62,7.68,8.02,8.06,7.74,7.41,7.08,6.75,6.42,6.09,5.76,5.44,5.11,5.35
Nepal,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,9.69,10.4,10.81,11.74,11.84,12.08,13.01,13.5,13.5,13.5
Netherlands,251.84,252.42,252.42,284.37,288.95,293.76,298.82,300.57,302.37,280.52,280.52,288.23,295.93,303.64,313.41,323.11,324.86,326.12,327.72,329.39,330.64
"New Caledonia",30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26
"New Zealand",34.62,34.81,34.87,34.48,34.63,34.32,34.31,34.35,34.42,34.39,34.39,34.47,34.56,34.71,34.79,34.91,34.97,35.02,35.08,35.23,35.22
Nicaragua,11.74,11.73,11.73,11.74,11.73,13.15,13.82,14.15,14.5,14.53,14.6,14.48,14.35,14.31,14.32,14.75,15.17,15.6,16.45,16.86,16.96
Niger,0.92,0.95,0.95,1.09,0.76,0.78,0.8,0.8,0.8,0.8,0.92,1.04,1.16,1.19,1.45,1.45,1.46,1.5,1.5,1.5,1.52
Nigeria,13.21,14.83,15.91,17.75,18.54,20.91,20.91,21.04,21.04,21.02,21,20.98,20.96,20.94,20.91,20.91,20.91,20.91,20.91,20.91,20.91
"North Korea",23.06,23.48,23.98,24.47,24.89,25.39,25.88,25.88,25.88,25.88,25.88,25.1,24.32,23.54,22.76,21.98,21.2,21.2,21.2,21.2,21.2
Norway,27.46,27.53,27.71,27.95,27.85,27.88,28.2,28.16,28.02,28.07,28.24,28.31,28.37,28.39,28.53,28.68,28.7,28.7,28.8,28.99,28.88
Oman,7.64,7.79,8.47,8.64,9.64,9.85,10.6,10.6,10.6,10.6,10.6,11.07,11.55,12.03,12.58,12.99,13.45,15.79,17.26,18.21,18.21
Pakistan,21.25,22.28,23.92,24.76,25.56,26.91,28.25,29.71,27.01,28.25,30.07,30.7,31.33,31.96,32.45,32.43,32.71,32.56,32.45,32.9,32.94
"West Bank and Gaza",65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.96,65.97,82.14,82.99,82.99,85.5,87.94,90.38,92.83,77.85
Panama,13.01,13.2,13.4,13.45,13.66,14.29,14.96,14.98,15.09,15.12,15.44,15.59,15.74,15.89,15.89,15.89,17.72,18.17,18.2,18.53,20.07
"Papua New Guinea",4,4.04,4.08,4.13,4.15,4.19,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23
Paraguay,6.44,6.56,6.71,6.83,6.96,7.11,7.25,7.25,7.25,7.25,7.25,7.23,7.2,7.18,7.15,7.09,6.96,7.69,7.75,7.8,7.88
Peru,5.03,5.14,5.24,5.34,5.44,5.71,5.74,5.89,6.08,6.08,6.09,6.1,6.12,6.12,6.13,6.11,6.19,6.25,6.36,9.71,9.73
Philippines,53.52,53.57,53.61,53.63,53.65,53.66,53.75,53.77,66.65,66.68,67.24,67.3,67.37,66.68,66.68,66.68,66.68,66.68,66.68,66.68,66.68
Poland,116.13,116.85,117.37,117.8,118.49,119.12,119.92,120.58,121.86,121.86,116.62,117.91,119.21,135.6,121.27,121.99,122.37,122.51,122.59,122.84,129.88
Portugal,71.1,72.29,73.51,74.79,73.29,74.61,74.61,74.61,74.61,74.61,74.61,76.71,78.81,86.2,85.18,69.74,54.26,38.79,23.32,23.45,23.79
"Puerto Rico",269.82,269.82,269.82,269.82,269.82,269.82,269.82,269.82,269.82,269.82,269.82,274.64,279.47,284.3,289.12,292.03,294.94,297.85,300.76,302.55,302.77
Qatar,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,73.34,79.59,85.84,84.67
Romania,64.19,64.19,64.19,64.19,64.24,64.25,81.02,81.02,81.06,81.14,83.31,83.34,83.37,83.33,83.4,33.52,33.54,33.93,34.27,34.28,34.7
Russia,5.17,5.22,5.21,5.2,5.19,5.18,5.17,5.16,5.15,5.14,5.13,5.12,5.11,5.1,5.09,5.02,5.45,5.63,5.5,5.75,5.75
Rwanda,50.01,51.25,52.39,53.15,54.29,55.43,56.57,52.9,49.23,45.56,45.56,47.46,49.37,51.28,53.18,53.18,53.18,53.18,53.18,53.18,53.18
"Saint Kitts and Nevis",123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08,123.08
"Saint Lucia",172.58,177.42,180.65,183.87,186.29,191.94,195.16,195.16,195.16,195.16,195.16,195.16,195.16,195.16,195.16,195.16,195.16,195.16,195.16,195.16,195.16
"Saint Thomas and Principe",33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
"Saint Vincent and Grenadines",212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56,212.56
Samoa,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82
"Saudi Arabia",6.49,6.8,7.05,7.16,7.26,6.59,6.71,6.82,6.87,7.05,7.07,7.72,8.36,9.01,9.65,10.3,10.3,10.3,10.3,10.3,10.3
Senegal,7.02,7.17,7.26,7.26,7.37,7.42,7.41,7.41,7.41,7.41,7.41,7.24,7.07,6.9,7.11,7.32,7.53,7.53,7.53,7.54,7.52
Serbia,43.13,43.13,43.13,43.13,43.13,43.13,43.13,43.13,43.13,43.13,45.2,42.67,42.98,43.22,43.46,43.7,44.33,44.35,45.42,50.17,50.08
Seychelles,75,75,75,75,75,75,75,81.09,84.17,87.25,90.33,93.41,96.49,99.57,103.91,108.26,109.13,110.43,110.43,110.43,110.43
"Sierra Leone",15.75,16.03,16.27,16.27,16.27,15.75,15.75,15.75,15.75,15.79,15.79,15.77,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75
Singapore,411.47,423.97,426.47,427.21,432.79,437.06,439.41,443.68,443.83,448.86,451.62,455.98,456.98,453.95,456.08,462.66,463.35,467.66,468.31,472.68,475.63
Slovakia,86.56,86.56,86.56,86.56,86.56,86.56,86.56,86.9,87.07,87.34,87.62,87.63,87.64,87.69,87.7,89.22,89.25,89.37,89.42,89.48,89.56
Slovenia,189.46,189.46,189.46,189.46,189.46,189.46,189.46,189.46,189.46,189.46,189.46,189.75,190.04,189.44,189.69,189.86,190.24,190.96,191.77,192.03,192.53
"Solomon Islands",4.19,4.26,4.33,4.43,4.5,4.6,4.71,4.71,4.71,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81
Somalia,3.26,3.34,3.4,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47
"South Africa",27.17,27.17,27.17,27.17,27.17,27.17,29.33,29.33,29.33,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7
