Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,2823463452,,,,,
"Central African Republic",2740634996,2725491809,2550404084,2558954969,2684342467,2877616348,2762509019,2908920229,3045643622,3155286028,3076737314,3214105606,3330345091,3150590207,3339464442,3369793809,3530569551,3693241774,3769105796,3833528831,3950322452,4080711502,4248542917,2689329687,2717299201,2847726468,2976765097
Chad,6614722472,7179298108,7753745579,6535644784,7198155752,7287164498,7448536790,7869631798,8416695541,8359222117,8285687626,9251644247,10037220772,11514866991,15387244430,18054243761,18171282566,18765755998,19338616642,20154260616,22885183257,22904148163,24938626547,26360128600,28178973531,28686194920,26678161275
Chile,119071000000,128364000000,142698000000,152100000000,159751000000,174022000000,185861000000,199666000000,208301000000,207442000000,218493000000,225710000000,232722000000,242243000000,259708000000,274622000000,291971000000,306293000000,317104000000,312143000000,330386000000,350575000000,369221000000,384156000000,391492000000,400311000000,406672000000
China,1732760000000,1893800000000,2163030000000,2462990000000,2784460000000,3089330000000,3396050000000,3709540000000,4000280000000,4307000000000,4672730000000,5062430000000,5524660000000,6079090000000,6693760000000,7456570000000,8405010000000,9601150000000,10528100000000,11517700000000,12742700000000,13957900000000,15054500000000,16222400000000,17406200000000,18607300000000,19854000000000
Colombia,258185000000,264065000000,277354000000,283916000000,300485000000,316117000000,322616000000,333683000000,335584000000,321476000000,335685000000,341318000000,349864000000,363573000000,382962000000,400986000000,427843000000,457366000000,473588000000,481410000000,500530000000,533513000000,555088000000,582143000000,607720000000,626268000000,638543000000
Comoros,658530458.3,622998796.1,676146346.4,696470882.8,659720328.9,683537086.9,674708054.1,701901087.2,710904109.1,724582783.3,803186066.7,821923887.6,841031803.6,858727970.3,875212132.8,900045469.8,923868772.2,931261134,934988663.7,953220942.4,974191803,999520790.7,1029506414,1065539139,1087506714,1098546195,1122714212
"Congo (Kinshasa)",44322410982,40589997928,36328044669,31435001973,30209037901,30420500813,30109246571,28417996160,27956444126,26762664591,24913116293,24389897745,25108854659,26509381956,28295683240,30031666177,31629645446,33609493565,35701987121,36721300313,39320760557,42019985293,45027716856,48856650252,53502899890,57185360031,58446468776
"Congo (Brazzaville)",12544967571,12845465641,13180982531,13051850658,12334902615,12826488496,13376806620,13293226707,13790068070,13433981021,14451736789,15001278806,15688617909,15816207802,16366079084,17635392732,18735135296,18438703723,19466157004,20920060529,22750912219,23529134761,24423240907,25263572639,26976427946,27690345067,27174013462
"Costa Rica",24109013879,24729078422,27003303099,28917166954,30214757583,31460057677,31849475397,33621881292,35962535832,37380665886,38776659193,40130146629,41451132013,43215075093,45089129284,46834472245,50224226207,54326488829,56852452418,56300671900,59088604516,61633610782,64590125734,66055693385,68471220380,71705298733,74809269104
"Ivory Coast",39180243996,39196278577,39100419918,39025157436,39341732121,42145123523,45402658112,47102330747,49424795774,50224255409,49185416882,49245114164,48423881889,47765541810,48353904781,49186195094,49931780276,50813094565,52105191009,53799367179,54884843974,52476906029,58095348126,63259688377,68822794330,75129288986,81706941227
Croatia,,,,,,58943867069,62406051959,66553229983,67792371866,67158174233,69688355876,72081735812,75863485722,80079907732,83349418764,86819955950,90974395789,95659581702,97623822550,90415491337,88877298004,88627319350,86688659512,85766360576,85344598042,86745480176,89286504946
Cyprus,13512014698,13611936242,14891458090,14995698340,15880444358,17225230322,17454844957,17902667884,18839971683,19749668828,20880219213,21632045965,22367341785,22921127981,23968693092,24861363377,25982656441,27235205099,28287564180,27786181036,28152341163,28242765356,27350921618,25722790203,25328858112,25754198972,26484204894
"Czech Republic",206308000000,182345000000,181422000000,181534000000,186815000000,198438000000,206937000000,205541000000,204892000000,207838000000,216763000000,223378000000,227057000000,235235000000,246873000000,262777000000,280847000000,296376000000,304411000000,289672000000,296320000000,302260000000,299843000000,298392000000,306494000000,320396000000,328168000000
Denmark,173690000000,176111000000,179557000000,179576000000,189152000000,194879000000,200531000000,207070000000,211663000000,217903000000,226067000000,227928000000,228991000000,229884000000,236018000000,241533000000,250984000000,253266000000,251969000000,239606000000,244089000000,247352000000,247912000000,250226000000,254420000000,258506000000,261835000000
Djibouti,1831219811,1752887247,1752572306,1636536575,1621196622,1564645049,1500252100,1489062138,1490541946,1523020947,1529359973,1560677662,1601544979,1652793768,1716037526,1770429072,1855407271,1950034181,2063135435,2166965347,2242525641,2342710799,2456153749,2578959158,2733701719,2911406226,
Dominica,477298449.9,480200094.6,490031504.6,498268659.8,505400505,515380745.4,528995986.5,536882353.3,563608824.7,567459934.5,569589673.8,572284419.8,562251356.9,605472816.5,625151556.4,624599907.8,642898733.2,683536398.7,732209261.5,723644191.3,728511007.9,726828064.9,719052528,724593839.3,754932315.9,741629313.8,748229316.4
"Dominican Republic",37837002796,38194236654,42209666263,45258310635,46300725569,48844315795,52327583387,56516026765,60478138054,64539459172,68190201367,69423918598,73442318934,73256246349,74217337694,81091904197,89745346857,97562538220,100694000000,101647000000,110101000000,113516000000,116687000000,122221000000,131520000000,140781000000,150136000000
Ecuador,76349832716,79626265458,81309812089,82914232001,86444927674,88392141832,89922870551,93814610781,96879092627,92287618677,93295216341,97041606944,101017000000,103768000000,112288000000,118230000000,123436000000,126139000000,134158000000,134918000000,139674000000,150664000000,159165000000,167038000000,173707000000,173981000000,171428000000
Egypt,339258000000,342918000000,358116000000,368504000000,383146000000,400933000000,420935000000,444049000000,461972000000,490178000000,516490000000,534750000000,547426000000,564901000000,588005000000,614342000000,656448000000,702992000000,753309000000,788518000000,829088000000,843842000000,862539000000,881389000000,907090000000,946748000000,987436000000
"El Salvador",23803956803,24655284550,26515115873,28469153527,30191641934,32122871740,32670755934,34058068128,35334811838,36553544280,37340415064,37978539007,38867549288,39761517796,40497318831,41940163179,43580840824,45254242774,45830735943,44394833115,45000976488,45998522379,46863782747,47729191862,48409559908,49522384600,50694311370
"Equatorial Guinea",426634512.6,422273288.7,568993494.3,631771758.7,737080754.1,865968638.7,1442530534,3605936326,4463229020,5608672805,6630224129,10832451922,12940754061,14746668683,20350215037,23758611626,25589193076,29499762713,34750457672,35217280131,32074428109,34166939303,37007193181,35477614648,35231210755,32015040167,28914378962
Eritrea,,,3464715058,3930884241,4765073355,4901277213,5355078549,5778594838,5881025215,5881817992,5697012107,6195810310,6382021003,6212545425,6302735154,6464995890,6402336055,6493685998,5858406747,6085507975,6219035616,6758835465,,,,,
Estonia,,,,,,16322814615,17191815945,19220212759,20011558458,19840169811,21936893827,23325216331,24742548540,26577496361,28250482310,30898601006,34072469486,36712469967,34722853851,29610120602,30279035699,32579424941,33982705150,34463633257,35436509561,35948289232,36512782886
Ethiopia,31350152720,29112541932,26587762518,30082147999,31041757862,32943845118,37037504562,38198225461,36877277672,38780936521,41136187142,44551028046,45225853914,44248360524,50254014900,56193419294,62281822907,69416932547,76905993365,83675684347,94177433194,104705000000,113760000000,125798000000,138702000000,153116000000,164694000000
Fiji,4292558909,4176659697,4431435997,4525826985,4756644169,4875560203,5109587138,4997176182,5062139571,5507607753,5413978502,5522258043,5698970329,5755959945,6061025839,6103453043,6216518479,6163637444,6227295135,6140982491,6322428385,6493459112,6615761902,7018032893,7400267904,7811978867,7965476600
Finland,144136000000,135611000000,131102000000,130139000000,135266000000,140957000000,146114000000,155249000000,163677000000,170951000000,180583000000,185244000000,188357000000,192112000000,199655000000,205205000000,213527000000,224597000000,226216000000,207510000000,213720000000,219214000000,216088000000,214449000000,213095000000,213667000000,216631000000
France,1727760000000,1745720000000,1773640000000,1762780000000,1804120000000,1841740000000,1867300000000,1910950000000,1978900000000,2046330000000,2125630000000,2167170000000,2191410000000,2209370000000,2270930000000,2307440000000,2362240000000,2418030000000,2422750000000,2351490000000,2397710000000,2447560000000,2452030000000,2466160000000,2489530000000,2516110000000,2545990000000
Gabon,18568819535,19703839276,19094961943,19848555120,20585483311,21609373912,22392724310,23677701100,24501172142,22312574852,21892436565,22359891188,22304207642,22805456794,22962710239,23858417932,22991250943,24292314886,23488620495,23519233477,25186720628,26972900730,28389268494,29989972997,31284003482,32497590563,33232683865
Gambia,1390765033,1433976648,1482426259,1527078436,1529435424,1542922722,1577230313,1654514584,1712422569,1822017602,1922228573,2033717835,1967621999,2102797627,2251044858,2229847311,2254913018,2336789485,2470795995,2630154822,2801762761,2680483729,2837619859,2973283850,2999373245,3140820062,3191878149
Georgia,38447233331,30334866881,16714511679,11817159512,10588175717,10863467779,12080176463,13350895136,13765427537,14160392956,14420709376,15113689663,15940988564,17703759358,18740726926,20539769395,22467072708,25240408136,25824483151,24881863346,26436835047,28345977228,30146083609,31167144651,32608105117,33547322405,34467865185
Germany,2485230000000,2612180000000,2662430000000,2636970000000,2701770000000,2748720000000,2771200000000,2822450000000,2878320000000,2935520000000,3022470000000,3073720000000,3073720000000,3051890000000,3087600000000,3109420000000,3224480000000,3329610000000,3365650000000,3176540000000,3306140000000,3427140000000,3444000000000,3460860000000,3516080000000,3576580000000,3643360000000
Ghana,28080358687,29563514455,30710407126,32199862045,33262457361,34630348991,36224197313,37744294161,39518423484,41257232876,42783750540,44495100561,46497379953,48915243703,51654497345,54702114730,58203002164,60732981410,66289927193,69502175404,74992666759,85526138706,93473665297,100309000000,104307000000,108392000000,112268000000
Greece,210932000000,217471000000,218993000000,215490000000,219799000000,224414000000,230838000000,241189000000,250583000000,258282000000,268406000000,279496000000,290460000000,307291000000,322843000000,324777000000,343135000000,354368000000,353181000000,337991000000,319473000000,290297000000,269104000000,260381000000,261300000000,260727000000,260758000000
Grenada,697239056.2,706899648.5,700882863.3,687153850.4,698791182.6,713671774.8,745346183.4,782729028.1,874644820.7,935068908.8,980774641.9,960924743.5,993954835.8,1088022457,1080978053,1224456960,1175261845,1247547303,1259387163,1176092442,1170079476,1179028541,1165407281,1192821167,1280574280,1360337544,1385568773
Guatemala,47252664594,48981284605,51351165106,53367793139,55520511947,58267970856,59991409186,62609488234,65735910449,68264811786,70728399242,72378191607,75176785982,77079352525,79508956794,82101037075,86517889594,91972026250,94989768489,95489105565,98229550167,102318000000,105357000000,109252000000,113813000000,118524000000,122159000000
Guinea,6789712120,6967156019,7195048021,7557976643,7858035806,8220108416,8586854725,9031791486,9360920919,9717759602,9961001010,10325408939,10858675986,10994257551,11251536075,11588775279,11878115542,12086895083,12683616959,12648078443,12892972742,13396928290,13925318145,14245600356,14302582558,14316884358,15061362229
"Guinea Bissau",1589637535,1670709050,1689086849,1724557673,1779743518,1858052233,2073586292,2208369401,1587818047,1604101715,1691156113,1728173944,1711148363,1720876415,1768396731,1843826371,1886414153,1946874625,2009318238,2075860381,2167859224,2370210330,2327594221,2346686834,2406317909,2521743681,2662299320
Guyana,2109036814,2235254442,2410307201,2608285930,2830598209,2971740713,3206016903,3405653920,3347466036,3446881793,3399427623,3475914721,3512446611,3477137557,3591671854,3521386026,3702019373,3961912737,4040225769,4174305678,4356759128,4593641614,4814892475,5066308147,5260900751,5427905650,5605078146
Haiti,,,,,,,13676750533,14046667398,14353143351,14742148991,14870414491,14715111690,14678108403,14731507411,14212532885,14469070645,14794512151,15289133971,15418165750,15893545989,15019751836,15849403538,16306674054,16997107258,17474751212,17686408605,17941076590
Honduras,15716671883,16227783368,17140481908,18208339422,17971037931,18701196910,19373551640,20341012293,20931224140,20535721356,21716145048,22307517649,23145017230,24197429971,25705487115,27260823119,29051107767,30848885361,32154286828,31372414225,32542963029,33791210423,35186343988,36168591807,37274656483,38631714481,40026135401
"Hong Kong",153875000000,162648000000,172789000000,183504000000,194581000000,199200000000,207683000000,218274000000,205433000000,210583000000,226721000000,227993000000,231770000000,238854000000,259634000000,278816000000,298425000000,317717000000,324478000000,316499000000,337918000000,354188000000,360210000000,371382000000,381641000000,390779000000,398773000000
