Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Guatemala,0.01687935,0.015,0.019,0.024,0.018,0.015,0.029,0.027,0.027,0.031,0.034,0.036,0.032,0.038,0.043,0.045,0.052,0.059,0.075,0.081,0.078,0.077,0.067,0.091,0.085,0.051,0.058,0.051,0.037,0.033,0.029,0.024,0.023,0.022,0.022
Guinea,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.006,0.006,0.004,0.005,,,,,,,,,,
Guyana,5.19E-05,5.23E-05,5.23E-05,5.26E-05,5.22E-05,5.22E-05,5.22E-05,5.21E-05,5.16E-05,5.22E-05,5.20E-05,5.22E-05,5.17E-05,5.15E-05,5.16E-05,5.16E-05,5.17E-05,5.11E-05,6.12E-05,6.14E-05,,,,,,,,,,,,,,,
Haiti,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,,,,,,,,,,
Honduras,0.008,0.009,0.009,0.009,0.009,0.009,0.013,0.012,0.018,0.019,0.021,0.022,0.022,0.023,0.019,0.017,0.021,0.021,0.019,0.022,0.023,0.02,0.016,0.018,0.015,0.002,0.001,0.001,,,,,,,
"Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,9.92E-06,9.88E-06,9.85E-06,9.76E-06,,,,,
Hungary,0.505023932,0.502,0.53105687,0.54,0.564,0.601,0.596,0.619,0.619,0.591,0.543,0.509,0.5,0.493,0.496,0.494,0.482,0.487,0.443,0.423,0.42,0.417,0.387,0.359,0.372,0.375156355,0.369319537,0.358531095,0.34156129,0.35690937,0.35053277,0.343025955,0.327589595,0.314214154,0.30774057
Iceland,0.032,0.034,0.037,0.04,0.041,0.04,0.042,0.043,0.046,0.047,0.046,0.046,0.047,0.048,0.049,0.051,0.052,0.056,0.063,0.073,0.078,0.082,0.085,0.085,0.086,0.017039996,0.026019838,0.035019768,0.04,0.044,0.044,,,,
India,2.843620148,3.3636716,3.63,3.991,4.293,4.608,4.952,5.135,5.674,5.936,6.181,6.565,6.621,6.844,7.343,7.768,8.023,8.371,8.513,8.577,8.77,9.134,9.439,9.967,10.514,10.04925021,10.56304479,11.09605639,11.51059951,12.49010733,13.19166032,13.32948464,13.41026472,13.35232913,14.1850653
Indonesia,4.224565442,4.332,3.708,3.847,4.288,4.188,4.385,4.381,4.553,4.944,5.259,5.842,5.989,6.192,6.517,6.756,7.222,7.225,7.305,7.748,7.524,7.29,7.465,7.734,8.042,8.380219978,9.887317408,10.37635602,10.512,11.536,12.707,14.072,14.825,15.697,15.207
Iran,3.937942314,3.286,5.125,5.672,5.292,5.576,5.055,5.661,5.7,7.006,7.663,8.259,8.521,8.83,9.154,9.339,9.637,9.835,9.892,9.992,10.394,10.668,10.441,11.353,12.052,12.94970993,12.938,12.814,13.302,14.185,14.509,14.66301302,13.50773019,12.90325665,13.75950244
Iraq,5.449982772,2.163,2.189,2.168,2.61,3.09,3.659,4.577,5.97,6.472,4.543,0.715,1.018088639,1.212,1.33,1.353,1.391,2.605,4.706,5.476,5.622,5.217,4.421,2.844,4.379,4.065,4.333,4.507,5.151,5.14,5.164,5.629,6.398,6.551,7.207
Ireland,0.043,0.061,0.082,0.088,0.092,0.098,0.071,0.067,0.081,0.088,0.09,0.093,0.092,0.103,0.107,0.107,0.104,0.092,0.074,0.06,0.056,0.041,0.044,0.037,0.044,0.032,0.035,0.037,0.04,0.043,0.01,0.008,0.008,0.007,0.005
Israel,0.08092487,0.083,0.005,0.004,0.004,0.004,0.003,0.002755934,0.001969928,0.001679536,0.001463366,0.001494776,0.001522902,0.00174143,0.00152556,0.00121157,0.00141535,0.001633173,0.00141528,0.001124534,0.000683154,0.000573583,0.000678333,0.001142361,0.02839069,0.026109989,0.03509919,0.04109884,0.052088686,0.04208784,0.056,0.094,0.05,0.166,0.287
Italy,1.101199866,1.133,1.191,1.141,1.188,1.191,1.268,1.204590009,1.277,1.2,1.199,1.297,1.326,1.356,1.423932721,1.359932721,1.431,1.424,1.406932721,1.345932721,1.324,1.295,1.22,1.176,1.255,0.834309969,0.796347165,0.762,0.663,0.593,0.575,0.53,0.541,0.51,0.499
Jamaica,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.000859914,0.000912548,0.000879676,0.000482846,0.00057584,,,,,
Japan,2.166184636,2.191,2.344,2.492,2.608640061,2.954640064,3.034473697,3.250789495,3.231633473,3.248631742,3.411631742,3.624631742,3.560633473,3.934,3.824,4.218,4.307,4.552,4.648,4.444,4.495,4.456,4.173,3.74,4.156,3.39250876,3.497581033,3.256864605,2.751083708,2.965974008,3.103522647,1.827868336,0.404622053,0.361257545,0.217
