Country,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Benin,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.042,0.054,0.066,0.078,0.09,0.104,0.118,0.132,0.146,0.16,0.17,0.18,0.19,0.2,0.21,0.232,0.254,0.276,0.298,0.32,0.33,0.34,0.35,0.36,0.37,0.376,0.382,0.388,0.394,0.4,0.416,0.432,0.448,0.464,0.48,0.494,0.508,0.522,0.536,0.55,0.564,0.578,0.592,0.606,0.62,0.632,0.644,0.656,0.668,0.68,0.694,0.708,0.722,0.736,0.75,0.784,0.818,0.852,0.886,0.92,0.978,1.036,1.094,1.152,1.21,1.268,1.326,1.384,1.442,1.5,1.56,1.62,1.68,1.74,1.8,1.862,1.924,1.986,2.048,2.11,2.158,2.206,2.254,2.302,2.35,2.416,2.482,2.548,2.614,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0.06,0.062,0.064,0.066,0.068,0.07,0.074,0.078,0.082,0.086,0.09,0.094,0.098,0.102,0.106,0.11,0.116,0.122,0.128,0.134,0.14,0.146,0.152,0.158,0.164,0.17,0.178,0.186,0.194,0.202,0.21,0.22,0.23,0.24,0.25,0.26,0.274,0.288,0.302,0.316,0.33,0.35,0.37,0.39,0.41,0.43,0.46,0.49,0.52,0.55,0.58,0.602,0.624,0.646,0.668,0.69,0.71,0.73,0.75,0.77,0.79,0.868,0.946,1.024,1.102,1.18,1.208,1.236,1.264,1.292,1.32,1.346,1.372,1.398,1.424,1.45,1.492,1.534,1.576,1.618,1.66,1.71,1.76,1.81,1.86,1.91,1.96,2.01,2.06,2.11,2.16,2.232,2.304,2.376,2.448,2.52,2.576,2.632,2.688,2.744,2.8,2.872,2.944,3.016,3.088,3.16,3.302,3.444,3.586,3.728,3.87,4.008,4.146,4.284,4.422,4.56,4.686,4.812,4.938,5.064,5.19,5.28,5.37,5.46,5.55,5.64,5.718,5.796,5.874,5.952,6.03,6.028,6.026,6.024,6.022,6.02,5.978,5.936,5.894,5.852,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0.13,0.138,0.146,0.154,0.162,0.17,0.178,0.186,0.194,0.202,0.21,0.218,0.226,0.234,0.242,0.25,0.256,0.262,0.268,0.274,0.28,0.286,0.292,0.298,0.304,0.31,0.348,0.386,0.424,0.462,0.5,0.522,0.544,0.566,0.588,0.61,0.622,0.634,0.646,0.658,0.67,0.69,0.71,0.73,0.75,0.77,0.792,0.814,0.836,0.858,0.88,0.896,0.912,0.928,0.944,0.96,0.988,1.016,1.044,1.072,1.1,1.128,1.156,1.184,1.212,1.24,1.264,1.288,1.312,1.336,1.36,1.38,1.4,1.42,1.44,1.46,1.514,1.568,1.622,1.676,1.73,1.752,1.774,1.796,1.818,1.84,1.864,1.888,1.912,1.936,1.96,1.99,2.02,2.05,2.08,2.11,2.156,2.202,2.248,2.294,2.34,2.28,2.22,2.16,2.1,2.04,2.044,2.048,2.052,2.056,2.06,2.238,2.416,2.594,2.772,2.95,3.1,3.25,3.4,3.55,3.7,3.836,3.972,4.108,4.244,4.38,4.512,4.644,4.776,4.908,5.04,5.168,5.296,5.424,5.552,5.68,5.686,5.692,5.698,5.704,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0.91,0.918,0.926,0.934,0.942,0.95,0.958,0.966,0.974,0.982,0.99,0.998,1.006,1.014,1.022,1.03,1.042,1.054,1.066,1.078,1.09,1.118,1.146,1.174,1.202,1.23,1.274,1.318,1.362,1.406,1.45,1.472,1.494,1.516,1.538,1.56,1.618,1.676,1.734,1.792,1.85,1.91,1.97,2.03,2.09,2.15,2.162,2.174,2.186,2.198,2.21,2.22,2.23,2.24,2.25,2.26,2.268,2.276,2.284,2.292,2.3,2.3,2.3,2.3,2.3,2.3,2.324,2.348,2.372,2.396,2.42,2.432,2.444,2.456,2.468,2.48,2.502,2.524,2.546,2.568,2.59,2.638,2.686,2.734,2.782,2.83,2.854,2.878,2.902,2.926,2.95,2.966,2.982,2.998,3.014,3.03,3.194,3.358,3.522,3.686,3.85,3.968,4.086,4.204,4.322,4.44,4.534,4.628,4.722,4.816,4.91,4.986,5.062,5.138,5.214,5.29,5.306,5.322,5.338,5.354,5.37,5.458,5.546,5.634,5.722,5.81,5.896,5.982,6.068,6.154,6.24,6.328,6.416,6.504,6.592,6.68,6.688,6.696,6.704,6.712,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burma (Myanmar)",0.04,0.046,0.052,0.058,0.064,0.07,0.076,0.082,0.088,0.094,0.1,0.11,0.12,0.13,0.14,0.15,0.164,0.178,0.192,0.206,0.22,0.23,0.24,0.25,0.26,0.27,0.278,0.286,0.294,0.302,0.31,0.318,0.326,0.334,0.342,0.35,0.36,0.37,0.38,0.39,0.4,0.436,0.472,0.508,0.544,0.58,0.588,0.596,0.604,0.612,0.62,0.626,0.632,0.638,0.644,0.65,0.66,0.67,0.68,0.69,0.7,0.704,0.708,0.712,0.716,0.72,0.728,0.736,0.744,0.752,0.76,0.756,0.752,0.748,0.744,0.74,0.74,0.74,0.74,0.74,0.74,0.75,0.76,0.77,0.78,0.79,0.794,0.798,0.802,0.806,0.81,0.836,0.862,0.888,0.914,0.94,0.942,0.944,0.946,0.948,0.95,0.97,0.99,1.01,1.03,1.05,1.126,1.202,1.278,1.354,1.43,1.492,1.554,1.616,1.678,1.74,1.82,1.9,1.98,2.06,2.14,2.204,2.268,2.332,2.396,2.46,2.52,2.58,2.64,2.7,2.76,2.812,2.864,2.916,2.968,3.02,3.082,3.144,3.206,3.268,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.024,0.028,0.032,0.036,0.04,0.044,0.048,0.052,0.056,0.06,0.102,0.144,0.186,0.228,0.27,0.296,0.322,0.348,0.374,0.4,0.44,0.48,0.52,0.56,0.6,0.692,0.784,0.876,0.968,1.06,1.11,1.16,1.21,1.26,1.31,1.37,1.43,1.49,1.55,1.61,1.674,1.738,1.802,1.866,1.93,1.99,2.05,2.11,2.17,2.23,2.268,2.306,2.344,2.382,2.42,2.468,2.516,2.564,2.612,2.66,2.698,2.736,2.774,2.812,2.85,2.896,2.942,2.988,3.034,3.08,3.148,3.216,3.284,3.352,3.42,3.502,3.584,3.666,3.748,3.83,3.898,3.966,4.034,4.102,4.17,4.224,4.278,4.332,4.386,4.44,4.496,4.552,4.608,4.664,4.72,4.774,4.828,4.882,4.936,4.99,5.032,5.074,5.116,5.158,5.2,5.238,5.276,5.314,5.352,5.39
Cameroon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.034,0.038,0.042,0.046,0.05,0.052,0.054,0.056,0.058,0.06,0.062,0.064,0.066,0.068,0.07,0.072,0.074,0.076,0.078,0.08,0.086,0.092,0.098,0.104,0.11,0.118,0.126,0.134,0.142,0.15,0.158,0.166,0.174,0.182,0.19,0.204,0.218,0.232,0.246,0.26,0.274,0.288,0.302,0.316,0.33,0.346,0.362,0.378,0.394,0.41,0.45,0.49,0.53,0.57,0.61,0.644,0.678,0.712,0.746,0.78,0.814,0.848,0.882,0.916,0.95,1.008,1.066,1.124,1.182,1.24,1.308,1.376,1.444,1.512,1.58,1.68,1.78,1.88,1.98,2.08,2.174,2.268,2.362,2.456,2.55,2.646,2.742,2.838,2.934,3.03,3.124,3.218,3.312,3.406,3.5,3.582,3.664,3.746,3.828,3.91,3.964,4.018,4.072,4.126,4.18,4.204,4.228,4.252,4.276,4.3,4.324,4.348,4.372,4.396,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2.63,2.654,2.678,2.702,2.726,2.75,2.776,2.802,2.828,2.854,2.88,2.896,2.912,2.928,2.944,2.96,2.972,2.984,2.996,3.008,3.02,3.048,3.076,3.104,3.132,3.16,3.22,3.28,3.34,3.4,3.46,3.496,3.532,3.568,3.604,3.64,3.682,3.724,3.766,3.808,3.85,3.886,3.922,3.958,3.994,4.03,4.07,4.11,4.15,4.19,4.23,4.27,4.31,4.35,4.39,4.43,4.468,4.506,4.544,4.582,4.62,4.664,4.708,4.752,4.796,4.84,4.866,4.892,4.918,4.944,4.97,4.994,5.018,5.042,5.066,5.09,5.112,5.134,5.156,5.178,5.2,5.216,5.232,5.248,5.264,5.28,5.302,5.324,5.346,5.368,5.39,5.406,5.422,5.438,5.454,5.47,5.49,5.51,5.53,5.55,5.57,5.574,5.578,5.582,5.586,5.59,5.606,5.622,5.638,5.654,5.67,5.684,5.698,5.712,5.726,5.74,5.752,5.764,5.776,5.788,5.8,5.806,5.812,5.818,5.824,5.83,5.838,5.846,5.854,5.862,5.87,5.88,5.89,5.9,5.91,5.92,5.922,5.924,5.926,5.928,5.93,5.932,5.934,5.936,5.938,5.94,5.944,5.948,5.952,5.956,5.96,5.96,5.96,5.96,5.96,5.96,5.962,5.964,5.966,5.968,5.97,5.97,5.97,5.97,5.97,5.97,5.972,5.974,5.976,5.978,5.98
Chile,0.41,0.426,0.442,0.458,0.474,0.49,0.502,0.514,0.526,0.538,0.55,0.56,0.57,0.58,0.59,0.6,0.608,0.616,0.624,0.632,0.64,0.65,0.66,0.67,0.68,0.69,0.826,0.962,1.098,1.234,1.37,1.412,1.454,1.496,1.538,1.58,1.65,1.72,1.79,1.86,1.93,2.01,2.09,2.17,2.25,2.33,2.41,2.49,2.57,2.65,2.73,2.796,2.862,2.928,2.994,3.06,3.094,3.128,3.162,3.196,3.23,3.276,3.322,3.368,3.414,3.46,3.494,3.528,3.562,3.596,3.63,3.648,3.666,3.684,3.702,3.72,3.736,3.752,3.768,3.784,3.8,3.814,3.828,3.842,3.856,3.87,3.896,3.922,3.948,3.974,4,4.054,4.108,4.162,4.216,4.27,4.322,4.374,4.426,4.478,4.53,4.578,4.626,4.674,4.722,4.77,4.8,4.83,4.86,4.89,4.92,4.964,5.008,5.052,5.096,5.14,5.172,5.204,5.236,5.268,5.3,5.292,5.284,5.276,5.268,5.26,5.272,5.284,5.296,5.308,5.32,5.362,5.404,5.446,5.488,5.53,5.57,5.61,5.65,5.69,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.034,0.038,0.042,0.046,0.05,0.054,0.058,0.062,0.066,0.07,0.084,0.098,0.112,0.126,0.14,0.156,0.172,0.188,0.204,0.22,0.238,0.256,0.274,0.292,0.31,0.468,0.626,0.784,0.942,1.1,1.124,1.148,1.172,1.196,1.22,1.262,1.304,1.346,1.388,1.43,1.496,1.562,1.628,1.694,1.76,1.856,1.952,2.048,2.144,2.24,2.33,2.42,2.51,2.6,2.69,2.804,2.918,3.032,3.146,3.26,3.346,3.432,3.518,3.604,3.69,3.8,3.91,4.02,4.13,4.24,4.278,4.316,4.354,4.392,4.43,4.446,4.462,4.478,4.494,4.51,4.566,4.622,4.678,4.734,4.79,4.842,4.894,4.946,4.998,5.05,5.066,5.082,5.098,5.114,5.13,5.164,5.198,5.232,5.266,5.3,5.19,5.08,4.97,4.86,4.75,4.764,4.778,4.792,4.806,4.82,4.826,4.832,4.838,4.844,4.85,4.858,4.866,4.874,4.882,4.89,4.898,4.906,4.914,4.922,4.93,4.936,4.942,4.948,4.954,4.96
Colombia,0.31,0.318,0.326,0.334,0.342,0.35,0.362,0.374,0.386,0.398,0.41,0.42,0.43,0.44,0.45,0.46,0.464,0.468,0.472,0.476,0.48,0.482,0.484,0.486,0.488,0.49,0.542,0.594,0.646,0.698,0.75,0.774,0.798,0.822,0.846,0.87,0.936,1.002,1.068,1.134,1.2,1.226,1.252,1.278,1.304,1.33,1.358,1.386,1.414,1.442,1.47,1.51,1.55,1.59,1.63,1.67,1.696,1.722,1.748,1.774,1.8,1.822,1.844,1.866,1.888,1.91,1.924,1.938,1.952,1.966,1.98,2.002,2.024,2.046,2.068,2.09,2.06,2.03,2,1.97,1.94,1.998,2.056,2.114,2.172,2.23,2.28,2.33,2.38,2.43,2.48,2.526,2.572,2.618,2.664,2.71,2.758,2.806,2.854,2.902,2.95,2.992,3.034,3.076,3.118,3.16,3.204,3.248,3.292,3.336,3.38,3.432,3.484,3.536,3.588,3.64,3.67,3.7,3.73,3.76,3.79,3.81,3.83,3.85,3.87,3.89,3.94,3.99,4.04,4.09,4.14,4.188,4.236,4.284,4.332,4.38,4.46,4.54,4.62,4.7,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
