Country,2010,2011,2012,2013,2014,2015,2016
Latvia,16,16,34,31,28,28,20
Lebanon,40,40,33,32,32,39,35
Lesotho,,,10,10,10,10,10
Liberia,8,11,12,9.5,7,9,18
Libya,,,,,,25,
Lithuania,4,7,20,8,12,11,10
Luxembourg,58,55,56,51,40,51,48
"Macedonia (F.Y.R.O.M.)",,,,,,,39
Madagascar,6,6,9,10,13,11,8
Malawi,29,29,22,29,20,18,19
Malaysia,32,37,32,36,60,57,
Mali,16,15,7,8,12,11,11
Malta,83,65,66,72,78,73,73
Mauritania,27,29,28,21,16,29,6
Mauritius,,,52,51,50,49,48
Mexico,25,28,22,22,16,18,18
Moldova,,,,,,20,24
Mongolia,33,36,42,39,42,46,38
Montenegro,18,11,10,13,15,18,24
Morocco,72,72,6,6,5,4,2
Mozambique,12,12,10,14.3333,18.6667,23,
Namibia,17,17,,,,,
Nepal,22,27,17,25,34,42,36
Netherlands,77,75,73,69,70,66,64
"New Zealand",68,63,66,67,62,71,65
Nicaragua,30,25,21,25,28,32,29
Niger,11,10,7,6,5,10,11
Nigeria,29,30,15,30,29,21,28
"Northern Cyprus",,,,,40,40,36
Norway,43,43,49.5,56,61.5,67,55
Oman,,,39,,,,
Pakistan,20,51,25,38,32,31,32
"West Bank and Gaza",,,,,,,10
Panama,35,33,35,34,37,35,26
Paraguay,31,36,48,49,34,29,23
Peru,20,22,17,21,23,21,17
Philippines,25,28,32,31,27,21,20
Poland,42,39,28,32,21,26,27
Portugal,15,21,19,27,24,20,14
"Puerto Rico",30,30,,,,,
Qatar,64,53,53,60,,,
"South Korea",27,34,33,33,33,,
Romania,14,25,20,23,21,21,24
Russia,,,,,,18,17
Rwanda,15,15,11,25,13,19,19
"Saudi Arabia",27,35,25,27,31,35,26
Senegal,16,12,3,16,14,9,12
Serbia,14,14,13,18,21,25,25
"Sierra Leone",29,16,15,12.5,10,20,26
Singapore,35,41,29,55,56.5,58,58
Slovakia,29,25,37,33,30,23,30
Slovenia,35,40,35,35,41,38,32
Somalia,35,43,44,49,31.5,14,20
"South Africa",15,10,15,14,23,18,23
"South Sudan",,,,,,28,18
Spain,25,24,26,32,27,31,33
"Sri Lanka",58,53,42,45,56,61,
Sudan,26,16,19,16,,,
Suriname,,,,25,,,
Swaziland,,,20,,,,
Sweden,52,54,56,53,55,61,55
Switzerland,71,54,55,56,54.5,53,51
Syria,33,21,31,40,36,26,
Taiwan,,,,,,,35
Tajikistan,17,24,6,11,25,22,21
Tanzania,,,,,,33,36
Thailand,73,85,71,70,77,63,68
Togo,8,8,7,7.3333,7.6667,8,14
"Trinidad and Tobago",45,45,44,46.5,49,,
Tunisia,19,15,8,11,8,6,12
Turkey,14,14,10,13,12,,
Turkmenistan,17,17,30,16,21,40,31
Uganda,13,15,20,25,22,31,31
Ukraine,5,11,7,8,9,26,29
"United Arab Emirates",40,45,47,52.3333,57.6667,63,55
"United Kingdom",73,79,72,76,74,69,64
"United States",,,,,,63,56
Uruguay,20,17,25,40,29,30,27
Uzbekistan,24,20,28,20,21,62,46
Venezuela,19,17,10,14,10,15,12
Vietnam,17,23,33,13,22,34,17
Yemen,17,13,5,5,4,5,3
Zambia,25,10,21,22,10,17,33
Zimbabwe,9,9,10,10,9,8,10
