Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Colombia,-0.1,3,2.8,3.6,0.6,0.8,0.4,-0.7,3.8,0.9,1.7,2.1,0.1,3,0.5,2.3,1.2,3.2,3.6,4,3.2,5,4.3,3.4,0.1,2.6,2.2,6.5,3.4,1.9,-0.1,-1.2,-0.6,1.3,1,3.8,3.2,2,1.2,2.1,0.3,2.3,3.7,3.1,3.3,0.5,2,-0.8,-5.3,2,0.6,1.2,2.5,3.9,3.3,5.3,5.5,2.2,0.4,2.7,5.3,2.9,3.5,3.4,2.1
"Congo (Kinshasa)",9.6,7.1,3.7,4,1.8,4.6,1.1,-4.9,1.3,0.1,-12.7,17.6,2.1,-4.6,-1.3,4.1,-4,1.1,6.2,-3,3.5,-2.6,5.6,0.6,-7.6,-8.3,-2.3,-8.5,-3.3,-0.8,-0.4,-3.2,-1.2,2.6,-2.6,1.6,-0.5,-2.6,-3.8,-5.5,-11.5,-13.3,-16.4,-7.2,-3.4,-3.1,-6.8,-3.7,-7.2,-9.7,-5,-0.1,2.6,3.8,3.1,2.2,3.2,3.3,0.1,4.3,4.1,4.3,5.7,6.4,5.4
"Costa Rica",-0.6,8.3,11.3,-2.7,7.5,-6.5,4.6,8.3,-0.3,4.5,0.3,2.3,4.8,1.5,5.6,4.2,2.8,4.4,3.6,3.6,3.6,5.9,4.9,2.6,-0.8,2.5,5.8,2.1,1.8,-1,-4.7,-9.5,-0.1,4.8,-2.1,2.4,1.9,0.7,3,1,3.8,6.6,4.5,1.8,1.1,-1.7,3,5.8,5.8,-0.4,-0.8,1.2,4.8,2.7,4.3,7.2,6.4,1.3,-2.4,3.5,3.1,3.8,2.2,2.2,2.5
"Ivory Coast",1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1,5.5,5.5,0.7,11.8,13.1,-6.4,3,-3.4,9.9,-0.7,5.3,-0.3,0.4,3,-1.4,-4.1,7.3,0.5,5.6,-2,3.7,-0.3,-3.5,-7.4,-6.8,1.2,-0.7,-5.1,-5.3,-4.1,-11.1,-4.2,-3.5,-3.5,-1.5,3.7,3.7,3,2.8,-0.6,-5.1,-2.4,-3.8,-3.4,-1.2,-0.5,-1.4,-0.6,0.1,1.6,0.2,-6.7,7.6,6.8,5.4,7
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.4,-2,1.9,-0.3,2.5,-0.4,-1.1,-1.7,-7.2,-21.7,-10.8,-7.8,5.3,7.1,6.6,7.1,2.4,-0.7,3.7,2.8,4.3,5.2,4.1,4.2,4.8,5.2,2.1,-7.3,-1.6,-0.2,-2.1,-0.8,-0.3,0.4
Cyprus,-3.6,8.5,8.5,0.4,2.2,9.7,4.3,-4.9,4.3,-8.4,10,9.5,5,-10.2,21.5,5.4,12.8,3.8,8.4,2.2,12,5.8,1.3,-17.8,-15,20.3,15.8,7.2,9.1,4.9,1.9,5.2,4.1,7.4,3.5,3.4,5.5,7.5,7,5.8,-2.1,6.3,-1.9,3.3,7.6,-0.4,0.6,3.5,3.2,4.2,2.1,1.7,0.9,2,1.4,2.5,3.1,1.9,-3.7,-0.3,-1.3,-3.9,-6.8,-3.7,-0.4
"Czech Republic",,,,,,,,,,,,,,,,,,,,,4.9,4.9,4.2,4.2,4.9,3.3,2.8,3.6,0.9,1.4,-0.2,-1.6,1.6,2.2,2.2,2.8,2.3,2.1,1.7,1.1,-11.6,-0.6,1.15,2.9,6.3,4.4,-0.6,-0.2,1.5,4.4,3.2,1.8,3.6,4.9,6.2,6.5,4.9,1.8,-5.4,2,1.7,-1,-0.9,1.8,2.7
Czechoslovakia,0.7,2.1,-1.5,3,7.4,4.8,5.1,6.7,3.7,6.9,3,0.8,-2.5,3.9,3,3.8,3.9,4.3,2.1,1.8,3,3,2.7,2.9,2.2,0.8,3.8,0.6,0.2,2.3,-0.9,1.7,1.3,2.1,0.6,1.7,0.3,2.1,0.7,-2.9,-12.6,-2.5,0.4,3.2,5.8,4.8,0.9,,,,,,,,,,,,,,,,,,
Denmark,-0.1,0.3,4.8,1.1,0.3,0.6,7.1,1.6,6.7,2,5.7,4.7,-0.2,8.5,3.7,1.9,2.5,3.5,5.9,1.2,2,4.7,3,-1.4,-0.9,6.2,1.3,1.2,3.3,-0.6,-0.9,3.1,2.6,4.4,4.2,3.5,0.2,1.1,0.2,1,1,1.6,-0.4,5.2,2.5,2.3,2.8,1.8,2.6,3.4,0.5,0.1,1.2,2.3,2.1,3.4,0.5,-1,-5.4,1.3,0.9,-0.9,-0.7,0.8,1.6
"Dominican Republic",8.7,5,-4.2,2.4,2.8,6.5,2.8,1.9,-2.7,1.5,-5.4,13.2,3.1,3.3,-15.2,9.9,0.2,-2.8,7.7,7.5,7.6,9.4,9.2,3.1,2.2,4.1,2.3,-0.1,1.9,3.6,1.7,-0.5,2.1,-1.9,-4.6,0.8,5.3,-1.4,10.4,-6.7,-1,8.4,5.3,0.6,3.7,5.2,6.1,5.1,4.9,3.9,0.1,4.1,-1.8,-0.2,7.7,9.1,7,1.7,-0.4,6.8,1.6,1.3,3.2,6,3.8
