Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nigeria,,89,380,943,1185,90,1,87,585,338,3518,2104,2417,612,445,2095,251,225,153,426,531,972,1812,1988,3305,10261,8978,3810
Pakistan,114,385,61,72,48,139,127,59,78,69,25,1,26,54,241,430,153,427,1366,4620,7460,7226,3474,3540,2902,3604,2387,1034
Panama,920,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Papua New Guinea",14,61,29,60,40,26,33,106,12,36,60,13,65,7,12,17,22,27,32,37,42,47,52,57,,,,
Paraguay,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,1945,1228,1353,1188,779,369,274,105,116,33,89,5,21,13,13,3,7,11,32,40,54,29,15,9,3,14,9,11
Philippines,984,1352,1549,445,318,308,188,199,322,138,219,1761,792,763,1119,470,487,434,483,566,1047,372,414,311,537,484,628,430
Romania,448,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,160,393,340,1,145,485,1910,2764,13,7,6197,4333,992,1503,539,1317,674,260,182,410,697,481,396,525,365,170,86,73
Rwanda,,2644,1102,943,959,501961,4141,309,4698,1737,29,1036.5,2044,1368,692,16,13.2,10.4,7.6,4.8,2,5.6667,9.3333,13,4,,,
"Saudi Arabia",,,91,85.5833,80.1667,74.75,69.3333,63.9167,58.5,53.0833,47.6667,42.25,36.8333,31.4167,26,91,31,11,2,15.5,29,42.5,56,69.5,83,96.5,110,115
Senegal,121,84,16,135,285,307.5,330,5,366,344,31,56,47,45,39,3,1,129,70,11,19,19,37,23,8,,,
Serbia,,,3295,342,257,172,87,2,9,1446,2173,,,,,,,,,,,,,,,,,
"Sierra Leone",,,1225,531,642,2097,3194,943,1233,5155,4593,856,73,1,,,,,,,,,,,,,,
"Solomon Islands",,,,2,1.8333,1.6667,1.5,1.3333,1.1667,1,14,27,1,,,,,,,,,,,,,,,
Somalia,1061,2700,8455,4729,483,626,444,949,277,330,542,185,483,638,426,670,309,1174,1624,1759,2208,2722,2118,2987,1028,1253,1217,2014
