Country,2013,2014,2015,2016,2017
Laos,4.238862,4.093139998,4.421650889,4.756252006,4.485931396
Latvia,3.098796,3.273715679,3.346101195,3.203820942,3.076061726
Lebanon,3.909187,3.848788595,4.278257497,4.413697602,4.280177116
Lesotho,3.920337,3.956085208,3.854351618,3.634551544,3.463135242
Liberia,4.31996,4.16,4,3.725369136,3.556020737
Libya,4.038935,3.837629909,,,
Lithuania,2.963911,2.872248388,3.004156289,3.080799055,2.991189718
Luxembourg,5.217659,5.110152344,5.097557388,5.17469069,5.116032124
"Macedonia (F.Y.R.O.M.)",4.069035,4.379497146,4.334763379,4.143807664,
Madagascar,3.352853,3.143529726,3.497476724,4.033859348,4.013288975
Malawi,3.313433,3.295213507,3.424617622,3.586281394,3.873895168
Malaysia,4.992874,5.149503523,5.164649972,5.075632572,5.036876202
Mali,2.948015,3.322901866,3.779334616,3.811349554,3.663339138
Malta,4.013359,4.23629461,4.598857312,4.518350327,4.889966965
Mauritania,2.3302,2.82883949,3.918855412,3.776281302,4.192764759
Mauritius,4.900909,5.127861275,5.162633284,5.042995639,5.06807375
Mexico,3.346247,3.02584056,3.17771802,3.671808385,3.504121542
Moldova,2.638102,2.897130022,3.226877191,3.346358545,3.375540972
Mongolia,3.5429,3.636836159,3.514722192,3.164899051,3.126995564
Montenegro,3.752519,3.71554743,3.821471989,3.814604399,3.967921257
Morocco,3.993926,3.933962909,3.983625908,4.089833074,4.183120251
Mozambique,3.411562,3.554605991,3.87074895,3.991176462,3.884809256
"Burma (Myanmar)",3.638194,3.804142666,3.755409212,,
Namibia,3.989787,3.958425806,4.336342307,4.43944364,4.281141281
Nepal,3.347159,3.456143037,3.778419621,3.907914373,3.95876193
Netherlands,3.798004,3.746004088,3.663779739,3.777353841,4.001711369
"New Zealand",4.802619,5.009800291,4.91133654,4.773295907,4.749163151
Nicaragua,3.490759,3.18082972,3.118490775,3.118490775,3.414634228
Nigeria,4.128712,4.336983085,4.874615757,5.13301286,5.121456146
Norway,4.291673,4.206472784,4.1814702,4.055277782,3.771549463
Oman,5.566975682,5.756097794,5.625064137,5.31377425,5.313774109
Pakistan,3.52539,3.522294107,3.693779665,3.749630392,3.626395702
Panama,4.00754,4.03328273,4.269748802,4.60467158,4.325716496
Paraguay,4.431785,4.417978691,4.448342754,4.476345885,4.287561417
Peru,3.531237,3.247671239,3.211455165,3.495809225,3.306977272
Philippines,4.055204,3.904175995,4.026951981,4.177449761,4.352716923
Poland,3.296227,3.426574344,3.119812596,2.899702199,2.825243235
Portugal,2.394051,2.752570825,2.881139216,2.899311787,2.998983383
"Puerto Rico",3.456374,3.133524,,,
Qatar,6.357204,6.261905206,6.127971284,6.336419837,6.171317577
Romania,2.134361,2.508912723,3.070788602,3.11490428,2.914244175
Russia,2.955223,3.048492126,3.048492126,3.401148505,3.707418919
Rwanda,4.470592,4.470592,4.874547177,5.154015952,4.988779068
"Saudi Arabia",4.947906,4.948943158,4.927617231,4.704884231,4.475444317
Senegal,4.163675,3.926292274,3.971556684,4.227152393,4.181462288
Serbia,2.748314,2.58118573,2.754844958,3.032323325,2.916404963
Seychelles,4.366667,3.887946747,3.887946747,3.8163,3.744680882
"Sierra Leone",3.975038,3.826287107,3.662427483,3.692618264,3.473863602
Singapore,6.020768,5.990574248,6.045639554,6.148607798,6.189081669
Slovakia,2.734051,2.934037252,2.703891156,2.498895812,2.706261873
Slovenia,2.704126,2.541426335,2.280011501,2.168476118,2.25968051
"South Africa",4.700329,4.549521356,4.32103024,4.023142563,3.702685356
Spain,2.957823,2.759602672,2.962705433,3.487435406,3.447143555
"Sri Lanka",3.854614,3.860821719,4.033473871,4.190372992,4.233909607
Suriname,3.698085,3.496882698,,,
Swaziland,3.740217,3.634710528,3.71529274,4.4002,5.085106373
Sweden,4.39231,4.19094288,3.557270648,3.092496352,3.391679287
Switzerland,4.797704,5.091406345,5.183006864,5.439923048,5.657302856
Taiwan,3.606477,3.886139705,4.481995102,4.72467512,4.5623312
Tajikistan,,3.159574509,3.823892959,4.338063816,4.338063717
Tanzania,3.483517,3.215010751,3.057894778,3.126850524,3.354203939
Thailand,4.036965,3.777401191,3.864714815,4.161503342,4.112495422
"Timor Leste",3.793833,3.783093154,,,
"Trinidad and Tobago",4.343448,4.303256189,4.041304431,3.84675281,3.969269276
Tunisia,3.67136,3.63057401,3.607370633,3.756442095,3.662096977
Turkey,3.283895,3.304451526,3.689870276,3.893451088,3.893450975
Uganda,3.538947,3.579719987,3.623649421,3.652841058,3.592205048
Ukraine,2.369606,2.625625444,3.026666605,2.985816796,2.920638084
"United Arab Emirates",6.155589959,6.220472336,6.220472336,6.211169839,6.074952602
"United Kingdom",4.049006,4.092114307,4.231365011,4.245649553,4.286735058
"United States",4.121043,4.020276261,4.214206874,4.536939917,4.928750515
Uruguay,2.970304,2.924779709,2.942068379,3.032750871,2.641567945
Venezuela,3.5,3.062640751,2.956353968,3.63248238,3.687191486
Vietnam,3.360706,3.440719592,3.695123907,3.816965628,4.024810791
Yemen,2.806023,2.814986319,3.0188,3.222624481,3.45330286
Zambia,4.229843,4.238331071,3.970245763,3.713477439,3.705510139
Zimbabwe,3.383818,3.287625887,3.756076606,4.093437433,3.862409353
