Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bangladesh,91300,94225,97150,100075,103000,103000,107000,107000,107000,113000,170500,167200,170700,170700,192200,137000,200200,200200,188700,251000,252000,214000,221000,221000,220953,220953,220950,220950,220950,220950,220950,220950
Barbados,1000,960,920,880,840,800,760,720,680,640,600,600,600,610,610,600,600,600,600,610,610,610,610,1000,610,610,610,610,610,610,610,610
Belarus,,,,,,,,102000,115000,65000,106400,93500,89800,91000,103900,91100,192900,189800,182900,182000,183000,183000,183000,183000,182940,182940,158000,158000,158000,158000,158000,155350
Belgium,91600,96200,100800,105400,110000,106000,101000,79000,70000,53000,47200,46300,44450,43700,41750,39300,39400,39200,40800,36000,37000,40000,39000,39000,39482,35736,34050,30700,37500,37600,36350,33800
Belize,600,700,800,900,1000,1000,1000,1000,1000,1000,1100,1100,1050,1050,1050,1100,1100,1100,1100,1000,1000,1000,1000,1000,1050,1050,1050,1050,1050,1050,1500,1500
Benin,4500,4625,4750,4875,5000,6000,7000,7000,8000,8000,7300,7300,7300,7300,7300,7300,7300,7100,7100,6000,8000,8000,8000,8000,7250,7250,9450,9450,9450,9450,9750,9750
Bhutan,3000,3285.7143,3571.4286,3857.1429,4142.8571,4428.5714,4714.2857,5000,5000,5000,4000,5000,6000,7000,7000,6000,,,,,,,,,,,,,,,,
Bolivia,27600,28200,28800,29400,30000,30000,33000,32000,32000,28000,64100,64100,70600,70600,69600,69600,68600,68600,68600,68000,70000,83000,83000,83000,83200,83200,83200,83200,83200,71200,71200,71200
"Bosnia and Herzegovina",,,,,,,,60000,65000,70000,92000,227000,86000,86000,86000,76000,24000,19800,18800,24000,12000,9000,9000,9000,10577,10577,10550,10500,10500,10500,10500,10500
Botswana,4000,4500,5000,5500,6000,6000,7000,7000,7000,7000,8500,8500,8500,9500,10000,10000,10000,10500,10500,10000,11000,11000,11000,11000,10500,10500,10500,10500,10500,10500,9000,9000
Brazil,276000,286750,297500,308250,319000,295000,295000,296000,296000,296000,680600,680600,700300,698850,676600,673200,673200,673200,673200,687000,673000,754000,721000,721000,713480,713480,713480,713480,713480,729500,729500,729500
Brunei,4100,4075,4050,4025,4000,4000,4000,4000,4000,5000,9000,9100,9050,9050,8750,8800,9700,10700,10700,10000,11000,9000,9000,9000,9250,9250,9250,9250,9250,9250,9250,12100
Bulgaria,148500,148875,149250,149625,150000,129000,107000,99000,52000,80000,135900,137500,135500,135500,114760,113800,111300,102400,85000,85000,85000,75000,75000,75000,65315,65315,47300,47300,47300,47300,47300,31300
"Burkina Faso",4000,5000,6000,7000,8000,10000,10000,9000,9000,9000,10300,10300,10000,10250,10300,11300,14200,14400,15000,10250,11250,11250,11250,11250,11450,11450,11450,11450,11450,11450,11450,11450
"Burma (Myanmar)",186000,189500,193000,196500,200000,230000,286000,286000,322000,322000,371300,406300,429050,434850,429050,429100,444300,544300,595000,482250,483000,513000,513000,513000,513250,513250,513250,513250,513250,513250,513250,513250
Burundi,5200,6650,8100,9550,11000,12000,12000,13000,13000,17000,14600,22000,22000,43500,45500,45500,51000,51000,56000,81000,82000,66500,51000,51000,51050,51050,51050,51000,51050,51050,41000,51050
Cambodia,35000,51000,67000,83000,99000,112000,112000,135000,102000,70000,308500,307700,360500,359000,359000,360000,207000,192000,192000,192000,191000,191000,191000,191000,191300,191300,191300,191300,191300,191300,191300,191300
Cameroon,7300,10725,14150,17575,21000,23000,24000,12000,12000,12000,23600,22100,22100,22100,22100,22100,31100,32100,32100,23000,23000,23000,23000,23000,23100,23200,23100,23200,23200,23200,23400,23400
Canada,83000,84250,85500,86750,88000,87000,86000,82000,76000,75000,75700,79800,72700,69950,69950,68500,66100,61600,61600,71000,71000,64000,64000,64000,65722,65700,65700,66000,65700,70200,67500,67500
"Cape Verde",7700,6525,5350,4175,3000,1000,1000,1000,1000,1000,1150,1150,1150,1150,1200,1200,1300,1300,1300,1000,1000,1000,1000,1000,1200,1200,1200,1200,1200,1200,1200,1200
"Central African Republic",2300,2975,3650,4325,5000,4000,4000,4000,4000,4000,5000,5000,5000,4950,5000,5400,4200,3550,3600,2000,3000,3000,3000,3000,3150,3150,3150,8150,8150,8150,8150,8150
Chad,12200,17400,22600,27800,33000,50000,50000,38000,30000,40000,34850,34850,34850,34850,34850,34600,34900,34900,34800,34000,35000,35000,35000,35000,35030,34850,34850,34850,34850,39850,39850,39850
Chile,101000,99500,98000,96500,95000,95000,90000,92000,92000,102000,130000,120900,125500,124000,122500,116500,122200,117300,114100,116000,116000,103000,103000,103000,103771,103771,103750,106100,106100,109450,109450,121900
China,3900000,3900000,3900000,3900000,3900000,3500000,3200000,3160000,3030000,2930000,4130000,4135000,3640000,3820000,3820000,3910000,3810000,3770000,3750000,3755000,3755000,3605000,2885000,2885000,2945000,2945000,2945000,2993000,2993000,2993000,2843000,2695000
Colombia,66200,72400,78600,84800,91000,110000,110000,139000,139000,146000,233400,233300,233300,233300,231000,247000,262600,262600,304600,336000,336000,398000,411000,411000,441828,441828,440224,440224,455750,455750,481100,481100
"Congo (Brazzaville)",8700,10275,11850,13425,15000,9000,9000,10000,10000,10000,16700,15000,15000,15000,15000,15000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
"Congo (Kinshasa)",48000,48750,49500,50250,51000,55000,60000,45000,40000,40000,65100,65100,77000,87000,92900,92900,81400,81400,97800,64000,65000,104000,143000,151000,159000,159000,134250,134250,134250,134250,134250,134250
"Costa Rica",13200,11900,10600,9300,8000,8000,8000,8000,8000,8000,16200,16200,15400,15400,15400,15400,21900,25900,17000,14666.6667,12333.3333,10000,10000,10000,9800,9800,9800,9800,9800,9800,9800,9800
Croatia,,,,,,,,103000,80000,70000,150000,104700,98000,96180,101000,101000,68300,61000,30800,30000,31000,21000,21000,22000,21600,21600,21600,19550,19550,19550,18550,18550
Cuba,161500,195375,229250,263125,297000,297000,297000,175000,175000,140000,124000,119000,79000,79000,91500,84500,72500,72500,72500,75000,76000,76000,76000,76000,75500,75500,75500,75500,75500,75500,75500,75500
Cyprus,10000,11000,12000,13000,14000,10000,10000,10000,11333.3333,12666.6667,14000,14000,10500,10620,10750,10800,10800,10100,10100,11000,10750,10750,10750,10750,10750,12750,12750,12750,12750,12750,12750,15750
"Czech Republic",,,,,,,,,107000,90000,92000,75600,67300,64700,59600,63300,59200,55000,62600,27000,28000,26000,27000,27000,26541,28521,26750,26750,24100,24800,25050,23200
Denmark,29600,29950,30300,30650,31000,31000,30000,28000,27000,28000,33100,32900,32900,32100,27000,21800,21400,22700,22800,21000,21000,30000,30000,30000,18707,18628,16450,17200,17200,17200,16600,16100
Djibouti,3000,3250,3500,3750,4000,4000,3000,8000,8000,8000,12600,12600,12600,12600,12600,12600,12600,12300,12300,11000,13000,12500,12000,13000,12950,12950,12950,12950,12950,12950,12950,13100
"Dominican Republic",22200,21900,21600,21300,21000,21000,21000,22000,22000,22000,39500,39500,39500,39500,39500,39500,39500,39500,39500,39000,40000,65000,65000,40000,39500,39500,39500,61000,61000,71050,71050,71050
Ecuador,42500,43375,44250,45125,46000,53000,53000,57000,57000,57000,57400,57400,57370,57370,57370,57800,59800,59800,59800,46270,47270,57400,58400,58400,58983,58983,58983,58500,58983,40750,40750,40750
Egypt,445000,446250,447500,448750,450000,434000,434000,424000,424000,430000,610000,672000,680000,680000,680000,678500,768000,773000,780000,798000,799000,866000,866000,866000,865500,835500,835500,835500,835500,835500,835500,835500
"El Salvador",41700,42525,43350,44175,45000,55000,60000,49000,49000,30000,38500,40400,40400,36600,36600,28800,28800,28800,27500,15000,16000,28000,33000,33000,32500,32500,32300,32300,32300,41500,41500,41500
"Equatorial Guinea",2200,1900,1600,1300,1000,1000,1000,1000,1000,1000,1600,1600,1620,1600,1600,1600,1600,2300,1300,1000,1000,1000,1000,1000,1320,1320,1320,1320,1320,1320,1320,1450
Eritrea,,,,,,,,,55000,55000,55000,55000,46000,47100,200000,200000,171900,172200,202000,201000,202000,202000,202000,202000,201750,201750,201750,201750,201750,201750,201750,201750
Estonia,,,,,,,,3000,5000,4000,5500,5500,6300,7140,7600,7600,7300,8100,8100,6000,8000,7000,7000,7000,5450,5750,5750,5750,5750,5750,6400,6400
Ethiopia,217000,225250,233500,241750,250000,250000,120000,120000,120000,120000,120000,120000,120000,120000,325500,352500,252500,252500,162400,182000,183000,160500,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000
Fiji,2700,3025,3350,3675,4000,5000,5000,5000,5000,4000,3900,3600,3600,3500,3500,3500,3500,3500,3500,3000,4000,4000,4000,4000,3500,3500,3500,3500,3500,3500,3500,3500
Finland,36500,37125,37750,38375,39000,31000,32000,33000,31000,35000,34500,36000,34400,35100,35100,35100,35400,34900,30100,31000,31000,32000,32000,32000,25050,24975,25000,25000,25000,25000,24900,24200
France,464300,486725,509150,531575,554000,550000,542000,522000,506000,506000,502400,491300,473100,452200,411600,389400,374400,361800,360400,358000,359000,354000,353000,353000,341967,341967,332250,325600,318400,312350,306350,306100
Gabon,2400,4300,6200,8100,10000,9000,10000,7000,7000,6000,9500,9500,9500,9500,9500,6700,6700,6700,6700,6000,7000,7000,7000,7000,6700,6700,6700,6700,6700,6700,6700,6700
Gambia,480,860,1240,1620,2000,2000,2000,1000,1000,1000,800,800,800,800,800,800,800,800,800,800,800,900,1000,1000,800,800,800,800,800,800,800,800
Georgia,,,,,,,,,25000,7000,14000,15000,39200,39200,32800,33400,28500,29200,29200,22000,23000,33000,33000,33000,32355,32355,32350,32350,32350,32350,26050,26050
Germany,478000,484250,490500,496750,503000,545000,457000,442000,398000,362000,365000,383500,347100,333500,331000,221100,308400,296000,284500,284000,285000,246000,244000,244000,251465,251465,196000,186450,181550,178600,177300,179100
Ghana,15100,15325,15550,15775,16000,9000,9000,7000,7000,7000,12800,14500,8000,8000,8000,8000,7000,7000,7000,7000,7000,10500,14000,14000,15500,15500,15500,15500,15500,15500,15500,15500
Greece,201500,201375,201250,201125,201000,201000,205000,208000,213000,206000,201800,198800,166300,172500,169600,163200,163200,181600,181600,167000,168000,161000,161000,161000,142936,149647,148350,147350,148950,146950,146950,145350
Guatemala,31700,34525,37350,40175,43000,43000,43000,44000,44000,34000,56500,56500,50500,41200,40900,52900,50400,50400,50400,48000,48000,35000,35000,35000,34212,34212,42300,42300,42300,43050,43050,43050
Guinea,9900,11175,12450,13725,15000,15000,15000,15000,15000,12000,19300,19300,19300,19300,19300,19300,17300,19300,12300,11000,13000,16000,19000,19000,19300,19300,12300,12300,12300,12300,12300,12300
"Guinea Bissau",8550,8912.5,9275,9637.5,10000,12000,12000,11000,11000,7000,9200,9300,9250,9250,9300,9300,11300,11300,14200,9000,9000,9000,9000,6000,6458,6458,6450,6450,6450,6450,4450,4450
Guyana,6600,5950,5300,4650,4000,4000,4000,2000,2000,2000,3100,3100,3100,3100,3100,3100,3100,3100,3100,2000,3000,3000,3000,3000,2600,2600,1100,1100,1100,3400,3400,3400
Haiti,6900,7425,7950,8475,9000,8000,8000,8000,8000,7500,7000,7000,5500,5300,5300,5300,8300,5300,5300,5333.3333,5366.6667,5400,4330,3260,2190,1120,50,50,120,120,120,200
Honduras,16600,17200,17800,18400,19000,18000,17000,17000,17000,17000,24300,24300,24300,14300,14300,14300,14300,14300,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18700,18700,22700
Hungary,106000,106750,107500,108250,109000,94000,87000,78000,65000,60000,73000,78100,74100,70800,65000,57800,47800,47400,47400,46000,44000,44000,37000,37000,41626,34587,38500,38500,38500,38500,38500,39800
Iceland,,,,,,,,,,,100,100,120,120,100,100,100,100,100,110,120,130,130,130,130,130,180,180,200,200,250,250
India,1260000,1260000,1260000,1260000,1260000,1260000,1270000,1270000,1270000,1270000,2149500,2223000,2233000,2265000,2263000,2372000,2352700,2387700,2414700,2617000,3047000,2589000,2576000,2582000,2625586,2625586,2647150,2728700,2749700,2749700,2798800,2981050
Indonesia,278100,279825,281550,283275,285000,283000,278000,283000,271000,280000,460500,485200,484000,499000,499000,492000,492000,492000,497000,582000,582000,582000,582000,582000,582000,582000,676500,676500,676500,676500,675500,675500
Iran,610000,608500,607000,605500,604000,440000,465000,528000,528000,528000,763000,863000,868000,820000,785600,753000,553000,560000,580000,460000,585000,585000,563000,563000,563000,563000,563000,563000,563000,563000,563000,563000
Iraq,1000000,1000000,1000000,1000000,1000000,1390000,475000,407000,407000,425000,407300,432500,442900,479000,479000,479000,467000,432000,432000,179000,227000,495000,362000,577000,659395,802400,802400,802400,177600,209000,209000,209000
Ireland,13700,13525,13350,13175,13000,13000,13000,13000,13000,17000,12900,12700,12700,11500,11500,11500,10500,10500,10400,10000,10000,10000,10000,10000,10460,10460,8900,9350,9350,9100,9100,9100
Israel,142000,154250,166500,178750,191000,190000,190000,181000,181000,185000,178100,181100,181050,181050,179550,180500,171500,169500,175000,176000,176000,185000,185000,185000,184550,184550,184550,184500,184500,184500,184500,184500
Italy,385100,415325,445550,475775,506000,493000,473000,471000,450000,436000,585000,580900,580900,554100,521200,503100,482600,471100,454300,445000,445000,440000,436000,436000,326939,359378,367550,359500,359500,356850,356850,356850
"Ivory Coast",,,,,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15600,16200,16800,17400,18000,19000,19000,19000,19000,18550,19840,21130,22420,23710,25000,25000,25000
Jamaica,2100,2325,2550,2775,3000,3000,3000,3000,3000,3000,3500,3500,3470,3470,3020,3000,3000,3000,3000,2000,3000,3000,3000,3000,2830,2830,2830,2830,2830,3450,3450,3950
Japan,243000,244000,245000,246000,247000,250000,250000,242000,242000,233000,251500,247500,247600,254600,254600,248700,252100,252100,252100,251000,272000,252000,242000,242000,260382,260382,260086,259800,259800,259800,259800,260890
Jordan,70300,100225,130150,160075,190000,100000,100000,100000,100000,100000,128600,128700,134050,134050,134000,148900,110200,110200,110500,110000,111000,111000,111000,111000,110500,110500,110500,115500,115500,115500,115500,115500
Kazakhstan,,,,,,,,,15000,18000,74500,74500,69600,89600,100300,98500,98500,94500,100300,99000,101000,81000,81000,81000,80500,80500,70500,70500,70500,70500,70500,70500
Kenya,13700,15275,16850,18425,20000,20000,20000,24000,24000,22000,29200,29200,29200,29200,29200,27200,29400,29400,29100,29000,29000,29000,29000,29000,29120,29120,29100,29100,29100,29100,29100,29100
Kuwait,12000,14000,16000,18000,20000,7000,10000,12000,12000,15000,21600,20800,20300,20300,20300,20300,20500,22100,22100,21000,23000,23000,23000,23000,22600,22600,22600,22600,22600,22600,22600,22600
Kyrgyzstan,,,,,,,,12000,12000,13000,7000,12000,14200,14200,12200,14000,14000,15900,15900,17000,18000,21000,21000,21000,20400,20400,20400,20400,20400,20400,20400,20400
Laos,53700,54275,54850,55425,56000,55000,53000,37000,37000,45000,137000,137000,129000,129100,129100,129100,129100,129100,129100,129000,129000,129000,129000,129000,129100,129100,129100,129100,129100,129100,129100,129100
Latvia,,,,,,,,5000,5000,6000,11300,12300,8100,8680,9450,8500,10000,8700,8100,5000,5000,17000,17000,5000,5745,4600,5350,5310,5310,5310,5310,5310
Lebanon,17400,17550,17700,17850,18000,36000,36000,37000,37000,50000,62800,67400,73600,68100,80900,76600,84800,84800,85100,85000,85000,76000,76000,76000,79100,79100,80000,80000,80000,80000,80000,80000
Lesotho,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Liberia,6800,6850,6900,6950,7000,8000,5000,2000,8333.3333,14666.6667,21000,22000,22000,14000,5300,15000,15000,15000,15000,15000,15000,2000,2000,2000,2040,2040,2050,2050,2050,2050,2050,2050
Libya,73000,76250,79500,82750,86000,86000,86000,85000,85000,80000,80500,65500,65500,65500,65500,76500,76500,76500,76500,76000,76000,76000,76000,76000,76000,53000,30000,7000,7000,,,
Lithuania,,,,,,,,10000,10000,10000,8900,9900,10050,15030,16030,16600,17200,27300,27300,28000,29000,24000,24000,24000,25240,25240,23350,23350,21950,27400,28330,29650
Luxembourg,700,775,850,925,1000,1000,1000,1000,1000,1000,1400,1400,1360,1360,1400,1400,1500,1500,1500,1512,1512,1512,1512,1612,1512,1512,1510,1510,1510,1510,1500,1500
"Macedonia (F.Y.R.O.M.)",,,,,,,,10000,10000,10000,17900,17900,22900,27500,23500,23500,26000,19900,20400,17000,19000,19000,19000,19000,8000,8000,8000,8000,8000,8000,15600,15600
Madagascar,21100,21075,21050,21025,21000,21000,21000,21000,21000,21000,28500,28500,28500,28500,28500,28500,21600,21600,21600,21000,22000,22000,22000,22000,21600,21600,21600,21600,21600,21600,21600,21600
Malawi,5300,5725,6150,6575,7000,7000,8000,10000,10000,10000,9500,10800,6000,6000,6000,6000,6800,6800,6800,6000,7000,7000,7000,7000,5300,5300,6800,6800,6800,6800,6800,14900
Malaysia,110000,111250,112500,113750,115000,130000,128000,128000,115000,115000,140300,140300,131600,130100,125100,116100,120600,120100,124100,130000,135000,134000,134000,134000,133600,133600,133600,133600,133600,133600,133600,133600
Maldives,,,,,,,,,,,,,,5000,5000,5000,,,,,,,,,,,,,,,,
Mali,4900,5675,6450,7225,8000,13000,13000,12000,12000,12000,15200,15200,15150,15150,15200,15200,15200,15200,12200,11000,12000,12000,12000,12000,12150,12150,12150,7800,11800,13800,15800,17800
Malta,800,1100,1400,1700,2000,2000,2000,2000,2000,2000,1900,2000,1950,1900,1900,2100,2100,2100,2100,2000,2000,2000,2000,2000,2121,2127,2120,2130,2130,2130,2130,2130
Mauritania,8500,10375,12250,14125,16000,17000,17000,16000,16000,11000,20700,20700,20650,20650,20650,20700,20600,20700,20700,20000,21000,21000,21000,21000,20870,20870,20850,20850,20850,20850,20850,20850
Mauritius,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1800,1800,1800,1800,1800,1800,1600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2500,2500,2500,2500,2550,2550
Mexico,129100,135325,141550,147775,154000,175000,175000,175000,175000,175000,189000,190000,190000,190000,193770,207800,203800,203800,203800,203000,204000,280000,286000,305000,331750,331750,329750,329750,325450,336050,336050,336050
Moldova,,,,,,,,9000,13000,11000,15300,15300,14430,14450,14050,12900,11600,10600,10300,9000,10000,8000,9000,8000,7733,7733,7750,7750,7750,7750,7550,7550
Mongolia,33000,33000,33000,33000,33000,32000,31000,21000,18000,18000,31100,33500,14900,17000,16300,16300,16300,16300,15800,15000,16000,16000,16000,17000,17200,17200,17200,17200,17500,17500,17500,17500
Montenegro,,,,,,,,,,,,,,,,,,,,,,16000,15000,15000,13227,13084,12180,12180,12180,12180,12050,12050
Morocco,149000,160500,172000,183500,195000,195000,195000,195000,195000,195000,237500,236000,238300,238300,238300,240500,246500,246300,246300,250000,251000,246000,246000,246000,245800,245800,245800,245800,245800,245800,245800,245800
Mozambique,15800,28100,40400,52700,65000,65000,65000,50000,50000,11000,12000,11000,6100,6100,6100,6100,11000,11000,8200,11000,11000,11000,11000,11000,11200,11200,11200,11200,11200,11200,11200,11200
Namibia,,,,,,,8000,8000,8000,8000,8100,8200,5900,9100,9100,9100,15000,15000,15000,15000,15000,15000,15000,15000,15200,15200,15200,15200,15200,15200,15200,15900
Nepal,25000,27500,30000,32500,35000,35000,35000,35000,35000,35000,63000,71000,86000,90000,90000,90000,86000,91000,103000,131000,131000,131000,131000,131000,157753,157753,157750,157750,157750,157750,158600,158600
Netherlands,105500,105625,105750,105875,106000,104000,104000,90000,86000,77000,78000,66700,60800,60780,60000,57100,55600,52900,59900,53000,60000,46000,41000,47000,43279,43279,43300,43300,43300,41900,41310,41310
"New Zealand",12400,12300,12200,12100,12000,11000,11000,11000,11000,10000,10100,9870,9550,9550,9530,9200,9200,8700,8600,8000,9000,9000,9000,9000,9673,9673,8550,8550,8500,8500,8950,9000
Nicaragua,62900,63425,63950,64475,65000,28000,20000,15000,15000,14000,12000,17000,17000,17000,16000,16000,16000,14000,14000,14000,14000,14000,14000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Niger,2200,2650,3100,3550,4000,5000,5000,5000,5000,5000,10700,10700,10700,10700,10700,10700,10700,10700,10700,10000,10000,10000,10000,10000,10700,10700,10700,10700,10700,10700,10700,10700
Nigeria,94000,97250,100500,103750,107000,94000,94000,76000,76000,80000,89100,89100,107000,107000,124000,106500,160500,160500,160500,160000,161000,162000,162000,162000,162000,162000,162000,162000,162000,162000,200000,200000
"North Korea",838000,888500,939000,989500,1040000,1200000,1200000,1200000,1100000,1100000,1243000,1169000,1244000,1244000,1244000,1244000,1271000,1271000,1271000,1295000,1295000,1295000,1295000,1295000,1379000,1379000,1379000,1379000,1379000,1379000,1379000,1469000
Norway,37000,38500,40000,41500,43000,51000,41000,36000,32000,33000,30700,30700,34300,28870,31000,27000,26700,26600,26600,25000,47000,16000,19000,19000,26450,24450,24450,25800,25800,25800,24950,23950
Oman,29200,29150,29100,29050,29000,32000,29000,35000,35000,35000,47900,47900,47900,47900,47900,47900,47800,46100,46100,45000,46000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
Pakistan,482800,492100,501400,510700,520000,550000,565000,580000,580000,580000,846000,835000,834000,834000,834000,900000,908000,909000,909000,921000,921000,923000,921000,921000,921000,946000,946000,947800,947800,925800,935800,935800
Panama,12000,12500,13000,13500,14000,11000,12000,11000,11000,11000,11800,11800,11800,11800,11800,11800,11800,11800,11800,11900,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,22050,22050
"Papua New Guinea",3200,3150,3100,3050,3000,4000,4000,4000,4000,4000,3800,3700,4300,4300,4300,4400,4400,3100,3100,3000,3000,3000,3000,3000,3100,3100,3100,1900,1900,1900,1900,3600
Paraguay,14400,14800,15200,15600,16000,16000,16000,16000,16000,16000,28300,35000,35000,35000,35000,35000,33400,33400,33400,24000,25000,26000,26000,26000,25450,25450,25450,25450,25450,25450,25450,25450
Peru,128000,123500,119000,114500,110000,125000,123000,112000,112000,112000,177600,193600,203000,203000,193000,193000,177000,187000,177000,157000,157000,198000,198000,191000,192000,192000,192000,192000,192000,158000,158000,158000
Philippines,114800,114100,113400,112700,112000,109000,107000,107000,107000,104000,149000,150000,153000,160300,152500,148500,151000,150000,150000,146000,147000,147000,147000,147000,165500,165500,165500,165500,165500,165500,165500,165500
Poland,319000,326750,334500,342250,350000,313000,305000,270000,260000,255000,302000,272900,265150,264050,264050,238800,228000,184400,184400,162000,162000,148000,142000,143000,121400,121400,118050,172700,172700,172700,172700,178400
Portugal,73000,80750,88500,96250,104000,87000,86000,80000,68000,122000,104000,104000,100200,94500,90600,90500,90000,90000,92600,91000,93000,91000,91000,91000,91040,90334,90300,90300,79850,78100,73600,74500
Qatar,6000,6250,6500,6750,7000,11000,11000,8000,8000,10000,11100,11800,11800,11800,11800,12300,12300,12400,12400,12000,12000,12000,12000,12000,11800,11800,11800,11800,11800,11800,11800,21500
Romania,189500,193875,198250,202625,207000,126000,201000,172000,200000,200000,296500,307500,306050,295550,282900,282900,178900,179100,177100,176000,177000,154000,153000,153000,151645,153800,151300,151300,151300,151300,150400,149200
Russia,,,,,,,,1900000,1500000,1400000,1800000,1622000,1823000,1702000,1482100,1427100,1386200,1397200,1369700,1452000,1452000,1446000,1476000,1476000,1495000,1430000,1364000,1364000,1260000,1287000,1490000,1454000
Rwanda,5200,5400,5600,5800,6000,6000,30000,30000,30000,30000,47000,40000,62000,54000,54000,76000,79000,80000,61000,53000,53000,44000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
"Saint Thomas and Principe",,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,,,,,,
"Saudi Arabia",62500,67375,72250,77125,82000,146000,191000,172000,172000,164000,177500,178500,178000,178000,178000,217000,217200,215000,215000,214000,216000,240000,238000,238000,249000,249000,249000,249000,251500,251500,251500,251500
Senegal,10100,11325,12550,13775,15000,18000,18000,18000,18000,14000,17400,17400,17350,17000,17000,15400,15600,15200,18600,18000,19000,19000,19000,19000,18620,18620,18600,18600,18600,18600,18600,18600
Serbia,,,,,225000,180000,169000,137000,100000,130000,164500,151900,152200,152200,146700,135700,198500,124500,109200,110000,110000,24000,24000,24000,29125,29125,28150,28150,28150,28150,28150,31850
Seychelles,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1300,450,450,500,500,500,800,800,650,450,450,450,450,650,650,870,840,840,840,840,840
"Sierra Leone",3100,3325,3550,3775,4000,5000,5000,8000,5000,5000,7000,15000,15800,5800,3800,3800,6000,13000,13000,13000,13000,11000,11000,11000,10500,10500,10500,10500,10500,8500,8500,8500
Singapore,55000,55250,55500,55750,56000,56000,56000,56000,56000,56000,65500,65500,178000,180500,181000,168500,154500,156800,168800,165000,167000,167000,167000,167000,147500,147500,147600,147600,147600,147600,147600,147600
Slovakia,,,,,,,,,33000,47000,51000,46600,45150,48050,47480,41200,37700,30900,22000,20000,20000,17000,17000,17000,16531,15799,15850,15850,15850,15850,15850,15850
