Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2914,2918,2990,3039,3017,3052,3122,3159,3230,3290,3477,3727,3959,4318,4590,4810,4937,5003,5197,5408,5391,5482,5512,5538,5697,5818,6108,6311,6443,6625,6793,6968,7130,7273,7445,7648,7840
Italy,41856,42259,42741,43328,44053,44170,44455,44787,45081,45284,45606,45542,44372,43329,43052,40838,40541,41538,41387,41068,40832,39795,39318,39545,39531,39244,39597,38991,38912,39207,39796,39898,40225,40339,40113,40417,40880,41393,41918,41850,42274,42905,42665,41516,40699,40669,41137,41134,41854,42235,42608,43138,43596,43975,44230,44398,45285,45990,45807,44259,44015,44052,42946,41823,41794,42209,42924,43190
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531,1600,1670,1738,1737,1759,1779,1768,1808,1876,1890,1878,1907,1858,1838,1856,2017,,,,,,,,,,,,,,,
Japan,80285,81230,82186,83154,85508,89372,93402,96926,98469,100393,103525,105089,105337,105924,107668,108467,111097,113958,116059,116220,116929,117317,118059,119926,116104,114218,116697,118471,119857,121366,122278,122906,123898,126153,127462,127386,128143,128990,130266,130974,131032,132531,130786,128916,127877,128486,128830,127879,125035,122328,121936,120483,118270,118565,119716,119778,121156,121484,120025,115329,116435,116032,116204,115465,115813,115848,116547,116774
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838,1848,1930,1923,1889,1825,1865,1845,1847,1804,1847,1954,1999,2113,1764,1632,1671,1680,1713,1699,1693,1690,1696
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565,2585,2610,2659,2523,2583,2465,2513,2546,2649,2669,2654,2751,2757,2453,2349,2329,2368,2379,2416,2481,2561,2577
Luxembourg,,,,,,,,,,,,,,,,,,,,,261,269,273,273,277,276,279,274,270,269,268,265,262,260,259,264,269,276,288,295,308,317,321,328,333,344,355,366,381,399,423,443,454,462,472,477,496,522,548,535,545,561,572,580,597,615,633,652
Malaysia,,,,,,,,,,,,,,,,,,,,,7802,8073,8352,8631,8917,9221,9526,9856,10181,10523,10904,11541,11954,12422,12706,12882,13084,13598,13981,14564,15258,15396,16192,16974,17289,17582,19320,19754,19800,20361,21348,21584,22273,22942,23141,23720,24138,24495,24499,25135,27252,28076,28860,29586,30424,30900,31088,31665
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,327,331,332,335,334,330,322,331,326,312,326,332,338,348,349,346,346,350,360,373,385,400,409
Mexico,19278,19497,19719,19943,20170,20406,20691,20981,21274,21571,21883,22397,22922,23460,24011,24620,25279,25956,26651,27364,28163,29660,31237,32897,34650,36754,38289,39888,41780,44292,47066,48684,50358,50599,52760,55381,57173,59209,61315,63627,65910,67803,70009,72313,74439,73796,77516,82243,83283,84796,86888,86117,87577,88505,91315,92313,95481,96262,98308,96901,104491,105515,109072,110256,109517,112911,114634,115704
