Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Congo (Kinshasa)",,,,,,,,,,,0.667,0.669,0.671,0.673,0.675,0.677,0.6735,0.67,0.667,0.657,0.663
"Costa Rica",0.463,0.456,0.449,0.442,0.435,0.428,0.4118,0.3956,0.3794,0.3632,0.347,0.343,0.339,0.335,0.331,0.327,0.32,0.314,0.308,0.313,0.308
Croatia,0.28,0.2652,0.2504,0.2356,0.2208,0.206,0.1976,0.1892,0.1808,0.1724,0.164,0.1604,0.1568,0.1532,0.1496,0.146,0.142,0.135,0.128,0.12,0.141
Cuba,0.428,0.421,0.414,0.407,0.4,0.393,0.383,0.373,0.363,0.353,0.343,0.34,0.337,0.334,0.331,0.328,0.322,0.317,0.311,0.307,0.304
Cyprus,0.347,0.3292,0.3114,0.2936,0.2758,0.258,0.2344,0.2108,0.1872,0.1636,0.14,0.1388,0.1376,0.1364,0.1352,0.134,0.14,0.138,0.135,0.12,0.116
"Czech Republic",0.252,0.2421,0.2322,0.2223,0.2124,0.2025,0.1926,0.1827,0.1728,0.1629,0.153,0.1494,0.1458,0.1422,0.1386,0.135,0.132,0.131,0.135,0.134,0.129
Denmark,0.102,0.0968,0.0916,0.0864,0.0812,0.076,0.074,0.072,0.07,0.068,0.066,0.064,0.062,0.06,0.058,0.056,0.051,0.048,0.044,0.043,0.041
"Dominican Republic",0.571,0.5538,0.5366,0.5194,0.5022,0.485,0.4818,0.4786,0.4754,0.4722,0.469,0.4686,0.4682,0.4678,0.4674,0.467,0.493,0.447,0.483,0.476,0.47
Ecuador,0.589,0.5694,0.5498,0.5302,0.5106,0.491,0.4836,0.4762,0.4688,0.4614,0.454,0.4474,0.4408,0.4342,0.4276,0.421,0.424,0.418,0.405,0.394,0.391
Egypt,0.665,0.6588,0.6526,0.6464,0.6402,0.634,0.6234,0.6128,0.6022,0.5916,0.581,0.5801,0.5793,0.5784,0.5776,0.5767,0.5759,0.575,,,
"El Salvador",0.526,0.5244,0.5228,0.5212,0.5196,0.518,0.5116,0.5052,0.4988,0.4924,0.486,0.4764,0.4668,0.4572,0.4476,0.438,0.437,0.413,0.406,0.397,0.384
Estonia,0.386,0.3656,0.3452,0.3248,0.3044,0.284,0.27,0.256,0.242,0.228,0.214,0.2048,0.1956,0.1864,0.1772,0.168,0.171,0.162,0.155,0.154,0.131
Ethiopia,,,,,,,,,,,0.611,0.604,0.597,0.59,0.583,0.576,0.568,0.56,0.546,0.531,0.499
Fiji,0.499,0.49,0.481,0.472,0.463,0.454,0.445,0.436,0.427,0.418,0.409,0.4046,0.4001,0.3957,0.3912,0.3868,0.3823,0.3779,0.3734,0.369,0.358
Finland,0.103,0.0994,0.0958,0.0922,0.0886,0.085,0.0856,0.0862,0.0868,0.0874,0.088,0.0858,0.0836,0.0814,0.0792,0.077,0.072,0.068,0.064,0.06,0.056
France,0.22,0.2144,0.2088,0.2032,0.1976,0.192,0.1848,0.1776,0.1704,0.1632,0.156,0.1498,0.1436,0.1374,0.1312,0.125,0.123,0.108,0.107,0.103,0.102
Gabon,0.606,0.6038,0.6016,0.5994,0.5972,0.595,0.5908,0.5866,0.5824,0.5782,0.574,0.5708,0.5676,0.5644,0.5612,0.558,0.556,0.552,0.549,0.547,0.542
Gambia,0.747,0.7454,0.7438,0.7422,0.7406,0.739,0.7206,0.7022,0.6838,0.6654,0.647,0.65,0.653,0.656,0.659,0.662,0.659,0.657,0.654,0.642,0.641
Georgia,0.426,0.4252,0.4244,0.4236,0.4228,0.422,0.4152,0.4084,0.4016,0.3948,0.388,0.3944,0.4008,0.4072,0.4136,0.42,0.416,0.375,0.369,0.363,0.361
Germany,0.156,0.1508,0.1456,0.1404,0.1352,0.13,0.1274,0.1248,0.1222,0.1196,0.117,0.113,0.109,0.105,0.101,0.097,0.092,0.087,0.077,0.073,0.066
Ghana,0.626,0.6207,0.6154,0.6101,0.6048,0.5995,0.5942,0.5889,0.5836,0.5783,0.573,0.5724,0.5718,0.5712,0.5706,0.57,0.567,0.558,0.549,0.548,0.547
Greece,0.283,0.2706,0.2582,0.2458,0.2334,0.221,0.2126,0.2042,0.1958,0.1874,0.179,0.175,0.171,0.167,0.163,0.159,0.148,0.134,0.128,0.121,0.119
Guatemala,0.596,0.5966,0.5972,0.5978,0.5984,0.599,0.5932,0.5874,0.5816,0.5758,0.57,0.564,0.558,0.552,0.546,0.54,0.531,0.523,0.522,0.503,0.494
Guyana,,,,,,0.54,0.5374,0.5348,0.5322,0.5296,0.527,0.526,0.525,0.524,0.523,0.522,0.518,0.515,0.512,0.509,0.508
Haiti,,,,,,,,,,,0.579,0.582,0.585,0.588,0.591,0.594,0.597,0.603,0.6,0.597,0.593
Honduras,,,,,,0.547,0.5406,0.5342,0.5278,0.5214,0.515,0.5146,0.5142,0.5138,0.5134,0.513,0.504,0.495,0.4805,0.466,0.461
Hungary,0.322,0.3152,0.3084,0.3016,0.2948,0.288,0.2824,0.2768,0.2712,0.2656,0.26,0.259,0.258,0.257,0.256,0.255,0.261,0.259,0.259,0.249,0.252
Iceland,0.184,0.177,0.17,0.163,0.156,0.149,0.1442,0.1394,0.1346,0.1298,0.125,0.1198,0.1146,0.1094,0.1042,0.099,0.095,0.085,0.076,0.065,0.051
India,0.687,0.6802,0.6734,0.6666,0.6598,0.653,0.6462,0.6394,0.6326,0.6258,0.619,0.6134,0.6078,0.6022,0.5966,0.591,0.582,0.573,0.561,0.544,0.53
Indonesia,0.578,0.5752,0.5724,0.5696,0.5668,0.564,0.5578,0.5516,0.5454,0.5392,0.533,0.5236,0.5142,0.5048,0.4954,0.486,0.481,0.476,0.472,0.472,0.467
Iran,0.665,0.6522,0.6394,0.6266,0.6138,0.601,0.5832,0.5654,0.5476,0.5298,0.512,0.5154,0.5188,0.5222,0.5256,0.529,0.527,0.517,0.516,0.514,0.509
Iraq,0.658,0.6504,0.6428,0.6352,0.6276,0.62,0.6116,0.6032,0.5948,0.5864,0.578,0.5696,0.5612,0.5528,0.5444,0.536,0.534,0.532,0.529,0.528,0.525
Ireland,0.202,0.2018,0.2016,0.2014,0.2012,0.201,0.1992,0.1974,0.1956,0.1938,0.192,0.1878,0.1836,0.1794,0.1752,0.171,0.155,0.149,0.14,0.135,0.127
Israel,0.244,0.2346,0.2252,0.2158,0.2064,0.197,0.1922,0.1874,0.1826,0.1778,0.173,0.1682,0.1634,0.1586,0.1538,0.149,0.141,0.136,0.124,0.118,0.103
Italy,0.198,0.194,0.19,0.186,0.182,0.178,0.1774,0.1768,0.1762,0.1756,0.175,0.1648,0.1546,0.1444,0.1342,0.124,0.12,0.116,0.09,0.085,0.085
Jamaica,0.48,0.4778,0.4756,0.4734,0.4712,0.469,0.4684,0.4678,0.4672,0.4666,0.466,0.4638,0.4616,0.4594,0.4572,0.455,0.443,0.439,0.435,0.426,0.422
Japan,0.159,0.1542,0.1494,0.1446,0.1398,0.135,0.1376,0.1402,0.1428,0.1454,0.148,0.1424,0.1368,0.1312,0.1256,0.12,0.119,0.127,0.127,0.124,0.116
Jordan,0.674,0.6656,0.6572,0.6488,0.6404,0.632,0.617,0.602,0.587,0.572,0.557,0.5432,0.5294,0.5156,0.5018,0.488,0.489,0.487,0.484,0.48,0.478
Kazakhstan,0.449,0.4402,0.4314,0.4226,0.4138,0.405,0.396,0.387,0.378,0.369,0.36,0.3414,0.3228,0.3042,0.2856,0.267,0.254,0.226,0.215,0.203,0.202
Kenya,0.708,0.7056,0.7032,0.7008,0.6984,0.696,0.6876,0.6792,0.6708,0.6624,0.654,0.6464,0.6388,0.6312,0.6236,0.616,0.613,0.61,0.573,0.569,0.565
"South Korea",0.277,0.2598,0.2426,0.2254,0.2082,0.191,0.1742,0.1574,0.1406,0.1238,0.107,0.1054,0.1038,0.1022,0.1006,0.099,0.093,0.083,0.076,0.071,0.067
Kuwait,0.585,0.585,0.585,0.585,0.585,0.585,0.5428,0.5006,0.4584,0.4162,0.374,0.3464,0.3188,0.2912,0.2636,0.236,0.234,0.247,0.243,0.34,0.335
Kyrgyzstan,0.51,0.5032,0.4964,0.4896,0.4828,0.476,0.5162,0.5564,0.5966,0.6368,0.677,0.6146,0.5522,0.4898,0.4274,0.365,0.372,0.373,0.378,0.38,0.394
Laos,,,,,,0.577,0.57,0.563,0.556,0.549,0.542,0.5356,0.5292,0.5228,0.5164,0.51,0.501,0.493,0.484,0.475,0.468
Latvia,0.41,0.3832,0.3564,0.3296,0.3028,0.276,0.2642,0.2524,0.2406,0.2288,0.217,0.2152,0.2134,0.2116,0.2098,0.208,0.204,0.188,0.184,0.195,0.191
Lebanon,,,,,,,,,,,,,,,,0.404,0.398,0.393,0.387,0.386,0.381
Lesotho,0.577,0.5806,0.5842,0.5878,0.5914,0.595,0.593,0.591,0.589,0.587,0.585,0.5818,0.5786,0.5754,0.5722,0.569,0.563,0.556,0.553,0.549,0.549
Liberia,,,,,,0.689,0.6864,0.6838,0.6812,0.6786,0.676,0.673,0.67,0.667,0.664,0.661,0.668,0.66,0.654,0.649,0.649
Libya,,,,,,,,,,,0.268,0.2574,0.2468,0.2362,0.2256,0.215,0.1905,0.166,0.166,0.169,0.167
Lithuania,0.325,0.3162,0.3074,0.2986,0.2898,0.281,0.2618,0.2426,0.2234,0.2042,0.185,0.1816,0.1782,0.1748,0.1714,0.168,0.169,0.141,0.135,0.128,0.121
Luxembourg,0.2,0.195,0.19,0.185,0.18,0.175,0.1712,0.1674,0.1636,0.1598,0.156,0.1512,0.1464,0.1416,0.1368,0.132,0.112,0.114,0.088,0.081,0.075
Malawi,0.719,0.7136,0.7082,0.7028,0.6974,0.692,0.6846,0.6772,0.6698,0.6624,0.655,0.6472,0.6394,0.6316,0.6238,0.616,0.609,0.607,0.605,0.616,0.614
Malaysia,0.398,0.3864,0.3748,0.3632,0.3516,0.34,0.3368,0.3336,0.3304,0.3272,0.324,0.3208,0.3176,0.3144,0.3112,0.308,0.31,0.303,0.293,0.287,0.291
Maldives,0.649,0.6274,0.6058,0.5842,0.5626,0.541,0.5168,0.4926,0.4684,0.4442,0.42,0.4126,0.4052,0.3978,0.3904,0.383,0.369,0.353,0.335,0.328,0.312
Mali,0.726,0.7258,0.7256,0.7254,0.7252,0.725,0.7246,0.7242,0.7238,0.7234,0.723,0.7138,0.7046,0.6954,0.6862,0.677,0.681,0.682,0.684,0.686,0.689
Malta,0.331,0.329,0.327,0.325,0.323,0.321,0.3186,0.3162,0.3138,0.3114,0.309,0.3026,0.2962,0.2898,0.2834,0.277,0.274,0.263,0.216,0.213,0.217
Mauritania,0.809,0.7984,0.7878,0.7772,0.7666,0.756,0.746,0.736,0.726,0.716,0.706,0.696,0.686,0.676,0.666,0.656,0.652,0.647,0.6385,0.63,0.627
Mauritius,0.479,0.4736,0.4682,0.4628,0.4574,0.452,0.4354,0.4188,0.4022,0.3856,0.369,0.3716,0.3742,0.3768,0.3794,0.382,0.37,0.369,0.361,0.355,0.38
Mexico,0.508,0.505,0.502,0.499,0.496,0.493,0.4806,0.4682,0.4558,0.4434,0.431,0.425,0.419,0.413,0.407,0.401,0.393,0.369,0.364,0.355,0.345
Moldova,0.486,0.4738,0.4616,0.4494,0.4372,0.425,0.3984,0.3718,0.3452,0.3186,0.292,0.2908,0.2896,0.2884,0.2872,0.286,0.257,0.255,0.247,0.25,0.232
Mongolia,0.5,0.49,0.48,0.47,0.46,0.45,0.442,0.434,0.426,0.418,0.41,0.4092,0.4084,0.4076,0.4068,0.406,0.397,0.3,0.292,0.283,0.278
Montenegro,,,,,,,,,,,,,,,,0.218,0.203,0.175,0.174,0.163,0.156
Morocco,0.713,0.7096,0.7062,0.7028,0.6994,0.696,0.6728,0.6496,0.6264,0.6032,0.58,0.5766,0.5732,0.5698,0.5664,0.563,0.53,0.527,0.522,0.517,0.494
Mozambique,0.664,0.6602,0.6564,0.6526,0.6488,0.645,0.6436,0.6422,0.6408,0.6394,0.638,0.6338,0.6296,0.6254,0.6212,0.617,0.607,0.596,0.587,0.5805,0.574
"Burma (Myanmar)",,,,,,,,,,,,,,,,0.459,0.476,0.446,0.443,0.443,0.374
Namibia,0.555,0.5532,0.5514,0.5496,0.5478,0.546,0.5418,0.5376,0.5334,0.5292,0.525,0.5224,0.5198,0.5172,0.5146,0.512,0.51,0.506,0.501,0.4875,0.474
Nepal,0.71,0.702,0.694,0.686,0.678,0.67,0.6666,0.6632,0.6598,0.6564,0.653,0.6298,0.6066,0.5834,0.5602,0.537,0.528,0.518,0.512,0.506,0.497
Netherlands,0.113,0.1096,0.1062,0.1028,0.0994,0.096,0.0932,0.0904,0.0876,0.0848,0.082,0.0764,0.0708,0.0652,0.0596,0.054,0.05,0.049,0.047,0.044,0.044
"New Zealand",0.222,0.2156,0.2092,0.2028,0.1964,0.19,0.1896,0.1892,0.1888,0.1884,0.188,0.1876,0.1872,0.1868,0.1864,0.186,0.179,0.175,0.171,0.165,0.158
Nicaragua,0.629,0.6236,0.6182,0.6128,0.6074,0.602,0.5898,0.5776,0.5654,0.5532,0.541,0.5368,0.5326,0.5284,0.5242,0.52,0.477,0.479,0.474,0.466,0.462
Niger,0.831,0.8284,0.8258,0.8232,0.8206,0.818,0.8004,0.7828,0.7652,0.7476,0.73,0.727,0.724,0.721,0.718,0.715,0.712,0.707,0.702,0.698,0.695
Norway,0.122,0.1194,0.1168,0.1142,0.1116,0.109,0.1042,0.0994,0.0946,0.0898,0.085,0.083,0.081,0.079,0.077,0.075,0.071,0.067,0.062,0.057,0.053
Oman,,,,,,,,,,,0.387,0.3742,0.3614,0.3486,0.3358,0.323,0.311,0.302,0.294,0.284,0.281
Pakistan,0.766,0.7489,0.7318,0.7147,0.6976,0.6805,0.6634,0.6463,0.6292,0.6121,0.595,0.59,0.585,0.58,0.575,0.57,0.569,0.556,0.555,0.55,0.546
Panama,0.517,0.515,0.513,0.511,0.509,0.507,0.5,0.493,0.486,0.479,0.472,0.4806,0.4892,0.4978,0.5064,0.515,0.517,0.512,0.507,0.458,0.457
"Papua New Guinea",0.668,0.667,0.666,0.665,0.664,0.663,0.6668,0.6706,0.6744,0.6782,0.682,0.679,0.676,0.673,0.67,0.667,0.662,0.605,0.602,0.597,0.595
Paraguay,0.575,0.5714,0.5678,0.5642,0.5606,0.557,0.553,0.549,0.545,0.541,0.537,0.5298,0.5226,0.5154,0.5082,0.501,0.499,0.491,0.469,0.468,0.464
Peru,0.547,0.5379,0.5288,0.5197,0.5106,0.5015,0.4924,0.4833,0.4742,0.4651,0.456,0.446,0.436,0.426,0.416,0.406,0.412,0.4,0.394,0.389,0.385
Philippines,0.483,0.4822,0.4814,0.4806,0.4798,0.479,0.4766,0.4742,0.4718,0.4694,0.467,0.4634,0.4598,0.4562,0.4526,0.449,0.445,0.441,0.437,0.436,0.436
Poland,0.258,0.2474,0.2368,0.2262,0.2156,0.205,0.1968,0.1886,0.1804,0.1722,0.164,0.1652,0.1664,0.1676,0.1688,0.17,0.155,0.152,0.15,0.146,0.137
Portugal,0.243,0.236,0.229,0.222,0.215,0.208,0.2028,0.1976,0.1924,0.1872,0.182,0.1738,0.1656,0.1574,0.1492,0.141,0.128,0.127,0.11,0.103,0.091
Qatar,,,,,,,,,,,,,,,,0.579,0.554,0.556,0.552,0.546,0.542
Romania,0.474,0.4621,0.4502,0.4383,0.4264,0.4145,0.4026,0.3907,0.3788,0.3669,0.355,0.3556,0.3562,0.3568,0.3574,0.358,0.355,0.343,0.344,0.342,0.339
Russia,0.467,0.4582,0.4494,0.4406,0.4318,0.423,0.4102,0.3974,0.3846,0.3718,0.359,0.3502,0.3414,0.3326,0.3238,0.315,0.308,0.296,0.29,0.286,0.271
Rwanda,0.583,0.5768,0.5706,0.5644,0.5582,0.552,0.5384,0.5248,0.5112,0.4976,0.484,0.476,0.468,0.46,0.452,0.444,0.433,0.422,0.405,0.394,0.383
"Saint Lucia",,,,,,,,,,,,,,,,,,,0.37,0.367,0.354
Samoa,,,,,,0.496,0.4954,0.4948,0.4942,0.4936,0.493,0.4856,0.4782,0.4708,0.4634,0.456,0.491,0.485,0.478,0.445,0.439
"Saint Thomas and Principe",,,,,,,,,,,,,,,,0.533,0.531,0.53,0.529,0.527,0.524
"Saudi Arabia",,,,,,,,,,,0.672,0.6642,0.6564,0.6486,0.6408,0.633,0.623,0.619,0.267,0.262,0.257
Senegal,0.628,0.6288,0.6296,0.6304,0.6312,0.632,0.6314,0.6308,0.6302,0.6296,0.629,0.6182,0.6074,0.5966,0.5858,0.575,0.567,0.539,0.532,0.525,0.521
Serbia,,,,,,,,,,,,,,,,0.22,0.217,0.189,0.19,0.187,0.185
"Sierra Leone",,,,,,0.695,0.6898,0.6846,0.6794,0.6742,0.669,0.6682,0.6674,0.6666,0.6658,0.665,0.662,0.66,0.656,0.653,0.65
Singapore,0.252,0.256,0.26,0.264,0.268,0.272,0.251,0.23,0.209,0.188,0.167,0.1534,0.1398,0.1262,0.1126,0.099,0.102,0.091,0.082,0.069,0.068
Slovakia,0.248,0.2422,0.2364,0.2306,0.2248,0.219,0.213,0.207,0.201,0.195,0.189,0.19,0.191,0.192,0.193,0.194,0.192,0.182,0.18,0.18,0.18
Slovenia,0.247,0.2362,0.2254,0.2146,0.2038,0.193,0.1822,0.1714,0.1606,0.1498,0.139,0.136,0.133,0.13,0.127,0.124,0.073,0.067,0.064,0.057,0.053
"South Africa",0.424,0.423,0.422,0.421,0.42,0.419,0.4204,0.4218,0.4232,0.4246,0.426,0.4254,0.4248,0.4242,0.4236,0.423,0.419,0.415,0.406,0.4,0.394
Spain,0.157,0.1494,0.1418,0.1342,0.1266,0.119,0.1188,0.1186,0.1184,0.1182,0.118,0.117,0.116,0.115,0.114,0.113,0.106,0.1,0.095,0.087,0.081
"Sri Lanka",0.471,0.4684,0.4658,0.4632,0.4606,0.458,0.4554,0.4528,0.4502,0.4476,0.445,0.4378,0.4306,0.4234,0.4162,0.409,0.394,0.391,0.382,0.385,0.386
Sudan,0.72,0.7145,0.709,0.7035,0.698,0.6925,0.687,0.6815,0.676,0.6705,0.665,0.6564,0.6478,0.6392,0.6306,0.622,0.616,0.609,0.602,0.595,0.575
Suriname,,,,,,,,,,,0.492,0.4964,0.5008,0.5052,0.5096,0.514,0.498,0.495,0.496,0.493,0.448
Swaziland,0.652,0.6538,0.6556,0.6574,0.6592,0.661,0.6526,0.6442,0.6358,0.6274,0.619,0.6096,0.6002,0.5908,0.5814,0.572,0.565,0.559,0.576,0.57,0.566
Sweden,0.09,0.0844,0.0788,0.0732,0.0676,0.062,0.0602,0.0584,0.0566,0.0548,0.053,0.0526,0.0522,0.0518,0.0514,0.051,0.049,0.049,0.048,0.047,0.048
Switzerland,0.117,0.1124,0.1078,0.1032,0.0986,0.094,0.0898,0.0856,0.0814,0.0772,0.073,0.0708,0.0686,0.0664,0.0642,0.062,0.06,0.056,0.049,0.045,0.04
Syria,0.569,0.5652,0.5614,0.5576,0.5538,0.55,0.548,0.546,0.544,0.542,0.54,0.5398,0.5396,0.5394,0.5392,0.539,0.542,0.547,0.551,0.553,0.554
Tajikistan,0.558,0.5284,0.4988,0.4692,0.4396,0.41,0.397,0.384,0.371,0.358,0.345,0.342,0.339,0.336,0.333,0.33,0.328,0.323,0.321,0.324,0.322
Tanzania,0.652,0.646,0.64,0.634,0.628,0.622,0.616,0.61,0.604,0.598,0.592,0.5863,0.5807,0.575,0.5693,0.5637,0.558,0.556,0.553,0.548,0.544
Thailand,0.4,0.3994,0.3988,0.3982,0.3976,0.397,0.3872,0.3774,0.3676,0.3578,0.348,0.3422,0.3364,0.3306,0.3248,0.319,0.307,0.309,0.307,0.369,0.366
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,0.16
Togo,0.741,0.7258,0.7106,0.6954,0.6802,0.665,0.6586,0.6522,0.6458,0.6394,0.633,0.626,0.619,0.612,0.605,0.598,0.589,0.586,0.567,0.557,0.556
Tonga,0.684,0.6814,0.6788,0.6762,0.6736,0.671,0.632,0.593,0.554,0.515,0.476,0.5154,0.5548,0.5942,0.6336,0.673,0.472,0.47,0.465,0.662,0.659
"Trinidad and Tobago",0.426,0.4187,0.4114,0.4041,0.3968,0.3895,0.3822,0.3749,0.3676,0.3603,0.353,0.353,0.353,0.353,0.353,0.353,0.349,0.346,0.343,0.341,0.324
Tunisia,0.532,0.511,0.49,0.469,0.448,0.427,0.4088,0.3906,0.3724,0.3542,0.336,0.3306,0.3252,0.3198,0.3144,0.309,0.301,0.297,0.299,0.288,0.289
Turkey,0.631,0.6226,0.6142,0.6058,0.5974,0.589,0.584,0.579,0.574,0.569,0.564,0.5364,0.5088,0.4812,0.4536,0.426,0.381,0.365,0.351,0.34,0.328
Turkmenistan,0.369,,,,,,,,,,,,,,,,,,,,
Uganda,0.65,0.6486,0.6472,0.6458,0.6444,0.643,0.6328,0.6226,0.6124,0.6022,0.592,0.5864,0.5808,0.5752,0.5696,0.564,0.552,0.545,0.537,0.529,0.522
Ukraine,0.482,0.4624,0.4428,0.4232,0.4036,0.384,0.3812,0.3784,0.3756,0.3728,0.37,0.3628,0.3556,0.3484,0.3412,0.334,0.329,0.316,0.308,0.29,0.284
"United Arab Emirates",0.643,0.6362,0.6294,0.6226,0.6158,0.609,0.6054,0.6018,0.5982,0.5946,0.591,0.519,0.447,0.375,0.303,0.231,0.246,0.247,0.247,0.247,0.232
"United Kingdom",0.237,0.2326,0.2282,0.2238,0.2194,0.215,0.2132,0.2114,0.2096,0.2078,0.206,0.2016,0.1972,0.1928,0.1884,0.184,0.174,0.168,0.159,0.149,0.131
"United States",0.305,0.3009,0.2968,0.2927,0.2886,0.2845,0.2804,0.2763,0.2722,0.2681,0.264,0.262,0.26,0.258,0.256,0.254,0.248,0.235,0.227,0.214,0.203
