Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Romania,21.17,23.26,23.91,21.03,20.53,22.94,24.01,22.12,23.18,26.39,27.91,28.2,25.85,26.92,22.81,21.94,24.4,26.02,24.8,25.05,22.92,21.63
Russia,12.87,12.59,12.92,15.87,16.58,18.15,17.12,16.24,16.57,14.01,13.03,13.31,13.01,13.83,12.64,13.03,13.65,13.54,14,13.65,10.8,10.23
"Saudi Arabia",4.2,3.72,4.34,4.45,3.6,3.59,3.66,3.82,3.67,3.6,3.74,4.7,4.51,4.52,4.61,3.9,3.31,2.78,3.19,3.55,4.57,4.91
Singapore,42.06,41.7,40.24,39.68,41.86,45.29,38.86,36.83,35.44,38.14,39.76,39.67,39.74,37.39,41.76,41.24,41.73,41.7,41.27,40.52,40.93,39.45
Slovakia,31.79,36.71,38.15,40.27,39.65,44.1,47.13,45.94,48.31,46.87,47.06,49.4,48.18,46.18,43.36,45.73,46.73,48.16,49.22,48.19,44.78,44.51
Slovenia,32.29,31.67,32.86,34,33.26,36.49,36.94,36.2,35.35,38.14,37.82,39.95,39.57,36.09,31,34.79,36.11,35.36,34.57,33.95,32.46,31.55
Sweden,26.23,25.53,26.95,27.43,27.72,29.07,29.81,28.41,27.54,27.91,29.02,30.35,30.26,31.91,28.53,28.78,29.06,30.59,28.72,30.15,20.71,19.71
Thailand,24.21,23.19,24.31,22.56,26.57,31.88,32.25,31.21,31.37,33.64,36.8,35.74,35.63,39.14,34.53,36.52,38.95,38.62,37.49,37.31,33.56,32.51
Tunisia,24.69,23.26,24.32,25.08,23.43,24.39,26.52,26.34,27.26,27.7,28.14,29.39,30.47,33.47,29.19,30.37,32.38,33.82,33.7,34.05,28.46,29.91
Turkey,8.9,9.16,9.48,9.57,10.39,12.95,15.11,18.33,19.59,21.13,20.88,23.26,24.13,24.9,21.54,22.6,25.68,24.06,22.25,21.79,16.78,16.53
Taiwan,30.65,29.13,30.54,30.39,29.61,32.21,29.84,29.76,31.69,34.88,37.4,39.99,41.1,44.08,37.75,41.65,43.51,44.59,43.71,43.1,32.42,29.79
"United States",11.43,11.3,11.32,10.99,11.49,12.52,11.36,11.08,11.57,12.34,13.01,13.76,14.02,15.54,11.54,13.38,14.97,15.52,15.27,15.28,9.48,9.04
Vietnam,21.62,25.48,24.87,24.71,26.01,27.24,26.91,27.62,29.51,29,30.97,32.54,35.31,35.59,32.94,34.79,36.33,34.73,36.02,36.3,44.52,43.6
"South Africa",13.12,14.08,14.17,14.43,15.65,17.73,18.57,20.3,17.84,18.9,19.44,21.56,21.65,23.74,18.78,17.94,19.51,19.83,20.92,20.67,22.59,22.54
