Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Georgia,,,,,,,,,,,,,,,,16.091,18.92,22.013,19.269,20.232,17.392,17.294,16.434,16.535,19.382,22.215,23.293,28.427,32.666,35.813,33.06,29.088,29.567,28.866,29.942,29.366,29.974,29.606
Germany,,,,,,,,,,,,46.355,47.17,47.952,47.917,54.66,48.942,48.057,47.686,47.694,44.749,46.908,47.264,47.816,46.312,46.2,44.696,42.817,43.573,47.576,47.255,44.71,44.295,44.688,44.29,43.858,44.165,44.064
Ghana,11.616,8.334,6.653,5.144,6.926,9.588,11.963,11.943,11.771,11.804,10.481,11.23,14.726,18.092,19.245,19.337,18.321,18.16,17.93,16.94,18.243,20.891,16.164,18.334,20.683,19.458,21.771,24.735,23.953,23.639,26.771,26.575,29.792,28.735,29.353,24.956,26.1,22.502
Greece,24.178,27.694,28.303,29.824,31.511,33.763,33.303,33.56,33.353,34.306,37.968,34.706,36.393,38.09,36.411,46,45.083,43.706,45.149,46.154,46.426,45.986,45.797,46.592,47.615,45.562,45.117,47.069,50.845,54.078,52.478,54.086,52.426,51.449,50.168,50.922,49.704,
Grenada,,,,,,,,,,,28.973,26.831,21.795,23.13,24.749,23.242,26.251,26.57,25.3,24.802,26.044,29.928,36.316,29.502,25.169,26.95,32.784,28.109,28.327,27.983,28.248,28.786,26.686,28.115,29.158,25.655,24.042,22.64
Guatemala,,,,,,,,,,,,,,,,10.308,10.389,11.796,13.876,15.377,14.322,14.51,13.871,15.13,13.412,13.72,14.672,14.281,13.64,14.193,14.526,14.423,14.015,13.772,13.395,12.27,12.071,
Guinea,,,,,,,,,,,18.717,16.292,13.865,13.296,12.628,12.697,11.979,12.724,10.595,11.622,12.657,15.003,14.563,14.771,13.019,11.009,13.215,8.674,10.085,16.25,20.487,16.041,20.041,18.639,20.178,21.769,16.379,
"Guinea Bissau",,,,,,,,,,,,15.549,17.174,22.176,31.225,13.773,15.109,21.56,13.716,17.328,25.31,20.688,15.994,19.749,25.136,21.979,21.226,25.601,23.872,22.098,20.518,18.215,13.763,13.17,24.707,23.387,20.926,
Guyana,,,,,,,,,,,,,,,,,,27.848,26.037,23.742,30.455,32.072,30.993,31.391,31.324,37.019,37.749,32.554,31.27,32.825,30.924,30.64,31.355,30.076,31.219,29.419,32.381,
Haiti,,,,,,,,,,,,,,,,,,9.43,9.328,9.988,9.481,9.757,11.215,11.105,12.655,14.636,15.269,18.07,18.036,20.343,22.685,24.493,28.602,28.119,25.308,21.85,18.686,18.644
Honduras,,,,,,,,,,,19.383,20.776,21.645,24.531,19.029,17.213,18.666,19.393,19.419,23.321,22.099,25.066,26.809,26.441,25.544,23.61,24.394,24.449,26.409,28.352,26.463,25.912,26.356,29.576,27.638,26.022,27.476,
"Hong Kong",,17.12,16.663,15.483,13.342,14.511,12.696,11.767,11.681,12.976,13.839,12.809,13.544,15.309,15.378,16.067,14.372,14.135,18.548,17.077,17.457,18.243,18.507,19.561,18.209,16.2,15.007,13.931,18.791,17.286,16.593,18.625,18.294,20.035,17.253,18.027,18.252,17.53
Hungary,,,,,,,,,,,,,,,,55.114,50.827,49.413,50.609,48.561,47.066,47.101,50.8,48.941,48.432,49.334,51.406,49.789,48.468,50.326,49.238,49.448,48.352,49.141,48.728,49.557,46.915,
Iceland,33.862,35.237,35.931,37.685,34.573,36.894,39.343,36.382,41.299,42.795,42.446,42.715,44.521,44.922,44.785,44.184,43.518,41.961,40.847,41.619,41.314,41.871,43.229,44.684,42.929,41.602,41.12,40.961,55.258,48.196,49.124,45.503,45.155,43.719,44.962,42.466,44.999,
India,,,,,,,,,24.457,25.234,25.371,26.801,26.229,25.742,25.756,24.549,23.944,24.796,25.586,25.404,25.636,27.788,28.613,29.426,27.959,26.431,26.659,26.467,28.69,28.052,27.447,27.641,27.364,26.6,26.316,27.286,27.515,27.769
Indonesia,,,,,,,,,,,,,,14.093,13.524,11.907,11.508,15.25,15.079,15.14,15.303,19.509,16.929,18.176,17.833,17.436,18.495,18.729,19.394,17.026,16.886,17.713,18.836,19.081,18.606,17.478,16.818,
Iran,,,,,,,,,,,19.928,17.233,17.996,32.942,27.188,25.418,21.153,21.043,20.233,19.079,16.303,16.575,19.957,19.848,18.24,20.901,22.714,18.926,21.285,19.891,18.386,18.306,14.268,14.378,15.409,17.885,19.549,17.982
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,91.45,63.205,50.329,46.122,57.254,58.932,49.575,43.369,42.892,47.971,43.505,42.568,41.262,
Ireland,,,,,,,,,,,,,,,,40.87,39.03,36.539,34.606,33.979,30.885,32.499,33.204,32.999,33.161,33.346,33.835,35.899,41.798,46.999,65.104,46.328,41.962,40.293,37.609,28.887,27.094,
Israel,,,,,,,,,,,,,,,,,,,,,47.211,49.364,50.245,49.675,46.295,45.233,43.887,41.951,41.57,41.6,40.736,39.965,40.932,40.628,40.207,39.095,38.833,40.238
Italy,,,,,,,,,48.105,49.262,53.964,55.11,56.566,57.549,54.852,51.805,51.64,49.623,48.312,47.368,45.498,47.518,46.786,47.245,46.838,47.144,47.63,46.791,47.83,51.159,49.89,49.379,50.759,51.065,50.902,50.294,49.344,
"Ivory Coast",,,,,,,,,,,,,,,,,,20.972,20.133,18.893,17.8,15.812,18.105,17.52,18.672,18.794,19.99,20.516,20.167,19.885,19.995,18.242,22.312,21.919,21.029,22.811,23.257,
Jamaica,,,,,,,,,,,23.18,20.414,18.692,20.14,20.419,22.628,29.527,29.4,29.805,29.952,27.497,29.734,32.092,33.525,32.831,30.628,31.861,31.35,34.798,38.672,33.183,31.992,29.826,27.044,26.754,27.304,28.218,29.253
Japan,31.406,32.187,32.408,32.545,31.85,31.017,30.998,31.22,30.42,29.71,29.958,29.819,30.851,32.735,33.385,34.004,34.463,33.675,39.274,36.159,36.554,36.033,36.434,36.134,34.764,34.598,34.077,34.008,34.963,39.511,38.549,39.418,39.374,39.486,38.889,37.974,37.766,
Jordan,,,,,,44.002,35.889,43.722,45.752,43.447,44.323,43.969,35.272,36.403,34.513,36.005,36.623,34.548,36.761,34.852,33.923,33.259,33.662,37.041,37.615,39.504,36.827,37.35,34.518,35.385,30.427,33.217,32.56,35.338,37.969,30.051,28.921,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,20.527,21.355,21.263,22.131,19.799,23.704,27.068,23.47,22.473,21.234,21.912,19.809,21.26,22.867,22.054,
Kenya,,,21.715,19.629,19.959,20.919,20.527,20.768,21.384,21.891,23.059,22.059,23.621,25.394,25.225,23.255,20.464,20.88,20.603,18.659,18.67,19.701,21.133,21.105,20.169,21.447,21.371,22.095,22.826,23.134,24.212,23.572,24.176,25.396,27.152,27.297,27.153,27.156
Kiribati,,,,,,,,,,,89.696,71.451,84.306,69.252,66.778,85.312,83.321,84.597,85.293,86.78,73.236,104.389,100.301,89.912,105.497,97.122,83.747,80.49,83.208,79.428,81.624,88.263,95.074,90.933,118.201,110.219,131.557,
Kosovo,,,,,,,,,,,,,,,,,,,,,8.945,8.46,14.032,18.29,25.701,23.992,20.318,18.915,24.479,28.924,28.668,28.857,28.685,27.786,26.386,26.897,27.479,
Kuwait,,,,,,,,,,,92.311,204.17,90.821,61.38,58.53,54.59,44.517,43.678,52.012,44.92,36.554,42.952,41.866,37.039,34.202,28.119,31.914,30.08,40.396,42.187,44.741,39.058,38.815,38.146,44.281,54.405,52.77,
Kyrgyzstan,,,,,,,,,,,,,,,,37.876,28.613,31.158,35.941,35.887,30.215,28.088,29.35,28.077,28.457,29.607,30.106,31.819,29.306,34.372,37.099,37.367,40.584,38.147,34.904,36.78,39.252,
Laos,,,,,,,,,,,,,,,,,,,,,21.988,21.374,16.278,17.724,13.804,16.331,15.668,16.286,15.421,18.596,22.981,21.552,21.864,26.101,24.853,23.494,20.951,
Latvia,,,,,,,,,,,,,,,,,,,37.027,39.306,36.219,34.353,34.263,32.955,33.478,34.509,33.868,33.099,36.616,42.789,43.024,38.828,37.178,37.267,37.81,37.78,36.769,37.35
Lebanon,,,,,,,,,,,39.448,35.113,35.637,22.729,46.681,30.687,43.002,40.006,34.222,35.091,42.275,38.408,36.292,35.94,33.321,31.433,36.09,35.128,34.197,32.016,29.17,28.714,30.331,29.459,28.991,26.912,29.16,29.407
Lesotho,,,29.812,27.094,26.736,32.693,33.103,40.177,35.233,35.666,32.846,31.218,34.896,35.643,39.61,41.331,40.888,44.102,51.006,50.621,37.815,39.959,40.455,39.063,36.407,38.581,40.99,43.869,49.584,60.369,50.962,55.442,53.64,54.015,49.501,48.216,47.281,46.289
Liberia,,,,,,,,,,,,,,,,,,,,,14.276,11.838,12.5,8.815,11.902,11.472,10.45,15.756,29.745,33.318,32.644,29.193,30.273,32.982,32.258,36.058,35.481,
Libya,,,,,,,,,,,30.956,28.355,26.47,31.185,29.444,28.547,31.745,35.424,33.911,27.821,27.627,38.164,42.185,43.057,42.372,29.055,31.155,33.699,48.186,72.143,57.857,59.651,45.692,88.088,143.105,182.178,145.069,90.356
Lithuania,,,,,,,,,,,,,,,,32.976,31.955,32.608,36.814,39.466,35.865,35.037,33.169,32.065,33.196,33.424,33.734,34.447,37.037,43.65,41.209,41.504,35.216,34.715,34.027,34.324,33.489,
Luxembourg,,,,,,,,,,,,,,,,42.554,43.57,43.985,43.744,41.406,37.808,38.225,41.355,43.497,43.82,43.575,39.657,37.803,39.693,45.141,44.123,42.364,44.067,43.319,41.795,41.461,42.12,
Macau,,,,,,,,,,,,,,,,,,,,,,20.638,17.01,17.735,15.467,16.225,14.773,12.663,15.769,19.617,17.2,15.26,15.035,11.29,13.02,17.856,16.549,19.397
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,32.266,32.153,32.51,32.024,37.362,38.192,36,34.117,32.491,31.453,31.449,33.762,33.562,32.51,31.856,33.257,31.67,31.714,32.222,30.893,31.677
Madagascar,29.271,24.056,19.379,17.927,18.523,15.765,14.769,13.013,14.925,19.672,17.027,16.392,20.041,20.584,19.755,17.611,17.772,17.378,19.939,17.792,18.321,18.382,15.143,19.282,25.186,21.34,21.421,18.675,17.901,14.069,14.043,14.06,13.442,14.885,14.73,15.139,16.047,
Malawi,,,,,,,,,,,,,,,,,,,,,,,18.651,23.263,26.394,26.108,27.862,31.1,31.767,30.479,29.986,26.069,28.915,34.703,29.829,30.951,31.097,32.365
Malaysia,,,,,,,,,,,33.644,30.193,31.082,27.013,25.532,24.527,24.149,22.663,23.442,24.993,25.996,28.624,27.53,28.468,26.252,24.886,25.938,26.257,27.302,31.328,26.982,27.473,28.798,28.175,26.326,25.118,23.326,
Maldives,,,,,,,,,,,33.328,37.701,36.093,34.729,30.605,31.258,27.224,25.164,25.877,27.978,29.001,29.48,29.534,26.17,23.934,38.549,34.801,34.66,35.424,36.944,33.044,29.941,29.658,29.606,34.057,35.343,38.21,34.842
Mali,,,,,,,,,,,,,,,,,,,,,19.392,18.343,19.939,20.814,21.759,21.635,22.071,21.49,18.968,22.836,20.261,20.562,15.531,19.749,19.959,20.937,22.232,
Malta,,,,,,,,,,,,,,,,,,,,,42.737,44.451,43.49,45.515,42.383,42.184,42.322,41.145,42.636,41.882,41.062,41.226,42.735,41.965,41.336,40.128,37.084,
"Marshall Islands",,,,,,,,,,,,,,,,,,56.824,52.101,51.166,58.611,62.607,58.343,54.568,55.188,85.35,60.85,67.112,61.684,62.486,57.817,55.607,51.919,53.728,49.984,57.538,58.891,68.552
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,30.784,28.662,24.486,25.454,25.592,23.727,22.478,22.307,27.709,25.754,29.457,32.773,28.107,27.085
Mauritius,,,,,,,,,,,,,,,,,,,,20.28,22.43,22.796,23.256,23.46,23.194,23.037,21.884,21.485,23.493,25.576,25.086,24.611,23.293,24.854,23.875,24.631,24.876,27.283
Mexico,,,,,,,,,,,25.339,21.846,20.314,18.101,18.193,21.242,22.86,23.003,21.315,21.632,20.188,20.344,21.243,22.602,21.291,21.838,22.651,23.168,25.638,28.085,26.554,26.861,28.214,27.777,27.974,27.549,27.392,25.891
Micronesia,,,,,,,,,,,,,,,,77.244,72.048,64.397,72.438,72.901,67.158,63.867,58.888,66.771,70.619,59.366,60.122,59.156,59.233,63.522,67.202,65.344,65.286,59.722,54.404,55.841,,
